EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,2.15,2.15,2.15,2.15,300
1,2.2,2.2,2.15,2.15,600
2,2.15,2.169,2.15,2.169,245
7,2.155,2.155,2.15,2.15,5000
8,2.15,2.15,2.15,2.15,100
9,2.1,2.145,2.1,2.145,2100
10,2.15,2.15,2.15,2.15,501
12,2.1608,2.1608,2.15,2.15,200
16,2.15,2.15,2.15,2.15,200
18,2.2,2.2,2.2,2.2,500
23,2.168,2.168,2.168,2.168,100
24,2.175,2.175,2.15,2.175,2680
30,2.155,2.155,2.15,2.15,400
35,2.195,2.195,2.195,2.195,457
38,2.175,2.175,2.175,2.175,100
39,2.2,2.2,2.15,2.2,675
145,2.2,2.2,2.2,2.2,200
146,2.2,2.2,2.2,2.2,200
147,2.2,2.2,2.2,2.2,200
150,2.195,2.195,2.155,2.175,3499
151,2.2,2.2,2.2,2.2,200
155,2.155,2.155,2.155,2.155,250
156,2.155,2.155,2.155,2.155,250
164,2.1608,2.1608,2.1608,2.1608,200
165,2.155,2.2,2.155,2.2,350
166,2.2,2.2,2.2,2.2,100
178,2.2,2.2,2.2,2.2,130
179,2.2,2.2,2.2,2.2,100
180,2.15,2.2,2.15,2.2,1200
288,2.15,2.15,2.15,2.15,800
289,2.1,2.1,2.1,2.1,2850
290,2.05,2.1,2.05,2.05,4200
291,2.05,2.05,2.05,2.05,1561
298,2.095,2.1,2.095,2.1,2215
311,2.1,2.1,2.05,2.055,2100
318,2.05,2.05,2.05,2.05,588
322,2.05,2.05,2.05,2.05,411
323,2.0399,2.0399,2.0399,2.0399,380
327,2,2.05,2,2,905
432,2.05,2.05,2.05,2.05,613
433,2.07,2.07,2.07,2.07,380
435,2.055,2.055,2.055,2.055,800
438,2.0634,2.1,2.05,2.055,34400
442,2.1,2.1,2.05,2.05,3661
446,2.05,2.092,2.05,2.092,300
448,2.1067,2.1067,2.1067,2.1067,330
454,2.1,2.15,2.1,2.15,2100
457,2.1429,2.1429,2.13,2.13,600
460,2.15,2.15,2.15,2.15,200
461,2.145,2.145,2.145,2.145,100
462,2.1418,2.145,2.1418,2.145,200
463,2.15,2.15,2.15,2.15,700
466,2.1,2.105,2.1,2.105,800
468,2.1,2.1,2.1,2.1,400
470,2.125,2.125,2.125,2.125,100
471,2.1,2.125,2.1,2.125,1000
864,2.1,2.1,2.1,2.1,138
871,2.1253,2.1253,2.1253,2.1253,125
872,2.15,2.15,2.15,2.15,700
873,2.1,2.15,2.1,2.15,600
874,2.1,2.1,2.1,2.1,600
876,2.077,2.077,2.077,2.077,225
879,2.1,2.1,2.1,2.1,2840
881,2.095,2.095,2.095,2.095,1500
884,2.05,2.0562,2.05,2.0562,570
894,2.071,2.071,2.05,2.05,380
899,2.05,2.05,2.05,2.05,100
901,2.05,2.05,2.05,2.05,1700
902,2.05,2.05,2.05,2.05,1610
903,2.05,2.055,2.05,2.05,405
a1493736600,2.0897,2.0897,2.0897,2.0897,300
2,2.0748,2.0748,2.0748,2.0748,146
3,2.055,2.055,2.05,2.05,4742
4,2.055,2.055,2.055,2.055,300
6,2.05,2.05,2.05,2.05,100
8,2.02,2.02,2.02,2.02,219
10,2,2.045,2,2.045,1300
18,2.05,2.05,2.05,2.05,2400
31,2.05,2.05,2.05,2.05,253
136,2.05,2.05,2.05,2.05,299
137,2.05,2.05,2.05,2.05,100
138,2.05,2.05,2.05,2.05,500
142,2.05,2.05,2.05,2.05,200
146,2,2,2,2,100
150,2.005,2.005,2.005,2.005,100
153,2.01,2.01,2.01,2.01,200
156,2.05,2.05,2.05,2.05,400
160,2.04,2.04,2.04,2.04,1000
162,2,2,2,2,100
169,2.025,2.05,2.025,2.05,603
170,2.05,2.05,2,2,4511
173,2,2.05,2,2.05,1000
175,2,2.05,2,2.05,795
280,2,2,2,2,213
281,2,2,2,2,4090
282,1.95,1.95,1.95,1.95,100
284,2,2.05,2,2.05,864
285,2.005,2.005,2,2,605
286,2.0807,2.0807,2.0807,2.0807,950
287,2.15,2.15,2.086,2.086,4708
288,2.15,2.15,2.15,2.15,100
289,2.1,2.15,2.1,2.15,200
292,2.13,2.13,2.13,2.13,250
295,2.105,2.105,2.105,2.105,400
297,2.1,2.1,2.1,2.1,100
302,2.138,2.138,2.138,2.138,624
305,2.1155,2.1155,2.1155,2.1155,600
308,2.1155,2.1155,2.1155,2.1155,600
309,2.1,2.1,2.1,2.1,100
311,2.1322,2.15,2.1322,2.15,1600
313,2.05,2.1,2.05,2.1,3500
318,2.05,2.05,2.05,2.05,200
319,2.05,2.05,2.05,2.05,638
427,2,2.042,2,2.042,940
428,2,2,2,2,283
430,2,2,2,2,1700
431,2,2,1.995,1.995,1600
432,1.95,2,1.95,2,200
433,1.975,1.975,1.95,1.95,602
434,2,2,2,2,356
435,2,2,1.95,1.95,1100
436,1.975,1.975,1.975,1.975,300
438,2,2,2,2,1918
443,1.95,1.95,1.95,1.95,2363
444,1.95,1.95,1.95,1.95,2394
445,1.95,1.95,1.95,1.95,100
446,1.981,1.981,1.981,1.981,1000
450,1.95,1.995,1.95,1.975,1370
453,1.995,1.995,1.9744,1.995,600
455,1.95,1.95,1.95,1.95,100
456,2,2,2,2,570
459,1.95,1.95,1.95,1.95,701
460,2,2,2,2,100
461,1.9609,2,1.9609,2,220
462,1.95,1.95,1.95,1.95,100
463,1.95,2,1.95,2,1075
856,1.9,1.95,1.9,1.95,1867
857,1.95,1.95,1.9,1.95,2359
858,1.95,1.95,1.95,1.95,100
859,1.95,1.95,1.95,1.95,500
860,1.93,1.95,1.93,1.95,1300
861,1.945,1.945,1.945,1.945,1170
868,1.9263,1.9263,1.9263,1.9263,133
869,1.925,1.925,1.9,1.9079,1200
870,1.95,1.95,1.95,1.95,100
871,1.905,1.905,1.9,1.905,3000
876,1.95,1.95,1.95,1.95,563
877,1.95,1.95,1.95,1.95,100
879,1.9,1.95,1.9,1.9249,300
880,1.9141,1.9141,1.9,1.9,1000
881,1.95,1.95,1.95,1.95,100
882,1.95,1.95,1.9,1.95,1497
890,1.9107,1.9107,1.9107,1.9107,254
891,1.95,1.95,1.95,1.95,100
895,1.9,1.9,1.9,1.9,195
a1494336600,1.9,1.9,1.9,1.9,100
5,1.95,1.95,1.95,1.95,500
7,2,2.05,2,2,9300
8,2.1,2.1,2.1,2.1,100
9,2.053,2.053,2.05,2.05,200
10,2.1,2.1,2.1,2.1,100
11,2.066,2.066,2.05,2.05,1200
15,2.1,2.1,2.1,2.1,200
16,2.05,2.055,2.05,2.055,1100
19,2.095,2.095,2.095,2.095,100
21,2.05,2.1,2.05,2.1,300
22,2.05,2.05,2.05,2.05,1813
23,2.05,2.0603,2.05,2.0603,8200
26,2.05,2.05,2.05,2.05,597
29,2.1,2.1,2.1,2.1,100
32,2.078,2.078,2.078,2.078,200
33,2.05,2.1,2.05,2.1,200
35,2.055,2.055,2.055,2.055,300
39,2,2.05,2,2.05,800
145,2.05,2.05,2.05,2.05,700
149,2.05,2.05,2.05,2.05,200
153,2.05,2.05,2.05,2.05,100
155,2,2,2,2,2211
159,1.95,1.95,1.95,1.95,900
160,1.95,1.95,1.95,1.95,900
161,1.95,1.95,1.95,1.95,290
165,1.95,1.95,1.95,1.95,2200
175,1.995,1.995,1.995,1.995,2000
179,2,2,2,2,300
180,1.95,1.95,1.95,1.95,100
292,1.95,1.95,1.95,1.95,400
299,1.9,1.925,1.9,1.9,700
302,1.95,1.95,1.925,1.925,6550
303,1.9,1.9,1.9,1.9,164
307,1.9,1.9,1.9,1.9,400
312,1.95,1.95,1.925,1.928,2800
314,1.95,1.95,1.9,1.9,1100
316,1.95,1.95,1.95,1.95,153
320,1.9,1.9,1.9,1.9,500
322,1.925,1.95,1.925,1.95,200
326,1.95,1.95,1.925,1.925,6800
327,1.95,1.95,1.925,1.925,260
435,1.955,1.955,1.955,1.955,500
436,1.9835,1.9835,1.9835,1.9835,900
437,2,2,1.95,1.95,443
440,2,2,2,2,1115
443,2.005,2.005,2.005,2.005,200
444,2.05,2.05,2.05,2.05,1000
