EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,20.64,20.64,20.64,20.64,21838
1,20.66,20.71,20.585,20.585,80763
2,20.72,20.74,20.65,20.655,75398
3,20.73,20.74,20.7,20.725,27299
4,20.79,20.79,20.72,20.73,64972
5,20.74,20.8,20.73,20.785,105043
6,20.74,20.76,20.715,20.735,96256
7,20.69,20.76,20.68,20.75,79576
8,20.63,20.7,20.615,20.69,45207
9,20.635,20.67,20.62,20.63,39336
10,20.7,20.705,20.63,20.63,47175
11,20.72,20.72,20.69,20.7,94960
12,20.7,20.715,20.7,20.71,18876
13,20.715,20.72,20.695,20.7,35146
14,20.71,20.72,20.7,20.712,27409
15,20.725,20.74,20.71,20.71,80764
16,20.75,20.765,20.72,20.73,37991
17,20.75,20.75,20.725,20.75,23694
18,20.76,20.77,20.755,20.755,10831
19,20.75,20.76,20.73,20.75,20384
20,20.74,20.75,20.735,20.75,14366
21,20.7199,20.74,20.71,20.73,16940
22,20.735,20.74,20.71,20.715,7100
23,20.71,20.76,20.71,20.735,78232
24,20.71,20.72,20.7,20.72,8601
25,20.73,20.73,20.7,20.71,50172
26,20.73,20.75,20.72,20.73,13857
27,20.75,20.75,20.73,20.74,7650
28,20.755,20.78,20.74,20.74,29117
29,20.735,20.755,20.73,20.75,76650
30,20.7,20.735,20.7,20.735,20740
31,20.73,20.735,20.7,20.7,33945
32,20.705,20.73,20.685,20.72,64480
33,20.7,20.71,20.68,20.7,35962
34,20.71,20.74,20.7,20.7,34616
35,20.72,20.73,20.7,20.715,30633
36,20.74,20.74,20.7,20.71,51199
37,20.705,20.74,20.69,20.74,55578
38,20.7,20.73,20.7,20.705,95493
39,20.66,20.71,20.66,20.705,315427
144,20.64,20.74,20.62,20.64,20323
145,20.7,20.72,20.59,20.64,22785
146,20.69,20.72,20.65,20.71,33880
147,20.72,20.72,20.68,20.69,52023
148,20.74,20.74,20.7,20.715,25181
149,20.76,20.76,20.73,20.74,20524
150,20.8,20.8,20.75,20.75,41270
151,20.795,20.81,20.785,20.8,34909
152,20.77,20.8,20.77,20.8,20636
153,20.8,20.8,20.74,20.76,39802
154,20.775,20.8,20.77,20.79,40713
155,20.81,20.82,20.77,20.77,18880
156,20.835,20.84,20.79,20.81,78177
157,20.88,20.885,20.83,20.84,21392
158,20.77,20.87,20.77,20.87,34786
159,20.76,20.785,20.71,20.78,92428
160,20.765,20.77,20.74,20.75,16360
161,20.8,20.8,20.76,20.76,44731
162,20.76,20.8,20.76,20.79,23631
163,20.775,20.78,20.76,20.765,16923
164,20.78,20.82,20.775,20.78,34148
165,20.83,20.83,20.79,20.79,19652
166,20.825,20.83,20.805,20.825,29180
167,20.825,20.84,20.815,20.82,26456
168,20.8,20.84,20.8,20.83,16771
169,20.84,20.84,20.79,20.8,36671
170,20.815,20.85,20.81,20.835,26079
171,20.8086,20.8301,20.8,20.82,68841
172,20.745,20.8,20.735,20.8,43046
173,20.74,20.76,20.74,20.745,23682
174,20.73,20.76,20.73,20.74,17458
175,20.725,20.74,20.7,20.74,60842
176,20.745,20.75,20.725,20.725,41099
177,20.705,20.745,20.7,20.745,20034
178,20.73,20.73,20.69,20.705,27198
179,20.73,20.74,20.72,20.73,30399
180,20.705,20.73,20.7,20.73,29973
181,20.67,20.72,20.67,20.705,48762
182,20.635,20.67,20.63,20.665,41620
183,20.6,20.64,20.6,20.635,256546
288,20.58,20.58,20.58,20.58,29034
289,20.62,20.71,20.59,20.695,35586
290,20.7501,20.76,20.58,20.62,47714
291,20.725,20.78,20.725,20.755,32480
292,20.77,20.79,20.73,20.73,35459
293,20.765,20.79,20.755,20.76,24037
294,20.725,20.78,20.72,20.77,41717
295,20.72,20.74,20.69,20.72,28335
296,20.715,20.78,20.715,20.72,33482
297,20.725,20.73,20.7,20.72,31393
298,20.76,20.78,20.71,20.72,42278
299,20.79,20.8,20.76,20.76,18728
300,20.765,20.8,20.765,20.79,17749
301,20.73,20.77,20.725,20.76,28701
302,20.735,20.74,20.715,20.725,27876
303,20.76,20.77,20.73,20.735,40787
304,20.79,20.8,20.77,20.77,37979
305,20.81,20.815,20.8,20.8,13651
306,20.775,20.81,20.77,20.81,9763
307,20.79,20.81,20.77,20.775,20529
308,20.83,20.83,20.79,20.79,15069
309,20.875,20.875,20.815,20.825,17254
310,20.845,20.875,20.84,20.875,20729
311,20.84,20.87,20.835,20.845,38763
312,20.83,20.85,20.83,20.845,16852
313,20.86,20.86,20.83,20.835,34990
314,20.86,20.88,20.85,20.86,35684
315,20.85,20.86,20.83,20.85,49994
316,20.815,20.86,20.81,20.848,26787
317,20.82,20.83,20.81,20.815,15352
318,20.785,20.82,20.78,20.82,17236
319,20.795,20.81,20.77,20.785,38592
320,20.795,20.81,20.79,20.795,27850
321,20.83,20.83,20.79,20.8,31973
322,20.79,20.82,20.79,20.82,33451
323,20.82,20.84,20.795,20.795,29220
324,20.815,20.835,20.81,20.82,26026
325,20.8,20.82,20.8,20.82,34860
326,20.785,20.805,20.78,20.805,27096
327,20.8,20.8,20.76,20.785,326116
432,20.87,20.87,20.87,20.87,23006
433,20.84,20.8648,20.76,20.8648,25482
434,20.82,20.88,20.81,20.84,23201
435,20.82,20.82,20.77,20.82,19163
436,20.77,20.81,20.755,20.8,44190
437,20.71,20.76,20.69,20.76,82359
438,20.72,20.73,20.68,20.71,28946
439,20.72,20.735,20.705,20.72,17057
440,20.705,20.74,20.7,20.72,25646
441,20.725,20.74,20.68,20.69,13367
442,20.73,20.74,20.72,20.72,8500
443,20.69,20.725,20.6701,20.72,149064
444,20.65,20.69,20.62,20.69,22348
445,20.625,20.65,20.62,20.645,13063
446,20.625,20.635,20.62,20.625,16852
447,20.63,20.65,20.63,20.63,12757
448,20.675,20.68,20.64,20.64,9689
449,20.66,20.68,20.655,20.68,13560
450,20.6633,20.67,20.66,20.665,6120
451,20.67,20.67,20.645,20.665,17648
452,20.7,20.7,20.66,20.66,8367
453,20.68,20.7,20.67,20.7,8590
454,20.69,20.695,20.67,20.685,7087
455,20.685,20.7,20.685,20.685,6255
456,20.695,20.7,20.68,20.68,6801
457,20.73,20.73,20.69,20.695,8308
458,20.71,20.72,20.7,20.72,7207
459,20.715,20.715,20.7,20.7,11427
460,20.695,20.73,20.695,20.71,10943
461,20.68,20.695,20.67,20.695,58618
462,20.6738,20.68,20.67,20.68,6312
463,20.65,20.68,20.65,20.68,11793
464,20.655,20.66,20.65,20.655,5023
465,20.65,20.66,20.65,20.65,14384
466,20.68,20.685,20.65,20.6501,21779
467,20.675,20.69,20.67,20.69,11375
468,20.66,20.68,20.66,20.67,12868
469,20.67,20.69,20.655,20.66,55686
470,20.67,20.68,20.66,20.675,53807
471,20.65,20.68,20.64,20.67,306192
864,20.76,20.76,20.76,20.76,18143
865,20.7,20.77,20.67,20.77,12200
866,20.64,20.7,20.64,20.68,14497
867,20.56,20.63,20.56,20.63,24358
868,20.48,20.5507,20.48,20.5507,28229
869,20.535,20.54,20.47,20.48,33074
870,20.515,20.545,20.475,20.54,16332
871,20.58,20.605,20.51,20.51,24290
872,20.62,20.62,20.57,20.585,14826
873,20.59,20.625,20.58,20.62,14502
874,20.59,20.61,20.585,20.59,14671
875,20.61,20.64,20.58,20.59,25497
876,20.62,20.63,20.61,20.61,13325
877,20.54,20.63,20.53,20.62,28424
878,20.575,20.575,20.54,20.545,20731
879,20.565,20.575,20.54,20.575,19547
880,20.56,20.575,20.55,20.57,14725
881,20.55,20.5755,20.55,20.56,10457
882,20.52,20.555,20.52,20.555,11775
883,20.53,20.54,20.525,20.525,15675
884,20.52,20.5258,20.52,20.525,5454
885,20.495,20.525,20.46,20.52,30347
886,20.5,20.51,20.49,20.49,10898
887,20.51,20.51,20.49,20.5,17432
888,20.505,20.51,20.5,20.5,9558
889,20.495,20.51,20.49,20.5,20863
890,20.515,20.515,20.49,20.4953,23183
891,20.52,20.52,20.51,20.52,24018
892,20.51,20.54,20.49,20.53,49223
893,20.5275,20.54,20.5,20.505,55765
