EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,12.53,12.53,12.53,12.53,3602
1,12.6,12.6,12.52,12.5999,44500
2,12.58,12.63,12.58,12.6,54924
3,12.615,12.615,12.55,12.58,16820
4,12.67,12.67,12.61,12.62,30292
5,12.629,12.66,12.62,12.66,18403
6,12.5702,12.635,12.5702,12.62,10085
7,12.5993,12.6068,12.53,12.58,18070
8,12.559,12.6,12.53,12.6,46464
9,12.53,12.55,12.52,12.55,18043
10,12.55,12.55,12.5,12.52,17966
11,12.59,12.6,12.55,12.55,15350
12,12.6,12.6,12.58,12.59,20594
13,12.6301,12.65,12.5912,12.595,17800
14,12.63,12.68,12.61,12.63,30218
15,12.685,12.685,12.64,12.64,12743
16,12.66,12.68,12.62,12.675,12898
17,12.59,12.66,12.58,12.65,22246
18,12.63,12.635,12.594,12.594,10134
19,12.605,12.65,12.58,12.63,15457
20,12.6,12.61,12.56,12.6,12483
21,12.635,12.6485,12.61,12.61,7900
22,12.68,12.68,12.635,12.635,8908
23,12.655,12.68,12.64,12.68,5308
24,12.645,12.67,12.64,12.659,6886
25,12.6489,12.65,12.64,12.6499,2580
26,12.65,12.66,12.635,12.65,10807
27,12.64,12.66,12.64,12.649,5003
28,12.66,12.66,12.64,12.645,7058
29,12.675,12.68,12.65,12.66,33703
30,12.68,12.68,12.66,12.68,7200
31,12.6899,12.695,12.67,12.67,13250
32,12.67,12.69,12.65,12.68,7500
33,12.65,12.67,12.65,12.67,5065
34,12.67,12.67,12.64,12.65,6152
35,12.66,12.6642,12.64,12.6642,8097
36,12.65,12.66,12.65,12.65,5200
37,12.655,12.66,12.645,12.65,12000
38,12.66,12.66,12.645,12.65,20347
39,12.66,12.68,12.64,12.66,70112
144,12.7,12.7,12.7,12.7,3256
145,12.77,12.8,12.69,12.7,27997
146,12.75,12.79,12.73,12.77,11247
147,12.71,12.77,12.7,12.745,27533
148,12.72,12.72,12.69,12.7,8000
149,12.73,12.73,12.69,12.69,7312
150,12.73,12.74,12.72,12.73,1700
151,12.74,12.75,12.73,12.74,13205
152,12.75,12.75,12.73,12.7364,3200
153,12.75,12.75,12.73,12.74,22566
154,12.79,12.86,12.72,12.74,165278
155,12.74,12.8,12.73,12.8,24832
156,12.9,12.91,12.74,12.745,73952
157,12.8731,12.92,12.85,12.8901,28181
158,12.7999,12.88,12.79,12.88,10035
159,12.91,12.91,12.8,12.8,23643
160,12.929,12.95,12.9,12.91,11768
161,12.95,12.97,12.92,12.93,19053
162,13.005,13.01,12.9401,12.945,36183
163,12.98,13.02,12.95,13.01,194011
164,12.94,13.01,12.9399,12.98,38710
165,12.98,12.98,12.92,12.93,18512
166,12.99,12.99,12.93,12.975,78126
167,13,13,12.9801,12.99,22264
168,12.97,13.01,12.96,13,27087
169,12.98,12.98,12.95,12.97,9580
170,12.96,12.98,12.94,12.98,16652
171,12.97,12.99,12.96,12.96,6645
172,12.97,12.97,12.93,12.96,18550
173,12.96,12.99,12.96,12.9699,10803
174,12.97,12.99,12.941,12.95,8893
175,12.96,12.99,12.96,12.97,10900
176,12.97,12.98,12.9699,12.97,17067
177,12.96,12.99,12.96,12.97,9700
178,12.99,13,12.96,12.96,13589
179,12.97,13,12.97,12.995,17415
180,12.98,12.98,12.95,12.97,9021
181,12.95,12.98,12.94,12.98,19653
182,12.92,12.95,12.91,12.94,29235
183,12.89,12.93,12.88,12.92,172696
288,12.99,12.99,12.99,12.99,9922
289,12.94,13,12.916,12.916,21597
290,13.04,13.05,12.969,12.969,32358
291,13.0101,13.07,13.0101,13.04,28798
292,13.0159,13.045,12.99,13,32802
293,12.97,13.025,12.97,13.02,19288
294,12.99,12.995,12.965,12.97,5824
295,12.991,13.01,12.97,12.98,19450
296,13.03,13.05,12.98,13,51598
297,13,13.05,12.95,13.035,103847
298,13.01,13.02,12.99,12.995,96941
299,13,13.01,12.975,12.99,32706
300,12.99,13,12.985,12.991,9200
301,12.94,13,12.94,13,113801
302,12.86,12.95,12.86,12.94,27045
303,12.85,12.86,12.82,12.86,24182
304,12.89,12.9,12.85,12.85,14515
305,12.875,12.9,12.87,12.885,12500
306,12.88,12.88,12.855,12.87,6403
307,12.89,12.89,12.875,12.875,6788
308,12.895,12.91,12.88,12.895,15925
309,12.855,12.9,12.83,12.895,27928
310,12.83,12.86,12.815,12.855,16605
311,12.79,12.85,12.785,12.83,103199
312,12.805,12.83,12.77,12.785,17300
313,12.81,12.83,12.81,12.81,12100
314,12.81,12.82,12.79,12.81,22219
315,12.82,12.82,12.81,12.815,19186
316,12.815,12.82,12.81,12.811,21900
317,12.8,12.82,12.79,12.82,15650
318,12.775,12.81,12.77,12.8,19997
319,12.8,12.81,12.77,12.77,5604
320,12.79,12.81,12.78,12.81,12857
321,12.81,12.82,12.78,12.79,5300
322,12.8,12.82,12.8,12.81,15100
323,12.82,12.84,12.791,12.791,35172
324,12.815,12.83,12.81,12.82,9681
325,12.795,12.84,12.79,12.82,45336
326,12.81,12.81,12.79,12.79,6298
327,12.77,12.81,12.77,12.81,80778
432,12.85,12.85,12.85,12.85,6165
433,12.8,12.8,12.711,12.8,12898
434,12.78,12.81,12.77,12.7927,4742
435,12.78,12.81,12.76,12.76,49377
436,12.79,12.81,12.78,12.78,9200
437,12.8001,12.81,12.785,12.79,4600
438,12.8,12.81,12.79,12.805,8800
439,12.8,12.805,12.78,12.79,20010
440,12.79,12.805,12.75,12.79,18555
441,12.78,12.8,12.76,12.7801,18999
442,12.79,12.805,12.78,12.78,11521
443,12.76,12.785,12.74,12.78,10672
444,12.75,12.76,12.735,12.76,4800
445,12.72,12.755,12.72,12.75,7506
446,12.6942,12.725,12.69,12.72,7975
447,12.73,12.74,12.6917,12.6917,9134
448,12.76,12.76,12.74,12.74,1917
449,12.75,12.77,12.74,12.76,5053
450,12.755,12.78,12.755,12.76,3966
451,12.76,12.77,12.74,12.76,3200
452,12.75,12.77,12.75,12.76,4714
453,12.75,12.769,12.74,12.74,3187
454,12.725,12.75,12.725,12.741,4961
455,12.68,12.725,12.68,12.721,4600
456,12.555,12.68,12.55,12.68,31007
457,12.62,12.62,12.53,12.56,44036
458,12.65,12.65,12.62,12.62,11748
459,12.63,12.65,12.63,12.65,5631
460,12.649,12.65,12.62,12.63,6151
461,12.65,12.665,12.64,12.649,6100
462,12.665,12.695,12.645,12.645,4700
463,12.64,12.66,12.64,12.66,3800
464,12.65,12.669,12.65,12.65,3400
465,12.655,12.66,12.64,12.65,4000
466,12.68,12.68,12.64,12.655,6952
467,12.645,12.69,12.641,12.685,16199
468,12.585,12.65,12.581,12.645,14651
469,12.6133,12.62,12.58,12.585,18063
470,12.62,12.62,12.61,12.61,12543
471,12.61,12.64,12.605,12.62,105325
864,12.64,12.64,12.64,12.64,4336
865,12.74,12.75,12.52,12.52,17087
866,12.62,12.7,12.591,12.6994,6855
867,12.7,12.71,12.59,12.6,10600
868,12.57,12.69,12.57,12.69,21946
869,12.55,12.58,12.54,12.58,42300
870,12.48,12.56,12.48,12.55,22238
871,12.555,12.58,12.49,12.5,19999
872,12.5601,12.57,12.55,12.56,18087
873,12.5,12.56,12.495,12.56,14900
874,12.54,12.56,12.5,12.5,21224
875,12.5745,12.58,12.55,12.55,7439
876,12.63,12.63,12.565,12.58,14817
877,12.61,12.635,12.59,12.63,13100
878,12.65,12.65,12.605,12.605,7107
879,12.705,12.705,12.65,12.65,15885
880,12.68,12.705,12.68,12.705,10501
881,12.665,12.6757,12.66,12.67,10319
882,12.64,12.66,12.63,12.66,14959
883,12.645,12.67,12.63,12.65,19246
884,12.62,12.64,12.605,12.64,4300
885,12.64,12.64,12.595,12.625,11003
886,12.65,12.655,12.64,12.64,7838
887,12.65,12.66,12.64,12.645,10677
888,12.67,12.67,12.655,12.66,2900
889,12.665,12.685,12.665,12.665,6202
890,12.675,12.68,12.66,12.67,13279
891,12.68,12.68,12.67,12.67,5600
892,12.655,12.68,12.65,12.675,13817
893,12.64,12.66,12.64,12.655,18680
894,12.6485,12.65,12.64,12.64,7010
