EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,868.5,868.5,867.77,868.44,22487
1,869.23,869.58,866.11,868.5,69696
2,871.7,872,869.03,869.39,49810
3,872.9465,874.22,871.452,871.452,34396
4,873.765,873.88,871.63,873.12,54609
5,874.575,874.93,873.241,873.5,36317
6,875.15,875.91,874.38,874.74,35521
7,874.65,875,873.92,874.88,33731
8,875.27,875.68,874.6,874.77,22340
9,875.345,875.94,875.07,875.21,26457
10,875.03,875.7706,874.85,875.28,17476
11,874.83,875.26,873.79,875.1202,24303
12,874.03,875.07,874.03,874.975,21699
13,874.125,874.685,873.64,873.9828,16491
14,874.51,874.65,874.201,874.44,5500
15,874.07,874.6,873.8501,874.51,9252
16,874.32,874.85,873.9,874.12,10679
17,874.48,874.829,874.22,874.26,9381
18,875.32,875.46,874.26,874.51,17852
19,875.69,875.9,875.12,875.36,23584
20,875.8334,875.99,875.49,875.6901,14506
21,875.64,876.22,875.43,875.8254,15786
22,876.44,876.63,875.56,875.56,16932
23,876.09,876.64,875.52,876.48,18271
24,875.81,876.22,875.58,876.1,19798
25,875.95,876.32,875.63,875.73,21708
26,876.35,876.49,876.0912,876.34,6652
27,876.83,876.85,876.131,876.35,10863
28,876.69,877.14,876.5752,876.78,23045
29,877.41,877.75,876.07,876.82,15030
30,877.48,877.68,877.19,877.46,13772
31,877.5,877.81,877.27,877.72,6290
32,877.5,877.95,877.311,877.39,13488
33,878.02,878.34,877.4,877.62,20436
34,878.77,878.7765,877.69,877.99,20171
35,877.76,879.26,877.65,878.67,42512
36,878.09,878.41,877.25,877.73,23356
37,879.75,879.96,877.76,877.99,39853
38,879.08,879.86,878.77,879.8,44289
39,878.93,879.61,877.7501,879.08,202717
144,882.43,882.62,882.26,882.26,32693
145,881.06,882.47,879.2801,882.47,62253
146,880.825,881.5699,880.32,881.24,32413
147,881.5,881.5,880.66,880.96,23639
148,882.44,882.66,881.27,881.5,44840
149,883.82,884.3464,882.55,882.73,22546
150,883.145,883.69,882.7,883.63,32334
151,882.325,883.17,881.564,883.15,19328
152,881.18,882.55,880.82,882.55,25779
153,881.78,882.45,881.2,881.2,14457
154,882.195,882.45,881.66,881.9915,13040
155,882.8643,882.98,882.04,882.2,18793
156,883.214,883.214,882.33,882.8965,13386
157,884.42,884.96,883.11,883.3348,105657
158,885.42,885.97,884.03,884.18,18092
159,885.57,886,885.23,885.52,27845
160,886.605,886.99,885.725,885.725,19194
161,887.55,887.7799,886.47,886.59,21846
162,887.33,887.96,887.17,887.5691,24020
163,887.38,887.92,886.92,887.12,21642
164,888.16,888.36,887.3197,887.4302,13168
165,888.2935,888.7602,888.0135,888.1593,13278
166,889.396,889.396,888.3,888.4,15738
167,889.73,889.78,888.8,889.3012,25728
168,889.63,890.225,889.63,889.65,15968
169,889.92,890.15,889.53,889.65,25352
170,889.5,890.16,889.15,889.91,14489
171,889.3,889.9,889.22,889.41,12307
172,889.764,889.8399,888.72,889.25,21987
173,890.24,890.55,889.68,889.95,29385
174,890,890.51,889.87,890.1831,21489
175,890.345,890.46,889.7289,889.96,23602
176,890.4709,890.859,890.2,890.3,19853
177,890.25,890.6,890.24,890.468,22557
178,891.565,891.74,890.11,890.3457,34664
179,891.49,891.57,890.96,891.54,20114
180,891.98,892.25,891.33,891.41,40444
181,891.03,892,890.89,891.85,32191
182,890.09,891.38,889.74,891.05,45675
183,888.84,890.29,888.4,890.04,311572
288,890.86,891.39,890.86,891.39,26712
289,890.87,892.99,889.2,890.78,38794
290,890.86,891.67,889.35,890.73,37331
291,890.77,891.55,889.75,891.01,21756
292,891.9,892.45,890.36,890.625,23789
293,892.02,892.45,891.54,891.66,19482
294,891.9,892.34,891.6257,892.174,14104
295,890.29,892.16,890.15,892.09,29701
296,889.7791,890.39,889.21,890.39,15525
297,889.69,890.72,889.27,889.71,12149
298,889.24,890.43,888.88,889.645,17147
299,888.59,889.67,888.5,889.22,15176
300,888.99,890.525,888.5,888.62,30920
301,888.93,889.484,888.53,889.04,20685
302,885.435,888.89,885.435,888.89,34182
303,886.16,886.2,885.15,885.5,23023
304,886.99,887.3525,885.79,885.79,16912
305,888.79,888.82,887.08,887.11,15617
306,887.7209,888.7072,887.16,888.675,14789
307,887.11,888.07,886.84,887.7815,10858
308,886.77,887.7199,886.27,887.11,13298
309,888.23,888.35,886.58,886.765,10425
310,888.19,888.39,887.76,888.12,12096
311,887.82,888.29,887.69,888.2,9284
312,888.55,888.71,887.97,888.01,7621
313,888.45,888.77,887.76,888.66,7435
314,887.91,889.6579,887.5,888.43,15452
315,887.97,888.8,887.92,888.42,11625
316,887.65,888.3147,887.09,887.56,10812
317,887.63,888.47,887.58,887.718,9286
318,888.39,888.65,887.57,887.6,7875
319,889.23,889.4,888.475,888.64,12899
320,888.8,889.42,888.49,889.27,9292
321,888.475,889.02,888.42,888.76,12627
322,889.36,889.43,888.23,888.39,13686
323,889.46,890.19,889.18,889.24,14837
324,889.1723,889.43,888.9,889.4,15260
325,888.63,889.5,888.59,889.22,20540
326,889.6743,889.82,888.39,888.64,29108
327,889.14,889.99,888.86,889.54,151506
432,890.87,890.87,890,890,24314
433,889.6899,891.81,887.18,891.24,44386
434,887.87,890,887.5216,889.7,38887
435,888.82,889.49,887.21,888.336,28411
436,888.98,889,887.815,888.76,24288
437,890.15,891.28,888.835,888.96,53967
438,889.99,891.09,889.535,890.145,50654
439,890.19,891.02,890.04,890.04,34460
440,888.44,890.2,888.41,890.16,34725
441,888.82,889.26,888.51,888.64,27638
442,889.74,889.88,888.52,888.67,27128
443,889.2,890.39,889.09,889.77,31665
444,889.25,889.86,888.6,889.24,22907
445,889.09,890.25,889.09,889.25,13756
446,889.18,889.79,888.83,889.03,15550
447,889.905,890.04,889.08,889.14,16564
448,889.52,890.13,889.025,889.9358,16640
449,889.1599,889.77,888.83,889.561,21590
450,888.81,889.24,888.5,889.0123,22851
451,889.41,889.6,888.44,888.81,25961
452,889.18,889.7,888.92,889.45,21076
453,889.34,889.5,888.8136,889.18,14044
454,889.51,889.67,889.25,889.42,16465
455,889.12,889.625,889.07,889.35,15321
456,889.2956,889.65,889,889.25,29176
457,888.98,889.19,888.57,889.1601,22367
458,888.68,889.29,888.64,889.0344,14426
459,888.4,889.21,888.4,888.7,24238
460,888.5696,888.74,888.39,888.5,9962
461,889.065,889.24,888.41,888.63,12005
462,889.2,889.3997,888.9,889.1157,17314
463,890.4499,890.59,889.185,889.24,22464
464,891.2101,891.6,890.19,890.42,24500
465,891.89,891.89,890.88,891.2969,19279
466,891.22,892.3,890.86,891.91,30032
467,891.86,892.61,891.07,891.27,30822
468,892.38,892.7,891.8,891.81,24787
469,892.65,893.3774,892.02,892.4567,50519
470,892.02,892.8014,891.89,892.7562,29350
471,891.44,892.045,890.03,892,187696
576,927.54,929,926,929,88331
577,928.52,930.839,925.09,927.25,317553
578,927.37,929.76,926.691,928.98,125722
579,925.01,927.84,923.22,927.2,105995
580,927.8106,928.2,924.77,925,84604
581,928.835,929.155,927.12,927.63,87349
582,931.82,932.73,928.69,928.84,148925
583,931.0552,931.96,928.12,931.8,85310
584,933.0458,933.5,930.6152,931,53684
585,935.31,935.9,932.5201,933.21,101525
586,933.76,935.414,933.64,935.2,52706
587,933.27,934.7,933.2,933.87,48189
588,933.37,933.6,932.72,933.32,40811
589,930.2,933.44,930.08,933.31,55200
590,929.49,930.66,929.08,930.24,49127
591,928.03,929.5,927,929.44,34602
592,930.29,931.11,927.86,927.86,44982
593,929.74,930.68,929.29,930.2808,24624
594,929.56,930,928.94,929.65,31167
595,931.36,931.5,929.31,929.5602,24080
596,931.02,931.8,930.72,931.6,26919
597,928.6001,931.31,928.56,930.94,33058
598,929.08,929.98,928.6,928.6,21475
599,928.86,929.48,928.78,929.31,25794
600,928.68,929.38,928.24,928.98,12344
601,930.085,930.25,928.67,928.68,21969
602,929.255,930.14,929.24,929.96,14754
603,929.335,929.89,928.95,929.45,15165
604,928.2,929.32,928,929.32,29043
605,926.02,928.66,926.01,928.23,51177
