EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,9.885,9.885,9.885,9.885,100
144,9.84,9.84,9.84,9.84,100
147,9.705,9.75,9.705,9.75,1100
293,9.128,9.128,9.128,9.128,300
432,9.9,9.9,9.9,9.9,100
434,9.87,9.875,9.87,9.875,500
435,9.87,9.87,9.87,9.87,400
471,9.99,9.99,9.99,9.99,300
865,9.6909,9.6909,9.6909,9.6909,450
866,9.7,9.7,9.7,9.7,1000
903,9.9,9.9,9.9,9.9,100
a1493731800,10,10,10,10,100
4,9.875,9.875,9.7525,9.7525,1400
26,9.8277,9.8277,9.8082,9.8082,200
144,10,10,10,10,100
145,10,10,10,10,2014
325,10,10,9.95,10,1800
864,10.01,10.01,10.01,10.01,101
a1494424800,9.406,9.406,9.406,9.406,100
15,9.54,9.54,9.54,9.54,1937
17,9.6241,9.6241,9.6241,9.6241,300
21,9.6856,9.6856,9.6856,9.6856,1100
26,10,10,10,10,100
144,9.87,9.94,9.87,9.9,3100
167,9.775,9.775,9.775,9.775,555
178,9.9,9.9,9.9,9.9,1500
179,10,10,9.92,9.92,1800
180,9.77,9.89,9.73,9.83,3500
285,9.78,9.78,9.78,9.78,181
717,10.05,10.05,10.05,10.05,300
719,10.06,10.06,10.06,10.06,735
725,9.99,9.99,9.99,9.99,272
727,10,10,9.98,9.98,300
728,9.9548,9.9548,9.9548,9.9548,150
730,10.01,10.01,10.01,10.01,950
731,9.9842,9.9842,9.9842,9.9842,100
735,10.0477,10.0477,9.9,10.03,400
743,10.07,10.07,10.07,10.07,100
865,9.75,9.75,9.75,9.75,100
866,9.93,9.93,9.865,9.865,1161
872,9.96,9.96,9.96,9.96,100
881,10,10,10,10,100
900,10.09,10.09,9.96,9.96,250
a1495051200,10.0944,10.0944,10.0553,10.0553,260
113,10.15,10.15,10.15,10.15,177
259,10.23,10.23,10.23,10.23,169
262,10.1872,10.1872,10.1872,10.1872,300
288,10.25,10.3,10.25,10.27,400
681,10.34,10.34,10.34,10.34,100
718,10.1799,10.18,10.1799,10.1799,528
979,10.05,10.05,10.05,10.05,150
997,10.1382,10.1382,10.1382,10.1382,200
a1495741800,10.1491,10.1491,10.1491,10.1491,110
1,10.03,10.03,10.03,10.03,200
702,10.05,10.05,10.05,10.05,400
859,10.05,10.0602,10.05,10.06,3136
862,10.05,10.05,10.05,10.05,600
863,10.35,10.35,10.2,10.2,577
986,10.11,10.11,10.11,10.11,300
a1496342400,10.09,10.11,10.09,10.11,784
2,10.09,10.09,10.09,10.09,100
5,10.0799,10.09,10.0799,10.08,796
8,10.02,10.02,10.02,10.02,373
122,10.0215,10.0215,10.0215,10.0215,523
133,10.113,10.113,10.113,10.113,100
136,10.095,10.095,10.095,10.095,100
139,10.095,10.095,10.095,10.095,100
549,9.9,9.9,9.9,9.9,100
574,10,10,9.95,9.96,2100
714,10,10,10,10,100
833,9.5,9.5,9.5,9.5,675
834,9.5,9.5,9.5,9.5,345
835,10,10,9.95,9.95,2200
837,10,10,10,10,174
857,9.99,9.99,9.99,9.99,100
859,10,10,9.99,9.99,1100
860,9.9,9.9,9.9,9.9,100
871,9.99,9.99,9.99,9.99,2000
872,9.95,9.95,9.95,9.95,100
981,10,10,10,10,1000
a1497019800,9.94,10.24,9.86,9.95,9534
1,9.94,9.94,9.94,9.94,100
2,9.94,9.94,9.94,9.94,200
3,10.35,10.35,10.11,10.11,2418
6,10.45,10.45,10.17,10.2,1700
7,10.45,10.45,10.45,10.45,300
9,10.48,10.48,10.48,10.48,300
20,10.505,10.58,10.5,10.54,1500
22,10.515,10.515,10.515,10.515,1900
31,10.64,10.68,10.61,10.61,2901
424,10.52,10.52,10.52,10.52,100
568,10.01,10.01,10.01,10.01,1000
582,11,11,11,11,100
583,10.925,10.925,10.925,10.925,1000
597,11,11,11,11,100
712,10.05,10.05,10.05,10.05,1004
720,11,11,10.625,10.625,2111
856,10.26,10.26,10.26,10.26,1000
891,10.7,10.7,10.7,10.7,100
892,11.06,11.06,10.72,10.72,3143
893,11.03,11.07,10.85,10.85,3097
a1497620400,10.8,10.8,10.8,10.8,198
2,10.8,10.8,10.8,10.8,200
3,10.38,10.42,10.38,10.42,900
11,11,11.15,10.76,10.76,2785
12,11.02,11.0544,11.02,11.0544,300
31,10.99,10.99,10.95,10.99,900
32,10.995,11,10.9807,11,300
431,10.66,10.66,10.66,10.66,1000
444,10.8974,10.8974,10.8974,10.8974,100
575,10.68,10.68,10.68,10.68,1020
595,11.01,11.01,10.9,10.9,200
610,11.0111,11.02,11.0111,11.02,400
728,10.9756,10.9756,10.9756,10.9756,286
746,10.855,10.855,10.855,10.855,1000
758,10.52,10.56,10.52,10.56,548
863,10.55,10.55,10.55,10.55,476
874,10.55,11,10.55,10.99,2358
875,10.92,10.92,10.56,10.56,2875
876,10.925,11,10.84,10.84,1952
881,10.95,10.95,10.95,10.95,450
882,10.95,10.95,10.95,10.95,200
883,10.85,10.85,10.85,10.85,300
889,10.95,10.95,10.95,10.95,100
895,11.16,11.16,11.0335,11.05,1000
897,11.35,11.35,11.35,11.35,100
a1498228200,10.97,10.97,10.97,10.97,1300
29,10.97,10.97,10.97,10.97,100
430,11.5793,11.58,11.5793,11.58,1230
449,11.101,11.21,11.1,11.1,600
450,11.1,11.11,11.1,11.11,350
459,11.12,11.12,11.12,11.12,100
465,11.12,11.13,11.12,11.13,300
584,11.15,11.153,11.15,11.153,500
753,11.42,11.42,11.42,11.42,1500
861,11.19,11.19,11.15,11.15,4650
867,11.68,11.68,11.54,11.65,2700
890,11.6,11.6,11.6,11.6,400
894,12.5,12.5,12.5,12.5,200
a1498832400,11.92,11.92,11.81,11.81,200
13,11.98,12.249,11.98,12.249,466
15,11.76,12.165,11.58,12.165,2924
16,11.7,11.935,10.981,10.981,3450
21,11.7,11.7,11.7,11.7,350
22,11.925,11.925,11.9012,11.9012,200
23,11.925,11.925,11.9107,11.9107,200
427,11.74,11.74,11.74,11.74,102
428,12.2705,12.2705,12.2705,12.2705,298
438,12.1176,12.1176,12.1176,12.1176,500
440,11.9,11.9,11.9,11.9,100
441,11.7,11.7,11.7,11.7,100
444,11.7,11.7,11.7,11.7,400
445,11.7,11.7,11.7,11.7,200
446,11.73,11.73,11.73,11.73,100
447,11.7,11.7,11.7,11.7,100
448,11.74,11.74,11.7,11.74,300
725,12.5,12.5,12.5,12.5,100
727,12.1,12.1,12.1,12.1,100
729,11.75,11.85,11.725,11.84,2257
740,11.85,11.85,11.847,11.847,816
