EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,22.9,22.9,22.9,22.9,1822
1,22.9,22.9,22.7,22.85,3373
2,22.8,22.9,22.75,22.9,9660
3,22.75,22.9,22.75,22.85,9659
4,22.9,22.95,22.8,22.8,7168
5,22.875,22.9156,22.85,22.9156,5234
6,22.9843,22.9843,22.9,22.9,8877
7,22.925,22.975,22.9,22.95,1714
8,23.025,23.05,22.9,22.9,12530
9,23.05,23.05,23,23.025,3200
10,23.025,23.075,23,23.05,6794
11,23.075,23.1,23.05,23.05,9902
12,23.1,23.1,23.05,23.1,1000
13,23.1,23.2,23,23.05,19456
14,23.175,23.25,23.075,23.1,10106
15,23.1625,23.23,23.1586,23.2,7550
16,23.2,23.25,23.15,23.15,6852
17,23.225,23.25,23.125,23.175,6067
18,23.075,23.2,23.05,23.2,8500
19,23.025,23.075,23.025,23.05,6394
20,23.125,23.15,23.025,23.05,10192
21,23.15,23.15,23.125,23.15,300
22,23.1,23.15,23.1,23.125,800
23,23.175,23.175,23.1,23.1,29400
24,23.1,23.2,23.1,23.2,10040
25,23.1,23.1,23.1,23.1,600
26,23.125,23.15,23.1,23.1,2100
27,23.35,23.35,23.125,23.125,15811
28,23.35,23.35,23.325,23.325,1983
29,23.375,23.425,23.35,23.35,17246
30,23.3,23.35,23.3,23.35,3813
31,23.3,23.35,23.3,23.325,900
32,23.4,23.4,23.3,23.3,10240
33,23.4,23.4,23.375,23.375,2500
34,23.6,23.6,23.35,23.35,26214
35,23.575,23.6,23.5,23.6,11101
36,23.625,23.7,23.55,23.555,31685
37,23.6,23.65,23.6,23.625,7916
38,23.55,23.75,23.55,23.65,71938
39,23.6,23.65,23.5,23.6,143152
144,24.1,24.1,24.1,24.1,7888
145,24,24.2,23.85,24.1,36577
146,24,24.1,23.95,24.05,30239
147,23.9,24.05,23.825,24,16930
148,23.8,23.9,23.75,23.9,10630
149,23.825,23.95,23.8,23.85,4748
150,23.9,23.9,23.8,23.8,2741
151,24,24.1,23.85,23.9,86516
152,24.062,24.1,24,24,24986
153,24.075,24.15,24.025,24.075,14966
154,23.8,24.1,23.8,24.1,16663
155,23.7,23.845,23.65,23.845,14750
156,23.75,23.775,23.65,23.725,11227
157,23.7,23.75,23.65,23.7,2133
158,23.45,23.7,23.45,23.65,21574
159,23.5,23.55,23.4,23.425,15495
160,23.5,23.55,23.45,23.525,30805
161,23.7,23.7,23.5,23.525,26700
162,23.7,23.7,23.6,23.7,7238
163,23.85,23.875,23.675,23.7,13327
164,23.875,23.9,23.825,23.825,5551
165,23.95,23.95,23.75,23.9,15602
166,23.95,23.95,23.875,23.925,5372
167,23.925,23.925,23.875,23.9,5600
168,23.85,23.95,23.85,23.9,3200
169,23.875,23.9,23.825,23.85,12034
170,23.825,23.875,23.8,23.875,4181
171,23.825,23.9,23.8,23.8,10354
172,23.775,23.8,23.675,23.8,11002
173,24,24.05,23.775,23.8,33909
174,24.025,24.1,23.95,24.05,19320
175,23.975,24.05,23.95,24.025,17828
176,23.9,24,23.9,24,6528
177,24,24,23.9,23.9,5700
178,23.925,23.975,23.9,23.95,17009
179,23.9,23.95,23.9,23.95,6478
180,23.9,23.95,23.9,23.9,9792
181,23.7,23.925,23.7,23.9,110417
182,23.7,23.725,23.6,23.7,27653
183,23.5,23.675,23.45,23.65,163945
288,23.15,23.6,23.15,23.3,9883
289,23.175,23.2,23.05,23.15,13866
290,23.175,23.25,23.1,23.175,38189
291,23.25,23.325,23.1,23.175,35292
292,23.4,23.425,23.225,23.275,21122
293,23.4,23.425,23.35,23.35,9400
294,23.2,23.35,23.2,23.35,11703
295,23.125,23.3,23.1,23.2,14691
296,23.125,23.2,23.1,23.15,22587
297,23.125,23.225,23.125,23.125,12571
298,23.175,23.2,23.15,23.175,3600
299,23.125,23.25,23.125,23.15,9284
300,23.15,23.15,23.1,23.125,4900
301,23.125,23.15,23.075,23.1,7940
302,23.175,23.2,23.1,23.125,27040
303,23.125,23.25,23.125,23.2,8003
304,23.2,23.25,23.125,23.125,6993
305,23.2,23.225,23.175,23.225,3679
306,23.275,23.3,23.15,23.175,9749
307,23.3,23.35,23.25,23.3,13956
308,23.45,23.45,23.325,23.325,7518
309,23.5,23.55,23.4,23.45,21411
310,23.425,23.5,23.4,23.5,7731
311,23.475,23.5,23.425,23.425,5995
312,23.45,23.5,23.45,23.5,600
313,23.65,23.675,23.45,23.475,14624
314,23.625,23.675,23.6,23.65,5250
315,23.55,23.625,23.55,23.625,4200
316,23.6,23.6,23.475,23.55,36475
317,23.55,23.65,23.525,23.625,15622
318,23.575,23.6,23.45,23.5,13302
319,23.6,23.65,23.6,23.6,3045
320,23.5,23.65,23.5,23.625,5861
321,23.525,23.525,23.45,23.5,12392
322,23.5,23.55,23.5,23.55,2200
323,23.6,23.6,23.5,23.5,23351
324,23.75,23.75,23.55,23.6,6260
325,23.725,23.75,23.675,23.725,30128
326,23.75,23.8,23.7,23.75,11652
327,23.8,23.85,23.7,23.775,129096
432,23.9,23.9,23.9,23.9,3606
433,23.8,23.9,23.7,23.9,19678
434,23.55,23.725,23.55,23.7,11760
435,23.5,23.575,23.5,23.5,5518
436,23.475,23.525,23.475,23.5,3300
437,23.35,23.475,23.35,23.475,8428
438,23.325,23.35,23.3,23.35,3441
439,23.35,23.35,23.25,23.35,7136
440,23.275,23.35,23.2,23.35,7996
441,23.275,23.3,23.25,23.275,2518
442,23.225,23.3,23.2,23.275,60512
443,23.2,23.225,23.15,23.2,8593
444,23.225,23.225,23.15,23.175,19122
445,23.175,23.25,23.125,23.25,10430
446,23.1,23.175,23.1,23.175,6772
447,23.125,23.131,23.1,23.131,1900
448,23.25,23.25,23.125,23.125,15979
449,23.35,23.4,23.25,23.25,8000
450,23.25,23.35,23.2,23.3,6359
451,23.225,23.25,23.2,23.2,8285
452,23.275,23.275,23.225,23.275,3286
453,23.275,23.3,23.275,23.3,2700
454,23.275,23.3,23.25,23.275,3500
455,23.275,23.3,23.25,23.25,2000
456,23.3,23.3,23.25,23.275,2700
457,23.4,23.4,23.25,23.25,7026
458,23.3,23.355,23.3,23.355,6767
459,23.325,23.325,23.275,23.3,9635
460,23.3,23.33,23.3,23.325,6909
461,23.275,23.325,23.25,23.3,6650
462,23.275,23.3,23.25,23.25,6300
463,23.325,23.35,23.25,23.275,74126
464,23.275,23.3,23.25,23.3,7250
465,23.275,23.275,23.25,23.262,3048
466,23.3,23.35,23.275,23.275,13217
467,23.275,23.3,23.25,23.3,10556
468,23.25,23.275,23.25,23.275,5618
469,23.075,23.25,23.05,23.25,31355
470,23.05,23.1,22.95,23.075,92882
471,23,23.075,22.9,23.05,482796
864,22.9,22.9,22.9,22.9,2549
865,22.95,23,22.9,23,4343
866,22.9,23.025,22.85,23,32310
867,22.8,22.88,22.8,22.85,6700
868,22.7,22.85,22.675,22.825,30535
869,22.55,22.65,22.5,22.65,13782
870,22.5,22.575,22.5,22.575,7011
871,22.4,22.525,22.35,22.5,18460
872,22.45,22.45,22.4,22.45,3989
873,22.25,22.425,22.2,22.425,21128
874,22.275,22.45,22.225,22.25,34479
875,22.3,22.3,22.175,22.275,25773
876,22.275,22.3,22.25,22.275,5300
877,22.3,22.3,22.2,22.275,38902
878,22.525,22.6,22.286,22.3,24580
879,22.375,22.55,22.35,22.525,15100
880,22.5,22.5,22.425,22.45,36356
881,22.45,22.5,22.4,22.5,7937
882,22.5,22.5,22.45,22.5,1007
883,22.4,22.5,22.325,22.5,14432
884,22.425,22.45,22.35,22.4,4972
885,22.35,22.45,22.35,22.45,17882
886,22.3,22.375,22.25,22.375,12756
887,22.325,22.4,22.3,22.3,10600
888,22.25,22.35,22.25,22.35,9090
889,22.277,22.35,22.25,22.275,10699
890,22.35,22.35,22.225,22.25,16882
891,22.3,22.35,22.25,22.35,27050
892,22.275,22.325,22.2,22.25,36900
893,22.325,22.35,22.225,22.3,25689
894,22.325,22.35,22.225,22.35,40913
895,22.45,22.475,22.3,22.325,24746
896,22.55,22.55,22.425,22.425,12714
