EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,9.02,9.02,9.02,9.02,28568
1,9.1692,9.19,9.0248,9.03,193139
2,9.1001,9.19,9.08,9.1699,174453
3,9.11,9.13,9.095,9.1,41801
4,9.12,9.13,9.07,9.1062,61305
5,9.0799,9.13,9.075,9.12,36881
6,9.066,9.0788,9.03,9.075,77086
7,9.095,9.1,9.07,9.07,54229
8,9.0991,9.1,9.08,9.0901,30227
9,9.0699,9.1,9.05,9.09,85458
10,9.1,9.115,9.06,9.0641,100116
11,9.1209,9.13,9.095,9.1,58954
12,9.08,9.13,9.08,9.123,45649
13,9.1,9.11,9.08,9.08,19588
14,9.1301,9.14,9.1,9.105,32152
15,9.128,9.14,9.12,9.1347,14302
16,9.13,9.14,9.12,9.13,31880
17,9.125,9.13,9.11,9.1299,21925
18,9.1363,9.14,9.12,9.13,10370
19,9.1232,9.14,9.12,9.1301,13357
20,9.12,9.13,9.11,9.13,15976
21,9.11,9.14,9.11,9.1135,20218
22,9.135,9.14,9.1,9.1001,30971
23,9.16,9.17,9.13,9.14,66361
24,9.155,9.16,9.14,9.16,30747
25,9.165,9.17,9.16,9.16,15762
26,9.16,9.18,9.14,9.17,45911
27,9.16,9.185,9.15,9.1601,55293
28,9.185,9.19,9.16,9.169,48114
29,9.19,9.2,9.17,9.18,34633
30,9.16,9.2,9.145,9.1999,108614
31,9.1699,9.179,9.1593,9.16,18819
32,9.18,9.19,9.16,9.1658,43314
33,9.19,9.2,9.16,9.17,32326
34,9.21,9.21,9.185,9.185,84160
35,9.19,9.215,9.18,9.21,82069
36,9.16,9.19,9.16,9.19,44499
37,9.185,9.19,9.16,9.165,35036
38,9.18,9.2,9.17,9.19,106831
39,9.18,9.2,9.17,9.175,324391
144,9.21,9.21,9.21,9.21,46312
145,9.126,9.21,9.105,9.21,130717
146,9.16,9.17,9.12,9.1299,56928
147,9.14,9.21,9.14,9.16,64290
148,9.1291,9.155,9.11,9.1409,48377
149,9.11,9.13,9.1,9.125,57611
150,9.105,9.13,9.1,9.11,58736
151,9.105,9.12,9.1,9.1,49708
152,9.1,9.115,9.1,9.11,30820
153,9.12,9.12,9.1,9.1062,66769
154,9.115,9.13,9.1,9.12,95394
155,9.12,9.13,9.11,9.1162,59728
156,9.12,9.13,9.11,9.125,94939
157,9.13,9.14,9.11,9.12,28841
158,9.17,9.18,9.13,9.13,50273
159,9.195,9.2,9.17,9.18,77197
160,9.2192,9.22,9.18,9.195,45787
161,9.22,9.22,9.2,9.22,41071
162,9.215,9.22,9.2,9.22,21175
163,9.21,9.22,9.2,9.21,62836
164,9.24,9.25,9.2,9.201,62918
165,9.3,9.31,9.23,9.235,106329
166,9.29,9.31,9.29,9.2947,21824
167,9.265,9.31,9.26,9.2999,61019
168,9.28,9.3,9.27,9.27,37721
169,9.305,9.32,9.27,9.275,25581
170,9.305,9.32,9.29,9.31,45452
171,9.315,9.33,9.305,9.31,66423
172,9.3022,9.32,9.29,9.315,64276
173,9.3201,9.33,9.3,9.3092,34257
174,9.36,9.4,9.325,9.33,196781
175,9.28,9.37,9.27,9.36,139851
176,9.2799,9.295,9.27,9.29,78858
177,9.24,9.285,9.23,9.2799,88376
178,9.24,9.25,9.22,9.24,61236
179,9.25,9.25,9.23,9.2353,55214
180,9.22,9.25,9.21,9.24,35333
181,9.24,9.25,9.215,9.2153,99146
182,9.21,9.259,9.21,9.245,225317
183,9.14,9.22,9.14,9.215,489755
288,9.31,9.33,9.31,9.33,59697
289,9.23,9.36,9.16,9.312,144550
290,9.24,9.25,9.2,9.2206,98508
291,9.22,9.27,9.22,9.23,96297
292,9.22,9.25,9.21,9.22,76269
293,9.21,9.24,9.2,9.21,285425
294,9.13,9.215,9.11,9.215,357997
295,9.1699,9.18,9.115,9.12,319908
296,9.1775,9.185,9.14,9.16,83171
297,9.13,9.18,9.12,9.17,195206
298,9.13,9.15,9.11,9.12,117270
299,9.165,9.17,9.13,9.13,72041
300,9.1411,9.18,9.11,9.165,173590
301,9.1397,9.16,9.13,9.15,49860
302,9.12,9.15,9.1,9.13,96086
303,9.14,9.14,9.12,9.1299,35582
304,9.145,9.15,9.1301,9.14,212628
305,9.1185,9.15,9.11,9.145,64116
306,9.1,9.12,9.1,9.118,42684
307,9.12,9.13,9.1,9.1,117792
308,9.13,9.13,9.11,9.115,39600
309,9.1301,9.145,9.12,9.1254,72295
310,9.075,9.14,9.03,9.13,227174
311,9.07,9.09,8.98,9.08,540998
312,9.105,9.11,9.0701,9.08,89639
313,9.095,9.11,9.08,9.11,52181
314,9.11,9.11,9.09,9.09,37721
315,9.075,9.11,9.07,9.1,47452
316,9.095,9.11,9.07,9.07,86604
317,9.1,9.1,9.08,9.1,47514
318,9.065,9.1,9.05,9.1,129330
319,9.06,9.07,9.06,9.065,49180
320,9.085,9.0901,9.06,9.06,81538
321,9.08,9.11,9.06,9.09,178201
322,9.075,9.1,9.07,9.085,88265
323,9.04,9.08,9.04,9.08,197897
324,8.97,9.0499,8.96,9.0499,324241
325,8.91,9,8.91,8.97,337846
326,8.99,9,8.91,8.915,280161
327,8.94,8.99,8.94,8.99,914591
432,8.99,8.99,8.99,8.99,52015
433,8.34,9,8.33,8.98,1113065
434,8.2093,8.4,8.2,8.335,1073988
435,8.43,8.45,8.2,8.2,679606
436,8.285,8.425,8.25,8.425,346082
437,8.3,8.36,8.255,8.2875,416180
438,8.36,8.41,8.3,8.31,343382
439,8.4601,8.48,8.31,8.36,476730
440,8.5,8.52,8.42,8.46,360283
441,8.55,8.58,8.49,8.4999,266248
442,8.52,8.55,8.4701,8.54,375187
443,8.42,8.53,8.4,8.51,154092
444,8.55,8.55,8.41,8.42,219576
445,8.5,8.545,8.48,8.545,111873
446,8.55,8.55,8.5,8.5,93842
447,8.4338,8.57,8.41,8.55,217530
448,8.36,8.435,8.35,8.435,190244
449,8.34,8.41,8.3,8.36,169291
450,8.4,8.41,8.31,8.345,177647
451,8.44,8.47,8.33,8.4,123213
452,8.415,8.48,8.38,8.43,92195
453,8.43,8.44,8.4,8.42,58182
454,8.415,8.4399,8.4,8.4399,74165
455,8.365,8.42,8.36,8.414,96203
456,8.345,8.38,8.31,8.365,168152
457,8.34,8.39,8.32,8.34,110529
458,8.35,8.39,8.33,8.33,123002
459,8.37,8.38,8.34,8.35,77653
460,8.37,8.4,8.335,8.36,119811
461,8.34,8.369,8.32,8.36,76603
462,8.35,8.37,8.34,8.345,62368
463,8.3764,8.39,8.35,8.35,123139
464,8.38,8.39,8.37,8.375,89196
465,8.32,8.38,8.31,8.375,136100
466,8.36,8.36,8.3,8.32,164877
467,8.305,8.36,8.3,8.355,106591
468,8.34,8.34,8.3,8.305,118698
469,8.35,8.35,8.31,8.33,150304
470,8.315,8.35,8.3,8.345,264111
471,8.25,8.34,8.25,8.315,906910
864,8.24,8.24,8.24,8.24,106581
865,8.289,8.4,8.23,8.24,177145
866,8.36,8.385,8.28,8.285,170010
867,8.38,8.4,8.3225,8.365,128381
868,8.4191,8.43,8.34,8.38,178082
869,8.43,8.43,8.38,8.4138,121863
870,8.5208,8.53,8.4245,8.425,302260
871,8.53,8.55,8.48,8.53,217880
872,8.505,8.55,8.46,8.54,153894
873,8.49,8.525,8.48,8.5,132815
874,8.49,8.51,8.46,8.482,194104
875,8.465,8.495,8.455,8.485,185919
876,8.45,8.475,8.41,8.465,136397
877,8.47,8.49,8.41,8.4418,259836
878,8.5,8.54,8.46,8.48,157615
879,8.505,8.525,8.49,8.5,54084
880,8.5085,8.525,8.4901,8.5,58439
881,8.5601,8.57,8.5,8.51,175341
882,8.525,8.5601,8.52,8.5601,73829
883,8.56,8.575,8.525,8.525,47321
884,8.545,8.58,8.54,8.5601,45983
885,8.5,8.56,8.49,8.55,113345
886,8.5,8.52,8.49,8.5,26288
887,8.55,8.56,8.5,8.5,68305
888,8.55,8.57,8.535,8.555,85561
889,8.58,8.58,8.541,8.55,29299
890,8.59,8.59,8.57,8.575,51508
891,8.59,8.6,8.57,8.59,50035
