EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,3.9,3.9,3.9,3.9,55260
1,3.895,3.93,3.881,3.92,225542
2,3.915,3.93,3.89,3.895,296220
3,3.93,3.94,3.905,3.9199,363018
4,3.915,3.9299,3.911,3.925,109448
5,3.92,3.92,3.91,3.92,32804
6,3.9,3.92,3.9,3.91,35302
7,3.87,3.9094,3.87,3.905,169518
8,3.865,3.875,3.86,3.875,156462
9,3.88,3.89,3.865,3.87,197779
10,3.885,3.89,3.88,3.88,43310
11,3.875,3.89,3.87,3.8801,61670
12,3.9,3.9,3.87,3.875,159454
13,3.895,3.9,3.89,3.895,19760
14,3.895,3.9,3.89,3.895,30622
15,3.895,3.9,3.89,3.9,29300
16,3.9,3.9,3.89,3.895,29323
17,3.905,3.91,3.89,3.895,78289
18,3.9,3.91,3.9,3.905,44341
19,3.91,3.91,3.9,3.905,71243
20,3.9,3.91,3.9,3.91,35188
21,3.905,3.91,3.9,3.9037,70200
22,3.915,3.92,3.9,3.905,168501
23,3.93,3.93,3.91,3.915,234269
24,3.915,3.94,3.91,3.925,489221
25,3.92,3.92,3.91,3.915,32853
26,3.915,3.92,3.91,3.92,24906
27,3.91,3.92,3.91,3.92,39539
28,3.92,3.92,3.91,3.915,46561
29,3.9207,3.93,3.91,3.91,244740
30,3.91,3.93,3.91,3.925,91731
31,3.915,3.92,3.91,3.915,36929
32,3.92,3.92,3.91,3.915,49431
33,3.915,3.92,3.91,3.92,53978
34,3.92,3.92,3.91,3.91,50923
35,3.915,3.92,3.91,3.91,65261
36,3.92,3.92,3.91,3.91,50158
37,3.91,3.92,3.91,3.91,62469
38,3.92,3.92,3.91,3.92,142636
39,3.91,3.92,3.91,3.915,625191
144,3.91,3.91,3.91,3.91,57483
145,3.91,3.935,3.9008,3.915,172626
146,3.905,3.915,3.9,3.915,66580
147,3.905,3.91,3.9,3.91,42007
148,3.915,3.92,3.9,3.905,90606
149,3.905,3.9199,3.9,3.91,71131
150,3.9,3.91,3.9,3.9,146241
151,3.905,3.91,3.9,3.905,27400
152,3.915,3.92,3.9,3.9,62946
153,3.92,3.93,3.91,3.92,89181
154,3.915,3.93,3.91,3.92,76163
155,3.915,3.92,3.91,3.91,18580
156,3.925,3.93,3.91,3.91,92496
157,3.92,3.93,3.92,3.925,32486
158,3.9,3.93,3.9,3.925,61718
159,3.9,3.91,3.9,3.9,55900
160,3.88,3.91,3.88,3.9,56705
161,3.89,3.9,3.88,3.885,78839
162,3.895,3.9,3.89,3.895,24025
163,3.9,3.9,3.89,3.89,28080
164,3.905,3.91,3.89,3.9,53039
165,3.92,3.92,3.905,3.91,49451
166,3.92,3.92,3.91,3.915,102681
167,3.915,3.92,3.91,3.92,35444
168,3.9,3.92,3.9,3.915,56347
169,3.91,3.91,3.9,3.9,18950
170,3.895,3.91,3.885,3.91,187237
171,3.89,3.905,3.89,3.895,62119
172,3.895,3.9,3.89,3.9,32953
173,3.9,3.91,3.89,3.9,66766
174,3.89,3.91,3.89,3.9,23417
175,3.895,3.9,3.89,3.9,20777
176,3.9,3.9,3.89,3.9,64449
177,3.895,3.9,3.89,3.895,21166
178,3.9,3.9,3.89,3.89,18850
179,3.905,3.91,3.89,3.895,163387
180,3.91,3.91,3.9,3.91,50310
181,3.91,3.91,3.9,3.91,73835
182,3.89,3.91,3.88,3.905,238602
183,3.88,3.89,3.88,3.89,341368
288,3.9,3.9,3.88,3.88,48448
289,3.89,3.93,3.88,3.91,68190
290,3.89,3.9,3.885,3.9,198114
291,3.915,3.92,3.895,3.895,221783
292,3.925,3.94,3.91,3.91,340355
293,3.9298,3.93,3.92,3.93,57610
294,3.925,3.93,3.92,3.925,46306
295,3.935,3.94,3.925,3.93,220574
296,3.9424,3.96,3.93,3.935,563352
297,3.935,3.95,3.93,3.945,151272
298,3.9484,3.95,3.93,3.935,203427
299,3.96,3.96,3.941,3.945,159581
300,3.96,3.96,3.95,3.955,99893
301,3.96,3.96,3.95,3.955,62537
302,3.96,3.96,3.95,3.96,165845
303,3.955,3.96,3.93,3.96,287175
304,3.96,3.96,3.95,3.9536,53803
305,3.95,3.96,3.95,3.955,72690
306,3.945,3.96,3.94,3.955,137549
307,3.945,3.95,3.94,3.945,31925
308,3.955,3.96,3.94,3.95,60853
309,3.96,3.97,3.95,3.955,114716
310,3.96,3.96,3.95,3.96,46820
311,3.96,3.97,3.95,3.96,71662
312,3.96,3.97,3.96,3.965,130407
313,3.965,3.97,3.96,3.96,17259
314,3.965,3.97,3.96,3.965,43996
315,3.98,3.98,3.96,3.97,125740
316,3.975,3.98,3.97,3.975,109409
317,3.98,3.98,3.97,3.975,54526
318,4,4,3.97,3.971,333086
319,4.025,4.03,3.9903,4,579383
320,4.03,4.04,4,4.025,368284
321,4.04,4.05,4.02,4.025,352584
322,4.025,4.04,4.01,4.035,356347
323,4.02,4.03,3.99,4.025,1005790
324,4.025,4.03,4.01,4.02,219577
325,4.025,4.04,4.02,4.025,443715
326,4.015,4.03,4.01,4.03,303662
327,3.99,4.015,3.99,4.015,945507
432,4,4,3.99,3.99,63402
433,4.005,4.02,3.97,4,259692
434,3.99,4.015,3.99,4.005,143384
435,4,4,3.99,4,58752
436,3.935,4,3.93,4,381328
437,3.95,3.96,3.935,3.935,238214
438,3.96,3.96,3.95,3.955,49201
439,3.955,3.96,3.95,3.96,169093
440,3.955,3.96,3.95,3.955,139720
441,3.97,3.97,3.95,3.955,94590
442,3.975,3.98,3.965,3.97,91689
443,3.975,3.98,3.96,3.975,193765
444,3.975,3.98,3.97,3.975,32232
445,3.96,3.98,3.96,3.98,85502
446,3.97,3.97,3.96,3.965,85771
447,3.98,3.98,3.96,3.97,107528
448,3.975,3.99,3.97,3.98,231879
449,3.995,4,3.97,3.975,248602
450,4.01,4.01,3.99,4,162464
451,3.99,4.01,3.98,4.01,189033
452,4,4,3.98,3.99,66708
453,4,4,3.99,3.9939,48677
454,3.995,4,3.99,4,26568
455,3.975,4,3.965,3.995,315566
456,3.975,3.985,3.97,3.975,110761
457,3.98,3.98,3.97,3.975,43262
458,3.98,3.98,3.97,3.98,44063
459,3.965,3.98,3.96,3.98,197784
460,3.955,3.965,3.95,3.965,108933
461,3.955,3.96,3.95,3.955,42553
462,3.96,3.96,3.95,3.955,114524
463,3.96,3.96,3.95,3.96,125912
464,3.955,3.96,3.95,3.96,46739
465,3.92,3.96,3.92,3.96,305957
466,3.925,3.94,3.92,3.925,222863
467,3.93,3.935,3.92,3.925,397710
468,3.915,3.93,3.91,3.93,232475
469,3.92,3.92,3.91,3.91,198609
470,3.91,3.92,3.89,3.91,1003152
471,3.92,3.92,3.9,3.91,774224
864,3.93,3.93,3.93,3.93,26582
865,3.9347,3.95,3.91,3.94,323649
866,3.92,3.945,3.92,3.93,416575
867,3.935,3.945,3.92,3.92,196544
868,3.91,3.935,3.91,3.9314,117605
869,3.905,3.91,3.9,3.91,46567
870,3.905,3.91,3.9,3.905,23147
871,3.925,3.94,3.9,3.905,204760
872,3.925,3.94,3.92,3.925,202866
873,3.9201,3.93,3.92,3.9241,25947
874,3.925,3.93,3.92,3.925,26380
875,3.925,3.93,3.92,3.925,28573
876,3.91,3.93,3.91,3.925,54960
877,3.92,3.92,3.9,3.91,121348
878,3.925,3.93,3.915,3.92,93438
879,3.91,3.93,3.91,3.925,88469
880,3.92,3.93,3.91,3.91,101786
881,3.92,3.93,3.92,3.925,139991
882,3.925,3.93,3.92,3.92,64042
883,3.925,3.93,3.92,3.9201,29978
884,3.92,3.93,3.92,3.925,22900
885,3.92,3.93,3.91,3.9201,82783
886,3.91,3.92,3.91,3.91,71189
887,3.93,3.93,3.91,3.9199,125132
888,3.925,3.93,3.92,3.925,50211
889,3.93,3.95,3.925,3.925,203766
890,3.93,3.94,3.91,3.93,128934
891,3.94,3.94,3.93,3.934,53700
892,3.935,3.95,3.93,3.94,79828
893,3.925,3.94,3.92,3.94,228119
894,3.925,3.93,3.92,3.925,86499
895,3.91,3.93,3.91,3.92,160717
