EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,7.92,7.92,7.92,7.92,2329
1,7.92,8.09,7.91,8.0686,1600
2,8.055,8.055,7.91,7.91,1000
3,7.97,8.0161,7.97,8.0161,1200
4,7.94,7.96,7.94,7.9481,1870
5,7.9852,7.989,7.96,7.989,993
6,8,8.0034,7.95,7.96,2500
7,8.02,8.03,8.01,8.01,800
8,8.02,8.02,8,8.0098,930
9,7.99,8.03,7.98,8.03,800
10,8.03,8.03,8.01,8.01,300
11,8.0068,8.04,8.0068,8.03,1700
12,8,8.01,8,8.0001,468
13,8.05,8.05,8,8.02,1000
14,8.04,8.05,8.03,8.0416,2040
15,8.05,8.0816,8.0444,8.0444,3215
16,8.03,8.05,8.01,8.0357,1190
17,8.03,8.03,8.023,8.023,400
18,8.05,8.05,8.0453,8.0453,720
19,8.06,8.06,8.0301,8.0301,425
20,8.08,8.08,8.05,8.07,1000
21,8.08,8.08,8.04,8.07,1750
22,8.07,8.08,8.05,8.08,1000
23,8.09,8.09,8.07,8.07,2852
24,8.0786,8.09,8.0786,8.09,500
25,8.09,8.14,8.07,8.09,2762
26,8.06,8.09,8.06,8.09,1050
27,8.07,8.08,8.07,8.08,600
28,8.0819,8.09,8.0819,8.09,200
29,8.09,8.09,8.07,8.09,1700
30,8.11,8.11,8.08,8.09,2482
31,8.08,8.1,8.08,8.1,1200
32,8.0999,8.1,8.08,8.1,1500
33,8.09,8.1,8.09,8.1,2467
34,8.09,8.1,8.09,8.09,1300
35,8.09,8.1,8.09,8.099,1700
36,8.09,8.1,8.08,8.09,2900
37,8.1,8.1,8.09,8.09,500
38,8.0941,8.1,8.09,8.095,600
39,8.09,8.11,8.09,8.1,3958
144,8.08,8.14,8.08,8.14,1683
145,8.24,8.24,8.08,8.1199,3100
146,8.21,8.279,8.21,8.25,3594
147,8.19,8.19,8.0701,8.19,1100
148,8.12,8.2089,8.12,8.1867,1803
149,8.05,8.05,8.05,8.05,100
150,8.13,8.13,8.062,8.062,1500
151,8.08,8.1351,8.08,8.13,1630
152,8.05,8.08,8.04,8.08,1710
153,8.05,8.05,8.05,8.05,100
154,8.03,8.075,8.02,8.075,2415
155,8.04,8.04,8.01,8.0101,400
156,8.1295,8.1295,8.02,8.0701,5341
157,8.08,8.13,8.08,8.13,900
158,8.047,8.05,8.047,8.05,3400
159,8.05,8.05,8.05,8.05,200
160,8,8.06,8,8.06,2600
161,8.03,8.059,8.02,8.02,700
162,8.06,8.06,8.06,8.06,100
163,8.07,8.07,8.06,8.06,300
164,8.0799,8.08,8.0799,8.08,2800
165,8.08,8.08,8.08,8.08,400
166,8.06,8.065,8,8.06,4586
168,8.04,8.052,8,8.052,3109
169,8.0001,8.0001,8.0001,8.0001,100
171,8.04,8.07,8.04,8.04,1200
172,8.04,8.07,8.04,8.07,2000
173,8.0601,8.0614,8.0544,8.0544,4900
174,8.06,8.07,8.0595,8.07,2150
175,8.0779,8.08,8.07,8.07,599
177,8.08,8.08,8.0703,8.08,500
178,8.08,8.08,8.07,8.0711,1030
179,8.075,8.08,8.075,8.08,200
180,8.075,8.08,8.07,8.07,900
181,8.08,8.08,8.07,8.07,1600
182,8.08,8.08,8.075,8.08,897
183,8.08,8.08,8.06,8.08,4220
288,8.08,8.08,8.08,8.08,1198
289,8.08,8.08,8.04,8.04,2777
290,8.08,8.08,8.07,8.074,1350
291,8.13,8.13,8.07,8.08,6947
292,8.1073,8.19,8.1,8.12,2455
293,8.18,8.18,8.14,8.14,1641
294,8.16,8.18,8.13,8.18,900
295,8.17,8.17,8.17,8.17,100
296,8.22,8.23,8.2,8.2,800
297,8.14,8.22,8.14,8.22,1625
298,8.2,8.23,8.1699,8.1699,2350
299,8.19,8.19,8.19,8.19,100
300,8.2,8.21,8.19,8.2,1200
301,8.2,8.2,8.1814,8.1814,800
302,8.18,8.19,8.18,8.19,400
303,8.17,8.17,8.16,8.17,500
304,8.15,8.19,8.15,8.18,300
305,8.19,8.19,8.1818,8.1818,320
306,8.19,8.19,8.19,8.19,200
307,8.19,8.19,8.19,8.19,100
308,8.19,8.19,8.19,8.19,300
309,8.19,8.24,8.18,8.2,2810
310,8.15,8.19,8.15,8.19,200
311,8.1717,8.1717,8.1717,8.1717,700
312,8.19,8.19,8.17,8.17,400
313,8.18,8.1874,8.18,8.1874,900
314,8.19,8.19,8.19,8.19,100
315,8.19,8.19,8.17,8.19,700
316,8.2,8.2,8.19,8.19,300
317,8.18,8.18,8.18,8.18,400
318,8.18,8.18,8.15,8.18,2000
319,8.19,8.19,8.165,8.18,850
320,8.1826,8.19,8.1826,8.19,850
321,8.19,8.19,8.1899,8.19,300
322,8.2,8.2,8.17,8.19,400
323,8.185,8.1908,8.185,8.1908,450
324,8.2,8.2,8.19,8.2,300
325,8.2,8.2,8.2,8.2,100
326,8.2,8.2,8.1953,8.1953,1000
327,8.19,8.2,8.19,8.2,2177
432,8.15,8.15,8.15,8.15,1000
433,8.19,8.2052,8.19,8.2052,610
434,8.164,8.18,8.14,8.18,400
435,8.18,8.21,8.17,8.18,600
436,8.18,8.2,8.16,8.18,1520
437,8.15,8.18,8.15,8.18,600
440,8.11,8.17,8.11,8.155,1090
441,8.11,8.13,8.11,8.115,500
442,8.12,8.12,8.11,8.11,400
443,8.14,8.14,8.13,8.13,200
445,8.11,8.13,8.11,8.12,600
446,8.12,8.13,8.11,8.11,2412
447,8.1,8.12,8.1,8.11,920
448,8.12,8.12,8.11,8.11,300
449,8.12,8.12,8.12,8.12,100
450,8.1,8.12,8.1,8.115,810
451,8.12,8.12,8.1,8.12,600
452,8.09,8.1,8.08,8.1,790
453,8.1,8.1,8.0922,8.0922,200
455,8.08,8.1,8.08,8.1,300
456,8.06,8.08,8.05,8.08,1919
457,8.05,8.07,8.05,8.05,1050
458,8.05,8.05,8.05,8.05,100
459,8.06,8.07,8.05,8.07,300
460,8.06,8.06,8.06,8.06,200
461,8.06,8.06,8.06,8.06,200
462,8.07,8.07,8.07,8.07,100
464,8.04,8.05,8.04,8.05,600
465,8.025,8.04,8,8.015,4625
466,8.04,8.04,8.04,8.04,100
467,8.03,8.04,8.02,8.03,3900
468,8.04,8.04,8.02,8.02,300
469,8.035,8.04,8.02,8.02,1000
470,8.09,8.09,8.03,8.0367,4302
471,8.03,8.08,8.03,8.07,2686
864,8.04,8.04,8.04,8.04,1671
865,8.08,8.08,8.08,8.08,100
866,8.14,8.19,8.09,8.09,2017
867,8.08,8.205,8.08,8.12,600
868,8.1241,8.1241,8.1241,8.1241,1000
870,8.1309,8.14,8.1201,8.135,700
871,8.12,8.14,8.11,8.11,300
872,8.07,8.07,8.07,8.07,200
873,8.07,8.11,8.03,8.0747,5568
874,8.1,8.1169,8.1,8.1169,200
875,8.08,8.1,8.08,8.09,500
877,8.09,8.09,8.04,8.04,400
878,8.11,8.13,8.11,8.13,200
879,8.12,8.15,8.07,8.09,1300
881,8.165,8.18,8.15,8.1602,500
884,8.16,8.16,8.16,8.16,100
885,8.1497,8.1497,8.1497,8.1497,250
886,8.18,8.18,8.18,8.18,200
888,8.19,8.19,8.18,8.18,200
889,8.16,8.16,8.16,8.16,100
890,8.15,8.15,8.15,8.15,100
891,8.18,8.19,8.18,8.18,800
892,8.16,8.19,8.16,8.17,300
893,8.15,8.15,8.15,8.15,100
894,8.14,8.17,8.14,8.15,500
896,8.16,8.18,8.12,8.1651,6346
897,8.1391,8.15,8.13,8.13,785
899,8.14,8.14,8.12,8.14,811
900,8.2,8.2,8.15,8.15,300
901,8.1564,8.17,8.1564,8.17,400
902,8.17,8.17,8.16,8.16,400
903,8.2,8.2,8.17,8.18,1615
a1493731800,8.2,8.2,8.2,8.2,179
1,8.1524,8.1524,8.1493,8.1493,300
2,8.115,8.15,8.11,8.15,2400
3,8.07,8.07,8.07,8.07,900
4,8.1,8.1,8.0826,8.0826,1500
8,8.09,8.11,8.09,8.09,1300
9,8.09,8.11,8.09,8.09,942
10,8.11,8.11,8.11,8.11,100
12,8.05,8.09,8.05,8.08,1195
