EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,9.025,9.05,9,9,2499
1,9.05,9.1,9,9,1600
2,9,9,9,9,500
3,9,9,9,9,300
4,9,9,9,9,500
7,9,9,9,9,400
15,9,9,9,9,100
16,9.05,9.05,9.05,9.05,100
23,9.05,9.05,9.05,9.05,100
25,9.1,9.1,9.1,9.1,100
27,9.1,9.1,9.1,9.1,100
28,9.1,9.1,9.1,9.1,100
37,9.1,9.1,9.1,9.1,100
38,9.1,9.1,9.1,9.1,708
143,9.05,9.05,9.05,9.05,100
144,9.1,9.1,9.1,9.1,2447
146,9.15,9.15,9.15,9.15,1000
147,9.15,9.15,9.15,9.15,400
151,9.125,9.15,9.125,9.15,890
152,9.15,9.15,9.15,9.15,200
153,9.1137,9.15,9.1137,9.15,331
155,9.15,9.15,9.15,9.15,600
156,9.1,9.1,9.1,9.1,300
158,9.15,9.15,9.15,9.15,100
159,9.15,9.15,9.15,9.15,2000
160,9.15,9.15,9.15,9.15,1599
161,9.15,9.15,9.145,9.145,1100
163,9.2,9.2,9.15,9.15,400
164,9.2,9.2,9.2,9.2,100
171,9.2,9.2,9.175,9.175,1100
173,9.2,9.2,9.2,9.2,100
178,9.15,9.2,9.15,9.2,203
179,9.2,9.2,9.2,9.2,700
181,9.15,9.15,9.15,9.15,200
182,9.15,9.2,9.15,9.15,2359
287,9.2,9.2,9.2,9.2,212
288,9.2,9.2,9.2,9.2,100
289,9.2,9.2,9.195,9.195,8600
292,9.175,9.175,9.175,9.175,200
294,9.2,9.2,9.2,9.2,1100
295,9.1654,9.1654,9.1654,9.1654,1468
297,9.15,9.2,9.15,9.2,300
304,9.2,9.2,9.2,9.2,1200
306,9.2,9.2,9.2,9.2,100
307,9.2,9.2,9.2,9.2,100
312,9.2,9.2,9.2,9.2,100
314,9.2,9.2,9.2,9.2,100
316,9.15,9.15,9.15,9.15,100
317,9.2,9.2,9.2,9.2,100
318,9.2,9.2,9.2,9.2,1100
322,9.15,9.15,9.15,9.15,100
325,9.15,9.15,9.15,9.15,100
326,9.15,9.15,9.15,9.15,4643
432,9.2,9.2,9.2,9.2,200
435,9.15,9.15,9.15,9.15,400
436,9.175,9.175,9.175,9.175,200
438,9.15,9.15,9.15,9.15,100
441,9.2,9.2,9.15,9.15,1000
442,9.2,9.2,9.2,9.2,1400
443,9.2,9.2,9.2,9.2,231
445,9.2,9.2,9.2,9.2,600
447,9.2,9.2,9.2,9.2,100
448,9.2,9.2,9.2,9.2,200
449,9.2,9.2,9.2,9.2,1000
450,9.2,9.2,9.2,9.2,100
451,9.2,9.2,9.2,9.2,100
452,9.2,9.2,9.2,9.2,100
453,9.2,9.2,9.2,9.2,100
455,9.15,9.2,9.15,9.2,200
458,9.15,9.2,9.15,9.2,200
459,9.2,9.2,9.2,9.2,100
460,9.2,9.2,9.175,9.175,600
463,9.2,9.2,9.2,9.2,200
465,9.2,9.2,9.2,9.2,200
466,9.2,9.2,9.2,9.2,620
468,9.2,9.2,9.2,9.2,1800
469,9.1752,9.1752,9.1752,9.1752,100
470,9.2,9.2,9.15,9.2,6354
864,9.35,9.35,9.2,9.2,4199
867,9.7,9.725,9.4909,9.5,3831
868,9.65,9.65,9.65,9.65,100
869,9.65,9.65,9.65,9.65,627
870,9.5694,9.5694,9.5694,9.5694,300
871,9.6,9.6,9.6,9.6,400
872,9.65,9.65,9.65,9.65,1100
874,9.7,9.7,9.6,9.6,2040
879,9.6,9.6,9.6,9.6,100
886,9.65,9.65,9.65,9.65,1100
888,9.7,9.7,9.65,9.65,2896
889,9.675,9.7,9.65,9.7,500
890,9.675,9.675,9.65,9.658,1400
891,9.7,9.7,9.7,9.7,2000
892,9.7,9.7,9.7,9.7,100
895,9.7,9.7,9.7,9.7,1100
898,9.7,9.7,9.7,9.7,100
900,9.65,9.65,9.65,9.65,300
902,9.7,9.7,9.675,9.675,3973
a1493731800,9.7,9.7,9.7,9.7,10541
1,9.8,9.8,9.7,9.7,7638
2,9.85,9.85,9.85,9.85,500
3,9.85,9.85,9.85,9.85,676
4,9.8,9.85,9.8,9.85,9477
6,9.8,9.8,9.8,9.8,500
8,9.75,9.75,9.75,9.75,1700
10,9.85,9.85,9.75,9.75,1000
15,9.8748,9.8748,9.855,9.855,200
20,9.85,9.85,9.85,9.85,200
28,9.875,9.875,9.875,9.875,100
29,9.85,9.85,9.85,9.85,100
33,9.9,9.9,9.9,9.9,3200
37,9.85,9.85,9.85,9.85,100
38,9.85,9.95,9.85,9.9,1300
39,9.85,9.95,9.85,9.85,2563
144,9.9,9.9,9.9,9.9,200
145,9.9,9.9,9.86,9.9,350
146,9.9,9.9,9.9,9.9,100
147,9.9,9.9,9.9,9.9,1500
148,9.925,9.95,9.925,9.95,1300
150,9.9,9.9,9.9,9.9,300
151,9.9,9.9,9.9,9.9,100
153,9.83,9.83,9.83,9.83,638
154,9.95,9.95,9.95,9.95,500
160,9.95,9.95,9.95,9.95,1000
161,9.9,9.9,9.9,9.9,298
163,9.9,9.9,9.9,9.9,500
164,9.95,9.95,9.95,9.95,951
172,9.95,9.95,9.95,9.95,1000
173,9.85,9.85,9.85,9.85,200
174,9.9,9.9,9.875,9.9,800
176,9.9,9.9,9.9,9.9,198
178,9.9,9.9,9.9,9.9,159
179,9.95,9.95,9.95,9.95,150
180,9.95,9.95,9.9,9.9,1111
181,9.9,9.9,9.9,9.9,300
182,9.9,9.9,9.9,9.9,100
183,9.85,9.9,9.85,9.85,3644
288,9.85,9.85,9.85,9.85,954
289,9.85,9.85,9.85,9.85,800
290,9.85,9.85,9.85,9.85,3142
292,9.85,9.85,9.85,9.85,152
293,9.8,9.8,9.8,9.8,600
294,9.75,9.825,9.75,9.8,2600
295,9.85,9.85,9.808,9.85,800
297,9.85,9.85,9.8,9.8,3709
298,9.85,9.85,9.85,9.85,326
307,9.85,9.85,9.85,9.85,3000
308,9.85,9.85,9.85,9.85,919
311,9.85,9.85,9.75,9.85,700
319,9.85,9.85,9.85,9.85,100
320,9.85,9.85,9.85,9.85,100
324,9.85,9.85,9.85,9.85,100
327,9.8,9.85,9.75,9.85,733
432,9.95,9.95,9.95,9.95,6012
433,9.85,9.85,9.85,9.85,4900
436,9.845,9.845,9.845,9.845,136
438,9.85,9.85,9.85,9.85,100
439,9.8098,9.8348,9.8,9.825,936
440,9.85,9.85,9.85,9.85,4658
441,9.85,9.85,9.85,9.85,500
445,9.85,9.85,9.85,9.85,967
447,9.85,9.85,9.85,9.85,100
450,9.85,9.85,9.85,9.85,100
451,9.85,9.85,9.85,9.85,300
454,9.85,9.85,9.85,9.85,1200
455,9.9,9.9,9.9,9.9,100
459,9.95,9.95,9.95,9.95,100
464,9.9,9.9,9.9,9.9,1100
467,10.15,10.2,9.95,9.95,17702
468,10.25,10.25,10.25,10.25,500
469,10.25,10.25,10.25,10.25,1099
470,10.25,10.25,10.25,10.25,2500
471,10.15,10.2,10.15,10.2,1393
865,10.15,10.15,10.15,10.15,5581
866,10.1,10.15,10.1,10.15,1601
870,10.1,10.1,10.1,10.1,100
872,10.145,10.15,10.145,10.15,3285
873,10.15,10.15,10.15,10.15,200
875,10.15,10.15,10.15,10.15,1800
876,10.125,10.125,10.125,10.125,100
886,10.15,10.15,10.15,10.15,120
889,10.15,10.15,10.125,10.125,2100
890,10.125,10.125,10.125,10.125,100
896,10.125,10.125,10.125,10.125,100
897,10.1,10.125,10.1,10.105,1200
903,10.15,10.15,10.15,10.15,460
a1494339000,10.05,10.0852,10.05,10.0852,320
3,10.05,10.05,10.05,10.05,800
7,10.1,10.1,10.1,10.1,100
10,10.1,10.1,10.064,10.064,2263
11,10.1,10.1,10.1,10.1,3674
12,10.05,10.05,10.05,10.05,400
13,10.05,10.05,10.05,10.05,1000
14,10.1,10.1,10.1,10.1,100
16,10.05,10.05,10.0305,10.05,2525
17,10.045,10.045,10.045,10.045,2000
22,10.1,10.1,10.1,10.1,100
35,10.05,10.1,10.05,10.1,812
140,10,10,10,10,361
145,10.15,10.15,10.15,10.15,100
