EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,1.74,1.74,1.74,1.74,13700
1,1.77,1.77,1.77,1.77,1000
2,1.8,1.8,1.79,1.7999,2550
3,1.792,1.8,1.792,1.8,5100
5,1.7899,1.79,1.7701,1.7701,2370
7,1.76,1.787,1.76,1.787,25875
11,1.77,1.7793,1.77,1.7738,300
19,1.77,1.77,1.765,1.765,4120
21,1.79,1.79,1.7778,1.7778,1810
24,1.8,1.8,1.8,1.8,100
25,1.782,1.79,1.782,1.79,1000
27,1.78,1.7827,1.78,1.7827,900
28,1.8,1.8,1.799,1.7999,3052
29,1.79,1.7901,1.79,1.7901,2600
31,1.77,1.79,1.76,1.78,9680
32,1.78,1.78,1.7799,1.78,2100
34,1.78,1.78,1.7799,1.78,1200
35,1.78,1.78,1.78,1.78,100
36,1.78,1.78,1.78,1.78,200
37,1.77,1.78,1.77,1.78,1200
38,1.77,1.7786,1.7614,1.7614,570
39,1.76,1.7787,1.76,1.77,2242
144,1.76,1.76,1.76,1.76,1000
145,1.78,1.78,1.76,1.76,600
146,1.78,1.78,1.78,1.78,200
147,1.7599,1.77,1.75,1.77,7790
148,1.76,1.76,1.76,1.76,2300
149,1.75,1.75,1.75,1.75,4010
150,1.7689,1.7689,1.7689,1.7689,100
151,1.7689,1.7689,1.75,1.75,6350
152,1.7647,1.7647,1.7647,1.7647,400
153,1.754,1.754,1.754,1.754,100
154,1.76,1.7602,1.76,1.7602,350
156,1.7678,1.77,1.7636,1.7636,2100
157,1.76,1.76,1.76,1.76,100
158,1.77,1.77,1.77,1.77,100
159,1.77,1.77,1.77,1.77,100
160,1.77,1.78,1.77,1.77,6500
163,1.775,1.775,1.7716,1.7716,1500
164,1.78,1.78,1.78,1.78,100
165,1.79,1.79,1.78,1.78,790
167,1.79,1.79,1.79,1.79,100
168,1.78,1.79,1.78,1.79,10600
170,1.78,1.78,1.78,1.78,1800
172,1.79,1.79,1.79,1.79,400
173,1.79,1.79,1.79,1.79,300
174,1.79,1.79,1.79,1.79,1515
175,1.8,1.8,1.7963,1.7963,2124
176,1.78,1.78,1.78,1.78,100
177,1.8,1.8,1.7979,1.7979,2138
178,1.795,1.795,1.79,1.79,1700
179,1.8,1.8,1.795,1.8,1400
180,1.8,1.8082,1.795,1.8063,2932
181,1.796,1.796,1.796,1.796,1000
182,1.8,1.8,1.8,1.8,200
183,1.79,1.79,1.79,1.79,100
288,1.79,1.79,1.79,1.79,1080
289,1.8072,1.8072,1.7801,1.7801,1200
290,1.82,1.82,1.81,1.81,200
293,1.8014,1.819,1.8,1.819,2600
294,1.79,1.79,1.775,1.775,577
296,1.8,1.8,1.78,1.79,9400
297,1.8001,1.8001,1.8001,1.8001,196
298,1.8001,1.8001,1.8001,1.8001,500
299,1.7922,1.81,1.7922,1.81,741
300,1.7954,1.7954,1.7954,1.7954,300
302,1.81,1.81,1.8067,1.8067,1925
303,1.81,1.81,1.81,1.81,100
304,1.81,1.81,1.81,1.81,100
305,1.82,1.82,1.82,1.82,200
306,1.82,1.82,1.82,1.82,100
307,1.81,1.82,1.81,1.82,3093
308,1.81,1.81,1.81,1.81,200
309,1.8082,1.8082,1.8082,1.8082,2000
310,1.8,1.8,1.7988,1.7988,1200
311,1.8,1.8,1.8,1.8,100
312,1.81,1.81,1.81,1.81,2300
313,1.81,1.81,1.81,1.81,200
314,1.81,1.81,1.81,1.81,100
315,1.81,1.81,1.8001,1.801,2300
316,1.83,1.83,1.8,1.805,33049
317,1.84,1.84,1.84,1.84,400
320,1.8281,1.8281,1.8281,1.8281,2000
321,1.83,1.83,1.83,1.83,200
322,1.83,1.83,1.83,1.83,200
323,1.84,1.84,1.84,1.84,100
326,1.83,1.8307,1.83,1.8305,5200
327,1.8401,1.86,1.83,1.83,31665
432,1.85,1.85,1.85,1.85,600
433,1.85,1.85,1.85,1.85,2000
434,1.85,1.85,1.845,1.845,3646
435,1.86,1.86,1.86,1.86,900
436,1.8517,1.8601,1.8517,1.8601,3400
438,1.864,1.87,1.86,1.865,1600
439,1.87,1.87,1.87,1.87,100
441,1.8561,1.8561,1.8561,1.8561,500
442,1.86,1.86,1.8501,1.86,690
444,1.87,1.87,1.87,1.87,100
445,1.8595,1.8595,1.8595,1.8595,100
446,1.8559,1.8559,1.855,1.855,500
447,1.87,1.87,1.87,1.87,200
448,1.86,1.8671,1.86,1.8671,2200
450,1.86,1.86,1.86,1.86,200
451,1.85,1.85,1.85,1.85,200
452,1.86,1.86,1.86,1.86,300
454,1.8429,1.855,1.8429,1.855,1750
455,1.85,1.8502,1.85,1.8502,1100
458,1.86,1.86,1.8401,1.8401,1249
460,1.86,1.86,1.859,1.859,3000
461,1.84,1.8512,1.84,1.8512,5250
462,1.85,1.86,1.84,1.85,4500
464,1.86,1.86,1.86,1.86,100
465,1.86,1.86,1.86,1.86,100
466,1.85,1.85,1.85,1.85,200
468,1.86,1.86,1.86,1.86,1200
469,1.84,1.85,1.83,1.85,4488
471,1.83,1.83,1.83,1.83,100
864,1.85,1.85,1.85,1.85,200
866,1.85,1.85,1.78,1.8184,10300
869,1.85,1.85,1.85,1.85,100
870,1.83,1.83,1.83,1.83,400
872,1.86,1.86,1.86,1.86,100
875,1.86,1.86,1.85,1.85,1756
876,1.86,1.86,1.86,1.86,800
878,1.8501,1.8501,1.8501,1.8501,600
879,1.85,1.86,1.85,1.86,3400
880,1.856,1.856,1.856,1.856,1000
884,1.86,1.86,1.86,1.86,100
885,1.85,1.855,1.85,1.855,257
886,1.82,1.855,1.82,1.855,3090
887,1.84,1.84,1.83,1.83,1000
889,1.85,1.85,1.85,1.85,100
894,1.8324,1.8324,1.8324,1.8324,3000
897,1.84,1.84,1.84,1.84,700
898,1.84,1.85,1.84,1.84,700
899,1.84,1.84,1.84,1.84,400
900,1.84,1.84,1.84,1.84,200
901,1.84,1.85,1.84,1.84,900
903,1.84,1.84,1.83,1.8399,5843
a1493731800,1.88,1.88,1.88,1.88,14000
1,1.8414,1.88,1.8414,1.88,7600
2,1.8458,1.8458,1.825,1.825,488
3,1.8499,1.85,1.825,1.825,350
4,1.825,1.85,1.825,1.825,600
5,1.87,1.87,1.825,1.841,1830
6,1.83,1.84,1.83,1.83,400
8,1.83,1.83,1.83,1.83,200
10,1.8399,1.8399,1.8399,1.8399,1000
12,1.84,1.84,1.84,1.84,200
16,1.8278,1.8278,1.82,1.8278,2200
19,1.83,1.83,1.83,1.83,300
20,1.8201,1.8201,1.8201,1.8201,200
22,1.825,1.83,1.825,1.825,1100
23,1.83,1.83,1.825,1.825,2100
25,1.825,1.825,1.825,1.825,100
26,1.83,1.84,1.83,1.84,200
27,1.83,1.83,1.8276,1.8276,3100
28,1.82,1.84,1.82,1.84,6900
29,1.83,1.83,1.81,1.82,13095
30,1.82,1.83,1.82,1.83,1400
31,1.82,1.82,1.8175,1.8175,1600
32,1.815,1.8164,1.815,1.8164,5200
33,1.8199,1.8199,1.8199,1.8199,200
34,1.8193,1.82,1.8101,1.82,400
36,1.8126,1.8126,1.8126,1.8126,690
37,1.82,1.82,1.82,1.82,1500
38,1.8262,1.83,1.82,1.83,900
39,1.82,1.83,1.82,1.83,14791
144,1.83,1.83,1.83,1.83,650
145,1.8301,1.8999,1.8299,1.83,66657
146,1.86,1.86,1.86,1.86,200
147,1.867,1.867,1.841,1.841,14045
149,1.87,1.87,1.87,1.87,100
151,1.8699,1.8699,1.8699,1.8699,100
152,1.8699,1.879,1.8699,1.87,3600
154,1.87,1.87,1.86,1.86,1600
155,1.87,1.87,1.87,1.87,100
156,1.863,1.863,1.86,1.86,10000
157,1.8699,1.8699,1.8699,1.8699,100
158,1.86,1.86,1.86,1.86,100
160,1.86,1.86,1.86,1.86,100
161,1.91,1.94,1.855,1.855,66552
162,1.9,1.91,1.89,1.9,8600
163,1.91,1.91,1.9,1.9,3200
165,1.93,1.95,1.9,1.9,12300
166,1.95,1.95,1.93,1.94,300
167,1.934,1.94,1.934,1.94,542
168,1.96,1.98,1.94,1.94,21030
