EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,34.81,34.81,34.81,34.81,358
11,34.02,34.5,34.02,34.5,10100
12,34.39,34.39,34.39,34.39,100
13,34.3,34.3,34.27,34.27,200
15,34.29,34.29,34.29,34.29,100
16,33.95,34.3,33.95,34.3,300
17,34.55,34.55,34.25,34.26,300
18,34.28,34.2988,34.275,34.275,300
19,33.74,34.49,33.74,34.49,3585
20,34.2,34.2,34.2,34.2,100
21,34.19,34.19,34.19,34.19,100
23,34.11,34.11,34.11,34.11,100
28,33.9,34.14,33.88,33.88,300
31,33.815,34.18,33.815,34.18,200
32,34.21,34.21,34.21,34.21,200
34,34.25,34.27,34.12,34.24,790
35,34.24,34.265,34.14,34.265,1100
36,34.14,34.17,34.14,34.17,300
37,34.11,34.195,34.11,34.195,500
38,34.07,34.23,34.07,34.23,200
39,33.91,34.25,33.91,34.23,2762
147,34.16,34.16,34.09,34.09,200
148,34.27,34.28,34.17,34.17,1500
149,34.28,34.28,34.28,34.28,200
150,34.27,34.28,34.27,34.28,200
151,34.25,34.28,34.25,34.28,1000
152,34.2,34.25,34.2,34.25,800
153,34.2195,34.2195,34.21,34.21,200
154,34.21,34.3,34.21,34.225,400
156,34.31,34.31,34.31,34.31,100
158,34.29,34.33,34.29,34.31,1800
159,34.31,34.31,34.26,34.26,1100
160,34.55,34.55,34.31,34.31,835
163,34.64,34.64,34.64,34.64,100
164,34.725,34.725,34.69,34.69,400
167,34.95,34.95,34.95,34.95,378
168,34.95,34.95,34.95,34.95,200
169,34.89,34.94,34.89,34.8995,500
170,34.85,34.93,34.85,34.93,1000
171,34.89,34.95,34.87,34.92,1200
172,34.8798,34.94,34.875,34.94,500
173,34.8898,34.92,34.87,34.87,400
174,34.98,35.1,34.95,34.95,2119
175,35.0414,35.0414,35.0414,35.0414,250
176,35.045,35.045,35.045,35.045,100
177,34.97,35,34.95,35,2750
178,35.0398,35.09,34.94,34.94,500
179,35.035,35.08,35.035,35.035,600
181,34.97,35.045,34.97,35.045,300
182,35.03,35.05,34.87,35,1100
183,35.09,35.11,34.99,35.09,6001
289,35.5,35.5,35.5,35.5,323
290,35.2,35.36,35.2,35.36,439
291,35.6699,35.6699,35.4,35.4,400
292,35.525,35.6495,35.525,35.625,300
293,35.53,35.6399,35.53,35.6399,600
294,35.545,35.65,35.545,35.65,400
295,35.92,35.92,35.51,35.62,3200
296,36.44,36.44,35.91,35.91,862
297,36.61,36.61,36.4699,36.4699,200
298,36.6899,36.6899,36.6899,36.6899,100
299,36.51,36.5899,36.51,36.56,300
301,36.5799,36.5799,36.5799,36.5799,100
303,36.6,36.6,36.53,36.5699,4270
304,36.6,37.14,36.57,36.85,3250
305,37,37,36.6,36.66,700
306,37,37,36.99,36.99,200
307,37.66,37.66,37.6,37.6,200
308,37.56,37.7368,37.3999,37.3999,2199
315,37.3653,37.3653,37.3653,37.3653,100
318,37.18,37.375,37.18,37.24,700
320,36.925,37.18,36.925,37.18,2688
323,37.08,37.08,37.08,37.08,100
325,37,37.05,36.96,37.05,2139
326,36.962,36.98,36.87,36.98,500
327,36.97,37.03,36.87,36.966,7634
433,36.95,36.95,36.95,36.95,2750
434,37.21,37.21,36.95,36.95,301
435,37.25,37.25,37.249,37.249,400
436,37.4394,37.4394,37.25,37.25,623
439,37.16,37.166,37.16,37.1601,2000
440,37.445,37.84,37.37,37.84,900
443,37.3619,37.3619,37.03,37.03,811
447,37.1,37.1,37.1,37.1,100
448,37.27,37.27,37.255,37.255,200
449,37.312,37.33,37.312,37.33,650
450,37.234,37.234,37.234,37.234,100
452,37.33,37.33,37.33,37.33,200
454,37.37,37.37,37.37,37.37,100
458,37.35,37.37,37.35,37.37,1225
461,37.34,37.35,37.325,37.325,400
462,37.28,37.28,37.28,37.28,100
468,37.04,37.04,37.04,37.04,100
469,37.08,37.36,37.08,37.36,200
470,37.15,37.15,37.15,37.15,300
471,37.14,37.22,37.04,37.05,3214
864,37.44,37.44,37.44,37.44,539
865,37.9124,37.9124,37.44,37.44,1139
866,37.6,37.93,37.6,37.85,953
867,37.65,37.65,37.53,37.53,200
868,37.61,37.61,37.61,37.61,200
869,37.6337,37.6337,37.6337,37.6337,530
870,37.89,37.89,37.74,37.779,500
871,37.8,37.83,37.8,37.83,420
872,37.88,37.88,37.53,37.53,200
873,37.94,37.94,37.83,37.83,300
874,37.9032,37.98,37.9032,37.96,1000
875,37.8407,37.8407,37.8407,37.8407,292
876,37.84,37.84,37.84,37.84,148
880,38,38,37.99,37.99,2200
881,38,38,37.999,38,300
882,37.95,38,37.95,38,1100
884,37.915,37.915,37.915,37.915,300
889,38,38,37.95,38,1845
890,38,38,37.9781,38,3300
891,37.97,38.09,37.97,38.09,1804
892,38.14,38.14,38,38,200
893,38.18,38.18,37.9959,37.9959,600
897,38.1,38.1,38.08,38.1,300
898,38.05,38.05,38.05,38.05,100
899,37.91,37.91,37.91,37.91,241
901,37.91,37.91,37.91,37.91,100
903,37.95,38,37.95,38,956
a1493731800,37.93,37.93,37.93,37.93,517
4,38.22,38.22,38.22,38.22,100
7,38.1366,38.1366,38.1366,38.1366,355
8,38.06,38.06,38.06,38.06,100
9,38.01,38.07,38.01,38.07,200
12,37.94,37.94,37.94,37.94,100
14,37.985,37.985,37.985,37.985,100
18,38.04,38.04,38.04,38.04,200
19,38.04,38.04,37.93,37.93,200
20,38.13,38.13,38.13,38.13,100
22,38.0731,38.0731,38.0731,38.0731,300
26,38.13,38.13,38.13,38.13,100
29,37.97,38.1499,37.93,37.93,956
30,38.09,38.09,37.93,37.94,300
34,37.94,38.02,37.94,38.02,200
35,38.01,38.01,38.01,38.01,100
36,38.03,38.03,38.03,38.03,100
38,38.07,38.07,38.07,38.07,100
39,38.13,38.14,37.96,38.12,1500
145,37.7876,37.82,37.73,37.82,1100
146,38.0442,38.0442,38.0442,38.0442,200
155,37.945,37.9593,37.945,37.9593,200
156,38.02,38.02,38.02,38.02,100
161,37.94,37.94,37.94,37.94,100
169,37.9,37.965,37.9,37.965,200
170,38.03,38.03,38.03,38.03,100
172,38.0299,38.0299,38.0299,38.0299,123
175,38.015,38.055,38,38.05,700
177,38.07,38.07,38,38.07,300
179,38.06,38.06,38,38,300
182,38,38,38,38,100
183,37.93,38.03,37.91,38,2303
294,38.92,38.92,38.92,38.92,100
295,37.1201,37.3,37.1201,37.3,500
298,37.37,37.39,37.25,37.25,800
299,37.3599,37.3599,37.0949,37.0949,1398
302,37.04,37.0514,37.04,37.0514,600
303,37.2199,37.2199,37,37,200
304,36.4,36.97,36.4,36.97,1099
307,36.5899,36.5899,36.25,36.25,200
308,36.5462,36.5462,36.5462,36.5462,120
310,36.59,36.59,36.59,36.59,100
312,36.59,36.59,36.59,36.59,100
313,36.08,36.08,36.08,36.08,100
315,35.6,36.08,35.6,36.07,400
316,35.58,35.63,35.58,35.63,200
317,35.8,35.8174,35.8,35.8174,200
318,35.7,36.06,35.7,36.06,200
319,35.8,35.8,35.8,35.8,125
320,35.825,35.825,35.825,35.825,100
321,36.3099,36.3099,36.04,36.08,1300
322,36.31,36.31,36.31,36.31,1000
323,36.05,36.12,36.04,36.07,3500
324,36.05,36.05,36.05,36.05,1700
327,36.03,36.04,36.03,36.04,401
432,35.89,35.89,35.89,35.89,450
436,35.6144,35.7527,35.6144,35.7527,852
441,36.19,36.19,36.1,36.1,200
442,35.9552,36.055,35.9552,36.055,200
444,35.84,35.84,35.84,35.84,100
445,35.84,35.86,35.84,35.86,500
447,36.06,36.06,36.06,36.06,100
449,36.17,36.17,36.1,36.1,200
452,35.9,36.17,35.9,36.17,502
453,36.1,36.1,36.1,36.1,100
460,36.15,36.7399,36.15,36.7399,897
464,36.68,36.7,36.68,36.7,200
465,36.5,36.51,36.5,36.51,456
466,36.945,36.945,36.65,36.65,500
469,36.98,36.98,36.98,36.98,100
470,36.99,36.99,36.99,36.99,300
471,36.85,37.01,36.64,37,2614
864,37,37,37,37,1442
865,37,37,36.93,36.93,320
866,37.0218,37.43,37.0218,37.43,365
