EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,25.45,25.45,25.45,25.45,161
2,25.68,25.68,25.67,25.67,300
4,25.96,25.96,25.96,25.96,100
5,25.9189,25.9189,25.9189,25.9189,750
6,25.88,25.92,25.86,25.92,800
8,25.95,25.95,25.87,25.89,400
9,25.8759,25.8759,25.8759,25.8759,200
11,25.84,25.84,25.84,25.84,100
14,25.88,25.88,25.879,25.879,200
16,25.77,25.87,25.77,25.82,300
20,25.77,25.77,25.77,25.77,100
22,25.75,25.75,25.75,25.75,100
23,25.81,25.81,25.81,25.81,100
24,25.81,25.81,25.75,25.75,200
26,25.8,25.8,25.8,25.8,100
27,25.86,25.86,25.86,25.86,100
29,25.84,25.84,25.795,25.795,200
31,25.75,25.75,25.75,25.75,100
33,25.8,25.8,25.8,25.8,300
34,25.87,25.9,25.73,25.9,2397
35,25.83,25.83,25.83,25.83,100
37,25.69,25.79,25.69,25.79,200
38,25.69,25.73,25.69,25.7,383
39,25.7,25.74,25.565,25.68,1719
144,25.59,25.59,25.59,25.59,139
151,25.6105,25.6105,25.3201,25.3201,600
152,25.3464,25.3464,25.3464,25.3464,200
154,25.5601,25.5601,25.5601,25.5601,200
155,25.5601,25.5601,25.5601,25.5601,100
160,25.87,25.87,25.87,25.87,100
161,25.98,25.98,25.87,25.87,1477
162,26.12,26.12,26.12,26.12,100
163,26.12,26.12,26.1,26.12,500
164,26.13,26.13,26.13,26.13,100
165,26.26,26.26,26.24,26.24,200
166,26.31,26.31,26.2534,26.2534,450
167,26.38,26.43,26.38,26.4,675
168,26.43,26.43,26.42,26.42,200
169,26.37,26.38,26.37,26.38,500
170,26.4,26.4,26.4,26.4,100
171,26.3401,26.3401,26.3401,26.3401,200
173,26.3947,26.3947,26.3947,26.3947,200
174,26.4086,26.449,26.392,26.392,700
175,26.4186,26.45,26.4122,26.4236,400
176,26.54,26.54,26.4538,26.4538,1713
177,26.58,26.58,26.58,26.58,100
178,26.55,26.55,26.55,26.55,100
179,26.62,26.62,26.5401,26.5401,200
180,26.54,26.55,26.54,26.55,200
181,26.4401,26.4401,26.3301,26.3301,200
183,26.45,26.55,26.35,26.55,2851
288,26.45,26.45,26.45,26.45,178
297,26.28,26.28,26.28,26.28,100
298,26.071,26.071,26.071,26.071,195
303,26.099,26.099,26.099,26.099,100
304,25.7925,25.7925,25.785,25.785,300
305,25.865,26.08,25.81,25.81,1000
306,26.115,26.115,25.8984,25.8984,300
307,26.1715,26.1715,25.8618,25.8618,1398
309,26.31,26.31,26.31,26.31,100
311,26.38,26.4356,26.38,26.4356,1600
315,26.2136,26.2136,26.064,26.064,200
316,26.07,26.07,26.07,26.07,100
318,25.76,25.76,25.76,25.76,100
319,25.9257,25.9257,25.76,25.76,300
320,25.82,25.88,25.82,25.876,300
321,25.67,25.67,25.67,25.67,100
322,25.7,25.7,25.7,25.7,200
325,25.74,25.74,25.653,25.653,1100
326,25.84,25.84,25.8147,25.8147,522
327,25.86,25.9503,25.8599,25.8599,2305
432,25.75,25.75,25.75,25.75,191
445,25.78,25.78,25.78,25.78,100
446,25.67,25.67,25.67,25.67,200
451,25.57,25.57,25.57,25.57,100
464,25.41,25.41,25.41,25.41,100
466,25.29,25.55,25.29,25.55,300
471,25.45,25.57,25.34,25.44,3800
864,25.31,25.31,25.31,25.31,192
868,25.53,25.53,25.53,25.53,100
871,25.2601,25.2601,25.2601,25.2601,100
874,25.66,25.66,25.66,25.66,100
875,25.82,25.82,25.82,25.82,100
876,25.85,25.89,25.85,25.89,200
878,25.75,25.82,25.5249,25.61,1199
879,25.73,25.73,25.645,25.6593,300
887,25.7102,25.7102,25.7102,25.7102,116
894,25.65,25.65,25.65,25.65,100
896,25.23,25.23,25.18,25.18,700
903,25.38,25.38,25.25,25.25,1013
a1493732400,25.84,25.84,25.84,25.84,100
4,25.741,25.741,25.4242,25.4242,293
6,25.7635,25.7635,25.7635,25.7635,116
7,25.78,25.78,25.78,25.78,100
11,25.7,25.7,25.7,25.7,100
13,25.5001,25.5001,25.5001,25.5001,100
14,25.52,25.52,25.52,25.52,100
18,25.79,25.81,25.79,25.81,200
20,25.71,25.71,25.66,25.66,200
21,25.64,25.64,25.64,25.64,100
23,25.73,25.73,25.5301,25.5301,200
25,25.83,25.83,25.83,25.83,100
26,25.83,25.83,25.83,25.83,100
28,25.83,25.83,25.83,25.83,100
33,25.81,25.82,25.6001,25.82,300
37,25.77,25.8,25.77,25.8,300
38,25.72,25.72,25.72,25.72,710
146,25.4797,25.4797,25.4797,25.4797,100
150,25.71,25.71,25.71,25.71,100
158,25.6983,25.6983,25.6983,25.6983,100
170,25.76,25.76,25.76,25.76,100
177,25.55,25.55,25.55,25.55,100
181,25.22,25.22,25.2,25.2,460
182,25.07,25.2,25.04,25.2,3154
294,25.08,25.08,25.03,25.08,500
295,24.915,24.97,24.9,24.97,700
296,24.7608,24.94,24.75,24.94,2296
300,24.75,24.75,24.75,24.75,200
301,24.64,24.64,24.64,24.64,200
302,24.64,24.6456,24.64,24.6456,1100
303,24.45,24.65,24.42,24.64,1300
305,24.53,24.53,24.53,24.53,100
314,24.47,24.47,24.47,24.47,100
316,24.48,24.48,24.48,24.48,200
319,24.51,24.51,24.5,24.5,300
321,24.52,24.52,24.52,24.52,100
322,24.52,24.52,24.52,24.52,100
323,24.58,24.58,24.53,24.53,200
324,24.59,24.59,24.58,24.58,200
325,24.67,24.67,24.67,24.67,100
326,24.56,24.6733,24.45,24.6733,1817
432,25.3249,25.3249,25.3249,25.3249,100
437,24.92,24.96,24.92,24.92,900
440,24.98,24.98,24.98,24.98,100
444,24.8,24.9409,24.8,24.82,700
450,24.499,24.69,24.48,24.68,900
452,24.4975,24.4975,24.4975,24.4975,100
453,24.56,24.56,24.5375,24.5375,400
455,24.77,24.77,24.7605,24.7605,200
456,24.89,24.89,24.89,24.89,300
457,24.97,24.97,24.9,24.9,582
459,24.93,25.01,24.93,25.01,400
460,24.95,24.95,24.9,24.9,818
463,24.83,24.83,24.79,24.79,400
465,24.7,24.7,24.7,24.7,100
469,24.71,24.71,24.68,24.68,500
470,24.68,24.79,24.66,24.79,1123
863,24.9,24.9,24.9,24.9,571
864,24.9,24.9,24.9,24.9,100
870,24.71,24.71,24.71,24.71,100
871,24.7101,24.7101,24.7101,24.7101,100
872,24.71,24.73,24.71,24.73,200
873,24.7763,24.7763,24.7763,24.7763,200
876,24.6927,24.6927,24.6927,24.6927,100
881,24.59,24.59,24.59,24.59,100
882,24.565,24.6599,24.565,24.6599,200
883,24.7,24.7,24.7,24.7,100
884,24.77,24.77,24.77,24.77,100
885,24.85,24.85,24.85,24.85,100
886,24.79,24.79,24.79,24.79,100
888,24.8199,24.8199,24.8199,24.8199,100
890,24.85,24.85,24.7656,24.7656,1405
893,24.8799,24.8799,24.8799,24.8799,100
896,24.8199,24.8199,24.55,24.55,300
898,24.93,24.93,24.835,24.835,200
899,24.899,24.94,24.88,24.94,400
900,24.86,24.86,24.86,24.86,200
901,24.86,24.86,24.86,24.86,200
902,25,25,24.83,24.8874,1718
a1494337800,24.77,24.8995,24.75,24.89,1380
5,24.75,24.76,24.75,24.76,200
8,24.718,24.718,24.718,24.718,200
9,24.66,24.69,24.66,24.69,600
11,24.56,24.56,24.56,24.56,128
12,24.56,24.599,24.56,24.58,300
13,24.575,24.73,24.575,24.73,300
14,24.6,24.6,24.53,24.53,244
15,24.555,24.555,24.555,24.555,100
17,24.5344,24.5344,24.5344,24.5344,200
22,24.415,24.47,24.415,24.47,344
24,24.09,24.09,24.09,24.09,203
25,24.01,24.01,24.01,24.01,100
26,24.035,24.035,24.035,24.035,100
27,24.035,24.035,24.035,24.035,100
28,24.2,24.2,24.06,24.06,200
30,24.27,24.27,24.2,24.2,500
31,24.23,24.23,24.23,24.23,100
33,24.1,24.1,24.1,24.1,100
35,24.11,24.17,24.03,24.11,1262
36,24.09,24.13,24.02,24.12,600
37,24.16,24.34,24.06,24.1,2116
142,24.19,24.19,24.19,24.19,111
