EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493143800,7,7.01,7,7.01,800
2,7.0115,7.0115,7.0115,7.0115,200
7,7,7,7,7,200
9,7,7,7,7,100
123,6.99,7.0048,6.95,6.97,10600
124,6.95,7,6.95,7,30200
125,6.95,7,6.95,6.96,12300
133,7,7,7,7,1500
136,7,7,7,7,450
137,7,7,7,7,200
139,7.06,7.06,7.01,7.01,600
155,7.01,7.01,7.01,7.01,100
284,7.03,7.03,7.03,7.03,500
290,7.12,7.12,7.12,7.12,100
299,7.15,7.15,7.15,7.15,100
866,6.7,7,6.7,6.72,2001
980,6.74,6.74,6.74,6.74,100
981,6.75,6.75,6.75,6.75,100
986,7,7,7,7,700
987,7,7,7,7,2523
998,7,7,7,7,300
a1493744400,7,7,7,7,100
3,7,7,7,7,300
12,7,7,7,7,200
15,7.03,7.03,7.03,7.03,300
18,7,7,7,7,400
140,7.1,7.1,7.1,7.1,100
142,7.0101,7.0404,7.0101,7.0404,300
271,7,7.02,7,7.02,50500
272,7,7,7,7,100
273,7,7,7,7,8800
278,7.0066,7.0066,7,7,2000
286,7,7,7,7,500
290,7,7,7,7,6950
306,7,7,7,7,100
419,7.0736,7.0736,7.0736,7.0736,500
450,7.14,7.14,7.1,7.1,300
849,7.1,7.15,7.1,7.15,1300
866,7.0167,7.0167,7,7.01,3200
870,7,7,7,7,200
876,7,7,7,7,200
882,7,7,7,7,200
988,6.858,6.858,6.858,6.858,300
990,7,7,7,7,3200
a1494346200,7,7,7,7,100
23,7.0101,7.0147,7.0101,7.0147,600
160,7,7.02,7,7.01,3500
161,7.0866,7.0866,7.0866,7.0866,1000
167,7.04,7.04,7.04,7.04,100
295,7.0105,7.0105,7,7,11706
300,7.0085,7.0085,7,7,1520
311,7,7.01,7,7.01,300
416,7,7,7,7,200
417,6.995,7,6.99,6.99,3900
423,7.002,7.002,7.002,7.002,200
432,7.1,7.1,7.1,7.1,200
449,7,7.02,7,7,7940
455,7.01,7.01,7,7,200
849,7.0001,7.02,7,7.02,1000
850,7.051,7.051,7,7.01,4000
887,7.01,7.02,7.01,7.02,200
a1495028400,7.14,7.14,7,7,400
8,7,7,7,7,100
24,7.0328,7.0328,7.0328,7.0328,100
38,7,7.0105,7,7,8822
152,7,7,7,7,14900
153,7,7,7,7,9100
156,7.05,7.05,7.05,7.05,1000
158,7,7,6.94,7,4757
159,7,7.01,7,7,8400
178,7,7,7,7,100
182,7.03,7.03,7,7,500
298,7.035,7.035,7,7.035,4000
890,7.02,7.02,7.02,7.02,100
896,7.03,7.03,7.01,7.01,1700
902,7.05,7.05,7.05,7.05,100
a1495637400,7.0282,7.0282,7.0282,7.0282,2100
7,7.0948,7.0948,7.04,7.05,300
143,7.03,7.04,7.03,7.04,200
150,7.1,7.1,7.1,7.1,100
175,7.11,7.136,7.1,7.1,800
894,7,7.03,7,7.03,15400
895,7,7.0101,7,7.01,6000
a1496240400,7,7.01,7,7.01,50500
1,7,7,6.9,6.9,1500
15,7.0019,7.01,7,7.01,4500
24,7,7.2,7,7.17,6600
26,7,7.05,7,7.01,12265
28,7,7,7,7,300
30,7.006,7.006,7,7,12919
32,7,7,7,7,4980
34,7,7,7,7,200
141,7,7.032,7,7,10360
151,7.0818,7.0818,7.0818,7.0818,400
166,7.0437,7.0437,7.0437,7.0437,200
284,7,7.02,7,7.02,5900
285,7,7,7,7,4300
286,7,7,7,7,11200
287,6.9,7,6.9,7,26800
288,7,7,6.9,6.91,31950
289,6.5914,7,6.5914,7,6532
290,6.85,6.85,6.83,6.83,1300
291,6.71,6.85,6.7,6.85,1650
306,6.7703,6.81,6.7703,6.81,1200
307,6.76,6.8,6.76,6.8,200
308,6.75,6.785,6.75,6.762,2800
309,6.75,6.75,6.75,6.75,1600
310,6.7,6.7,6.7,6.7,400
311,6.7,6.7001,6.69,6.7,800
313,6.7,6.7,6.69,6.69,500
316,6.68,6.7,6.67,6.7,400
720,6.1401,6.1401,6.1401,6.1401,200
732,6.5953,6.5953,6.5953,6.5953,106
745,6.5,6.52,6.5,6.52,500
747,6.524,6.524,6.524,6.524,2000
748,6.5576,6.5576,6.5,6.51,5600
749,6.5001,6.51,6.5,6.5,4300
754,6.45,6.49,6.45,6.48,1400
875,6.3,6.34,6.3,6.34,1000
883,6.615,6.615,6.3,6.3,2600
892,6.3707,6.3707,6.31,6.35,1000
898,6.31,6.35,6.31,6.35,300
a1496848200,6.75,6.75,6.73,6.73,1000
134,6.67,6.67,6.67,6.67,170
278,6.59,6.59,6.59,6.59,220
284,6.56,6.56,6.559,6.56,600
290,6.56,6.56,6.56,6.56,300
314,6.59,6.59,6.59,6.59,1600
316,6.52,6.52,6.52,6.52,200
317,6.52,6.53,6.52,6.53,300
719,6.3225,6.34,6.31,6.34,500
721,6.3,6.31,6.3,6.31,1000
747,6.73,6.73,6.71,6.71,500
866,6.39,6.39,6.39,6.39,400
887,6.7,6.75,6.7,6.7499,300
890,6.7,6.7,6.7,6.7,100
892,6.45,6.56,6.45,6.55,1200
893,6.45,6.45,6.45,6.45,100
a1497454800,6.5,6.5,6.5,6.5,500
8,6.56,6.56,6.56,6.56,100
13,6.631,6.631,6.5,6.5,1900
26,6.55,6.55,6.5,6.5,5500
137,6.6242,6.6242,6.51,6.51,1100
167,6.73,6.73,6.73,6.73,490
168,6.56,6.56,6.56,6.56,100
170,6.5999,6.5999,6.59,6.59,200
286,6.57,6.57,6.56,6.56,600
309,6.5101,6.53,6.5101,6.53,1100
314,6.582,6.582,6.51,6.53,1624
721,6.5,6.5,6.49,6.49,500
724,6.53,6.55,6.53,6.55,600
725,6.51,6.52,6.42,6.52,500
727,6.5,6.51,6.49,6.51,900
732,6.45,6.45,6.45,6.45,300
734,6.45,6.45,6.45,6.45,200
735,6.4597,6.4597,6.445,6.45,1000
746,6.46,6.46,6.46,6.46,200
875,6.54,6.54,6.45,6.45,201
877,6.4501,6.4501,6.4501,6.4501,200
890,6.5195,6.74,6.5,6.62,2300
995,6.42,6.42,6.42,6.42,1375
999,6.46,6.46,6.46,6.46,100
a1498057800,6.42,6.42,6.42,6.42,325
4,6.42,6.42,6.4,6.4,600
17,6.42,6.42,6.42,6.42,500
29,6.26,6.37,6.26,6.37,200
134,6.24,6.24,6.24,6.24,500
152,6.59,6.59,6.56,6.56,500
278,6.41,6.41,6.41,6.41,500
294,6.56,6.56,6.53,6.53,500
311,6.5,6.5,6.41,6.41,3100
317,6.48,6.5,6.48,6.49,1500
735,6.55,6.58,6.55,6.58,600
740,6.46,6.46,6.46,6.46,2380
743,6.46,6.46,6.46,6.46,1500
744,6.5,6.5,6.5,6.5,3229
745,6.47,6.5,6.47,6.5,600
749,6.5,6.5,6.5,6.5,600
861,6.5803,6.5803,6.5803,6.5803,500
864,6.6,6.6,6.59,6.59,800
878,6.5999,6.5999,6.5999,6.5999,1000
881,6.55,6.6,6.5009,6.5009,1300
883,6.5195,6.5195,6.5195,6.5195,500
884,6.5899,6.5899,6.5899,6.5899,200
887,6.53,6.53,6.53,6.53,200
888,6.53,6.53,6.53,6.53,100
890,6.5,6.5,6.5,6.5,1099
a1498658400,6.67,6.67,6.59,6.59,2853
1,6.75,6.75,6.72,6.75,3340
2,6.75,6.75,6.75,6.75,500
3,6.7599,6.7599,6.7599,6.7599,100
4,6.81,6.95,6.76,6.76,3500
5,6.9,6.9,6.8,6.8,700
6,7,7,6.81,6.81,1800
7,6.76,7,6.76,6.95,7650
9,6.76,6.77,6.75,6.75,10900
16,6.9,6.9,6.9,6.9,1000
18,7,7,6.9,7,7950
19,7.0001,7.0001,7,7,5200
20,7,7.0002,7,7,5100
29,7,7,7,7,40300
35,7.02,7.09,7.02,7.09,300
36,7.03,7.05,7.03,7.05,200
143,7,7,7,7,300
144,7,7,7,7,500
149,7.05,7.05,7.05,7.05,500
155,7,7,7,7,500
157,6.99,6.99,6.99,6.99,200
158,7,7,6.99,6.99,400
159,6.99,6.99,6.99,6.99,200
173,7,7,7,7,100
174,7,7,7,7,500
