EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493213400,32.19,32.19,32.19,32.19,5532
1,31.995,32.12,31.94,31.94,2652
2,32.06,32.13,32,32.01,5088
3,32.1,32.1,32.0069,32.06,3000
4,32.16,32.16,32.03,32.0752,6259
5,32.15,32.16,32.1002,32.12,2913
6,32.24,32.24,32.16,32.16,2136
7,32.22,32.25,32.22,32.23,3572
8,32.24,32.27,32.2,32.23,3704
9,32.26,32.3,32.2518,32.2518,6057
10,32.24,32.27,32.24,32.24,3093
11,32.29,32.29,32.23,32.24,2969
12,32.41,32.439,32.29,32.29,9430
13,32.35,32.4,32.34,32.39,9420
14,32.33,32.35,32.32,32.33,14373
15,32.4,32.4,32.325,32.325,5603
16,32.35,32.39,32.35,32.39,2713
17,32.36,32.36,32.32,32.35,15100
18,32.34,32.37,32.33,32.36,16067
19,32.35,32.36,32.315,32.35,3691
20,32.38,32.41,32.35,32.35,7381
21,32.42,32.43,32.37,32.37,5037
22,32.44,32.45,32.42,32.42,4559
23,32.47,32.49,32.44,32.44,14852
24,32.42,32.48,32.41,32.45,4804
25,32.45,32.45,32.39,32.42,4529
26,32.375,32.46,32.37,32.44,5805
27,32.32,32.4,32.32,32.4,4423
28,32.31,32.32,32.27,32.31,24629
29,32.3,32.33,32.295,32.3,9929
30,32.3,32.3,32.27,32.295,7414
31,32.31,32.32,32.28,32.28,5252
32,32.35,32.35,32.295,32.3102,10059
33,32.365,32.38,32.34,32.34,5253
34,32.415,32.415,32.3594,32.36,6782
35,32.405,32.44,32.405,32.41,6269
36,32.36,32.405,32.35,32.4,7421
37,32.32,32.37,32.315,32.37,10600
38,32.24,32.315,32.23,32.315,16709
39,32.21,32.27,32.2,32.23,87891
144,32.28,32.28,32.28,32.28,4934
145,32.25,32.38,32.21,32.3523,8062
146,32.49,32.49,32.23,32.25,10910
147,32.4,32.49,32.38,32.475,11831
148,32.33,32.46,32.32,32.44,9956
149,32.35,32.35,32.26,32.33,9504
150,32.27,32.33,32.26,32.33,11510
151,32.3,32.32,32.29,32.3,7336
152,32.28,32.33,32.26,32.3,5267
153,32.29,32.33,32.25,32.26,17766
154,32.25,32.3,32.25,32.28,8014
155,32.3,32.31,32.26,32.26,10112
156,32.24,32.3,32.24,32.28,3650
157,32.26,32.27,32.23,32.24,6913
158,32.23,32.28,32.21,32.26,19383
159,32.18,32.25,32.18,32.22,7380
160,32.3,32.31,32.18,32.18,6570
161,32.27,32.31,32.27,32.3,2200
162,32.29,32.29,32.27,32.28,2991
163,32.32,32.32,32.28,32.29,3524
164,32.33,32.36,32.32,32.32,4000
165,32.43,32.43,32.32,32.33,8631
166,32.42,32.45,32.41,32.42,3561
167,32.4521,32.46,32.43,32.43,7102
168,32.47,32.47,32.4416,32.46,4599
169,32.46,32.49,32.46,32.47,5098
170,32.43,32.46,32.43,32.46,5414
171,32.43,32.45,32.42,32.44,6577
172,32.37,32.4292,32.3501,32.4292,4397
173,32.34,32.37,32.32,32.37,4505
174,32.35,32.37,32.33,32.34,4629
175,32.36,32.39,32.34,32.37,4973
176,32.33,32.37,32.32,32.37,7329
177,32.29,32.3201,32.29,32.3201,3500
178,32.28,32.295,32.257,32.2801,5968
179,32.34,32.35,32.28,32.28,9940
180,32.32,32.36,32.3,32.35,16457
181,32.29,32.32,32.275,32.32,20148
182,32.3,32.33,32.28,32.29,18306
183,32.31,32.325,32.27,32.3,102945
288,32.35,32.35,32.35,32.35,6775
289,32.2396,32.27,32.2201,32.27,9839
290,32.25,32.32,32.2,32.2,5029
291,32.18,32.24,32.18,32.22,6284
292,32.05,32.185,32.05,32.1847,5900
293,31.94,32.02,31.94,32.01,18408
294,31.79,31.94,31.72,31.92,13358
295,31.77,31.79,31.7014,31.78,12050
296,31.69,31.7801,31.67,31.7801,10056
297,31.64,31.6976,31.61,31.69,12421
298,31.71,31.72,31.6,31.6199,6957
299,31.73,31.73,31.6314,31.7,5900
300,31.7108,31.73,31.66,31.73,11350
301,31.68,31.7,31.65,31.7,3618
302,31.64,31.71,31.63,31.7,5263
303,31.78,31.78,31.65,31.65,5864
304,31.78,31.8,31.76,31.78,5550
305,31.82,31.83,31.79,31.79,4203
306,31.82,31.84,31.81,31.83,4789
307,31.79,31.81,31.77,31.8,5652
308,31.77,31.8,31.77,31.7884,3250
309,31.82,31.83,31.77,31.77,4768
310,31.81,31.83,31.79,31.83,9004
311,31.79,31.825,31.79,31.8,4037
312,31.8,31.81,31.775,31.78,4029
313,31.75,31.8,31.74,31.79,5651
314,31.73,31.76,31.73,31.75,8018
315,31.7,31.72,31.69,31.72,5699
316,31.67,31.71,31.66,31.7,4600
317,31.62,31.67,31.62,31.67,3270
318,31.5599,31.61,31.54,31.6,9725
319,31.568,31.58,31.54,31.54,9258
320,31.61,31.65,31.56,31.56,28910
321,31.59,31.61,31.56,31.61,8719
322,31.68,31.69,31.58,31.6,17619
323,31.7,31.76,31.66,31.69,19086
324,31.71,31.72,31.69,31.7,17765
325,31.71,31.76,31.71,31.715,34673
326,31.87,31.9,31.7,31.71,48493
327,31.83,31.89,31.82,31.87,261078
a1494250200,31.85,31.88,31.85,31.88,7643
1,31.8,31.9,31.78,31.87,5690
2,31.72,31.75,31.72,31.75,500
3,31.76,31.76,31.7,31.72,300
4,31.66,31.76,31.65,31.76,7125
5,31.56,31.61,31.53,31.61,3171
6,31.55,31.59,31.53,31.57,3705
7,31.51,31.55,31.5,31.54,3360
8,31.51,31.53,31.47,31.5,5723
9,31.51,31.54,31.47,31.53,2800
10,31.49,31.57,31.49,31.54,8934
11,31.44,31.52,31.41,31.48,4848
12,31.445,31.46,31.41,31.44,3400
13,31.46,31.47,31.44,31.46,3212
14,31.455,31.47,31.43,31.46,3630
15,31.4799,31.4799,31.44,31.46,3144
16,31.4802,31.5,31.47,31.491,4444
17,31.46,31.49,31.455,31.48,1225
18,31.45,31.5,31.45,31.45,4303
19,31.47,31.4801,31.44,31.44,3124
20,31.54,31.54,31.49,31.49,2848
21,31.545,31.545,31.53,31.53,1500
22,31.57,31.58,31.525,31.54,5983
23,31.56,31.58,31.555,31.5713,3203
24,31.53,31.56,31.52,31.551,1650
25,31.52,31.55,31.52,31.52,2575
26,31.52,31.54,31.49,31.5199,3081
27,31.55,31.58,31.52,31.52,1871
28,31.59,31.6,31.55,31.55,3616
29,31.59,31.6,31.54,31.58,3850
30,31.56,31.59,31.55,31.5711,3175
31,31.5201,31.58,31.5201,31.57,7350
32,31.52,31.54,31.49,31.53,5792
33,31.52,31.55,31.5,31.51,5486
34,31.49,31.52,31.49,31.51,3500
35,31.57,31.57,31.49,31.49,5597
36,31.55,31.59,31.54,31.56,4008
37,31.51,31.57,31.51,31.55,4866
38,31.53,31.545,31.49,31.51,8921
39,31.59,31.6,31.515,31.53,145658
144,31.55,31.55,31.55,31.55,4159
145,31.43,31.77,31.4,31.77,5216
146,31.325,31.46,31.25,31.46,7923
147,31.3414,31.3414,31.2886,31.33,5353
148,31.3,31.39,31.295,31.39,4646
149,31.24,31.32,31.23,31.28,7000
150,31.25,31.25,31.175,31.24,7521
151,31.32,31.33,31.23,31.25,5790
152,31.3499,31.36,31.29,31.36,3915
153,31.35,31.38,31.33,31.34,4483
154,31.23,31.33,31.22,31.33,2800
155,31.18,31.22,31.17,31.2,3570
156,31.09,31.17,31.08,31.17,4726
157,31.1325,31.15,31.09,31.09,3927
158,31.22,31.22,31.14,31.14,2675
159,31.23,31.2892,31.23,31.23,4018
160,31.21,31.28,31.2,31.23,3300
161,31.17,31.2,31.16,31.2,3094
162,31.12,31.16,31.09,31.155,5000
163,31.13,31.13,31.09,31.11,2600
164,31.11,31.13,31.11,31.13,2678
165,31.1,31.15,31.09,31.12,2574
166,31.11,31.11,31.07,31.0964,2161
167,31.08,31.105,31.07,31.1,4101
168,31.0207,31.099,31.02,31.09,6392
169,31.05,31.08,31.01,31.01,4465
170,31.05,31.06,31.02,31.04,9307
171,31.04,31.06,31.03,31.05,2400
172,30.98,31.0533,30.98,31.0516,12916
