EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,44.66,44.66,44.66,44.66,3275
1,44.59,44.8196,44.279,44.67,10020
2,44.34,44.59,44.3,44.48,6800
3,44.42,44.51,44.26,44.31,7225
4,44.81,44.83,44.43,44.43,22581
5,44.56,44.84,44.51,44.81,7937
6,44.49,44.57,44.44,44.56,2800
7,44.53,44.53,44.44,44.45,6753
8,44.3836,44.52,44.2893,44.52,15129
9,44.48,44.53,44.4066,44.4066,5459
10,44.53,44.54,44.48,44.48,7700
11,44.72,44.745,44.52,44.52,8100
12,44.61,44.73,44.6,44.7,13037
13,44.49,44.61,44.48,44.61,7660
14,44.46,44.5,44.45,44.455,4400
15,44.455,44.51,44.44,44.48,7229
16,44.3828,44.5,44.3828,44.46,3812
17,44.47,44.47,44.36,44.37,3700
18,44.48,44.505,44.44,44.47,4274
19,44.44,44.485,44.4,44.47,2770
20,44.4,44.5,44.4,44.45,3085
21,44.38,44.41,44.37,44.39,2385
22,44.35,44.41,44.35,44.37,3566
23,44.37,44.4,44.33,44.37,11545
24,44.42,44.4599,44.34,44.37,7410
25,44.32,44.4226,44.32,44.4226,16674
26,44.34,44.4,44.33,44.3522,8834
27,44.375,44.4,44.34,44.34,4200
28,44.42,44.44,44.35,44.35,2900
29,44.44,44.49,44.43,44.48,4603
30,44.44,44.57,44.44,44.51,2970
31,44.45,44.49,44.43,44.43,4509
32,44.4223,44.46,44.4,44.44,6794
33,44.43,44.47,44.43,44.45,2550
34,44.48,44.5,44.41,44.43,12693
35,44.48,44.48,44.44,44.46,3688
36,44.5,44.5,44.4775,44.49,10710
37,44.44,44.5,44.4,44.5,9215
38,44.45,44.485,44.41,44.44,14910
39,44.38,44.44,44.36,44.44,43141
144,44.36,44.36,44.36,44.36,815
145,44.55,44.8199,44.4,44.48,7200
146,44.87,44.94,44.4054,44.4054,9375
147,44.99,45.14,44.98,44.98,3948
148,44.825,45.01,44.8,44.94,3200
149,44.755,44.85,44.67,44.83,4800
150,44.62,44.76,44.53,44.755,9800
151,44.595,44.64,44.57,44.63,2540
152,44.49,44.64,44.49,44.615,4795
153,44.58,44.66,44.49,44.49,3300
154,44.48,44.62,44.48,44.62,6700
155,44.58,44.58,44.44,44.44,2144
156,44.76,44.761,44.53,44.57,18545
157,44.76,44.82,44.68,44.765,7100
158,44.62,44.8,44.61,44.76,7728
159,44.68,44.68,44.6,44.6,6575
160,44.61,44.7,44.58,44.7,5646
161,44.665,44.665,44.59,44.66,2657
162,44.73,44.73,44.615,44.64,1775
163,44.63,44.7,44.61,44.7,7284
164,44.59,44.69,44.56,44.65,6700
165,44.92,45.02,44.62,44.62,23518
166,44.79,44.89,44.7,44.89,7195
167,44.84,44.885,44.785,44.805,5165
168,44.85,44.89,44.82,44.84,7096
169,44.84,44.88,44.7752,44.85,2856
170,44.73,44.86,44.73,44.83,4580
171,44.83,44.84,44.74,44.75,27122
172,44.6724,44.81,44.64,44.8,5618
173,44.67,44.74,44.65,44.68,6077
174,44.75,44.77,44.6244,44.6244,5935
175,44.8,44.84,44.735,44.735,6365
176,44.79,44.845,44.74,44.8,23554
177,44.87,44.9,44.76,44.795,13506
178,44.61,44.86,44.57,44.86,12030
179,44.6,44.64,44.57,44.62,5408
180,44.525,44.63,44.45,44.57,12926
181,44.31,44.53,44.31,44.52,13298
182,44.31,44.39,44.26,44.31,16748
183,44.3,44.41,44.25,44.325,75382
288,44.48,44.48,44.48,44.48,1584
289,44.76,45.03,44.53,44.7158,5658
290,45.03,45.1,44.67,44.75,16837
291,44.8772,45.03,44.85,45.005,4418
292,44.8125,44.9,44.76,44.87,6902
293,44.905,44.97,44.77,44.83,5700
294,44.79,44.93,44.74,44.92,7600
295,44.66,44.79,44.65,44.79,5978
296,44.66,44.71,44.66,44.66,1700
297,44.78,44.78,44.63,44.64,4166
298,44.71,44.88,44.71,44.74,11417
299,44.83,44.83,44.69,44.7,10600
300,44.68,44.815,44.68,44.815,6900
301,44.65,44.66,44.61,44.66,2500
302,44.63,44.64,44.595,44.62,3425
303,44.48,44.6,44.48,44.58,3900
304,44.465,44.51,44.45,44.51,2700
305,44.28,44.46,44.28,44.45,6652
306,44.27,44.35,44.25,44.29,6238
307,44.21,44.265,44.19,44.25,7100
308,44.295,44.295,44.17,44.21,5828
309,44.53,44.53,44.27,44.27,4600
310,44.48,44.52,44.47,44.52,2400
311,44.57,44.58,44.54,44.56,1600
312,44.58,44.62,44.56,44.56,2700
313,44.6075,44.63,44.53,44.57,2950
314,44.58,44.64,44.58,44.6,8093
315,44.5,44.57,44.5,44.57,1702
316,44.48,44.5,44.48,44.5,2689
317,44.58,44.645,44.46,44.48,4600
318,44.52,44.59,44.49,44.58,4812
319,44.57,44.67,44.5,44.52,13009
320,44.51,44.62,44.49,44.58,7585
321,44.42,44.51,44.41,44.51,6200
322,44.365,44.44,44.365,44.44,4799
323,44.39,44.43,44.37,44.38,6700
324,44.4,44.45,44.38,44.39,10119
325,44.33,44.405,44.33,44.39,18127
326,44.38,44.44,44.34,44.34,67725
327,44.4,44.43,44.37,44.38,66688
432,44.35,44.35,44.35,44.35,1179
433,44.565,44.7299,44.5,44.7299,1992
434,44.7,44.9,44.2801,44.53,6100
435,44.86,45.05,44.74,44.78,12200
436,44.6799,44.98,44.67,44.81,8400
437,44.6,44.73,44.51,44.7,5900
438,44.64,44.73,44.54,44.72,4700
439,44.8,44.81,44.64,44.65,2200
440,44.525,44.845,44.49,44.8,13100
441,44.82,44.86,44.54,44.56,1600
442,44.6,44.845,44.6,44.845,12580
443,44.65,44.7,44.6,44.6,6830
444,44.7,44.71,44.68,44.68,2200
445,44.73,44.73,44.67,44.695,3475
446,44.74,44.74,44.68,44.69,1700
447,44.82,44.84,44.74,44.74,2086
448,44.83,44.865,44.79,44.82,8800
449,44.76,44.81,44.72,44.81,5400
450,44.83,44.85,44.79,44.79,5748
451,44.78,44.83,44.78,44.83,3556
452,44.82,44.82,44.7,44.78,6770
453,44.9,44.9,44.8,44.8,1700
454,44.94,44.94,44.86,44.86,5515
455,44.855,44.93,44.795,44.93,6791
456,44.825,44.9,44.73,44.87,8204
457,44.91,44.91,44.805,44.83,3501
458,44.905,44.93,44.9,44.91,1700
459,44.93,44.93,44.89,44.92,4200
460,44.92,44.99,44.898,44.91,6958
461,44.86,44.9,44.86,44.9,1500
462,44.88,44.885,44.83,44.83,8500
463,44.91,44.92,44.85,44.87,5900
464,44.905,44.93,44.88,44.9,5282
465,45.09,45.11,44.87,44.93,25764
466,45.22,45.23,45.1,45.11,7751
467,45.31,45.31,45.215,45.215,12103
468,45.33,45.36,45.27,45.29,26297
469,45.43,45.46,45.3,45.32,30068
470,45.61,45.63,45.34,45.43,31276
471,45.52,45.68,45.49,45.63,272140
864,45.58,45.58,45.58,45.58,3042
865,45.36,45.5,45.31,45.5,4225
866,45.18,45.43,45.18,45.36,7382
867,45,45.15,44.99,45.15,5600
868,44.9875,45.06,44.97,45.05,11859
869,45.365,45.365,44.985,44.995,14764
870,45.28,45.4,45.18,45.4,4695
871,45.4,45.48,45.23,45.255,8000
872,45.35,45.35,45.26,45.34,1500
873,45.33,45.34,45.23,45.33,4700
874,45.26,45.38,45.23,45.33,14281
875,45.2,45.24,45.1,45.22,4200
876,45.21,45.33,45.185,45.235,4000
877,45.26,45.26,45.16,45.22,8889
878,45.37,45.37,45.26,45.26,700
879,45.37,45.37,45.28,45.37,2200
880,45.285,45.33,45.25,45.32,7546
881,45.31,45.32,45.21,45.26,3499
882,45.21,45.281,45.21,45.281,3300
883,45.2,45.21,45.14,45.21,11739
884,45.27,45.34,45.21,45.21,1900
885,45.2683,45.3,45.21,45.28,2715
886,45.26,45.29,45.24,45.27,3505
887,45.395,45.41,45.27,45.27,2700
888,45.42,45.42,45.31,45.3768,9928
889,45.35,45.46,45.34,45.43,7477
890,45.39,45.39,45.3,45.36,3090
891,45.41,45.42,45.33,45.4,4698
892,45.52,45.76,45.35,45.4,13830
893,45.49,45.52,45.4,45.5,5700
