EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,11.53,11.53,11.53,11.53,1493
1,11.5335,11.54,11.53,11.53,2030
2,11.46,11.53,11.46,11.53,13722
3,11.5235,11.5235,11.5,11.5085,450
4,11.5001,11.51,11.5001,11.51,270
6,11.5273,11.53,11.51,11.53,600
8,11.524,11.524,11.524,11.524,102
9,11.5001,11.5001,11.5001,11.5001,170
10,11.52,11.52,11.52,11.52,700
11,11.51,11.51,11.51,11.51,500
12,11.52,11.52,11.5199,11.5199,1753
13,11.5054,11.5054,11.5054,11.5054,500
14,11.5,11.5069,11.5,11.5,4400
15,11.51,11.51,11.5,11.5,1060
16,11.45,11.5,11.45,11.5,8084
17,11.4756,11.4756,11.4756,11.4756,175
18,11.4521,11.4799,11.4521,11.4799,1450
20,11.4,11.4544,11.4,11.4544,4459
21,11.41,11.4399,11.41,11.42,1350
22,11.4148,11.4148,11.4148,11.4148,750
23,11.4101,11.4101,11.4101,11.4101,500
24,11.41,11.428,11.41,11.428,3200
25,11.41,11.41,11.4,11.4,1098
26,11.41,11.41,11.41,11.41,100
27,11.4185,11.4185,11.4185,11.4185,500
28,11.4606,11.4606,11.4606,11.4606,350
30,11.45,11.488,11.4201,11.424,7560
31,11.45,11.48,11.45,11.48,2792
32,11.41,11.45,11.4,11.45,1980
33,11.32,11.4,11.32,11.4,6806
34,11.3603,11.364,11.3603,11.364,1550
35,11.35,11.3823,11.35,11.35,1200
36,11.35,11.3823,11.35,11.3823,1200
37,11.36,11.3818,11.35,11.35,2900
38,11.36,11.36,11.36,11.36,100
39,11.36,11.41,11.22,11.36,14882
144,11.3,11.3,11.3,11.3,2391
145,11.4,11.4,11.2999,11.2999,4805
147,11.34,11.34,11.34,11.34,100
149,11.3324,11.3324,11.3324,11.3324,1000
150,11.3314,11.3314,11.32,11.32,4250
151,11.33,11.36,11.33,11.36,1712
152,11.4119,11.4119,11.37,11.37,223
153,11.39,11.39,11.39,11.39,100
154,11.4,11.42,11.39,11.41,600
156,11.4229,11.44,11.4229,11.44,400
157,11.4127,11.44,11.41,11.42,2460
158,11.44,11.44,11.41,11.4249,694
160,11.4272,11.44,11.419,11.419,1800
161,11.43,11.43,11.43,11.43,400
162,11.43,11.44,11.43,11.43,800
164,11.44,11.44,11.44,11.44,1903
165,11.4176,11.435,11.41,11.435,2153
167,11.42,11.42,11.4152,11.4152,779
170,11.48,11.48,11.48,11.48,100
171,11.4639,11.4639,11.4639,11.4639,1000
172,11.49,11.5,11.49,11.5,700
173,11.4819,11.4819,11.4819,11.4819,100
176,11.4512,11.4512,11.4512,11.4512,1730
177,11.41,11.4818,11.41,11.44,1000
181,11.4508,11.4508,11.4508,11.4508,800
182,11.43,11.4335,11.43,11.4335,929
183,11.44,11.45,11.4,11.45,4784
288,11.44,11.44,11.44,11.44,3465
289,11.44,11.45,11.44,11.44,800
290,11.4386,11.44,11.4386,11.44,559
291,11.4228,11.4228,11.4228,11.4228,1000
292,11.4157,11.4775,11.4157,11.4775,2155
293,11.35,11.4,11.34,11.4,3885
294,11.392,11.392,11.37,11.37,2410
296,11.42,11.42,11.42,11.42,100
298,11.38,11.41,11.38,11.41,500
299,11.3706,11.3811,11.3706,11.3811,4230
302,11.36,11.37,11.36,11.36,1575
303,11.36,11.36,11.36,11.36,1184
304,11.35,11.3501,11.35,11.35,2544
305,11.3468,11.3468,11.34,11.34,2400
306,11.35,11.35,11.3225,11.3225,1785
307,11.3333,11.36,11.32,11.3599,2820
309,11.327,11.327,11.32,11.32,304
310,11.3309,11.34,11.3309,11.34,1150
312,11.3374,11.34,11.3374,11.34,2001
313,11.3502,11.36,11.34,11.34,505
314,11.3672,11.3672,11.3502,11.3502,1495
315,11.36,11.36,11.36,11.36,100
317,11.3699,11.3699,11.364,11.364,500
319,11.35,11.37,11.35,11.37,1391
320,11.3484,11.3533,11.34,11.3533,1455
321,11.346,11.346,11.346,11.346,1000
322,11.34,11.3492,11.34,11.3492,1100
323,11.342,11.342,11.34,11.34,400
324,11.3508,11.3508,11.3508,11.3508,100
325,11.3499,11.3499,11.32,11.34,2910
326,11.32,11.3201,11.32,11.32,739
327,11.35,11.35,11.33,11.33,1070
432,11.4,11.4,11.4,11.4,2593
433,11.3601,11.4,11.35,11.4,1406
434,11.3101,11.3771,11.3101,11.36,7500
435,11.389,11.389,11.389,11.389,100
436,11.369,11.369,11.369,11.369,500
437,11.3684,11.3684,11.3684,11.3684,2500
439,11.3931,11.3999,11.37,11.37,1040
441,11.3647,11.366,11.3647,11.366,300
442,11.37,11.37,11.37,11.37,100
444,11.35,11.35,11.324,11.324,1208
447,11.35,11.35,11.32,11.32,1588
448,11.335,11.35,11.335,11.35,610
451,11.32,11.3286,11.32,11.3286,816
452,11.3201,11.35,11.3201,11.35,700
454,11.33,11.33,11.33,11.33,400
455,11.335,11.344,11.335,11.344,425
456,11.3526,11.3526,11.3335,11.3335,425
457,11.3532,11.3532,11.3532,11.3532,164
460,11.37,11.37,11.37,11.37,900
461,11.345,11.345,11.345,11.345,100
462,11.35,11.36,11.345,11.36,400
463,11.37,11.37,11.34,11.34,1100
464,11.36,11.36,11.36,11.36,600
465,11.35,11.38,11.35,11.38,200
466,11.32,11.3401,11.32,11.34,1100
469,11.35,11.36,11.342,11.342,800
470,11.36,11.39,11.34,11.35,988
471,11.39,11.4,11.37,11.39,7589
864,11.41,11.41,11.41,11.41,1085
865,11.39,11.39,11.38,11.39,2197
866,11.38,11.3898,11.35,11.3799,3000
867,11.3814,11.4,11.3814,11.4,1113
868,11.36,11.4,11.35,11.4,5128
869,11.36,11.36,11.35,11.35,1000
870,11.35,11.355,11.35,11.352,902
871,11.36,11.36,11.36,11.36,145
872,11.3274,11.3414,11.3,11.33,8041
873,11.31,11.3365,11.3,11.3,3818
874,11.318,11.318,11.318,11.318,200
875,11.3183,11.33,11.315,11.33,300
876,11.33,11.33,11.33,11.33,300
877,11.3273,11.33,11.3231,11.33,300
878,11.33,11.33,11.33,11.33,700
879,11.35,11.36,11.345,11.36,300
880,11.36,11.36,11.35,11.35,200
881,11.352,11.352,11.352,11.352,243
882,11.36,11.36,11.35,11.35,700
884,11.37,11.37,11.35,11.35,500
885,11.343,11.35,11.343,11.35,1300
886,11.34,11.35,11.33,11.35,1314
887,11.35,11.35,11.35,11.35,100
888,11.3342,11.34,11.3338,11.34,624
889,11.34,11.34,11.3399,11.3399,646
891,11.34,11.34,11.34,11.34,400
893,11.35,11.35,11.35,11.35,100
894,11.35,11.35,11.35,11.35,1100
895,11.33,11.35,11.33,11.3499,1754
896,11.3499,11.35,11.33,11.33,4935
897,11.3378,11.35,11.3378,11.342,500
898,11.35,11.35,11.35,11.35,200
899,11.3301,11.35,11.3301,11.35,1400
900,11.3391,11.35,11.3391,11.35,2154
901,11.3358,11.35,11.3358,11.35,700
902,11.35,11.35,11.3301,11.35,700
903,11.35,11.35,11.33,11.35,3090
a1493731800,11.3,11.3,11.3,11.3,1935
1,11.276,11.3536,11.26,11.3,4567
2,11.3,11.41,11.3,11.335,3700
3,11.3569,11.41,11.3,11.31,5280
4,11.39,11.399,11.29,11.389,7590
5,11.37,11.37,11.31,11.31,300
6,11.3,11.31,11.3,11.31,400
7,11.29,11.3,11.29,11.3,1500
8,11.29,11.3,11.29,11.29,2500
9,11.29,11.3023,11.29,11.3023,300
10,11.29,11.31,11.29,11.29,500
11,11.3156,11.3156,11.29,11.29,800
12,11.3101,11.34,11.31,11.31,300
13,11.34,11.34,11.3,11.3,400
14,11.3052,11.33,11.28,11.31,5672
15,11.32,11.32,11.2801,11.2801,200
16,11.28,11.3,11.28,11.2801,300
17,11.28,11.34,11.28,11.34,300
18,11.28,11.2923,11.28,11.2923,500
19,11.2801,11.29,11.2801,11.29,500
20,11.2801,11.29,11.2801,11.29,200
21,11.29,11.29,11.2801,11.2801,500
22,11.28,11.287,11.28,11.2801,575
23,11.2801,11.29,11.2801,11.29,200
24,11.28,11.28,11.28,11.28,100
25,11.2801,11.29,11.28,11.29,600
