EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,20.44,20.44,20.44,20.44,3666
1,20.42,20.5,20.35,20.45,11063
2,20.4,20.43,20.39,20.4,6344
3,20.49,20.54,20.38,20.4,12397
4,20.55,20.61,20.48,20.51,11600
5,20.54,20.55,20.51,20.54,5200
6,20.56,20.57,20.5002,20.52,9887
7,20.63,20.66,20.55,20.56,10200
8,20.67,20.67,20.62,20.63,7846
9,20.56,20.66,20.56,20.66,10672
10,20.5,20.56,20.5,20.56,11401
11,20.56,20.565,20.49,20.51,8212
12,20.545,20.56,20.51,20.56,10769
13,20.54,20.55,20.515,20.54,12630
14,20.51,20.55,20.51,20.55,10400
15,20.47,20.5,20.46,20.5,7419
16,20.48,20.5,20.46,20.46,4615
17,20.46,20.49,20.46,20.49,5176
18,20.47,20.48,20.47,20.47,7300
19,20.45,20.47,20.42,20.47,8930
20,20.43,20.47,20.4,20.455,10254
21,20.4,20.44,20.4,20.43,8627
22,20.45,20.46,20.4,20.4,6900
23,20.435,20.47,20.435,20.45,4400
24,20.425,20.45,20.42,20.43,6786
25,20.42,20.43,20.41,20.425,9820
26,20.46,20.46,20.41,20.42,7868
27,20.49,20.5,20.46,20.46,7725
28,20.51,20.51,20.48,20.49,8100
29,20.5,20.53,20.5,20.5,12497
30,20.455,20.49,20.455,20.49,7098
31,20.485,20.49,20.45,20.46,7000
32,20.4,20.485,20.39,20.485,12623
33,20.4,20.41,20.4,20.405,3722
34,20.39,20.43,20.38,20.405,11879
35,20.35,20.38,20.35,20.38,12700
36,20.35,20.37,20.35,20.355,12143
37,20.34,20.36,20.34,20.345,21053
38,20.34,20.35,20.33,20.33,43218
39,20.33,20.35,20.31,20.335,91227
144,20.26,20.26,20.26,20.26,2665
145,20.31,20.32,20.23,20.25,3900
146,20.305,20.36,20.24,20.31,7469
147,20.3,20.36,20.28,20.32,11000
148,20.39,20.4,20.29,20.29,18320
149,20.39,20.39,20.34,20.38,10100
150,20.46,20.46,20.36,20.38,9600
151,20.37,20.52,20.37,20.48,8310
152,20.4301,20.44,20.36,20.38,5828
153,20.49,20.52,20.44,20.44,10268
154,20.43,20.49,20.42,20.46,14162
155,20.53,20.54,20.43,20.43,13700
156,20.62,20.62,20.525,20.525,15161
157,20.59,20.63,20.57,20.61,8230
158,20.53,20.59,20.51,20.59,12939
159,20.525,20.53,20.5,20.52,5300
160,20.53,20.58,20.52,20.52,12377
161,20.54,20.55,20.53,20.53,9479
162,20.48,20.55,20.47,20.54,11019
163,20.52,20.53,20.46,20.47,7622
164,20.51,20.56,20.5,20.52,6700
165,20.55,20.57,20.52,20.52,6100
166,20.51,20.55,20.49,20.55,8695
167,20.49,20.51,20.49,20.5,5637
168,20.49,20.52,20.48,20.49,6603
169,20.48,20.48,20.4,20.48,34771
170,20.43,20.49,20.41,20.48,12747
171,20.455,20.485,20.43,20.44,4000
172,20.5,20.51,20.43,20.46,15316
173,20.52,20.55,20.5,20.5,13091
174,20.53,20.56,20.51,20.51,19623
175,20.52,20.55,20.5,20.525,17000
176,20.54,20.57,20.5255,20.5255,23375
177,20.535,20.55,20.53,20.545,25193
178,20.58,20.58,20.54,20.54,15390
179,20.56,20.585,20.56,20.58,20588
180,20.59,20.6,20.56,20.56,21071
181,20.57,20.615,20.57,20.595,33271
182,20.52,20.59,20.52,20.56,37908
183,20.49,20.53,20.48,20.52,134496
288,20.52,20.52,20.52,20.52,1650
289,20.47,20.57,20.47,20.5,7700
290,20.49,20.51,20.44,20.46,6770
291,20.42,20.5,20.4,20.5,2049
292,20.54,20.54,20.4,20.4,5691
293,20.55,20.58,20.5,20.52,7112
294,20.58,20.63,20.55,20.55,5300
295,20.5,20.59,20.49,20.57,9503
296,20.46,20.51,20.45,20.5,5649
297,20.45,20.45,20.41,20.44,5020
298,20.43,20.49,20.43,20.44,7113
299,20.49,20.49,20.428,20.43,6222
300,20.48,20.51,20.48,20.49,4447
301,20.49,20.49,20.47,20.47,2100
302,20.48,20.5,20.47,20.49,3700
303,20.4211,20.46,20.41,20.46,2028
304,20.46,20.47,20.44,20.44,2452
305,20.47,20.47,20.45,20.46,1100
306,20.47,20.47,20.46,20.46,2800
307,20.49,20.505,20.48,20.48,6490
308,20.49,20.509,20.49,20.49,2400
309,20.49,20.5,20.48,20.5,3027
310,20.49,20.49,20.48,20.485,4946
311,20.59,20.59,20.49,20.49,8147
312,20.54,20.58,20.54,20.58,1879
313,20.54,20.578,20.54,20.55,10436
314,20.56,20.56,20.52,20.54,5322
315,20.54,20.56,20.54,20.56,1898
316,20.56,20.56,20.53,20.54,5400
317,20.61,20.61,20.56,20.57,6493
318,20.62,20.64,20.6042,20.609,7092
319,20.66,20.66,20.63,20.63,3001
320,20.65,20.68,20.64,20.66,6493
321,20.59,20.65,20.59,20.65,4409
322,20.6,20.6,20.57,20.59,9630
323,20.57,20.62,20.57,20.59,18466
324,20.54,20.57,20.53,20.56,6549
325,20.53,20.55,20.53,20.54,11593
326,20.54,20.56,20.53,20.535,17132
327,20.53,20.54,20.51,20.53,108126
432,20.52,20.52,20.52,20.52,1444
433,20.46,20.68,20.45,20.67,4000
434,20.455,20.5,20.415,20.45,5501
435,20.44,20.48,20.44,20.48,1400
436,20.355,20.44,20.34,20.44,2012
437,20.34,20.35,20.34,20.35,1100
438,20.29,20.33,20.28,20.33,2200
439,20.27,20.295,20.26,20.29,1700
440,20.21,20.28,20.21,20.26,2200
441,20.26,20.26,20.21,20.23,3300
442,20.24,20.27,20.235,20.255,6365
443,20.26,20.26,20.21,20.24,5066
444,20.33,20.33,20.265,20.265,4715
445,20.36,20.365,20.29,20.33,5316
446,20.37,20.39,20.34,20.35,3600
447,20.38,20.41,20.37,20.38,7881
448,20.35,20.38,20.35,20.365,2807
449,20.3,20.35,20.29,20.35,5710
450,20.25,20.3,20.25,20.29,4300
451,20.26,20.26,20.24,20.255,3600
452,20.32,20.32,20.25,20.25,6885
453,20.3,20.32,20.29,20.32,2100
454,20.23,20.29,20.23,20.29,5094
455,20.2,20.245,20.2,20.24,3401
456,20.225,20.24,20.205,20.205,1800
457,20.24,20.26,20.24,20.26,700
458,20.2,20.24,20.2,20.24,700
459,20.2,20.21,20.2,20.21,1826
460,20.17,20.2,20.17,20.2,1803
461,20.1,20.17,20.1,20.16,23648
462,20.0686,20.105,20.0686,20.105,6015
463,20.08,20.09,20.07,20.08,5357
464,20.13,20.13,20.09,20.09,4807
465,20.18,20.18,20.13,20.13,5048
466,20.18,20.185,20.155,20.17,6085
467,20.19,20.19,20.175,20.18,3000
468,20.16,20.18,20.155,20.18,7481
469,20.165,20.19,20.16,20.16,11153
470,20.155,20.165,20.14,20.165,15989
471,20.12,20.17,20.1,20.155,118755
864,20.24,20.24,20.24,20.24,1960
865,20.22,20.22,20.17,20.18,1100
866,20.19,20.29,20.16,20.23,8800
867,20.13,20.23,20.1001,20.19,2503
868,20.01,20.12,20.01,20.12,1968
869,20.08,20.08,20.02,20.02,2000
870,20.09,20.1,20.02,20.07,1900
871,20.13,20.14,20.07,20.07,3033
872,20.12,20.12,20.11,20.12,2700
873,20.06,20.11,20.04,20.11,4721
874,20.05,20.08,20.04,20.06,5304
875,20.05,20.08,20.04,20.04,6424
876,20.07,20.085,20.02,20.04,5800
877,20.05,20.08,20.01,20.066,41702
878,20.11,20.15,20.07,20.07,5200
879,20.17,20.17,20.11,20.12,3900
880,20.17,20.17,20.17,20.17,600
881,20.15,20.175,20.14,20.17,3900
882,20.12,20.16,20.12,20.15,2000
883,20.13,20.13,20.13,20.13,900
884,20.08,20.13,20.08,20.13,2600
885,20.1,20.11,20.01,20.08,10362
886,20.1001,20.12,20.1001,20.12,1400
887,20.13,20.14,20.09,20.1,4323
888,20.14,20.15,20.12,20.14,2900
889,20.14,20.155,20.14,20.15,1200
890,20.21,20.21,20.15,20.15,4400
891,20.18,20.22,20.17,20.21,3200
892,20.14,20.2,20.14,20.2,4100
893,20.12,20.15,20.12,20.15,2959
894,20.1,20.13,20.1,20.12,1600
