EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493130000,29.85,29.95,29.85,29.95,200
1,29.85,29.85,29.75,29.8,400
5,29.85,29.85,29.75,29.75,200
8,29.85,29.85,29.85,29.85,100
9,30,30,29.85,29.85,200
12,29.875,29.875,29.875,29.875,100
13,29.75,29.75,29.75,29.75,100
14,29.9,29.9,29.9,29.9,100
15,29.9,29.9,29.9,29.9,200
17,29.95,29.95,29.95,29.95,155
18,30.05,30.05,30.05,30.05,200
19,30,30.1495,29.95,30.05,1998
21,30.1,30.1,30.1,30.1,100
22,30,30.15,30,30.15,400
26,30.35,30.35,30.35,30.35,100
29,30.2,30.3,30.2,30.3,200
30,30.2,30.2,30.2,30.2,100
32,30.1,30.1,30.1,30.1,100
33,30.15,30.15,30.15,30.15,100
34,30,30.25,29.7,30.25,5454
142,29.3,29.5,29.3,29.5,200
143,29.9,29.9,29.8704,29.8704,200
144,29.75,29.75,29.675,29.675,300
145,29.7338,29.7338,29.7338,29.7338,1800
147,29.7001,29.7001,29.7001,29.7001,100
151,29.9,29.9,29.75,29.75,400
154,30,30,29.95,29.95,500
157,30.25,30.3,30.25,30.25,500
158,30.35,30.35,30.35,30.35,400
161,30.5,30.5,30.5,30.5,100
165,30.3303,30.3803,30.3303,30.35,1100
166,30.3,30.3,30.3,30.3,400
167,30.0001,30.0001,30.0001,30.0001,100
169,30.1491,30.1491,30,30,1400
174,29.9,29.9,29.9,29.9,100
175,29.7,29.75,29.7,29.75,300
176,29.7,29.7,29.7,29.7,100
177,29.5001,29.5001,29.5001,29.5001,100
178,29.6,29.65,29.4501,29.5,4951
284,29.65,29.65,29.65,29.65,100
289,29.7,29.7,29.7,29.7,174
290,29.85,29.85,29.8,29.8,200
291,29.55,29.9,29.55,29.8,500
292,29.525,29.525,29.525,29.525,250
294,29.494,29.525,29.494,29.525,275
296,29.6,29.6,29.6,29.6,100
298,29.55,29.55,29.525,29.525,300
299,29.525,29.525,29.525,29.525,100
302,29.85,29.85,29.85,29.85,200
310,30.15,30.15,30.15,30.15,156
311,29.65,29.95,29.65,29.8017,1785
312,29.25,29.25,29.25,29.25,100
320,29.4,29.4,29.35,29.35,200
321,29.55,29.55,29.5,29.55,987
322,29.75,29.75,29.5,29.5,1955
429,29.6,29.6,29.5,29.5,300
432,29.3847,29.3847,29.3847,29.3847,132
440,29.25,29.25,29.25,29.25,500
441,29.05,29.25,29.05,29.25,300
443,29.1,29.1,29.1,29.1,200
447,28.85,29.05,28.85,29.05,200
448,28.95,28.95,28.95,28.95,200
449,28.925,28.925,28.925,28.925,100
453,29.05,29.05,28.75,29,700
454,29,29.075,28.9436,28.9436,450
456,29.05,29.05,29.05,29.05,400
457,28.8,28.8,28.8,28.8,100
459,28.85,28.85,28.85,28.85,100
464,28.8,28.8,28.8,28.8,100
466,29,29,28.75,28.9,5076
863,28.8,28.8,28.8,28.8,100
864,28.75,28.75,28.75,28.75,500
865,28.4,28.4,28.4,28.4,100
866,28.65,28.65,28.3375,28.3375,300
875,28.7,28.7,28.7,28.7,450
879,28.9,28.95,28.9,28.95,200
891,28.4,28.65,28.4,28.65,800
892,28.35,28.35,28.35,28.35,200
893,28.25,28.25,28.25,28.25,100
894,28.375,28.375,28.375,28.375,100
898,28.45,28.6,28.4,28.4,1179
a1493732400,29.2,29.2,28.95,28.95,300
1,29.85,29.85,28.95,29,500
3,29,29,28.8,28.8,500
4,28.9,28.9,28.9,28.9,100
5,28.5001,28.5001,28.5001,28.5001,140
13,28.9499,28.9499,28.75,28.75,300
14,28.6,28.6,28.6,28.6,100
17,28.75,28.75,28.75,28.75,100
23,28.6,28.6,28.6,28.6,100
32,28.7,28.7,28.7,28.7,100
33,28.7,28.7,28.4501,28.4501,200
34,28.8999,28.8999,28.75,28.75,200
35,28.8,28.8,28.8,28.8,200
38,28.6,28.6,28.6,28.6,740
150,29.05,29.15,29.05,29.1,1000
162,28.8,28.8,28.8,28.8,100
171,28.801,29,28.801,29,300
173,29,29,29,29,400
174,28.8,28.85,28.8,28.85,754
175,29,29,29,29,100
176,28.85,29,28.85,29,200
180,28.8,28.8,28.65,28.65,900
181,28.7,28.7,28.7,28.7,400
182,28.6,28.75,28.5,28.75,1546
287,28.6,28.6,28.6,28.6,101
288,28.8,28.95,28.8,28.95,200
300,28.525,28.525,28.525,28.525,100
301,28.5,28.5,28.5,28.5,139
304,28.45,28.45,28.45,28.45,504
306,28.05,28.05,28.05,28.05,100
308,28.1,28.1,28.1,28.1,100
309,28.15,28.15,28.15,28.15,100
310,28.2499,28.25,28.225,28.25,600
311,28.1,28.1,28.1,28.1,100
314,28.1,28.1,28.1,28.1,100
315,28.2,28.2,28.2,28.2,400
319,28.35,28.4,28.35,28.4,400
320,28.625,28.625,28.625,28.625,100
321,28.65,28.65,28.65,28.65,200
324,28.85,28.85,28.8,28.8,553
325,28.9,28.9,28.9,28.9,100
326,28.65,28.75,28.65,28.75,479
431,28.65,28.65,28.65,28.65,207
438,28.85,28.8787,28.655,28.8787,2000
440,28.6,28.6,28.6,28.6,100
442,28.6,28.6,28.55,28.55,200
444,28.6,28.6,28.6,28.6,100
446,28.525,28.6,28.525,28.6,200
450,28.6,28.6,28.6,28.6,200
458,28.65,28.75,28.65,28.75,200
459,28.6001,28.6001,28.6001,28.6001,163
461,28.85,28.85,28.85,28.85,100
463,28.6636,28.6636,28.6636,28.6636,144
465,29.05,29.05,29.05,29.05,100
466,29.1,29.1,29.05,29.05,500
467,29.1,29.1,29.1,29.1,200
469,29.3,29.3,29.3,29.3,200
470,29.2,29.35,29.2,29.3,3828
864,29,29,29,29,100
868,28.95,29,28.95,28.95,500
869,28.85,28.85,28.85,28.85,100
870,28.8,28.8,28.8,28.8,100
872,28.75,28.75,28.75,28.75,100
873,28.5,28.7,28.5,28.7,200
880,28.55,28.55,28.55,28.55,100
881,28.5025,28.5025,28.45,28.45,350
883,28.95,28.95,28.6125,28.65,3000
884,29.05,29.05,28.945,28.945,1100
885,29.0315,29.0315,29.0315,29.0315,1000
889,29.15,29.15,29.15,29.15,100
891,29.2,29.2,29.2,29.2,100
892,28.95,29.15,28.95,29.05,500
894,28.95,28.95,28.95,28.95,100
895,29.2,29.2,29.1,29.1,600
897,29.2,29.2,29.2,29.2,100
898,29.05,29.1,29.05,29.1,200
899,29.45,29.45,29.1999,29.2,900
900,29.65,29.95,29.45,29.45,8705
901,29.85,29.85,29.85,29.85,100
902,29.6,29.75,29.6,29.6,1062
a1494336600,29.35,29.35,29.35,29.35,200
2,29.3,29.3475,29.3,29.3475,300
10,29.55,29.55,29.475,29.475,400
11,29.55,29.55,29.55,29.55,100
14,29.525,29.65,29.44,29.5,1300
16,29.45,29.45,29.45,29.45,240
17,29.65,29.65,29.65,29.65,100
25,29.7,29.7,29.7,29.7,200
31,29.575,29.575,29.575,29.575,100
34,29.55,29.65,29.4,29.4,300
36,29.4875,29.65,29.4875,29.55,1000
37,29.45,29.45,29.45,29.45,100
38,29.55,29.55,29.55,29.55,100
39,29.45,29.65,29.35,29.45,807
155,29.2,29.2,29.2,29.2,100
163,29.35,29.35,29.25,29.25,400
165,29.2,29.2,29.2,29.2,200
173,28.924,28.924,28.924,28.924,500
174,29,29,29,29,100
175,29.05,29.05,28.925,29,500
178,28.98,29.1,28.98,29.1,600
180,29.1,29.125,29.05,29.05,1200
181,29.05,29.05,29.05,29.05,100
183,29,29.2,29,29.15,1884
296,28.55,28.55,28.55,28.55,200
297,28.5,28.5,28.5,28.5,100
298,28.5718,28.6,28.4718,28.495,700
299,28.5,28.5,28.5,28.5,200
305,28.45,28.45,28.45,28.45,312
306,28.55,28.55,28.55,28.55,100
307,28.5024,28.55,28.5024,28.55,900
309,28.55,28.55,28.55,28.55,100
315,28.7,28.7,28.7,28.7,100
320,28.8,28.8,28.8,28.8,100
325,28.95,28.95,28.95,28.95,100
326,29.6,29.6,29.3,29.3,600
327,29.2,29.7,29.2,29.7,2617
432,28.95,28.95,28.95,28.95,112
434,28.4,28.4,28.4,28.4,100
