EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,6.25,6.25,6.25,6.25,100
1,6.25,6.25,6.25,6.25,5066
3,6.25,6.3,6.25,6.275,1100
4,6.35,6.35,6.325,6.325,300
5,6.3,6.4,6.3,6.4,1110
6,6.4,6.4,6.35,6.35,300
7,6.4,6.45,6.35,6.4,4800
8,6.4,6.4,6.4,6.4,300
11,6.35,6.45,6.35,6.449,2500
12,6.35,6.4,6.35,6.4,1500
16,6.3348,6.3348,6.3348,6.3348,1397
17,6.3,6.3,6.3,6.3,200
20,6.3,6.3,6.3,6.3,1200
21,6.3,6.3,6.3,6.3,100
22,6.25,6.3,6.25,6.25,300
23,6.3,6.3,6.3,6.3,200
24,6.275,6.275,6.275,6.275,100
25,6.275,6.3,6.275,6.3,300
27,6.25,6.3,6.25,6.2999,2100
28,6.3,6.3,6.3,6.3,200
30,6.3,6.3,6.2837,6.2837,920
31,6.275,6.3,6.275,6.275,300
32,6.25,6.3,6.25,6.3,200
33,6.3,6.3,6.3,6.3,900
34,6.3,6.3,6.3,6.3,600
35,6.25,6.3,6.25,6.25,3573
36,6.2,6.275,6.2,6.25,3050
37,6.25,6.25,6.2,6.2,800
38,6.25,6.25,6.2,6.25,800
39,6.25,6.25,6.2,6.2,2181
144,6.3,6.3,6.3,6.3,101
145,6.2,6.2,6.05,6.05,400
146,6.3,6.3,6.25,6.25,400
147,6.3,6.35,6.3,6.35,200
148,6.3,6.3,6.3,6.3,2100
149,6.3,6.3,6.25,6.25,200
150,6.275,6.3,6.25,6.3,500
151,6.275,6.275,6.275,6.275,100
152,6.25,6.2896,6.25,6.2896,1500
153,6.3,6.3,6.3,6.3,100
154,6.275,6.275,6.25,6.25,500
155,6.3,6.3,6.25,6.25,200
156,6.3,6.3,6.3,6.3,2100
157,6.3,6.3,6.25,6.25,200
158,6.3,6.3,6.3,6.3,100
159,6.275,6.275,6.25,6.25,200
160,6.3,6.3,6.3,6.3,100
161,6.25,6.3,6.25,6.3,200
162,6.3,6.3,6.3,6.3,100
163,6.25,6.3,6.25,6.3,200
164,6.275,6.3,6.275,6.3,200
165,6.3,6.3,6.3,6.3,200
166,6.275,6.3,6.25,6.25,300
167,6.275,6.3,6.275,6.3,300
168,6.3,6.35,6.2898,6.3,990
169,6.45,6.45,6.349,6.349,4416
170,6.449,6.449,6.449,6.449,600
171,6.4,6.4,6.4,6.4,800
172,6.375,6.375,6.375,6.375,100
173,6.35,6.35,6.325,6.35,7100
174,6.35,6.35,6.35,6.35,100
175,6.3,6.3,6.3,6.3,100
176,6.2594,6.3,6.225,6.3,8500
179,6.35,6.35,6.3,6.3,1572
181,6.279,6.3272,6.2,6.325,6750
182,6.3,6.3,6.275,6.3,400
183,6.25,6.3,6.25,6.3,1728
288,6.25,6.25,6.25,6.25,400
289,6.25,6.25,6.25,6.25,200
290,6.25,6.3,6.25,6.25,2859
291,6.25,6.25,6.25,6.25,100
292,6.25,6.3,6.25,6.25,600
293,6.275,6.3,6.275,6.3,200
294,6.25,6.3,6.25,6.3,200
295,6.25,6.25,6.25,6.25,2500
296,6.3,6.3,6.2186,6.2186,600
297,6.3,6.3,6.3,6.3,100
299,6.25,6.3,6.25,6.3,200
300,6.25,6.3,6.2,6.3,400
301,6.3,6.3,6.3,6.3,100
302,6.25,6.3,6.25,6.25,1400
303,6.25,6.25,6.25,6.25,100
304,6.3,6.3,6.3,6.3,100
305,6.25,6.3,6.25,6.3,200
306,6.3,6.3,6.3,6.3,100
307,6.25,6.25,6.25,6.25,200
308,6.3,6.3,6.3,6.3,100
309,6.25,6.3,6.25,6.3,400
310,6.25,6.25,6.25,6.25,1000
311,6.25,6.25,6.25,6.25,100
312,6.25,6.25,6.25,6.25,100
313,6.25,6.25,6.25,6.25,100
314,6.25,6.25,6.25,6.25,200
315,6.25,6.25,6.25,6.25,200
316,6.25,6.25,6.25,6.25,100
317,6.25,6.25,6.25,6.25,200
318,6.2,6.25,6.2,6.225,1000
321,6.2,6.225,6.2,6.225,234
322,6.25,6.25,6.225,6.225,200
323,6.25,6.25,6.225,6.25,400
324,6.25,6.25,6.25,6.25,100
325,6.25,6.25,6.225,6.25,300
326,6.25,6.25,6.25,6.25,800
327,6.2,6.25,6.2,6.225,1897
432,6.25,6.25,6.25,6.25,100
433,6.2,6.2,6.2,6.2,300
434,6.2,6.2,6.2,6.2,100
435,6.2,6.2,6.2,6.2,200
436,6.2,6.2,6.2,6.2,400
437,6.25,6.25,6.2,6.2,565
438,6.25,6.25,6.25,6.25,300
439,6.25,6.25,6.25,6.25,100
440,6.25,6.25,6.25,6.25,200
441,6.25,6.25,6.25,6.25,200
442,6.25,6.25,6.25,6.25,200
443,6.3,6.3,6.3,6.3,100
444,6.25,6.3,6.25,6.3,865
445,6.35,6.35,6.3,6.35,2000
446,6.25,6.25,6.25,6.25,200
447,6.3,6.3,6.2937,6.2937,600
449,6.3,6.3,6.279,6.279,1100
450,6.3,6.3,6.275,6.3,691
451,6.25,6.25,6.25,6.25,200
452,6.3,6.3,6.3,6.3,100
453,6.275,6.3,6.275,6.3,200
455,6.3,6.3,6.3,6.3,100
457,6.25,6.3,6.25,6.3,300
459,6.3,6.3,6.3,6.3,100
460,6.3,6.3,6.25,6.25,400
461,6.275,6.3,6.25,6.2734,1600
462,6.295,6.3,6.275,6.2937,3600
463,6.3,6.3,6.2737,6.275,2700
464,6.279,6.3,6.279,6.3,2900
465,6.3,6.3,6.26,6.3,2150
466,6.3,6.3,6.3,6.3,100
467,6.3,6.3,6.3,6.3,100
468,6.2999,6.3,6.27,6.27,5500
469,6.3,6.3,6.28,6.3,4900
470,6.3,6.3,6.3,6.3,200
471,6.25,6.3,6.2,6.3,7899
864,6.3,6.3,6.3,6.3,235
866,6.25,6.3,6.25,6.25,1930
867,6.25,6.25,6.25,6.25,4400
868,6.25,6.25,6.25,6.25,600
869,6.3,6.3,6.3,6.3,100
870,6.3,6.3,6.3,6.3,100
871,6.3,6.3,6.3,6.3,200
872,6.3,6.3,6.25,6.25,300
873,6.3,6.3,6.3,6.3,100
874,6.3,6.3,6.2,6.299,800
875,6.3,6.3,6.25,6.25,200
876,6.3,6.3,6.3,6.3,100
877,6.3,6.3,6.3,6.3,100
878,6.25,6.3,6.25,6.3,700
879,6.2556,6.2556,6.2556,6.2556,100
881,6.3,6.3,6.3,6.3,100
882,6.3,6.3,6.3,6.3,200
883,6.3,6.3,6.3,6.3,100
885,6.3,6.3,6.2689,6.3,845
886,6.3,6.3,6.3,6.3,100
887,6.3,6.3,6.3,6.3,100
888,6.3,6.3,6.3,6.3,100
889,6.25,6.275,6.25,6.275,1800
891,6.25,6.25,6.25,6.25,100
892,6.25,6.25,6.25,6.25,300
893,6.2,6.3,6.2,6.3,1800
895,6.2,6.2,6.175,6.2,700
896,6.2,6.2,6.1662,6.1662,335
897,6.2,6.2,6.2,6.2,100
898,6.175,6.2,6.1517,6.2,2433
899,6.2,6.2,6.2,6.2,200
900,6.2,6.2,6.175,6.175,300
901,6.2,6.2,6.175,6.2,400
902,6.2,6.2,6.2,6.2,200
903,6.2,6.25,6.175,6.2,1795
a1493731800,6.2,6.2,6.2,6.2,311
1,6.1983,6.25,6.1983,6.2,2660
2,6.15,6.25,6.15,6.2,13100
3,6.25,6.25,6.25,6.25,200
4,6.25,6.25,6.25,6.25,100
5,6.25,6.25,6.25,6.25,100
6,6.25,6.25,6.25,6.25,200
7,6.25,6.25,6.25,6.25,100
8,6.25,6.25,6.25,6.25,100
9,6.206,6.25,6.2,6.25,651
10,6.25,6.25,6.2,6.2,1700
11,6.25,6.25,6.25,6.25,100
12,6.25,6.25,6.25,6.25,100
13,6.25,6.25,6.25,6.25,100
14,6.25,6.25,6.25,6.25,100
15,6.25,6.25,6.2167,6.2167,702
17,6.25,6.25,6.25,6.25,100
18,6.25,6.25,6.2265,6.2265,1300
19,6.25,6.25,6.25,6.25,100
20,6.25,6.25,6.2438,6.2438,1100
21,6.25,6.25,6.225,6.25,300
