EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,19.5,19.5,19.5,19.5,8831
1,19.3102,19.89,19.0838,19.43,62981
2,19.6,19.6544,19.35,19.3785,5300
3,19.7102,19.91,19.5,19.5392,17040
4,19.74,19.775,19.63,19.63,3520
5,19.9692,20.03,19.71,19.7296,37584
6,19.8994,20.03,19.88,19.999,11695
7,20.14,20.2,19.846,19.9,19676
8,20.1573,20.34,20.11,20.12,15774
9,20.12,20.2,20.1,20.1638,2324
10,20.0847,20.14,20.01,20.08,4850
11,20.31,20.31,20.092,20.092,11918
12,20.42,20.46,20.274,20.2932,23664
13,20.63,20.75,20.3787,20.3787,34351
14,20.63,20.76,20.5,20.6,20899
15,20.65,20.72,20.601,20.61,3636
16,20.78,20.85,20.6799,20.68,10398
17,20.74,20.83,20.7245,20.75,11626
18,20.74,20.75,20.7001,20.72,9150
19,20.7492,20.75,20.7,20.7,5200
20,20.7424,20.86,20.65,20.7001,24971
21,20.7,20.85,20.695,20.73,15718
22,20.76,20.76,20.68,20.7258,11770
23,20.75,20.81,20.75,20.78,15290
24,20.7,20.75,20.68,20.75,5006
25,20.6902,20.71,20.6752,20.6999,1280
26,20.77,20.8,20.68,20.68,9953
27,20.72,20.78,20.7,20.78,9324
28,20.73,20.78,20.72,20.74,4800
29,20.77,20.84,20.74,20.75,15643
30,20.8,20.84,20.75,20.7631,11412
31,21.06,21.12,20.7999,20.7999,36019
32,21.2635,21.35,21.03,21.06,43487
33,21.29,21.45,21.25,21.25,14000
34,21.36,21.43,21.28,21.28,13987
35,21.27,21.36,21.23,21.32,11858
36,21.13,21.26,21.13,21.26,6435
37,21.17,21.18,20.9,21.13,16959
38,20.8742,21.18,20.8501,21.18,32669
39,20.9,20.95,20.73,20.9,54567
144,21.05,21.05,21.05,21.05,3778
145,21.3256,21.3256,20.9178,21.05,12569
146,20.86,21.4,20.74,21.3975,12938
147,20.88,20.989,20.88,20.9,2450
148,20.7,20.91,20.55,20.8,16525
149,20.59,20.72,20.51,20.66,11229
150,20.58,20.63,20.55,20.6189,6601
151,20.66,20.75,20.58,20.58,17813
152,20.6194,20.73,20.55,20.63,3430
153,20.3,20.64,20.3,20.5501,7461
154,20.4,20.46,20.3,20.35,5356
155,20.25,20.4392,20.1901,20.4392,9278
156,20.47,20.56,20.24,20.24,6856
157,20.3801,20.46,20.3701,20.44,2727
158,20.31,20.425,20.2,20.38,4000
159,20.2,20.34,20.0801,20.3,8886
160,20.16,20.29,20.1,20.22,4350
161,20.17,20.18,20.1,20.12,3200
162,20.25,20.25,20.1501,20.1634,6241
163,20.32,20.35,20.21,20.21,6042
164,20.44,20.44,20.32,20.32,8272
165,20.44,20.49,20.428,20.44,2850
166,20.4358,20.4358,20.3812,20.42,4163
167,20.38,20.43,20.36,20.361,934
168,20.43,20.43,20.3,20.39,4300
169,20.43,20.44,20.3975,20.43,500
170,20.4,20.42,20.34,20.42,1000
171,20.3252,20.42,20.3044,20.42,2396
172,20.39,20.42,20.35,20.35,3749
173,20.36,20.47,20.345,20.44,3300
174,20.36,20.38,20.3,20.33,2750
175,20.4105,20.4105,20.32,20.32,2400
176,20.44,20.44,20.31,20.38,1800
177,20.32,20.44,20.32,20.37,3100
178,20.23,20.29,20.1801,20.25,8604
179,20.23,20.23,20.18,20.18,3203
180,20.21,20.22,20.17,20.2,2800
181,20.24,20.26,20.19,20.25,10920
182,20.2,20.26,20.14,20.2096,17100
183,20.38,20.45,20.15,20.175,50801
288,20,20,19.99,20,155089
289,19.46,20.175,19.4,19.99,719101
290,19.27,19.485,19.02,19.4603,321943
291,18.8999,19.27,18.82,19.27,218915
292,19.1281,19.24,18.7,18.8916,191051
293,19.27,19.32,18.9,19.14,107290
294,19.26,19.3,19.16,19.27,36450
295,19.19,19.31,19.15,19.2101,47460
296,19.2,19.22,19.1,19.2,40058
297,19.25,19.3,19.19,19.19,31131
298,19.27,19.3,19.235,19.25,18459
299,19.3,19.34,19.26,19.2689,37465
300,19.3,19.4,19.24,19.3,67743
301,19.3,19.4,19.25,19.3,44674
302,19.18,19.4,19.11,19.29,53705
303,19.0642,19.2183,19,19.1709,40053
304,19.12,19.19,19.09,19.1098,25353
305,18.984,19.12,18.76,19.1103,79782
306,19.26,19.29,18.98,18.99,32699
307,19.22,19.35,19.185,19.29,46354
308,19.1501,19.255,19.15,19.23,24244
309,19.16,19.18,19.11,19.16,25058
310,19.21,19.21,19.1,19.17,24833
311,19.21,19.24,19.17,19.21,20556
312,19.23,19.37,19.16,19.21,24839
313,19.21,19.26,19.16,19.24,28871
314,19.0833,19.25,19.08,19.2,25698
315,19.04,19.22,19.03,19.08,24527
316,19.06,19.08,19.01,19.06,21755
317,19.05,19.06,19,19.05,22300
318,19.15,19.28,19.05,19.06,39035
319,19.22,19.25,19.1,19.15,30890
320,19.2,19.26,19.2,19.22,35092
321,19.195,19.26,19.15,19.2045,47977
322,19.27,19.28,19.18,19.195,32598
323,19.255,19.33,19.25,19.2608,56000
324,19.315,19.33,19.2,19.25,74490
325,19.33,19.4,19.31,19.32,118666
326,19.4,19.44,19.26,19.26,142045
327,19.39,19.44,19.34,19.4,773444
432,19.5,19.5,19.5,19.5,17447
433,19.79,19.82,19.4,19.6379,88450
434,19.62,19.82,19.6,19.7596,92630
435,19.58,19.63,19.45,19.625,91913
436,19.64,19.75,19.5806,19.5806,18010
437,19.56,19.63,19.5,19.63,27640
438,19.5603,19.6,19.5,19.56,29735
439,19.5,19.59,19.5,19.57,26450
440,19.441,19.565,19.4,19.5,72220
441,19.43,19.51,19.41,19.41,34723
442,19.43,19.45,19.41,19.43,8348
443,19.455,19.47,19.43,19.44,8910
444,19.4702,19.5011,19.4,19.455,20489
445,19.47,19.47,19.42,19.46,8650
446,19.4,19.5,19.4,19.49,12160
447,19.4511,19.4511,19.4,19.41,5860
448,19.425,19.465,19.4,19.45,2700
449,19.42,19.47,19.41,19.43,4100
450,19.46,19.46,19.41,19.44,2500
451,19.4,19.5,19.4,19.445,35331
452,19.405,19.44,19.39,19.4,5391
453,19.43,19.46,19.4,19.4,19877
454,19.42,19.42,19.42,19.42,300
455,19.42,19.445,19.42,19.43,6200
456,19.455,19.46,19.4,19.4224,8564
457,19.43,19.46,19.43,19.45,2200
458,19.43,19.44,19.395,19.42,9006
459,19.47,19.47,19.41,19.41,6903
460,19.43,19.46,19.42,19.44,9600
461,19.445,19.45,19.43,19.4301,13680
462,19.42,19.45,19.42,19.445,11340
463,19.425,19.47,19.42,19.42,17253
464,19.4422,19.455,19.43,19.43,8142
465,19.42,19.47,19.42,19.44,8041
466,19.44,19.47,19.39,19.42,23625
467,19.49,19.54,19.445,19.45,26942
468,19.45,19.5,19.45,19.49,13603
469,19.37,19.45,19.3,19.45,34042
470,19.4,19.5,19.3,19.39,76771
471,19.4,19.5,19.35,19.435,213353
864,19.74,19.74,19.68,19.68,5687
865,19.6,19.74,19.59,19.74,52851
866,19.565,19.66,19.5,19.605,18324
867,19.5,19.58,19.5,19.565,39807
868,19.52,19.52,19.5,19.5,10500
869,19.42,19.51,19.23,19.51,10800
870,19.54,19.54,19.4,19.42,5010
871,19.51,19.5357,19.47,19.525,8359
872,19.505,19.52,19.46,19.52,4699
873,19.45,19.54,19.45,19.48,9016
874,19.47,19.5,19.4,19.45,6094
875,19.5,19.5,19.48,19.4864,7280
876,19.57,19.58,19.48,19.5,41051
877,19.5916,19.61,19.55,19.57,13386
878,19.56,19.5861,19.55,19.585,25400
879,19.51,19.56,19.49,19.56,12146
880,19.51,19.54,19.49,19.51,4793
881,19.5499,19.58,19.5,19.5,107166
882,19.54,19.55,19.5,19.5376,10180
883,19.51,19.55,19.51,19.5107,5510
884,19.51,19.535,19.5,19.51,5922
885,19.51,19.54,19.49,19.51,23493
886,19.55,19.56,19.5,19.5,8390
887,19.4901,19.55,19.4901,19.55,9327
888,19.515,19.515,19.495,19.495,2400
889,19.48,19.51,19.415,19.5,12789
890,19.52,19.54,19.415,19.46,6919
