EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,7.4,7.4,7.4,7.4,4822
1,7.45,7.45,7.38,7.3801,12570
2,7.45,7.49,7.43,7.46,14971
3,7.47,7.47,7.44,7.44,8300
4,7.47,7.495,7.45,7.48,19009
5,7.45,7.48,7.45,7.47,6649
6,7.42,7.4561,7.42,7.4561,3700
7,7.4,7.43,7.4,7.43,11209
8,7.37,7.4,7.36,7.4,8500
9,7.38,7.38,7.36,7.36,10575
10,7.39,7.4,7.37,7.375,4100
11,7.4,7.4,7.385,7.39,4900
12,7.41,7.41,7.4,7.4,2727
13,7.39,7.41,7.39,7.4099,12487
14,7.385,7.4,7.38,7.39,16060
15,7.35,7.385,7.35,7.385,15295
16,7.34,7.36,7.34,7.35,13030
17,7.36,7.36,7.34,7.34,2500
18,7.3499,7.3599,7.34,7.3599,6242
19,7.35,7.37,7.34,7.34,16886
20,7.37,7.37,7.36,7.36,2419
21,7.37,7.38,7.36,7.36,2600
22,7.39,7.39,7.377,7.377,2200
23,7.38,7.39,7.38,7.38,800
24,7.385,7.3951,7.38,7.38,5260
25,7.38,7.385,7.38,7.385,300
26,7.39,7.395,7.38,7.385,6360
27,7.4,7.4,7.39,7.39,1700
28,7.41,7.41,7.39,7.39,3310
29,7.395,7.42,7.39,7.41,21522
30,7.39,7.395,7.39,7.39,1652
31,7.4,7.4,7.39,7.39,1100
32,7.38,7.4,7.38,7.4,5609
33,7.38,7.38,7.37,7.38,2500
34,7.37,7.38,7.37,7.38,1400
35,7.36,7.38,7.36,7.37,7509
36,7.3401,7.36,7.34,7.36,9937
37,7.35,7.35,7.34,7.34,2763
38,7.35,7.38,7.34,7.35,64349
39,7.35,7.35,7.3,7.35,131976
144,7.35,7.35,7.35,7.35,3970
145,7.35,7.4,7.31,7.35,6231
146,7.39,7.4,7.36,7.37,8909
147,7.42,7.42,7.39,7.39,1825
148,7.42,7.42,7.41,7.42,2500
149,7.44,7.44,7.415,7.42,8764
150,7.475,7.48,7.435,7.44,7266
151,7.48,7.48,7.455,7.475,7437
152,7.48,7.505,7.48,7.48,15150
153,7.51,7.51,7.48,7.48,8006
154,7.47,7.505,7.47,7.5,3900
155,7.49,7.49,7.465,7.465,4791
156,7.51,7.515,7.48,7.48,9452
157,7.5,7.5,7.4924,7.5,4700
158,7.44,7.51,7.44,7.5,13885
159,7.47,7.47,7.45,7.45,4250
160,7.45,7.46,7.45,7.46,1386
161,7.46,7.47,7.45,7.45,1660
162,7.46,7.46,7.46,7.46,1500
163,7.4653,7.47,7.45,7.46,3180
164,7.48,7.49,7.47,7.47,4700
165,7.48,7.49,7.475,7.475,4300
166,7.48,7.49,7.47,7.48,4000
167,7.46,7.49,7.46,7.4899,4953
168,7.46,7.47,7.46,7.47,1367
169,7.48,7.48,7.46,7.47,3300
170,7.46,7.48,7.45,7.48,4500
171,7.47,7.48,7.46,7.46,2758
172,7.465,7.48,7.45,7.46,8332
173,7.49,7.49,7.46,7.465,7057
174,7.47,7.49,7.46,7.48,7040
175,7.4975,7.4975,7.48,7.48,8220
176,7.51,7.51,7.5,7.5,3940
177,7.49,7.51,7.49,7.51,7600
178,7.5,7.5,7.49,7.495,2500
179,7.5,7.52,7.495,7.5,13336
180,7.51,7.51,7.5,7.5,3300
181,7.48,7.51,7.47,7.51,21903
182,7.46,7.48,7.44,7.48,22978
183,7.45,7.46,7.43,7.45,97092
288,7.46,7.46,7.46,7.46,2858
289,7.41,7.51,7.39,7.5,7508
290,7.45,7.49,7.395,7.42,11910
291,7.445,7.47,7.44,7.45,1200
292,7.43,7.46,7.43,7.44,3600
293,7.42,7.44,7.42,7.44,7388
294,7.39,7.42,7.39,7.415,3100
295,7.385,7.41,7.37,7.392,15240
296,7.395,7.4,7.38,7.38,3900
297,7.385,7.3999,7.385,7.39,5303
298,7.41,7.42,7.39,7.39,5211
299,7.455,7.46,7.415,7.415,9941
300,7.45,7.46,7.45,7.46,2833
301,7.435,7.45,7.43,7.45,4300
302,7.44,7.45,7.43,7.43,2300
303,7.44,7.455,7.44,7.4443,6111
304,7.43,7.45,7.43,7.445,12634
305,7.425,7.44,7.425,7.43,2403
306,7.42,7.43,7.42,7.42,1274
307,7.4499,7.45,7.42,7.43,5340
308,7.465,7.47,7.45,7.45,4400
309,7.46,7.47,7.46,7.46,2000
310,7.46,7.47,7.46,7.46,5290
311,7.45,7.47,7.44,7.4614,9873
312,7.45,7.455,7.44,7.45,8950
313,7.4462,7.45,7.44,7.445,4970
314,7.445,7.45,7.44,7.44,900
315,7.445,7.45,7.445,7.445,1153
316,7.45,7.45,7.44,7.44,2808
317,7.445,7.45,7.44,7.445,800
318,7.445,7.45,7.445,7.45,1241
319,7.455,7.46,7.45,7.45,6826
320,7.465,7.47,7.455,7.46,8307
321,7.46,7.47,7.46,7.47,3200
322,7.445,7.465,7.44,7.465,22989
323,7.445,7.45,7.44,7.45,15900
324,7.455,7.46,7.45,7.45,18568
325,7.485,7.49,7.455,7.46,20445
326,7.495,7.495,7.48,7.49,11231
327,7.47,7.5,7.46,7.5,162840
432,7.45,7.45,7.45,7.45,4042
433,7.35,7.46,7.33,7.46,15810
434,7.34,7.38,7.32,7.34,10082
435,7.36,7.38,7.33,7.34,10469
436,7.33,7.36,7.33,7.36,2400
437,7.31,7.335,7.31,7.335,5708
438,7.25,7.31,7.25,7.3,9150
439,7.23,7.25,7.22,7.25,8718
440,7.18,7.25,7.18,7.23,12333
441,7.18,7.195,7.17,7.18,7998
442,7.18,7.195,7.18,7.1853,3360
443,7.17,7.19,7.15,7.185,7800
444,7.16,7.17,7.15,7.17,2950
445,7.13,7.16,7.13,7.16,11650
446,7.1,7.157,7.1,7.14,19895
447,7.1,7.11,7.075,7.1,10383
448,7.13,7.14,7.105,7.11,18215
449,7.13,7.14,7.12,7.13,4600
450,7.12,7.15,7.12,7.13,13850
451,7.11,7.13,7.1,7.125,8680
452,7.12,7.13,7.115,7.12,8950
453,7.12,7.13,7.12,7.13,2300
454,7.12,7.14,7.12,7.12,7117
455,7.12,7.13,7.12,7.13,2592
456,7.08,7.125,7.08,7.125,19039
457,7.08,7.09,7.08,7.08,6784
458,7.04,7.08,7.03,7.08,40346
459,7.05,7.05,7.04,7.04,10591
460,7.01,7.06,6.99,7.05,31933
461,7.04,7.04,7.01,7.01,13020
462,7.035,7.04,7.03,7.0355,4500
463,7.05,7.06,7.04,7.04,6183
464,7.05,7.06,7.05,7.0501,5175
465,7.02,7.06,7.02,7.05,8990
466,7.02,7.02,7.01,7.02,6808
467,7.025,7.03,7.02,7.02,4545
468,7.01,7.03,7.01,7.03,5800
469,7,7.015,7,7.01,10309
470,7,7.01,6.99,7,39061
471,7,7.01,7,7.005,110109
864,7.02,7.02,7.02,7.02,2596
865,6.9439,7.06,6.91,7.04,31856
866,6.9299,6.96,6.91,6.93,43820
867,6.855,6.92,6.81,6.92,27902
868,6.91,6.92,6.833,6.86,8363
869,6.8999,6.93,6.89,6.91,8800
870,6.87,6.8984,6.87,6.89,2600
871,6.97,6.97,6.87,6.87,19756
872,6.97,6.98,6.96,6.9645,4173
873,6.985,6.985,6.96,6.965,5053
874,6.97,6.985,6.96,6.985,6704
875,6.9601,6.98,6.96,6.96,5077
876,6.9699,6.9699,6.955,6.96,5300
877,6.92,6.97,6.915,6.97,13057
878,6.91,6.93,6.91,6.9135,5317
879,6.92,6.92,6.91,6.92,3000
880,6.93,6.935,6.93,6.93,3600
881,6.92,6.94,6.92,6.93,4300
882,6.91,6.92,6.91,6.92,601
883,6.915,6.9211,6.91,6.91,2815
884,6.9192,6.92,6.91,6.92,3600
885,6.93,6.93,6.9,6.92,7051
886,6.94,6.94,6.93,6.93,3194
887,6.96,6.96,6.93,6.93,4050
888,6.99,6.99,6.95,6.96,2900
889,6.98,7,6.975,6.99,6204
890,7.01,7.01,6.98,6.98,7524
891,7.01,7.01,7,7.0099,2300
892,6.98,7.02,6.98,7.01,5590
893,6.97,6.99,6.97,6.985,4427
894,6.97,6.98,6.97,6.97,1801
