EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,111.81,111.81,111.81,111.81,3128
1,113.4,113.4,111.68,111.8,7082
2,113.47,113.995,113.3,113.455,10119
3,113.78,113.78,112.64,113.6446,10257
4,114.53,114.96,113.82,113.84,26678
5,114.25,115,114.25,114.64,9135
6,113.4,114.37,112.99,114.37,9550
7,113.93,114,113.4,113.65,3877
8,113.4644,113.91,113.3,113.8786,3549
9,113.765,114,113.44,113.7,3775
10,113.8,114.09,113.7,113.8196,9482
11,113.5,113.95,113.39,113.72,12306
12,113.55,113.67,113.35,113.415,4900
13,113.78,114,113.59,113.65,6904
14,113.46,113.79,113.46,113.75,2606
15,113.48,113.63,113.3,113.5,17775
16,113.28,113.5847,113.28,113.49,2080
17,113.46,113.78,113.15,113.27,7817
18,113.465,113.66,113.39,113.61,3968
19,113.61,113.78,113.265,113.42,17603
20,113.54,114.1036,113.3,113.625,6390
21,113.83,113.85,113.42,113.54,8945
22,113.78,113.9,113.73,113.83,2802
23,113.9658,114.1,113.85,113.9,4500
24,113.9025,114.09,113.83,114.04,2200
25,113.64,113.98,113.6,113.91,2500
26,114,114.04,113.4901,113.61,8759
27,114.38,114.39,113.96,113.96,8390
28,114.25,114.62,114.2,114.37,13140
29,114.165,114.25,114.09,114.1904,2147
30,114.0301,114.195,114.0301,114.15,1200
31,114.18,114.23,113.94,114.03,2500
32,114.15,114.33,114.03,114.21,2100
33,113.92,114.24,113.9,114.04,3100
34,114.545,114.68,114.18,114.18,5545
35,114.89,114.9,114.63,114.6668,3800
36,114.99,115.7,114.71,114.71,9295
37,115.0825,115.155,114.88,114.99,6600
38,115.15,115.2,115.05,115.06,10628
39,114.77,115.21,114.61,115.18,39830
144,115.09,115.09,115.09,115.09,2998
145,113.602,115.9,113.21,115.48,2714
146,115.035,115.035,113.5043,113.76,6513
147,114.99,115,114.3888,115,5795
148,114.74,115.14,114.28,114.84,2200
149,115.2,115.26,114.7,114.79,10150
150,115.41,115.55,115.06,115.25,7880
151,116.02,116.122,115.43,115.44,8779
152,115.58,115.8,115.45,115.8,6200
153,115.98,116.19,115.55,115.56,5200
154,114.81,115.67,114.5,115.67,14300
155,114.41,114.88,114.41,114.88,1400
156,114.75,114.75,114.17,114.21,3253
157,114.92,115,114.81,115,400
158,113.91,114.75,113.91,114.75,2625
159,114.01,114.09,113.88,114.035,2100
160,113.85,114.163,113.85,114.01,4562
161,114.0377,114.32,113.95,113.96,4500
162,113.96,114.04,113.95,114.028,550
163,113.85,113.96,113.6126,113.96,1900
164,113.74,113.75,113.74,113.75,300
165,114.24,114.36,113.61,113.63,4520
166,114.4,114.4,114.38,114.38,1900
167,113.46,114.65,113.46,114.4864,21855
168,113.625,113.675,113.5,113.5,600
169,113.5945,113.78,113.52,113.78,2195
170,113.38,113.54,113.09,113.54,6349
171,113.34,113.48,113.27,113.3,1950
172,113.15,113.23,113.15,113.23,1520
173,113.09,113.14,113.05,113.08,2100
174,113.3,113.3,113.035,113.065,1550
175,113.45,113.57,113.23,113.34,2189
176,113.84,114.23,113.44,113.44,1800
177,114.27,114.27,113.925,113.925,1350
178,114.34,114.49,113.74,114.01,2900
179,114.07,114.62,113.86,114.5,5250
180,114.7297,114.87,114.3,114.35,3007
181,114.43,114.94,114.43,114.75,4728
182,114.16,114.505,113.99,114.48,4500
183,113.45,114.13,113.26,114.13,31529
288,113.75,113.75,113.75,113.75,1093
289,113.96,114.4,113.89,114.4,2715
290,113.1601,114,113.1601,113.95,1723
291,114.32,114.91,113.28,113.3,27327
292,114.2501,114.5118,114.08,114.22,7834
293,113.97,114.63,113.97,114.26,8132
294,113.92,114,113.44,114,6286
295,113.476,113.75,113.25,113.74,3179
296,113.44,113.61,113.35,113.445,2677
297,113.18,113.3876,113.08,113.3,3980
298,114.03,114.03,113.29,113.32,3588
299,114.05,114.5,113.95,114.2,5305
300,114.25,114.25,114.04,114.22,2000
301,114.615,114.65,114.29,114.29,2550
302,114.55,114.62,114.38,114.57,603
303,114.57,114.75,114.485,114.58,3400
304,114.11,114.54,114.11,114.48,1398
305,114.17,114.17,114.17,114.17,200
306,113.81,114.23,113.81,114.09,2152
307,114.22,114.22,113.925,114.0499,2300
308,114.23,114.43,114.2,114.21,1300
309,114.3,114.3,114.13,114.15,500
310,114.14,114.5,114.09,114.33,2400
311,114.29,114.69,114.16,114.16,1400
312,114.51,114.62,114.29,114.42,2800
313,114.41,114.72,114.319,114.45,6880
314,114.54,114.62,114.43,114.6,1440
315,114.25,114.56,114.25,114.56,2400
316,114.02,114.36,113.81,114.35,3700
317,113.94,113.9541,113.77,113.905,1060
318,113.85,113.98,113.85,113.97,1100
319,114.4421,114.4421,114.06,114.06,900
320,114.25,114.45,114.145,114.31,1400
321,114.3,114.43,114.28,114.37,1700
322,114,114.33,113.95,114.2,3395
323,113.78,113.985,113.78,113.985,1200
324,113.64,113.84,113.59,113.66,4000
325,113.465,113.81,113.4,113.81,9330
326,113.59,113.65,113.4628,113.4628,3427
327,113.23,113.69,113.09,113.65,32686
432,113,113,113,113,5804
433,113.66,113.6741,112.17,113.0001,3216
434,112.88,113.89,112.875,113.89,6606
435,111.9458,113.2,111.78,112.87,4043
436,111.89,112.05,111.3,111.81,4823
437,110.82,112.05,110.65,111.9,9868
438,111.32,111.72,110.99,110.99,6135
439,112.38,112.38,111.13,111.13,2320
440,111.55,112.19,111.48,112.08,4100
441,111.95,111.95,111.5,111.68,5266
442,111.88,112.07,111.78,111.86,800
443,112.06,112.29,111.89,112,2000
444,112.69,112.69,112.18,112.22,6600
445,111.99,112.49,111.825,112.49,14371
446,111.46,112.16,111.46,112.16,5038
447,111.8299,111.85,111.57,111.73,1200
448,112.33,112.4,111.83,111.83,2072
449,112.0158,112.21,111.94,112.21,700
450,112.07,112.07,111.97,111.97,400
451,112.29,112.29,112.24,112.24,400
452,112.31,112.33,112.08,112.08,729
453,112.2,112.59,112.2,112.37,1600
454,112.33,112.55,112.33,112.44,4045
455,112.18,112.3,112.05,112.3,1479
456,112.04,112.09,111.66,112.09,900
457,112.13,112.25,112.09,112.245,400
458,112.18,112.21,111.98,112.06,1106
459,112.02,112.28,112.02,112.17,3400
460,111.59,111.82,111.59,111.82,200
461,112.4,112.4,112.1,112.1,700
462,112.55,112.7,112.45,112.45,900
463,112.49,112.69,112.32,112.69,3210
464,112.33,112.59,112.3,112.59,4800
465,112.6,112.6,112.18,112.3,2000
466,112.36,112.54,112.291,112.291,6804
467,112.7,112.7,112.41,112.42,3200
468,112.5,112.65,112.44,112.65,1900
469,112.7225,112.9,112.47,112.49,4168
470,112.36,112.725,112.36,112.7,10327
471,112.35,112.5,112.01,112.37,27549
864,112.49,112.49,112.18,112.18,2295
865,112.39,112.39,110.65,110.65,2775
866,112.5625,112.5625,111.59,111.59,2200
867,113.21,113.5,112.965,112.99,6045
868,112.7993,113.385,112.7993,113.13,1214
869,112.68,113.08,112.32,112.49,12232
870,112.5,112.885,112.35,112.885,1500
871,112.29,112.5282,112.21,112.29,3000
872,113.02,113.13,112.34,112.38,1432
873,113.11,113.18,112.8,113.09,4325
874,112.965,113.09,112.585,112.955,2000
875,112.66,113.01,112.66,112.97,2205
876,113.03,113.12,112.68,112.87,8100
877,113.04,113.25,112.8601,113.07,6051
878,113.5,113.5,113.04,113.0834,1700
879,113.64,113.77,113.29,113.375,5000
880,113.755,113.815,113.56,113.63,1000
881,113.6303,113.795,113.475,113.795,1421
882,113.845,113.8499,113.44,113.44,1750
883,113.845,113.845,113.69,113.69,900
884,113.97,114.05,113.78,113.85,4287
885,114.1825,114.1825,113.57,113.9748,4200
886,114.37,114.45,114.14,114.16,2000
887,114.45,114.6,114.24,114.31,3577
888,114.529,114.545,114.29,114.545,1150
889,114.2075,114.55,114.12,114.515,3500
890,114.17,114.28,114.14,114.2,2000
891,114.25,114.5399,114.01,114.2365,1650
892,114.19,114.37,114,114.23,3519
893,113.87,114.0412,113.73,113.995,3300
894,114.0018,114.07,113.85,113.92,1600
