EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,3.185,3.23,3.185,3.23,494
1,3.25,3.25,3.195,3.195,3818
2,3.23,3.23,3.23,3.23,2400
3,3.21,3.22,3.21,3.22,1100
4,3.2,3.22,3.2,3.22,3300
5,3.2,3.21,3.2,3.2,400
6,3.2,3.2,3.19,3.2,2800
7,3.2,3.21,3.195,3.21,1700
8,3.2,3.215,3.19,3.2,7100
9,3.19,3.21,3.19,3.19,500
10,3.19,3.2,3.19,3.2,400
11,3.19,3.19,3.19,3.19,100
12,3.19,3.21,3.19,3.21,400
13,3.195,3.2001,3.19,3.2,2600
14,3.19,3.2,3.19,3.19,800
15,3.185,3.2,3.18,3.19,4720
16,3.17,3.19,3.17,3.18,4600
17,3.17,3.17,3.17,3.17,300
18,3.179,3.18,3.16,3.17,10000
19,3.18,3.18,3.16,3.16,900
20,3.17,3.18,3.17,3.18,3400
21,3.16,3.167,3.16,3.16,700
22,3.17,3.17,3.16,3.16,900
23,3.17,3.17,3.16,3.17,2800
24,3.17,3.17,3.165,3.165,800
25,3.165,3.17,3.16,3.17,1200
26,3.17,3.17,3.16,3.17,2400
27,3.17,3.17,3.16,3.17,1200
28,3.18,3.19,3.16,3.17,45540
29,3.17,3.18,3.17,3.18,1200
30,3.19,3.19,3.17,3.17,1000
31,3.17,3.19,3.17,3.18,1400
32,3.18,3.1859,3.17,3.18,4300
33,3.18,3.189,3.17,3.18,4200
34,3.19,3.19,3.18,3.18,5500
35,3.18,3.19,3.18,3.18,2326
36,3.18,3.18,3.17,3.18,2100
37,3.18,3.19,3.18,3.18,2200
38,3.19,3.19,3.18,3.18,5300
39,3.19,3.21,3.17,3.185,20580
144,3.17,3.17,3.17,3.17,797
145,3.1701,3.1701,3.1701,3.1701,100
146,3.19,3.19,3.18,3.18,1100
147,3.18,3.18,3.18,3.18,200
148,3.18,3.181,3.17,3.18,1614
149,3.18,3.18,3.17,3.18,400
150,3.1801,3.185,3.18,3.185,1236
151,3.1801,3.185,3.18,3.185,1128
152,3.18,3.185,3.17,3.185,1900
153,3.1901,3.2,3.18,3.18,1100
154,3.1901,3.1901,3.1901,3.1901,100
155,3.2,3.2,3.2,3.2,100
156,3.202,3.21,3.2,3.21,1000
157,3.2,3.2,3.2,3.2,100
158,3.2,3.21,3.2,3.2,400
159,3.22,3.22,3.2001,3.2001,400
160,3.22,3.22,3.2,3.2,400
161,3.21,3.21,3.2,3.21,400
162,3.22,3.22,3.21,3.21,2475
163,3.22,3.22,3.21,3.21,2299
164,3.21,3.22,3.21,3.21,1834
165,3.2101,3.22,3.2101,3.22,2800
166,3.215,3.22,3.215,3.215,3246
167,3.23,3.23,3.215,3.22,800
168,3.23,3.2301,3.23,3.23,600
169,3.24,3.24,3.23,3.23,837
170,3.23,3.23,3.22,3.23,1100
171,3.2201,3.23,3.22,3.22,1000
172,3.2101,3.23,3.2101,3.23,500
173,3.22,3.23,3.22,3.22,300
174,3.225,3.23,3.22,3.22,900
175,3.22,3.23,3.22,3.23,1500
176,3.23,3.23,3.21,3.2101,1300
177,3.23,3.24,3.23,3.24,400
178,3.23,3.23,3.22,3.23,900
179,3.2201,3.24,3.22,3.22,1400
180,3.22,3.23,3.22,3.22,1800
181,3.22,3.23,3.22,3.22,1700
182,3.22,3.23,3.215,3.23,2216
183,3.21,3.22,3.21,3.22,15207
288,3.18,3.18,3.18,3.18,3226
289,3.24,3.36,3.22,3.36,400
290,3.23,3.23,3.22,3.23,2000
291,3.2,3.2,3.2,3.2,100
292,3.21,3.22,3.21,3.22,400
293,3.225,3.24,3.21,3.21,1316
294,3.21,3.23,3.21,3.21,800
295,3.2435,3.26,3.23,3.24,800
296,3.24,3.26,3.24,3.25,2100
297,3.24,3.25,3.24,3.25,200
298,3.27,3.27,3.23,3.23,2081
299,3.27,3.28,3.2631,3.27,1500
300,3.265,3.265,3.265,3.265,100
301,3.26,3.2684,3.23,3.2684,10665
302,3.26,3.26,3.25,3.25,200
303,3.25,3.26,3.25,3.25,400
304,3.25,3.27,3.25,3.25,2668
305,3.26,3.26,3.25,3.25,600
306,3.24,3.25,3.24,3.25,800
307,3.23,3.2516,3.23,3.2516,950
308,3.24,3.25,3.23,3.23,1000
309,3.24,3.24,3.23,3.23,500
310,3.24,3.24,3.24,3.24,300
311,3.23,3.24,3.23,3.23,300
312,3.23,3.24,3.23,3.23,500
313,3.23,3.24,3.22,3.235,2400
314,3.22,3.22,3.22,3.22,200
315,3.21,3.22,3.21,3.22,500
316,3.21,3.23,3.21,3.22,3300
317,3.22,3.22,3.21,3.21,600
318,3.22,3.23,3.22,3.22,700
319,3.22,3.23,3.22,3.22,1100
320,3.23,3.23,3.21,3.21,500
321,3.21,3.22,3.21,3.22,1200
322,3.21,3.21,3.21,3.21,400
323,3.2175,3.22,3.21,3.22,1300
324,3.23,3.23,3.21,3.21,1200
325,3.25,3.25,3.22,3.22,2800
326,3.26,3.26,3.25,3.25,900
327,3.25,3.26,3.25,3.26,11759
432,3.25,3.25,3.25,3.25,134
433,3.2,3.2,3.2,3.2,233
435,3.22,3.22,3.22,3.22,200
437,3.25,3.25,3.23,3.23,1100
438,3.23,3.25,3.23,3.25,200
439,3.24,3.25,3.23,3.24,600
440,3.24,3.25,3.24,3.25,1200
441,3.225,3.24,3.22,3.24,1400
442,3.22,3.22,3.21,3.21,1257
443,3.22,3.22,3.21,3.22,500
444,3.21,3.23,3.21,3.23,1000
445,3.18,3.1901,3.18,3.19,500
446,3.17,3.18,3.16,3.18,1900
447,3.18,3.19,3.17,3.18,800
448,3.17,3.19,3.17,3.17,600
449,3.17,3.18,3.17,3.18,500
450,3.19,3.19,3.18,3.18,200
451,3.18,3.19,3.18,3.18,700
452,3.19,3.19,3.185,3.185,300
453,3.19,3.19,3.185,3.185,400
454,3.2,3.21,3.19,3.19,500
455,3.18,3.21,3.18,3.2,500
458,3.18,3.19,3.18,3.19,200
459,3.18,3.18,3.17,3.17,400
460,3.18,3.18,3.17,3.18,1100
461,3.18,3.185,3.17,3.18,3498
462,3.18,3.18,3.18,3.18,100
463,3.18,3.18,3.18,3.18,2600
464,3.18,3.18,3.17,3.17,1400
465,3.18,3.19,3.17,3.18,2100
466,3.17,3.19,3.17,3.19,3700
467,3.17,3.18,3.17,3.18,4400
468,3.17,3.18,3.17,3.17,1600
469,3.17,3.18,3.17,3.17,3163
470,3.155,3.18,3.15,3.17,9550
471,3.15,3.16,3.14,3.16,36393
864,3.13,3.13,3.13,3.13,3072
865,3.16,3.17,3.13,3.13,4560
866,3.175,3.175,3.17,3.17,600
867,3.175,3.18,3.15,3.18,4700
868,3.16,3.17,3.15,3.16,1300
869,3.17,3.17,3.16,3.17,500
870,3.16,3.17,3.16,3.17,1500
871,3.16,3.17,3.16,3.16,900
872,3.15,3.16,3.15,3.16,2600
873,3.15,3.15,3.14,3.15,9826
874,3.17,3.1775,3.135,3.15,4700
875,3.14,3.16,3.14,3.16,600
876,3.14,3.15,3.13,3.14,2800
877,3.15,3.15,3.13,3.14,1100
878,3.155,3.17,3.14,3.14,1500
879,3.16,3.16,3.15,3.15,400
880,3.165,3.17,3.165,3.165,800
881,3.165,3.165,3.165,3.165,100
882,3.16,3.17,3.15,3.165,2100
883,3.1501,3.16,3.1501,3.155,2099
884,3.185,3.199,3.155,3.155,2150
885,3.18,3.18,3.17,3.18,1600
886,3.17,3.17,3.17,3.17,100
887,3.175,3.175,3.17,3.17,1000
888,3.172,3.18,3.17,3.175,4300
889,3.19,3.19,3.17,3.18,1800
890,3.18,3.2,3.18,3.2,1200
891,3.19,3.19,3.19,3.19,900
892,3.19,3.19,3.18,3.19,1025
893,3.19,3.19,3.1825,3.19,3900
894,3.185,3.19,3.18,3.185,2182
895,3.185,3.19,3.18,3.185,4536
896,3.18,3.185,3.18,3.185,2100
897,3.18,3.1898,3.18,3.18,2050
898,3.185,3.2,3.17,3.175,8572
899,3.18,3.19,3.18,3.19,2600
900,3.17,3.18,3.17,3.18,1580
