EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,4.15,4.15,4.15,4.15,2361
1,4.1476,4.1784,4.1476,4.1784,500
2,4.1062,4.16,4.1062,4.16,500
3,4.11,4.14,4.1,4.12,4181
4,4.1,4.1135,4.1,4.1135,2200
5,4.11,4.14,4.07,4.126,8465
6,4.108,4.1226,4.09,4.1,3406
7,4.0814,4.1,4.06,4.1,1450
8,4.06,4.072,4.06,4.07,1290
9,4.11,4.12,4.05,4.051,14308
10,4.07,4.14,4.07,4.11,25049
11,4.11,4.12,4.06,4.06,29272
12,4.11,4.11,4.11,4.11,416
13,4.1,4.11,4.1,4.1,400
14,4.1051,4.11,4.1,4.11,400
15,4.12,4.12,4.1072,4.11,1710
16,4.13,4.14,4.13,4.14,200
17,4.12,4.14,4.12,4.14,1100
18,4.14,4.14,4.07,4.11,9848
19,4.12,4.15,4.07,4.09,8910
20,4.13,4.13,4.1259,4.13,4200
21,4.13,4.13,4.12,4.13,400
22,4.13,4.13,4.125,4.13,600
23,4.13,4.13,4.1,4.115,12100
24,4.13,4.13,4.125,4.125,600
25,4.125,4.13,4.125,4.125,1200
26,4.1493,4.1493,4.13,4.13,3938
27,4.1586,4.1586,4.15,4.15,900
28,4.1442,4.1442,4.1442,4.1442,428
29,4.1442,4.15,4.1442,4.15,700
30,4.13,4.1401,4.111,4.1401,3700
31,4.14,4.14,4.14,4.14,100
32,4.1163,4.12,4.115,4.12,900
33,4.1,4.11,4.0914,4.11,463
34,4.12,4.12,4.1,4.1,2600
35,4.1262,4.13,4.1,4.1,3640
36,4.1032,4.1032,4.1032,4.1032,260
37,4.14,4.14,4.11,4.11,1100
38,4.2163,4.2163,4.15,4.15,7250
39,4.15,4.2,4.13,4.2,2284
144,4.18,4.18,4.18,4.18,3680
145,4.21,4.3027,4.12,4.12,28780
146,4.1949,4.239,4.1949,4.239,4150
147,4.22,4.29,4.22,4.24,3300
148,4.2374,4.2374,4.2374,4.2374,1250
149,4.26,4.26,4.26,4.26,200
150,4.25,4.26,4.25,4.26,700
152,4.28,4.2925,4.26,4.26,2840
153,4.28,4.3,4.27,4.27,3850
154,4.28,4.28,4.28,4.28,100
155,4.27,4.33,4.27,4.3,5915
156,4.28,4.28,4.2666,4.2666,2400
157,4.28,4.28,4.28,4.28,2495
158,4.31,4.31,4.28,4.28,6700
159,4.3134,4.3134,4.3134,4.3134,2000
160,4.269,4.3,4.269,4.3,12500
161,4.29,4.29,4.29,4.29,200
162,4.29,4.3,4.28,4.3,1900
163,4.3,4.3,4.29,4.29,850
164,4.2965,4.3,4.2965,4.3,600
165,4.295,4.3,4.29,4.3,800
166,4.3,4.3,4.2947,4.2947,660
167,4.295,4.295,4.295,4.295,100
168,4.29,4.3,4.29,4.3,700
169,4.3,4.3,4.3,4.3,200
170,4.29,4.2934,4.2853,4.29,2090
171,4.28,4.28,4.28,4.28,100
172,4.29,4.3,4.29,4.3,400
173,4.299,4.299,4.2958,4.2958,700
174,4.3,4.3,4.2924,4.2924,4845
175,4.3,4.3,4.3,4.3,600
176,4.3,4.34,4.29,4.295,10880
177,4.34,4.34,4.32,4.34,1000
178,4.32,4.32,4.32,4.32,2000
179,4.359,4.359,4.33,4.34,2300
180,4.36,4.3685,4.3562,4.3599,4450
181,4.35,4.37,4.35,4.35,2850
182,4.36,4.36,4.35,4.35,3510
183,4.35,4.3546,4.33,4.35,5399
288,4.39,4.39,4.39,4.39,8510
289,4.31,4.4899,4.31,4.35,8663
290,4.38,4.42,4.3,4.31,23550
291,4.41,4.46,4.41,4.42,5600
292,4.41,4.4358,4.4,4.41,5533
293,4.38,4.42,4.38,4.42,886
294,4.38,4.3956,4.3766,4.3766,5350
295,4.35,4.3888,4.35,4.385,2400
296,4.36,4.38,4.34,4.35,4100
297,4.33,4.36,4.33,4.36,500
298,4.33,4.33,4.3101,4.3101,1400
299,4.34,4.35,4.338,4.34,1400
300,4.35,4.35,4.3175,4.34,5754
301,4.25,4.34,4.22,4.3392,13400
302,4.31,4.315,4.2383,4.2436,6470
303,4.3,4.32,4.3,4.3,2952
304,4.3043,4.3043,4.3,4.3,375
306,4.3254,4.33,4.32,4.33,700
307,4.33,4.33,4.33,4.33,100
309,4.33,4.33,4.33,4.33,200
310,4.33,4.33,4.31,4.32,600
311,4.35,4.35,4.32,4.33,7205
312,4.34,4.34,4.34,4.34,300
313,4.35,4.35,4.35,4.35,100
314,4.34,4.345,4.34,4.345,500
315,4.34,4.3401,4.34,4.3401,399
317,4.32,4.3366,4.32,4.3366,450
319,4.33,4.34,4.32,4.32,400
321,4.32,4.34,4.32,4.34,400
322,4.33,4.33,4.32,4.32,300
323,4.32,4.32,4.31,4.31,300
324,4.27,4.32,4.27,4.3162,2150
325,4.31,4.31,4.3,4.3,800
326,4.31,4.31,4.3,4.31,300
327,4.31,4.35,4.29,4.31,25506
432,4.28,4.28,4.28,4.28,1814
433,4.25,4.26,4.17,4.26,29712
434,4.26,4.33,4.26,4.29,38870
435,4.23,4.3,4.23,4.26,4000
436,4.21,4.21,4.2,4.2,3900
437,4.21,4.21,4.21,4.21,200
438,4.24,4.24,4.23,4.23,600
439,4.24,4.24,4.24,4.24,350
440,4.2214,4.2214,4.2214,4.2214,3402
441,4.1658,4.218,4.1601,4.21,3500
442,4.08,4.16,4.07,4.16,33682
443,4.1153,4.1153,4.06,4.07,1500
444,4.09,4.0929,4.07,4.09,2294
445,4.0886,4.095,4.08,4.095,700
446,4.0805,4.1,4.08,4.1,6000
447,4.1,4.1,4.08,4.08,3400
448,4.1,4.1226,4.1,4.1,1100
449,4.0872,4.1,4.0872,4.0985,1200
450,4.1,4.1263,4.1,4.1263,300
451,4.08,4.1,4.08,4.1,11300
452,4.06,4.09,4.06,4.06,1150
453,4.07,4.07,4.05,4.06,12605
454,4.0701,4.0701,4.06,4.06,1450
455,4.09,4.09,4.06,4.06,2800
456,4.07,4.08,4.07,4.08,600
458,4.06,4.0704,4.06,4.0704,4307
459,4.05,4.06,4.05,4.06,2600
460,4.07,4.07,4.05,4.06,6064
461,4.05,4.06,4.05,4.05,15963
462,4.0684,4.0684,4.06,4.06,1900
463,4.06,4.06,4.06,4.06,700
464,4.055,4.07,4.055,4.07,1900
465,4.06,4.06,4.0599,4.0599,250
466,4.07,4.07,4.07,4.07,200
467,4.0692,4.07,4.0646,4.065,2900
468,4.07,4.07,4.05,4.06,3100
469,4.08,4.08,4.06,4.066,2500
470,4.09,4.09,4.078,4.08,4345
471,4.07,4.0846,4.05,4.0846,8379
864,4.06,4.06,4.06,4.06,1710
865,4.07,4.1,4.05,4.1,5650
866,4.091,4.17,4.091,4.1,10550
867,4.0641,4.08,4.0641,4.08,2640
868,4.08,4.08,4.08,4.08,200
869,4.08,4.08,4.08,4.08,200
870,4.08,4.094,4.07,4.0751,1210
871,4.0728,4.09,4.0728,4.09,1100
872,4.07,4.08,4.06,4.07,3281
873,4.0684,4.11,4.06,4.06,3549
874,4.0829,4.0829,4.062,4.07,3150
875,4.07,4.09,4.06,4.09,1700
876,4.06,4.07,4.055,4.07,1764
878,4.065,4.09,4.065,4.07,660
879,4.0797,4.0799,4.06,4.065,1900
880,4.06,4.06,4.06,4.06,100
881,4.07,4.08,4.05,4.065,13526
882,4.1,4.1,4.0681,4.0681,1100
883,4.0641,4.1,4.0641,4.0777,8885
884,4.06,4.08,4.06,4.08,2400
885,4.0575,4.07,4.0575,4.06,3200
886,4.16,4.16,4.06,4.06,16633
887,4.15,4.19,4.13,4.17,25500
888,4.23,4.25,4.16,4.17,33300
889,4.17,4.2036,4.16,4.2,28132
890,4.12,4.18,4.12,4.16,9918
891,4.14,4.14,4.1,4.1,300
892,4.1101,4.18,4.11,4.14,800
894,4.1274,4.1274,4.1274,4.1274,200
895,4.14,4.14,4.1101,4.1101,1000
896,4.13,4.16,4.11,4.128,8100
898,4.1188,4.1188,4.1188,4.1188,300
900,4.13,4.14,4.13,4.14,2400
901,4.15,4.15,4.1189,4.1189,1030
902,4.21,4.23,4.16,4.16,6566
