EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1498656600,7.1,7.1,7.1,7.1,297
2,6.975,7,6.975,7,200
3,7.35,7.5,7.35,7.5,300
4,7.2,7.35,7,7,5000
5,7.05,7.3,6.95,7.3,1980
6,7.275,7.3,7.15,7.15,10800
7,7.2,7.35,7.2,7.35,43500
8,7.15,7.15,7,7.15,2000
9,7,7,7,7,100
10,7.1,7.225,7,7.2,1727
11,7.1,7.1,7,7,300
12,7.3,7.3,7.1,7.15,2702
13,7.2,7.3,7.2,7.25,700
14,7.2,7.275,7.05,7.275,5588
15,7.225,7.25,7.225,7.225,800
16,7.25,7.25,7.2,7.225,3300
17,7.2,7.3,7.2,7.3,300
18,7.2,7.35,7.2,7.3,800
19,7.3,7.3,7.2,7.275,2770
20,7.25,7.25,7.25,7.25,549
21,7.2,7.3,7.2,7.3,1800
22,7.35,7.35,7.2,7.2,1600
23,7.3,7.3,7.25,7.25,708
24,7.25,7.35,7.25,7.3,400
25,7.25,7.35,7.25,7.3,700
26,7.3,7.3,7.25,7.3,700
27,7.25,7.25,7.25,7.25,300
28,7.275,7.3,7.25,7.3,3500
29,7.35,7.35,7.25,7.275,300
30,7.3,7.3,7.25,7.25,400
31,7.301,7.301,7.3,7.3,200
32,7.3,7.3,7.25,7.25,300
33,7.3,7.35,7.25,7.3,900
34,7.25,7.3,7.25,7.25,3500
35,7.225,7.225,7.2,7.2,200
36,7.25,7.25,7.2,7.2,600
37,7.25,7.25,7.25,7.25,500
38,7.25,7.25,7.15,7.25,300
39,7.1,7.25,7.1,7.2,25947
144,7.15,7.15,7.15,7.15,435
145,7.25,7.25,7.2,7.25,6047
146,7.15,7.25,7.15,7.25,1890
147,7.1,7.15,7.1,7.15,1210
148,7.2,7.2,7.15,7.175,5348
149,7.175,7.25,7.15,7.25,2300
150,7.15,7.2,7.1,7.2,3200
151,7.15,7.15,6.95,7.15,16945
152,7.15,7.15,7.1,7.15,1900
153,7.2,7.2,7.15,7.15,4300
154,7.15,7.2,7.15,7.2,2700
155,7.2,7.2,7.15,7.2,3952
156,7.175,7.2,7.15,7.2,1985
157,7.15,7.175,7.05,7.175,3400
158,7.15,7.15,7.1,7.15,4800
159,7.15,7.2,7.15,7.15,3885
160,7.2,7.2,7.15,7.2,1400
161,7.175,7.2,7.15,7.1721,3400
162,7.175,7.2,7.15,7.2,2839
163,7.15,7.2,7.15,7.2,2873
164,7.15,7.2,7.1,7.15,4200
165,7.1,7.15,7.05,7.15,3368
166,7.1,7.1,7.05,7.1,1900
167,7.1,7.1,7.025,7.1,4100
168,7.05,7.1,7,7,3800
169,7.1,7.1,7,7.05,4500
170,7.05,7.1,7,7.0105,5989
171,7.05,7.05,7,7.05,2300
172,7.025,7.05,7,7.05,3300
173,7.1,7.1,7,7.05,5613
174,7.1,7.1,7.05,7.1,2200
175,7.05,7.1,7,7.1,3239
176,7.025,7.05,7,7.05,4227
177,7.05,7.05,7,7,3882
178,7.025,7.05,7,7.025,3400
179,7,7.05,7,7.05,6128
180,7,7.05,7,7.025,7500
181,7,7.05,7,7.05,4500
182,7.075,7.1,7,7.05,19450
183,7.2,7.2,7.075,7.1,55048
288,7.15,7.15,7.15,7.15,1278
289,7.25,7.3,7.2,7.25,16155
290,7.25,7.3,7.225,7.3,3493
291,7.2,7.25,7.15,7.25,3700
292,7.15,7.2,7.15,7.15,3000
293,7.2,7.2,7.15,7.2,2100
294,7.25,7.25,7.175,7.2,3747
295,7.225,7.25,7.2,7.2,1300
296,7.25,7.25,7.2,7.25,3600
297,7.275,7.3,7.2,7.2,2100
298,7.3,7.3,7.25,7.3,7200
299,7.15,7.3,7.15,7.3,6965
300,7.2,7.2,7.15,7.15,900
301,7.15,7.2,7.15,7.2,1900
302,7.2,7.2,7.15,7.2,2300
303,7.25,7.25,7.15,7.15,2400
304,7.175,7.2,7.15,7.2,4900
305,7.25,7.25,7.2,7.2,3100
306,7.25,7.25,7.2,7.225,5444
307,7.25,7.25,7.225,7.225,2200
308,7.25,7.3,7.225,7.2499,7934
309,7.3,7.3,7.25,7.25,1400
310,7.3,7.3,7.25,7.3,1600
311,7.275,7.3,7.25,7.3,1300
312,7.3,7.3,7.25,7.25,5600
313,7.25,7.3,7.25,7.3,17477
314,7.3,7.3,7.201,7.201,2436
315,7.45,7.45,7.275,7.3,18558
316,7.425,7.45,7.425,7.425,4991
317,7.425,7.45,7.4,7.425,4480
318,7.45,7.45,7.425,7.425,2220
319,7.425,7.45,7.4,7.425,5300
320,7.45,7.5,7.425,7.425,7000
321,7.5,7.5,7.45,7.475,6752
322,7.5,7.5,7.475,7.475,520
323,7.45,7.5,7.45,7.45,23600
324,7.35,7.5,7.35,7.45,11420
325,7.3,7.385,7.3,7.35,5205
326,7.35,7.35,7.3,7.3,19504
327,7.35,7.35,7.3,7.35,50783
720,7.2,7.2,7.2,7.2,2268
721,7.3,7.45,7.25,7.4,2950
722,7.35,7.35,7.25,7.3,3107
723,7.35,7.4,7.35,7.4,1835
724,7.4,7.4,7.4,7.4,400
725,7.4,7.4,7.375,7.4,3096
726,7.3,7.4,7.3,7.4,4774
727,7.35,7.35,7.3,7.3,800
728,7.35,7.35,7.325,7.325,1700
729,7.35,7.35,7.325,7.35,2520
730,7.35,7.35,7.325,7.325,500
731,7.348,7.348,7.348,7.348,500
732,7.375,7.375,7.325,7.35,1900
733,7.4,7.4,7.4,7.4,300
734,7.4,7.4,7.37,7.4,1093
735,7.45,7.45,7.4139,7.45,525
736,7.45,7.45,7.45,7.45,100
737,7.4,7.45,7.4,7.425,1687
739,7.4,7.4,7.375,7.375,800
740,7.375,7.4,7.35,7.3625,3300
741,7.45,7.45,7.4,7.4,10171
a1499261400,7.3,7.3,7.3,7.3,1860
1,7.35,7.45,7.35,7.45,800
2,7.4,7.4,7.35,7.35,2286
3,7.45,7.45,7.4,7.4,5125
4,7.45,7.45,7.3535,7.4,3601
5,7.45,7.45,7.4,7.45,1406
6,7.45,7.45,7.4,7.45,1788
7,7.5,7.5,7.4,7.45,2500
8,7.5,7.5,7.45,7.45,1500
9,7.45,7.5,7.4,7.45,6838
10,7.45,7.5,7.45,7.45,2400
11,7.5,7.5,7.475,7.475,5310
12,7.475,7.5,7.45,7.475,11038
13,7.4,7.5,7.4,7.45,4600
14,7.4,7.45,7.4,7.425,4939
15,7.4,7.4,7.3,7.3857,4597
16,7.4,7.4,7.35,7.4,600
17,7.4,7.4,7.35,7.35,400
18,7.4,7.4,7.35,7.4,2805
19,7.45,7.45,7.35,7.4,4471
20,7.35,7.4,7.35,7.4,6800
21,7.4,7.4,7.35,7.4,400
22,7.35,7.4,7.35,7.382,2479
23,7.4,7.4,7.3535,7.4,1400
24,7.3642,7.4,7.3642,7.375,501
25,7.4,7.4,7.3,7.35,5200
26,7.4,7.4,7.35,7.4,11300
27,7.3,7.4,7.3,7.375,3335
28,7.35,7.35,7.3,7.3,1200
29,7.3,7.35,7.25,7.35,2297
30,7.35,7.35,7.3,7.35,1720
31,7.35,7.35,7.3,7.325,1700
32,7.25,7.35,7.25,7.35,700
33,7.3,7.35,7.3,7.3,700
34,7.25,7.315,7.2,7.3,7103
35,7.3,7.3,7.25,7.25,1600
36,7.325,7.35,7.25,7.25,3206
37,7.35,7.35,7.3,7.3,600
38,7.3,7.35,7.3,7.35,3987
39,7.3,7.35,7.3,7.325,24455
