EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,1.9,1.9,1.9,1.9,650
1,1.91,1.9125,1.91,1.9125,900
2,1.94,1.94,1.9,1.91,1900
3,1.9199,1.9216,1.9,1.908,17000
4,1.9189,1.9189,1.9147,1.9147,2300
5,1.9201,1.94,1.91,1.92,15945
6,1.8601,1.9201,1.85,1.9201,15389
7,1.87,1.8793,1.86,1.8601,10900
8,1.89,1.89,1.87,1.87,16550
9,1.8905,1.8905,1.88,1.88,2200
10,1.9,1.9,1.89,1.9,3500
11,1.89,1.9,1.89,1.9,700
12,1.88,1.8902,1.87,1.89,20582
13,1.87,1.88,1.87,1.88,2700
14,1.88,1.88,1.875,1.875,1300
15,1.875,1.88,1.8701,1.88,7535
17,1.875,1.875,1.875,1.875,100
18,1.89,1.89,1.88,1.88,2334
19,1.884,1.89,1.88,1.88,700
20,1.88,1.883,1.88,1.88,2700
22,1.88,1.88,1.87,1.88,1500
24,1.8801,1.8801,1.87,1.88,10734
25,1.88,1.89,1.88,1.88,2500
26,1.873,1.882,1.871,1.881,6200
27,1.87,1.88,1.87,1.88,1000
28,1.89,1.8921,1.89,1.8921,200
29,1.9,1.9,1.89,1.9,21957
30,1.88,1.9,1.87,1.895,4123
31,1.88,1.88,1.88,1.88,200
33,1.8999,1.92,1.88,1.9,34457
34,1.8903,1.8903,1.88,1.88,250
35,1.91,1.92,1.9,1.9,24750
36,1.88,1.89,1.88,1.89,1000
37,1.9,1.9,1.9,1.9,200
38,1.91,1.91,1.88,1.9,15950
39,1.89,1.91,1.89,1.91,4906
144,1.89,1.89,1.89,1.89,655
145,2,2,1.89,1.89,3907
146,1.99,2,1.9899,2,2100
147,1.95,1.95,1.95,1.95,400
148,1.96,1.965,1.96,1.9608,1300
149,1.9692,1.97,1.9501,1.96,5153
150,1.97,1.97,1.9689,1.9699,28766
151,1.9502,1.96,1.94,1.9536,4400
153,1.9475,1.9475,1.9475,1.9475,2000
154,1.95,1.95,1.94,1.94,1483
155,1.9425,1.95,1.9425,1.95,200
156,1.95,1.95,1.935,1.935,4700
157,1.93,1.94,1.89,1.94,23517
158,1.92,1.93,1.92,1.93,1770
159,1.91,1.93,1.91,1.93,8900
163,1.94,1.94,1.94,1.94,100
164,1.92,1.93,1.89,1.93,20200
166,1.92,1.92,1.92,1.92,8592
167,1.94,1.94,1.94,1.94,100
168,1.95,1.9594,1.94,1.94,17194
169,1.96,1.96,1.9589,1.96,5500
172,1.97,1.97,1.97,1.97,1900
173,1.9601,1.9601,1.9601,1.9601,1000
174,1.97,1.97,1.97,1.97,1666
175,1.965,1.97,1.96,1.9601,7834
176,1.97,1.97,1.9601,1.97,20600
178,1.95,1.9799,1.95,1.97,2300
179,1.98,1.98,1.965,1.965,4711
181,1.97,1.97,1.97,1.97,600
182,1.9747,1.9747,1.9747,1.9747,300
183,2,2,1.97,1.97,14450
288,2,2,2,2,370
289,2.09,2.11,2.04,2.04,10850
290,2.03,2.08,2.02,2.07,7200
291,2.05,2.09,2.05,2.089,7550
292,2.09,2.09,2.05,2.05,2400
293,2.08,2.09,2.06,2.06,3600
294,2.0546,2.07,2.05,2.07,5100
295,2.05,2.05,2.05,2.05,200
297,2.05,2.07,2.05,2.054,11780
298,2.06,2.06,2.06,2.06,100
300,2.05,2.06,2.05,2.06,1300
301,2.05,2.05,2.05,2.05,300
302,2.0565,2.0565,2.05,2.05,1121
303,2.05,2.06,2.05,2.06,400
304,2.05,2.05,2.05,2.05,100
305,2.05,2.05,2.05,2.05,1475
306,2.05,2.05,2.05,2.05,300
307,2.05,2.05,2.05,2.05,100
308,2.05,2.05,2.05,2.05,100
309,2.05,2.055,2.05,2.055,7550
311,2.06,2.06,2.05,2.05,300
312,2.06,2.065,2.06,2.065,2244
313,2.06,2.06,2.06,2.06,300
315,2.07,2.07,2.06,2.06,2900
316,2.05,2.05,2.05,2.05,200
317,2.05,2.0597,2.05,2.0597,710
318,2.0599,2.0599,2.05,2.05,2100
320,2.05,2.0501,2.05,2.05,328
321,2.056,2.056,2.0533,2.0533,1600
322,2.06,2.06,2.05,2.0554,3400
323,2.06,2.07,2.06,2.06,3250
324,2.08,2.08,2.06,2.07,17780
325,2.1,2.1,2.0786,2.08,6015
326,2.08,2.08,2.08,2.08,100
327,2.08,2.08,2.08,2.08,100
432,2.06,2.06,2.06,2.06,100
433,2.08,2.09,2.07,2.07,7200
434,2.07,2.07,2.07,2.07,400
435,2.08,2.08,2.05,2.07,8600
436,2.07,2.07,2.07,2.07,300
437,2.07,2.07,2.07,2.07,400
438,2.07,2.07,2.07,2.07,400
439,2.07,2.07,2.07,2.07,350
440,2.0784,2.0784,2.05,2.07,4982
441,2.07,2.0701,2.05,2.07,3000
442,2.07,2.07,2.07,2.07,200
443,2.07,2.07,2.05,2.07,7400
444,2.08,2.08,2.07,2.07,5200
445,2.0592,2.07,2.05,2.07,4600
446,2.07,2.08,2.07,2.08,300
447,2.06,2.0701,2.06,2.07,3800
448,2.0543,2.06,2.0543,2.06,5600
449,2.05,2.055,2.05,2.05,1800
450,2.06,2.06,2.06,2.06,1090
451,2.05,2.05,2.05,2.05,100
452,2.05,2.05,2.05,2.05,800
455,2.09,2.09,2.04,2.04,15700
457,2.06,2.06,2.06,2.06,100
458,2.0518,2.0518,2.0518,2.0518,5000
459,2.06,2.06,2.06,2.06,1600
460,2.06,2.06,2.05,2.06,800
461,2.07,2.07,2.07,2.07,3200
462,2.06,2.06,2.06,2.06,200
463,2.07,2.1,2.06,2.06,5700
465,2.1,2.1,2.09,2.09,11300
466,2.08,2.08,2.08,2.08,100
468,2.1,2.11,2.1,2.1,9500
469,2.1,2.1,2.1,2.1,200
470,2.11,2.11,2.09,2.09,7700
471,2.11,2.18,2.1086,2.11,48300
864,2.07,2.07,2.07,2.07,5695
865,2.1,2.1,2.07,2.07,9861
866,2.09,2.12,2.09,2.1,1196
867,2.14,2.14,2.1,2.1199,5500
868,2.12,2.15,2.11,2.15,500
869,2.12,2.1499,2.12,2.1499,665
870,2.15,2.1501,2.135,2.15,4199
871,2.15,2.1501,2.12,2.12,900
872,2.16,2.16,2.16,2.16,2698
873,2.16,2.17,2.13,2.17,1200
874,2.17,2.17,2.17,2.17,100
875,2.155,2.155,2.14,2.14,400
876,2.13,2.13,2.13,2.13,100
878,2.15,2.19,2.15,2.15,13000
879,2.19,2.2,2.18,2.18,25012
880,2.195,2.21,2.19,2.19,3700
881,2.19,2.21,2.19,2.2,14339
882,2.21,2.21,2.21,2.21,4000
883,2.2,2.2,2.19,2.2,1300
884,2.22,2.24,2.2,2.205,16100
885,2.25,2.25,2.21,2.24,15800
886,2.25,2.25,2.24,2.25,3100
887,2.25,2.25,2.2473,2.2473,4400
889,2.2166,2.2166,2.21,2.21,600
890,2.225,2.225,2.225,2.225,3000
891,2.21,2.21,2.21,2.21,400
892,2.19,2.2,2.19,2.2,300
893,2.2,2.2,2.2,2.2,100
894,2.23,2.24,2.2078,2.2078,18610
895,2.2086,2.2086,2.2,2.2,500
897,2.17,2.19,2.17,2.19,300
898,2.19,2.19,2.19,2.19,400
899,2.18,2.19,2.18,2.19,700
900,2.2,2.2,2.18,2.19,6448
901,2.2,2.2,2.2,2.2,300
902,2.19,2.19,2.19,2.19,300
903,2.22,2.22,2.17,2.17,4572
a1493731800,2.2,2.2,2.2,2.2,600
1,2.1501,2.2,2.15,2.2,18092
2,2.17,2.18,2.16,2.16,6633
3,2.17,2.17,2.17,2.17,1500
4,2.15,2.17,2.13,2.17,44307
5,2.11,2.15,2.11,2.15,2400
6,2.11,2.11,2.11,2.11,100
7,2.11,2.11,2.11,2.11,500
8,2.12,2.13,2.12,2.13,1054
9,2.12,2.12,2.12,2.12,100
10,2.12,2.14,2.12,2.14,400
11,2.13,2.14,2.13,2.14,300
12,2.15,2.15,2.12,2.12,3494
13,2.12,2.15,2.12,2.139,1850
14,2.12,2.12,2.12,2.12,200
16,2.12,2.12,2.12,2.12,300
17,2.12,2.123,2.12,2.123,220
