EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,69.52,69.52,69.52,69.52,7819
1,70.2,70.34,69.52,69.6,21478
2,69.57,70.33,69.57,70.17,24304
3,69.48,69.91,69.48,69.56,15285
4,69.415,69.96,69.3,69.56,27546
5,69.39,69.5311,69.27,69.42,8051
6,69.09,69.44,68.79,69.32,19607
7,68.69,69.245,68.645,69.1,24801
8,69.1,69.14,68.71,68.745,18173
9,69.055,69.175,68.99,69.135,7775
10,69.23,69.4177,68.99,69,13514
11,69.48,69.59,69.26,69.31,9810
12,69.24,69.5799,69.13,69.5799,25969
13,69.465,69.51,69.1,69.19,13400
14,69.25,69.59,69.21,69.51,23135
15,69.31,69.39,69.25,69.29,14413
16,69.309,69.33,69.22,69.32,11608
17,69.31,69.46,69.28,69.28,12798
18,69.1736,69.35,69.16,69.33,15441
19,68.98,69.23,68.98,69.2,14855
20,69.21,69.3,68.98,68.98,17842
21,69.13,69.245,69.05,69.2,40007
22,69.03,69.19,68.92,69.13,62635
23,69.09,69.36,69.035,69.035,18727
24,69.17,69.44,69.1375,69.16,14410
25,69.21,69.35,69.13,69.13,15147
26,69.39,69.53,69.21,69.21,19561
27,69.4,69.4799,69.31,69.32,6078
28,69.45,69.48,69.33,69.33,12848
29,69.35,69.45,69.13,69.45,9810
30,69.27,69.4,69.22,69.3,8528
31,69.15,69.3075,69.15,69.26,11111
32,69.25,69.32,69.19,69.2,17403
33,69.26,69.34,69.2,69.29,11125
34,69.47,69.51,69.26,69.28,17524
35,69.51,69.54,69.35,69.42,23747
36,69.41,69.53,69.36,69.505,20957
37,69.3,69.41,69.22,69.4049,30690
38,69.36,69.39,69.12,69.3,50957
39,69.14,69.47,69.06,69.36,70433
144,74.88,74.88,74,74.88,30066
145,80.823,80.96,74.6,74.6,432715
146,79.92,82.44,79.8,80.88,408807
147,78.79,80.47,78.42,79.985,272314
148,78.9199,79.35,78.16,78.74,155781
149,78.96,79.5,78.74,78.915,159726
150,79.9019,80.43,78.46,78.9625,116979
151,80.08,81.1,79.74,79.943,140103
152,80.01,80.275,79.6,80.08,74101
153,80.65,80.82,79.8301,80.015,71680
154,80.11,80.68,79.92,80.65,48111
155,79.77,80.48,79.5,80.15,61566
156,79.73,79.93,79.17,79.79,49627
157,79.66,79.85,79.64,79.78,44403
158,80,80.05,79.31,79.695,27412
159,80.19,80.24,79.69,80,38167
160,79.79,80.28,79.6775,80.24,20045
161,79.69,79.84,79.63,79.84,19888
162,79.5,79.78,79.38,79.68,26754
163,79.42,79.74,79.3275,79.55,23607
164,79.36,79.67,79.2568,79.545,16827
165,79.67,79.75,79.36,79.42,16520
166,79.7,79.795,79.5,79.64,23609
167,79.58,79.89,79.41,79.73,56314
168,79.5,79.75,79.499,79.585,21029
169,79.4,79.64,79.31,79.565,19404
170,79.23,79.69,78.83,79.42,61795
171,79.07,79.37,78.99,79.285,24471
172,78.97,79.27,78.91,79.22,49930
173,78.62,78.999,78.46,78.95,29983
174,79.19,79.27,78.62,78.62,32574
175,79.4699,79.68,79.1,79.27,70678
176,79.84,79.98,79.35,79.38,57584
177,79.78,79.95,79.52,79.87,57579
178,79.645,79.8,79.5608,79.77,47277
179,79.37,79.76,79.3,79.64,63596
180,79.45,79.56,79.29,79.38,79878
181,79.6658,79.7,79.31,79.47,90914
182,79.75,79.94,79.579,79.635,55909
183,80.02,80.2,79.7299,79.73,163071
288,80.08,80.08,80.08,80.08,17147
289,78.8899,80.25,78.11,80.25,81834
290,81.02,81.31,78.91,79.0386,69573
291,80,81.34,79.99,80.965,87488
292,80.92,81.2,79.75,80.06,47628
293,81.07,81.38,80.7763,81.068,45582
294,80.51,80.99,80.35,80.96,28013
295,80.81,81.08,80.4,80.52,16811
296,80.8759,81.15,80.77,80.91,13012
297,80.6,80.82,80.39,80.78,19213
298,80.76,80.93,80.44,80.55,21964
299,81.08,81.19,80.76,80.82,15874
300,80.91,81.1999,80.91,81.057,25819
301,80.76,80.9,80.59,80.9,5459
302,80.43,80.725,80.43,80.65,8273
303,80.92,80.92,80.42,80.48,15920
304,80.94,81.01,80.7576,80.91,8720
305,80.72,80.898,80.69,80.89,3117
306,80.62,80.77,80.605,80.735,4632
307,80.5846,80.683,80.54,80.64,13361
308,80.615,80.66,80.575,80.615,3673
309,80.7994,80.86,80.55,80.63,13250
310,80.67,80.79,80.66,80.79,5571
311,80.63,80.77,80.56,80.72,5450
312,80.5,80.67,80.49,80.641,7100
313,80.44,80.522,80.28,80.522,10000
314,80.521,80.55,80.37,80.49,6300
315,80.5099,80.5099,80.325,80.5,6112
316,80.59,80.71,80.485,80.485,12161
317,80.61,80.63,80.55,80.58,8085
318,80.54,80.67,80.49,80.62,7439
319,80.52,80.64,80.47,80.55,8853
320,80.3,80.63,80.3,80.54,10020
321,80.2,80.42,80.12,80.31,11675
322,80.2,80.403,80.2,80.22,13749
323,80.01,80.27,79.96,80.19,20625
324,80.07,80.12,79.99,80.02,71156
325,80,80.13,79.89,80.06,40914
326,80.1,80.185,79.94,79.99,43814
327,79.89,80.11,79.85,80.11,150323
432,79.85,79.95,79.62,79.95,20093
433,79.56,79.98,79.31,79.69,21457
434,79.28,79.6926,79.25,79.6926,13980
435,79.29,79.57,79.1543,79.36,28280
436,79.54,79.69,79.25,79.38,66967
437,79.26,79.55,79.17,79.55,51942
438,79.07,79.21,78.98,79.21,17194
439,79.24,79.4,79.05,79.06,16503
440,79.045,79.235,79.045,79.21,11579
441,79.22,79.34,79.1,79.11,10347
442,79.16,79.4,79.1,79.21,39332
443,79.145,79.2,79.06,79.2,5502
444,79.05,79.21,79.05,79.14,6680
445,79.28,79.29,79.03,79.05,10950
446,79.28,79.36,79.17,79.25,11346
447,79.125,79.29,79.12,79.275,5700
448,79.33,79.33,79.13,79.17,16945
449,79.4104,79.49,79.22,79.31,27855
450,79.49,79.6,79.45,79.46,14413
451,79.375,79.46,79.32,79.45,7033
452,79.4,79.53,79.33,79.4,18252
453,79.3,79.45,79.23,79.4,7155
454,79.54,79.54,79.205,79.25,18838
455,79.34,79.55,79.34,79.55,2500
456,79.4,79.46,79.31,79.345,3800
457,79.66,79.66,79.45,79.46,6702
458,79.83,79.93,79.64,79.64,40933
459,79.86,79.99,79.785,79.8139,23025
460,79.88,79.94,79.775,79.86,28143
461,79.69,79.87,79.68,79.81,11221
462,79.8,79.845,79.69,79.7386,19911
463,79.81,79.84,79.72,79.805,25373
464,79.835,79.91,79.75,79.82,21141
465,79.83,79.92,79.71,79.84,27738
466,79.78,79.87,79.71,79.79,15750
467,79.73,79.76,79.65,79.76,10658
468,79.835,79.86,79.7,79.73,12450
469,79.78,79.9,79.74,79.86,19824
470,79.725,79.83,79.64,79.81,23510
471,79.74,79.92,79.69,79.74,133791
864,80,80.26,79.89,79.89,10616
865,79.87,80.2797,79.775,80,19550
866,80.165,80.26,79.9,80,27610
867,80.21,80.5409,80.1,80.165,20242
868,80.33,80.36,80.11,80.16,31586
869,80.23,80.32,80.17,80.315,10950
870,80.074,80.25,79.61,80.24,28432
871,80.72,80.83,80.1,80.18,31893
872,80.82,80.94,80.54,80.69,15223
873,80.7639,80.9,80.715,80.85,9721
874,80.985,81.04,80.626,80.78,30271
875,81.1943,81.2128,81.018,81.018,8813
876,81.4598,81.7803,81.13,81.13,34233
877,81.23,81.6,81.23,81.5,13163
878,81.7,81.75,81.28,81.29,18114
879,81.83,81.875,81.58,81.7,39037
880,82.11,82.24,81.8401,81.8566,54030
881,82.07,82.24,81.8601,82.11,24000
882,81.96,82.256,81.91,82.142,24289
883,82.0548,82.25,81.96,81.96,23033
884,82.184,82.21,82,82.06,25499
885,82.18,82.34,82.1,82.155,20273
886,82.16,82.29,82.11,82.17,9355
887,82.17,82.29,82.1,82.12,13333
888,82.3584,82.372,82.15,82.2,8936
889,82.47,82.47,82.29,82.34,23055
890,82.49,82.55,82.35,82.4501,29371
891,82.4,82.494,82.4,82.494,11174
892,82.69,82.99,82.44,82.44,60103
893,82.69,83.02,82.53,82.7399,36851
