EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,16.76,16.76,16.76,16.76,6547
1,16.67,16.84,16.62,16.82,17770
2,16.8,16.85,16.72,16.72,53189
3,16.76,16.83,16.76,16.8,21272
4,16.87,16.87,16.75,16.76,30716
5,16.77,16.88,16.77,16.88,17532
6,16.73,16.78,16.69,16.77,15600
7,16.76,16.76,16.69,16.74,51606
8,16.82,16.83,16.73,16.75,33788
9,16.82,16.85,16.79,16.82,30623
10,16.83,16.86,16.81,16.82,16945
11,16.83,16.84,16.8,16.83,10580
12,16.81,16.84,16.785,16.82,19573
13,16.835,16.87,16.81,16.81,16253
14,16.79,16.85,16.78,16.835,11500
15,16.81,16.815,16.79,16.79,7898
16,16.83,16.83,16.81,16.82,7402
17,16.83,16.83,16.78,16.82,15811
18,16.805,16.825,16.77,16.82,6409
19,16.78,16.81,16.78,16.81,5900
20,16.77,16.8,16.75,16.79,19500
21,16.77,16.78,16.76,16.76,4000
22,16.74,16.77,16.73,16.76,10300
23,16.74,16.76,16.74,16.74,6600
24,16.71,16.75,16.71,16.74,8468
25,16.69,16.72,16.69,16.715,3154
26,16.68,16.69,16.66,16.69,9671
27,16.66,16.69,16.64,16.68,13305
28,16.72,16.735,16.665,16.665,13445
29,16.71,16.74,16.71,16.72,8883
30,16.665,16.71,16.665,16.71,7473
31,16.68,16.69,16.655,16.66,13603
32,16.64,16.68,16.63,16.675,19200
33,16.62,16.64,16.61,16.63,16216
34,16.63,16.64,16.62,16.625,9432
35,16.635,16.64,16.62,16.63,7600
36,16.615,16.64,16.615,16.63,21025
37,16.575,16.63,16.57,16.62,26882
38,16.575,16.58,16.56,16.58,19866
39,16.54,16.58,16.52,16.58,130164
144,16.58,16.58,16.58,16.58,5122
145,16.47,16.49,16.231,16.231,8437
146,16.52,16.55,16.45,16.47,16599
147,16.48,16.54,16.455,16.53,7300
148,16.475,16.48,16.45,16.48,4348
149,16.5,16.535,16.46,16.47,8560
150,16.54,16.56,16.5,16.5,7138
151,16.53,16.5402,16.5001,16.5401,5899
152,16.52,16.53,16.49,16.5201,7300
153,16.64,16.65,16.52,16.52,33001
154,16.625,16.65,16.6,16.64,16847
155,16.62,16.65,16.62,16.625,13216
156,16.66,16.7,16.59,16.61,22276
157,16.61,16.67,16.61,16.65,23717
158,16.59,16.62,16.55,16.61,14952
159,16.61,16.635,16.59,16.59,21097
160,16.64,16.65,16.59,16.61,28857
161,16.67,16.68,16.64,16.64,5364
162,16.68,16.6801,16.65,16.66,129000
163,16.65,16.68,16.63,16.68,32564
164,16.66,16.68,16.65,16.65,5894
165,16.6401,16.67,16.635,16.66,7300
166,16.66,16.66,16.63,16.65,4704
167,16.64,16.66,16.62,16.66,4440
168,16.62,16.66,16.62,16.64,11594
169,16.6,16.64,16.585,16.63,18514
170,16.58,16.61,16.58,16.59,7600
171,16.58,16.61,16.58,16.59,5468
172,16.575,16.58,16.55,16.5701,13723
173,16.58,16.59,16.56,16.58,6138
174,16.59,16.6,16.56,16.57,10011
175,16.57,16.6,16.57,16.59,4800
176,16.58,16.59,16.57,16.58,17174
177,16.57,16.6,16.57,16.59,6667
178,16.59,16.59,16.565,16.565,14017
179,16.6,16.62,16.58,16.59,10703
180,16.61,16.61,16.59,16.605,7000
181,16.585,16.61,16.58,16.61,12620
182,16.575,16.59,16.57,16.59,12653
183,16.55,16.575,16.545,16.5701,161602
288,16.62,16.62,16.62,16.62,7501
289,16.5,16.55,16.5,16.54,1600
290,16.64,16.7,16.49,16.49,21631
291,16.61,16.65,16.585,16.65,9550
292,16.58,16.63,16.57,16.61,9289
293,16.6,16.61,16.57,16.59,18973
294,16.59,16.6,16.55,16.6,7188
295,16.63,16.63,16.58,16.6,9600
296,16.6,16.62,16.585,16.62,22067
297,16.58,16.6,16.575,16.6,10050
298,16.64,16.64,16.58,16.585,18337
299,16.68,16.68,16.64,16.65,12469
300,16.61,16.68,16.61,16.68,6680
301,16.6,16.61,16.585,16.605,7800
302,16.6,16.61,16.57,16.6,24058
303,16.58,16.6,16.575,16.6,6181
304,16.58,16.6,16.58,16.59,5954
305,16.6,16.605,16.59,16.59,3915
306,16.6,16.6,16.59,16.59,2311
307,16.59,16.601,16.5893,16.59,5499
308,16.62,16.63,16.6,16.6,19200
309,16.6,16.63,16.59,16.62,10391
310,16.6,16.6,16.59,16.6,4800
311,16.605,16.62,16.6,16.615,6423
312,16.6,16.62,16.59,16.61,7037
313,16.6,16.6,16.58,16.58,2800
314,16.59,16.59,16.58,16.59,1774
315,16.56,16.58,16.55,16.58,4500
316,16.53,16.565,16.53,16.56,6200
317,16.545,16.55,16.54,16.54,2800
318,16.53,16.54,16.51,16.54,5462
319,16.55,16.5599,16.53,16.53,4400
320,16.53,16.54,16.515,16.54,3709
321,16.52,16.535,16.515,16.535,4148
322,16.5,16.5292,16.5,16.52,3400
323,16.49,16.51,16.49,16.5,7400
324,16.5189,16.52,16.485,16.49,8814
325,16.45,16.53,16.45,16.52,28908
326,16.4,16.46,16.4,16.45,43000
327,16.38,16.42,16.36,16.405,166994
432,16.63,16.63,16.44,16.44,5424
433,16.45,16.5999,16.39,16.5999,3006
434,16.39,16.47,16.38,16.44,9844
435,16.34,16.41,16.33,16.4,10100
436,16.34,16.39,16.34,16.37,9079
437,16.32,16.35,16.29,16.335,12346
438,16.31,16.34,16.29,16.32,5800
439,16.395,16.395,16.32,16.32,8400
440,16.37,16.425,16.37,16.4,28430
441,16.44,16.44,16.365,16.37,8800
442,16.41,16.44,16.4,16.435,6740
443,16.4,16.42,16.39,16.41,6623
444,16.38,16.41,16.38,16.4,6993
445,16.32,16.37,16.32,16.37,8999
446,16.35,16.35,16.31,16.32,9862
447,16.38,16.38,16.36,16.36,1900
448,16.39,16.4,16.38,16.38,7800
449,16.365,16.39,16.36,16.39,2560
450,16.4,16.4,16.37,16.37,5900
451,16.37,16.4,16.37,16.4,6698
452,16.38,16.38,16.36,16.365,5539
453,16.38,16.39,16.37,16.39,3200
454,16.375,16.38,16.37,16.38,4200
455,16.34,16.37,16.34,16.37,6640
456,16.34,16.34,16.28,16.34,11075
457,16.36,16.36,16.34,16.34,6938
458,16.34,16.35,16.33,16.35,4500
459,16.3,16.34,16.3,16.34,8685
460,16.31,16.32,16.29,16.3,3700
461,16.32,16.32,16.295,16.31,10871
462,16.32,16.33,16.31,16.32,8945
463,16.325,16.34,16.32,16.32,8800
464,16.3599,16.36,16.315,16.33,7851
465,16.37,16.37,16.35,16.36,3800
466,16.375,16.38,16.36,16.365,3010
467,16.39,16.4,16.37,16.3799,8639
468,16.38,16.4,16.37,16.4,15538
469,16.385,16.4,16.38,16.39,9548
470,16.39,16.4,16.33,16.38,79125
471,16.32,16.4,16.31,16.39,250060
864,16.35,16.35,16.35,16.35,2992
865,16.29,16.365,16.26,16.305,8471
866,16.31,16.36,16.24,16.27,18505
867,16.36,16.38,16.31,16.31,19100
868,16.3,16.4,16.3,16.3702,11966
869,16.27,16.32,16.27,16.29,15400
870,16.28,16.31,16.26,16.27,18859
871,16.33,16.33,16.26,16.28,15089
872,16.35,16.3665,16.32,16.33,11304
873,16.28,16.355,16.28,16.355,16920
874,16.29,16.31,16.2801,16.29,6807
875,16.29,16.3011,16.28,16.28,5200
876,16.31,16.35,16.28,16.29,8900
877,16.31,16.32,16.3,16.315,4200
878,16.36,16.395,16.32,16.32,11500
879,16.42,16.42,16.36,16.36,6900
880,16.4,16.42,16.38,16.42,13500
881,16.39,16.43,16.39,16.41,8600
882,16.38,16.3938,16.38,16.39,3022
883,16.37,16.385,16.36,16.38,9437
884,16.37,16.39,16.37,16.37,5900
885,16.39,16.39,16.35,16.38,9464
886,16.39,16.42,16.39,16.41,6129
887,16.41,16.41,16.38,16.4,9163
888,16.42,16.45,16.41,16.42,11438
889,16.41,16.42,16.41,16.41,3800
890,16.435,16.435,16.4,16.42,22300
891,16.415,16.43,16.4,16.43,27000
892,16.41,16.44,16.41,16.415,19802
893,16.345,16.41,16.34,16.41,14933
