EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,30.7,30.7,30.7,30.7,101
3,30.7,30.7,30.7,30.7,100
10,30.85,30.85,30.825,30.85,300
11,31.3,31.3,30.9,30.9499,1605
12,31.25,31.3,31.1,31.1,1200
13,31.1001,31.175,31.1001,31.15,496
16,31.25,31.25,31.175,31.175,200
19,31.25,31.25,31.25,31.25,100
20,31.25,31.25,31.2236,31.2236,250
22,31.2,31.2,31.2,31.2,100
24,31.25,31.25,31.15,31.15,400
28,31.15,31.15,31.15,31.15,300
29,31.1,31.1,31.1,31.1,100
30,31.2,31.2,31.2,31.2,100
32,31.05,31.2,31.05,31.15,1100
33,31.05,31.05,31.05,31.05,500
35,31.05,31.1,31.05,31.1,2200
36,31.05,31.05,31.05,31.05,100
37,31.2,31.2,31.1,31.1,2000
39,31.15,31.2,31.05,31.2,2195
144,31.1,31.1,31.1,31.1,417
146,31.1716,31.1716,31.15,31.15,350
148,31.05,31.05,31.05,31.05,100
149,31.075,31.075,31.05,31.05,300
150,31.05,31.1,31.0001,31.05,1700
151,30.85,31,30.85,31,800
153,30.9,30.9,30.9,30.9,200
154,30.95,31,30.95,31,300
156,30.95,30.95,30.95,30.95,100
159,30.9,30.9,30.9,30.9,225
161,30.9,30.9,30.9,30.9,200
163,30.9,30.9,30.9,30.9,200
167,30.9,30.9,30.9,30.9,100
168,30.9,30.9894,30.9,30.9894,400
170,30.942,30.942,30.942,30.942,100
171,30.98,30.98,30.9,30.9,200
172,30.9011,30.9011,30.9011,30.9011,200
173,30.925,30.95,30.9,30.95,300
175,30.95,30.95,30.9191,30.9191,300
176,31,31,30.855,30.9,900
177,30.925,30.925,30.913,30.913,250
178,30.85,30.95,30.85,30.9,500
179,30.92,30.92,30.8,30.8,388
180,30.925,30.95,30.8,30.875,700
182,30.95,30.95,30.9,30.925,800
183,30.85,30.9,30.75,30.875,2646
288,30.95,30.95,30.95,30.95,1046
289,30.7789,30.85,30.7789,30.85,488
290,30.95,30.95,30.95,30.95,100
292,31,31,31,31,100
294,31.075,31.075,31.075,31.075,100
297,31,31,31,31,100
298,31,31,30.9392,31,1433
299,31,31,31,31,100
301,30.85,30.85,30.85,30.85,200
303,30.893,30.893,30.893,30.893,200
304,30.9,30.9,30.8348,30.8348,950
307,30.85,30.85,30.85,30.85,400
308,30.85,30.85,30.85,30.85,100
309,30.9,31,30.8537,30.9,1474
310,30.95,30.95,30.9,30.9,200
313,30.9,30.9,30.85,30.85,200
315,30.95,30.95,30.95,30.95,100
319,30.85,30.95,30.85,30.95,500
320,30.95,30.95,30.95,30.95,100
322,30.95,30.95,30.95,30.95,200
323,30.8,30.8,30.8,30.8,200
324,30.9,30.9,30.7935,30.7935,350
325,30.8578,30.8578,30.85,30.85,400
326,30.9,30.9,30.86,30.86,458
327,30.7,30.75,30.7,30.75,1022
432,30.9,30.9,30.9,30.9,603
434,30.701,30.701,30.701,30.701,100
435,30.75,30.75,30.75,30.75,100
436,30.8,30.8,30.8,30.8,100
437,30.8,30.8,30.8,30.8,100
438,30.775,30.775,30.75,30.75,300
439,30.7625,30.8,30.7625,30.775,300
440,30.75,30.75,30.75,30.75,200
441,30.8,30.8,30.8,30.8,467
442,30.85,30.85,30.85,30.85,100
444,31,31,30.85,30.85,808
445,31,31,30.95,30.95,300
446,30.95,30.95,30.95,30.95,100
447,31,31,31,31,100
448,31,31,31,31,200
450,31,31,31,31,100
451,31,31,31,31,100
452,31,31,31,31,200
453,31.2,31.225,31,31,3100
454,31.2533,31.2533,31.2499,31.2499,200
456,31.25,31.25,31.1283,31.1283,950
457,31.25,31.25,31.25,31.25,1800
458,31.25,31.25,31.2188,31.2188,200
459,31.25,31.25,31.25,31.25,600
461,31.225,31.25,31.2,31.25,400
462,31.25,31.25,31.15,31.2,460
464,31.25,31.45,31.25,31.25,1300
465,31.25,31.25,31.25,31.25,100
467,31.3,31.3,31.3,31.3,400
468,31.3,31.3,31.3,31.3,100
469,31.2,31.2,31.2,31.2,100
470,31.4125,31.45,31.25,31.25,1600
471,31.3,31.45,31.15,31.45,6000
864,31.35,31.35,31.35,31.35,119
865,31.25,31.25,31.25,31.25,5000
868,31.15,31.2,31.15,31.2,200
869,30.8859,31.15,30.701,31.15,1805
870,30.75,30.85,30.75,30.85,67834
871,30.7,30.8,30.7,30.8,200
872,30.85,30.85,30.85,30.85,100
874,31.15,31.15,30.95,30.95,1200
875,31.15,31.15,31.15,31.15,1000
876,31.25,31.25,31.25,31.25,100
877,31.35,31.35,31.25,31.25,200
878,31.175,31.175,31.175,31.175,100
879,31.25,31.4,31.25,31.4,400
880,31.25,31.25,31.25,31.25,100
882,31.2212,31.2212,31.2212,31.2212,400
883,31.25,31.25,31.25,31.25,100
884,31.35,31.45,31.35,31.35,300
885,31.25,31.25,31.25,31.25,100
886,31.3,31.35,31.3,31.35,200
887,31.35,31.45,31.35,31.35,300
888,31.45,31.45,31.25,31.25,400
889,31.35,31.375,31.3,31.375,800
890,31.35,31.35,31.3,31.35,700
891,31.25,31.3,31.2,31.3,756
892,31.25,31.25,31.25,31.25,200
893,31.325,31.325,31.325,31.325,100
894,31.4,31.4,31.325,31.325,200
895,31.3,31.4,31.3,31.4,200
897,31.35,31.35,31.25,31.274,1800
898,31.25,31.3,31.25,31.3,700
899,31.2659,31.2659,31.2,31.25,1908
900,31.25,31.25,31.25,31.25,100
901,31.25,31.25,31.25,31.25,200
902,31.15,31.242,31.15,31.242,400
903,31.2,31.2,31.1,31.2,2195
a1493731800,31.35,31.35,31.35,31.35,371
1,31.3,31.35,31.3,31.35,900
2,31.2724,31.3,31.2724,31.3,300
3,31.3,31.3,31.3,31.3,100
4,31.25,31.25,31.25,31.25,300
7,31.15,31.1501,31.15,31.1501,200
8,31.1,31.1,31.1,31.1,100
9,31,31,31,31,100
10,30.975,30.975,30.95,30.95,200
11,31,31,31,31,200
14,31.0001,31.0001,31.0001,31.0001,100
18,31.05,31.05,31,31.05,400
22,31.1,31.1,31.1,31.1,100
23,31,31,31,31,100
24,31.05,31.05,31.05,31.05,100
27,31.0001,31.0001,31.0001,31.0001,127
28,31,31,31,31,100
30,31.0465,31.0465,31.0465,31.0465,322
32,31,31,31,31,200
35,31.025,31.05,31.025,31.05,200
36,31.05,31.05,31.05,31.05,300
37,31.05,31.05,31.05,31.05,100
38,31.05,31.05,31.05,31.05,100
39,31.05,31.1,31.05,31.05,819
144,30.95,30.95,30.95,30.95,200
145,30.7477,30.8,30.7,30.75,700
146,30.8,30.8,30.8,30.8,200
147,30.9,30.95,30.9,30.95,200
149,30.75,30.85,30.75,30.85,1300
150,30.55,30.6,30.55,30.6,500
151,30.55,30.55,30.55,30.55,200
152,30.4,30.55,30.35,30.55,800
154,30.55,30.558,30.4,30.45,1400
157,30.5343,30.65,30.5343,30.5525,1800
159,30.626,30.626,30.475,30.475,1200
160,30.6,30.6,30.6,30.6,215
161,30.6,30.6,30.505,30.505,500
162,30.5417,30.5417,30.5417,30.5417,300
164,30.6,30.65,30.6,30.6,400
166,30.575,30.6,30.575,30.6,200
169,30.5,30.5,30.5,30.5,100
173,30.55,30.6,30.55,30.6,200
175,30.55,30.55,30.55,30.55,200
177,30.6,30.6,30.55,30.55,200
179,30.45,30.5,30.45,30.5,1495
180,30.45,30.45,30.45,30.45,200
183,30.55,30.55,30.45,30.5,1488
288,30.45,30.45,30.45,30.45,442
289,30.5,30.5,30.051,30.25,1200
290,30.5,30.55,30.5,30.55,2845
291,30.55,30.55,30.55,30.55,1780
292,30.6,30.6,30.55,30.55,1200
293,30.7,30.7,30.7,30.7,200
294,30.45,30.6,30.45,30.6,60580
295,30.425,30.45,30.4,30.4,600
296,30.45,30.45,30.45,30.45,200
297,30.509,30.509,30.45,30.5,825
298,30.4,30.45,30.4,30.45,680
299,30.55,30.55,30.5,30.5,300
302,30.5,30.55,30.5,30.55,605
303,30.55,30.55,30.5,30.5,695
304,30.5,30.5,30.5,30.5,100
305,30.4,30.4,30.4,30.4,100
