EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,2.1,2.1,2.1,2.1,100
4,2.082,2.082,2.082,2.082,400
6,2.1,2.1,2.1,2.1,100
7,2.095,2.095,2.095,2.095,2000
9,2.15,2.15,2.15,2.15,100
12,2.15,2.15,2.15,2.15,100
14,2.1,2.1,2.1,2.1,200
16,2.1,2.1,2.1,2.1,100
20,2.1,2.1,2.1,2.1,100
22,2.1,2.1,2.1,2.1,100
24,2.1,2.1,2.1,2.1,100
28,2.1,2.15,2.1,2.15,200
31,2.1,2.15,2.1,2.15,200
32,2.114,2.114,2.114,2.114,200
35,2.1,2.15,2.1,2.15,200
36,2.0705,2.0705,2.0705,2.0705,1150
37,2.05,2.15,2.05,2.15,200
38,2.1,2.1,2.05,2.05,200
39,2.05,2.1,2.05,2.075,800
144,2.1,2.1,2.1,2.1,501
145,2.15,2.15,2.1,2.1,400
146,2.15,2.15,2.15,2.15,100
154,2.1,2.1,2.05,2.05,1777
155,2.05,2.05,2.05,2.05,258
158,2.15,2.15,2.15,2.15,258
159,2.15,2.15,2.15,2.15,100
166,2.15,2.15,2.15,2.15,100
171,2.0653,2.1,2.0653,2.1,600
174,2.15,2.15,2.15,2.15,100
180,2.15,2.15,2.1,2.1,200
183,2.05,2.1,2.05,2.1,616
288,2.05,2.05,2.05,2.05,146
299,2.0695,2.0695,2.0695,2.0695,2000
303,2.1,2.2,2.1,2.1,4200
320,2.15,2.15,2.15,2.15,1080
327,2.1,2.15,2.1,2.15,375
434,2.05,2.05,2.05,2.05,300
435,2.1,2.1,2.1,2.1,100
436,2.075,2.075,2.05,2.075,300
439,2.05,2.05,2.05,2.05,220
441,2.1,2.1,2.1,2.1,100
453,2.1,2.1,2.1,2.1,350
459,2.0603,2.0603,2.0603,2.0603,500
463,2.05,2.05,2.05,2.05,5000
464,2.075,2.075,2.05,2.05,6300
465,2.05,2.075,2.05,2.05,6448
470,2.05,2.05,1.95,2.05,700
471,1.95,2.05,1.95,2,4844
864,2,2,2,2,2276
865,2,2,2,2,394
866,2.05,2.05,2.05,2.05,400
871,2.014,2.014,2.014,2.014,500
880,2.05,2.05,2.045,2.045,4000
885,2,2,1.95,2,8200
889,2,2,2,2,100
896,1.9,1.9,1.9,1.9,100
898,1.95,1.95,1.9,1.9,1300
900,1.925,1.95,1.925,1.95,200
901,1.9,1.9,1.9,1.9,2000
903,1.85,1.95,1.85,1.9384,14600
a1493734800,1.9,1.9,1.9,1.9,600
5,1.8744,1.8744,1.8744,1.8744,250
7,1.895,1.895,1.895,1.895,150
8,1.875,1.875,1.875,1.875,200
17,1.855,1.855,1.85,1.85,1945
21,1.85,1.85,1.85,1.85,200
32,1.8,1.85,1.8,1.85,7508
33,1.8,1.8,1.8,1.8,280
34,1.8,1.8,1.8,1.8,100
139,1.8,1.8,1.8,1.8,250
142,1.8,1.8,1.8,1.8,700
143,1.7135,1.795,1.7,1.795,8312
144,1.4,1.7,1.3,1.7,21825
145,1.395,1.45,1.395,1.4,18400
146,1.25,1.355,1.2,1.35,28095
147,1.3,1.3,1.25,1.25,14825
148,1.275,1.3,1.25,1.3,8800
149,1.25,1.3,1.25,1.271,12620
150,1.155,1.25,1.15,1.25,13213
151,1.1,1.2,1.1,1.2,18924
152,1.1332,1.15,1.1,1.1213,13455
153,1.237,1.25,1.125,1.125,9260
154,1.355,1.3568,1.2,1.25,24937
155,1.305,1.35,1.3,1.35,10610
156,1.3,1.3,1.3,1.3,300
157,1.369,1.369,1.325,1.325,6393
158,1.4,1.4,1.355,1.355,3300
159,1.5,1.5,1.4,1.45,29400
160,1.4,1.45,1.4,1.45,2300
161,1.45,1.45,1.443,1.443,400
162,1.4182,1.4182,1.4,1.4,1555
163,1.45,1.45,1.432,1.432,335
164,1.45,1.45,1.45,1.45,275
165,1.45,1.45,1.45,1.45,1355
166,1.45,1.45,1.45,1.45,100
168,1.4,1.45,1.4,1.425,3954
169,1.375,1.45,1.35,1.45,9500
171,1.375,1.4,1.375,1.4,900
173,1.35,1.35,1.35,1.35,3400
175,1.3,1.325,1.3,1.325,300
176,1.3,1.3,1.3,1.3,17168
177,1.25,1.2939,1.25,1.2939,4120
178,1.125,1.25,1.125,1.25,32999
283,1.15,1.15,1.15,1.15,1000
284,1.25,1.25,1.245,1.245,9019
285,1.1982,1.25,1.1982,1.25,11934
286,1.1,1.155,1.1,1.155,73397
287,1.2,1.2,1.125,1.15,8000
288,1.25,1.35,1.2,1.25,20032
289,1.2,1.2062,1.2,1.2062,5400
291,1.2,1.2,1.2,1.2,200
297,1.2,1.2051,1.2,1.2051,9100
300,1.2059,1.2059,1.2,1.2,11400
303,1.225,1.225,1.225,1.225,100
306,1.25,1.25,1.25,1.25,400
310,1.205,1.205,1.2,1.2,1000
311,1.245,1.245,1.245,1.245,131
312,1.2,1.2227,1.2,1.2227,300
313,1.2,1.25,1.2,1.25,600
318,1.225,1.225,1.225,1.225,100
319,1.2,1.2197,1.2,1.2197,10534
321,1.244,1.25,1.244,1.25,300
322,1.2,1.25,1.2,1.25,1200
427,1.2,1.2,1.2,1.2,817
428,1.245,1.245,1.245,1.245,280
430,1.205,1.205,1.205,1.205,206
431,1.25,1.25,1.25,1.25,1000
438,1.2,1.205,1.2,1.205,20600
439,1.2,1.2,1.2,1.2,302
441,1.2,1.2,1.2,1.2,100
442,1.206,1.25,1.206,1.225,4500
443,1.2,1.2,1.2,1.2,100
444,1.2,1.2,1.2,1.2,100
445,1.2,1.205,1.2,1.205,2000
449,1.2,1.2,1.2,1.2,100
454,1.2,1.2,1.2,1.2,100
461,1.2,1.2,1.2,1.2,100
464,1.2,1.239,1.2,1.239,1700
465,1.15,1.225,1.15,1.225,2909
466,1.1,1.2,1.1,1.2,16241
861,1.105,1.105,1.1,1.105,9828
862,1.095,1.1,1.05,1.095,2710
867,1.1,1.1,1.1,1.1,200
872,1.05,1.1,1.05,1.1,2036
877,1.05,1.05,1.05,1.05,600
878,1.1,1.1,1.1,1.1,100
879,1.1,1.1,1.1,1.1,200
880,1.05,1.1,1.05,1.1,6566
885,1.05,1.05,1.05,1.05,2160
886,1.05,1.1,1,1.05,8400
890,1.1,1.1,1.0949,1.0949,2400
898,1.1,1.1,1.1,1.1,4176
a1494336600,1.1,1.1,1.1,1.1,324
1,1.1,1.15,1.1,1.15,598
3,1.15,1.15,1.145,1.145,1100
7,1.15,1.15,1.15,1.15,400
15,1.155,1.155,1.155,1.155,1000
17,1.155,1.155,1.155,1.155,325
21,1.183,1.183,1.183,1.183,1500
23,1.15,1.1932,1.15,1.1932,1600
24,1.15,1.15,1.15,1.15,575
35,1.15,1.15,1.15,1.15,3200
37,1.15,1.15,1.15,1.15,100
39,1.15,1.15,1.15,1.15,400
144,1.15,1.15,1.15,1.15,400
146,1.168,1.168,1.168,1.168,1249
147,1.15,1.15,1.15,1.15,2000
149,1.15,1.15,1.15,1.15,800
152,1.1558,1.1558,1.1558,1.1558,200
171,1.1895,1.1895,1.1895,1.1895,400
173,1.15,1.15,1.15,1.15,1100
174,1.15,1.2,1.1,1.15,37167
175,1.45,1.55,1.15,1.1945,321174
176,1.5,1.55,1.45,1.495,69322
177,1.425,1.55,1.4,1.5,72709
178,1.46,1.5,1.4,1.4,12399
179,1.55,1.6,1.405,1.5,47653
180,1.455,1.6,1.455,1.581,42960
181,1.5057,1.55,1.4,1.45,18862
182,1.55,1.55,1.45,1.45,20167
183,1.7,1.7,1.5,1.55,85928
288,1.05,1.05,1.05,1.05,37338
289,1.1,1.1,1,1.05,99677
290,1.05,1.1,1.05,1.1,71581
291,1.05,1.05,1,1.05,18697
292,1,1.05,1,1,21756
293,1.0411,1.05,1,1.05,55775
294,1.1,1.1,1,1.0415,79873
295,1.05,1.1,1.05,1.1,39843
296,1.025,1.1,1.025,1.0823,55271
297,1.05,1.1,1.0201,1.05,49544
298,1.05,1.1,1.05,1.05,34545
299,1.05,1.095,1.05,1.05,6260
300,1.1,1.1,1.05,1.05,23376
301,1.05,1.1,1.05,1.05,4700
