EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,14,14,14,14,6375
1,13.6,14,13.6,14,35587
2,13.5,13.681,13.455,13.6,23923
3,13.4765,13.553,13.4765,13.55,13020
4,13.45,13.5,13.4,13.5,8820
5,13.35,13.45,13.35,13.45,9181
6,13.4,13.425,13.35,13.375,2900
7,13.4,13.475,13.35,13.425,27121
8,13.4,13.45,13.4,13.45,19982
9,13.4,13.45,13.4,13.45,18700
10,13.45,13.45,13.4,13.45,14417
11,13.45,13.45,13.4,13.425,13115
12,13.45,13.45,13.4,13.4,26741
13,13.425,13.45,13.4,13.425,30482
14,13.45,13.45,13.4,13.45,11820
15,13.425,13.45,13.4,13.45,7700
16,13.35,13.45,13.35,13.45,24671
17,13.1,13.375,13.08,13.375,36571
18,13.1,13.15,13.075,13.075,5093
19,13,13.125,13,13.125,16831
20,13.15,13.15,13,13.05,19902
21,13.1,13.25,13.1,13.2,5240
22,13.15,13.2,13.1,13.15,7196
23,13.2,13.225,13.1,13.175,12975
24,13.2,13.2,13.15,13.15,1600
25,13.15,13.2,13.15,13.2,2897
26,13.15,13.183,13.15,13.15,6600
27,13.15,13.2,13.15,13.15,3914
28,13.075,13.18,13.05,13.175,21092
29,13.05,13.1,13.05,13.1,2006
30,13.05,13.1,13.05,13.075,4171
31,13.075,13.1,13.05,13.0731,4150
32,13.05,13.1,13,13.1,3819
33,13.05,13.07,13.025,13.05,3100
34,12.975,13.075,12.85,13.05,28190
35,13,13,12.96,12.9762,7120
36,13.05,13.0503,12.9753,12.9753,12462
37,13.025,13.1,13.0195,13.05,8737
38,13,13.05,12.95,13.05,11076
39,13,13.1,12.95,13,30019
144,12.95,13,12.95,13,3491
145,13.025,13.25,12.85,12.95,18377
146,13.075,13.15,12.955,13.05,6044
147,13,13.1,12.95,13.05,8836
148,12.9574,13,12.95,13,596
149,13,13,12.97,12.97,2055
150,13.05,13.05,12.955,12.955,1000
151,13,13.075,12.95,13.05,11282
152,13,13.05,13,13,1825
153,13,13.025,13,13,3066
154,13,13.05,13,13.05,700
155,13.025,13.025,13,13.025,2200
156,13,13.05,13,13.0197,1700
157,13.05,13.05,13,13.025,2000
158,13,13.05,13,13,11400
159,13,13.05,13,13.05,1706
160,13.0305,13.05,13,13.025,1600
161,13,13.025,13,13,1823
162,13.05,13.05,13.025,13.05,1000
163,13.018,13.05,13,13,800
164,12.95,13.05,12.95,13.05,7686
165,13,13.05,12.95,12.95,16601
166,13,13,12.95,13,1950
167,13.05,13.1,12.9918,12.995,2100
168,13.05,13.0704,13,13,800
169,13,13.05,13,13.0262,1200
170,13.05,13.0504,13,13.05,3850
171,13.05,13.05,13.025,13.05,800
172,13.025,13.05,13,13.05,800
173,13.025,13.05,13,13.045,2300
174,13.025,13.05,13,13.05,6316
175,13.05,13.05,13,13.0266,4590
176,13.025,13.05,13.025,13.025,5243
177,13,13.05,12.95,13.05,8200
178,13,13,12.975,13,1000
179,12.975,13,12.95,12.95,1425
180,12.9555,13,12.95,12.95,7468
181,12.9722,13,12.97,13,4707
182,13,13.025,12.975,13,18243
183,12.9,13,12.9,13,30626
288,12.9,12.9,12.9,12.9,4403
289,12.7991,12.875,12.766,12.85,8992
290,13,13.05,12.9,12.9,6515
291,13,13.05,13,13,2509
292,13,13.05,12.95,12.95,10000
293,13,13,12.9749,13,2000
294,13,13.05,12.95,13,18461
295,12.775,13.05,12.75,13,28684
296,12.8,12.8,12.75,12.75,6092
297,12.8135,12.85,12.7,12.775,9245
298,12.9,12.925,12.85,12.85,5918
299,12.95,13,12.85,13,5320
300,12.9,12.95,12.85,12.9256,3247
301,12.95,12.95,12.875,12.9,1600
302,13,13,12.95,13,4640
303,13,13.05,12.9552,13,12200
304,13,13.05,12.95,13,4676
305,13,13.05,12.95,12.975,5113
306,13,13.05,13,13.05,2800
307,13,13.05,13,13.05,3815
308,12.95,13.025,12.95,13,4750
309,13,13.05,12.95,12.95,2770
310,13.0265,13.05,12.95,13,2557
311,13,13.05,13,13.05,4491
312,13,13.025,12.975,13.025,3500
313,13,13.05,12.975,13.025,1900
314,13,13.05,13,13,2364
315,13,13.05,12.975,13.05,2600
316,13,13.05,12.95,13.05,4701
317,13,13.05,12.9805,13.05,1400
318,13,13,12.95,12.95,300
319,13,13.025,12.95,12.95,2900
320,13.025,13.05,13,13.025,4035
321,13.05,13.05,13,13.025,15330
322,13.05,13.05,13,13.05,1800
323,13.05,13.05,13,13.05,3275
324,13,13.05,12.95,13.025,18517
325,13,13.05,12.95,13,15769
326,13,13.05,12.95,13,1500
327,13.05,13.05,12.95,13,27425
432,13.1,13.1,13.05,13.05,2290
433,13,13.15,13,13.1,3990
434,13,13.026,13,13,2469
435,13.025,13.05,13,13.045,3155
436,12.7503,13.025,12.7,13,16304
437,12.85,12.9,12.75,12.75,5700
438,12.9,12.9,12.8,12.85,1583
439,12.95,12.95,12.85,12.875,4761
440,12.925,12.95,12.92,12.95,1500
441,12.925,12.95,12.9,12.95,1760
442,12.8,12.95,12.8,12.95,5258
443,12.75,12.8,12.75,12.775,2800
444,12.8,12.8,12.75,12.775,4200
445,12.675,12.775,12.6,12.775,15515
446,12.8,12.8,12.65,12.675,3800
447,12.755,12.8,12.75,12.8,2170
448,12.725,12.775,12.675,12.775,4584
449,12.675,12.725,12.65,12.7,6395
450,12.9,12.9,12.675,12.675,4472
451,12.7,12.9,12.7,12.9,3100
452,12.75,12.75,12.65,12.7,3400
453,12.725,12.75,12.7,12.725,2184
454,12.7,12.75,12.7,12.7,3701
455,12.7,12.75,12.7,12.7,1900
456,12.775,12.8,12.7,12.7,1575
457,12.775,12.8,12.75,12.8,650
458,12.7,12.85,12.7,12.8,16798
459,12.7,12.75,12.7,12.725,1000
460,12.725,12.75,12.7,12.725,1000
461,12.725,12.725,12.7,12.7,1200
462,12.725,12.75,12.7,12.7,1000
463,12.725,12.75,12.7,12.75,1900
464,12.7,12.735,12.7,12.7,5226
465,12.7382,12.75,12.7,12.725,2200
466,12.725,12.75,12.7,12.725,1810
467,12.75,12.75,12.7,12.725,1300
468,12.75,12.8,12.725,12.75,4322
469,12.75,12.8,12.75,12.775,5445
470,12.775,12.8,12.75,12.775,3700
471,12.75,12.85,12.7,12.8,19134
864,13,13,13,13,7418
865,12.6,13.1,12.6,13.1,15650
866,12.7,12.7,12.6,12.6,13655
867,12.7795,13,12.7,12.75,9444
868,12.95,12.95,12.8,12.8,1850
869,12.8,12.95,12.775,12.95,8909
870,12.9,12.9,12.795,12.8,20030
871,13,13,12.9,12.925,12821
872,12.9,13,12.85,12.98,9374
873,12.9193,12.945,12.9,12.945,1002
874,12.95,12.975,12.925,12.95,3300
875,13,13,12.95,12.975,39677
876,13,13.05,12.9605,13,28150
877,13,13.05,12.964,12.986,10446
878,12.85,13,12.85,13,17723
879,12.85,12.9,12.8,12.85,13416
880,12.8,12.875,12.8,12.875,3742
881,12.9,12.95,12.8,12.8,5746
882,12.85,12.95,12.85,12.9,4250
883,12.8,12.85,12.8,12.85,2629
884,12.8,12.825,12.8,12.8,1850
885,12.8,12.85,12.8,12.8,3300
886,12.75,12.825,12.75,12.825,2200
887,12.7,12.8,12.65,12.75,10412
888,12.7,12.705,12.65,12.65,4498
889,12.65,12.725,12.65,12.725,2500
890,12.645,12.675,12.6,12.675,17838
891,12.65,12.7,12.65,12.65,13577
892,12.65,12.7,12.6,12.65,4679
893,12.675,12.7,12.65,12.7,11050
894,12.65,12.7,12.65,12.65,1790
895,12.5,12.675,12.5,12.675,41534
896,12.5,12.55,12.5,12.5375,8098
897,12.4,12.55,12.2,12.525,54492
898,12.6,12.7,12.375,12.375,13963
899,12.65,12.675,12.6,12.6,5303
900,12.5,12.65,12.5,12.6,12574
901,12.8,12.8,12.55,12.575,17493
902,12.8,12.85,12.65,12.8,26470
903,12.8,12.9,12.75,12.8,64318
a1493731800,13.2,13.2,13.1,13.1,11149
1,13.325,13.75,13.2,13.2,58209
2,13.2,13.445,13.125,13.35,19069
3,13.1,13.15,12.9,13.15,9377
