EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,14.2,14.2,14.2,14.2,1668
1,14.35,14.4,14.2,14.2,3983
2,14.35,14.35,14.25,14.35,2820
3,14.35,14.35,14.35,14.35,100
4,14.35,14.375,14.3,14.35,1400
5,14.25,14.3815,14.25,14.3815,2943
6,14.35,14.35,14.25,14.3,2700
7,14.35,14.4,14.3,14.35,5420
8,14.325,14.325,14.325,14.325,300
9,14.25,14.325,14.25,14.325,1200
10,14.25,14.275,14.25,14.2705,480
11,14.275,14.3,14.275,14.275,365
12,14.29,14.29,14.25,14.2788,1450
13,14.275,14.3,14.275,14.275,1001
14,14.275,14.3,14.25,14.3,2200
15,14.3,14.3,14.25,14.3,900
16,14.325,14.35,14.325,14.35,200
17,14.325,14.325,14.325,14.325,100
18,14.325,14.325,14.325,14.325,100
21,14.325,14.35,14.325,14.325,800
22,14.35,14.35,14.325,14.325,300
23,14.375,14.4,14.325,14.35,4380
24,14.35,14.375,14.35,14.375,200
25,14.375,14.375,14.375,14.375,200
27,14.375,14.4,14.35,14.375,3022
28,14.375,14.4,14.375,14.4,300
29,14.4,14.4,14.4,14.4,100
31,14.3,14.375,14.3,14.375,4500
32,14.3177,14.3315,14.275,14.3,1585
33,14.325,14.35,14.3,14.325,400
34,14.35,14.35,14.35,14.35,300
35,14.325,14.35,14.3,14.35,300
36,14.275,14.325,14.25,14.325,1300
37,14.275,14.275,14.24,14.275,2200
38,14.25,14.275,14.2,14.275,1700
39,14.2,14.225,14.15,14.2,10197
144,14.15,14.15,14.15,14.15,3581
145,14.3,14.4,14.1523,14.4,5601
146,14.3,14.39,14.2,14.3,2060
147,14.2,14.3257,14.2,14.304,1100
148,14.2687,14.2687,14.2,14.26,400
149,14.2,14.3,14.2,14.2243,2350
150,14.1259,14.2,14.1,14.2,4573
151,14.1663,14.1687,14.15,14.15,900
152,14.2,14.2,14.2,14.2,600
153,14.3,14.3,14.25,14.25,2700
154,14.3,14.35,14.2814,14.3,2506
155,14.3,14.3,14.25,14.25,2412
156,14.375,14.375,14.3,14.3,3200
157,14.3684,14.5,14.35,14.375,8046
158,14.3,14.375,14.3,14.375,1100
159,14.35,14.35,14.3498,14.3498,1200
160,14.35,14.35,14.35,14.35,100
161,14.35,14.35,14.35,14.35,100
162,14.3,14.4,14.3,14.4,900
163,14.35,14.35,14.3,14.3,975
164,14.3,14.35,14.3,14.35,1100
165,14.375,14.4,14.35,14.35,2000
166,14.375,14.4,14.35,14.375,22424
167,14.4,14.45,14.375,14.375,4004
168,14.4,14.425,14.4,14.425,1100
169,14.35,14.4,14.35,14.4,1200
172,14.35,14.4,14.35,14.4,1225
173,14.4,14.4,14.35,14.375,2100
174,14.35,14.445,14.35,14.445,600
175,14.4,14.4,14.4,14.4,800
176,14.35,14.4,14.35,14.4,800
177,14.4,14.4184,14.4,14.4184,200
178,14.4,14.4,14.4,14.4,400
179,14.4,14.45,14.35,14.45,2910
180,14.425,14.425,14.375,14.375,1300
181,14.35,14.445,14.35,14.4,2700
182,14.325,14.35,14.3,14.35,1800
183,14.325,14.35,14.25,14.325,17043
288,14.4,14.4,14.4,14.4,658
290,14.45,14.45,14.4,14.4,750
291,14.425,14.5,14.4,14.45,8184
292,14.35,14.425,14.35,14.425,1600
293,14.425,14.45,14.375,14.375,1366
294,14.4244,14.4244,14.4,14.4,400
295,14.4,14.45,14.4,14.425,3620
296,14.375,14.4,14.355,14.4,3400
298,14.375,14.375,14.35,14.35,600
299,14.375,14.375,14.375,14.375,600
300,14.381,14.381,14.381,14.381,700
301,14.35,14.375,14.325,14.375,1100
302,14.3,14.325,14.3,14.325,200
303,14.35,14.35,14.35,14.35,100
304,14.35,14.35,14.325,14.35,734
305,14.4,14.4,14.3,14.35,1100
306,14.35,14.35,14.35,14.35,100
307,14.4,14.4,14.375,14.4,300
308,14.425,14.425,14.35,14.4,3640
309,14.425,14.425,14.425,14.425,700
310,14.425,14.425,14.425,14.425,200
311,14.35,14.4,14.35,14.4,500
312,14.35,14.4,14.35,14.35,10850
313,14.35,14.4,14.35,14.375,600
314,14.325,14.35,14.3,14.35,968
315,14.3,14.35,14.3,14.325,400
316,14.25,14.325,14.25,14.325,1340
317,14.25,14.25,14.225,14.25,1700
318,14.3,14.3,14.2,14.25,700
319,14.325,14.4,14.25,14.25,6900
320,14.325,14.35,14.3,14.325,1200
321,14.3,14.325,14.25,14.3,1500
322,14.25,14.325,14.25,14.3,500
323,14.3,14.35,14.25,14.3,2633
324,14.375,14.375,14.3,14.3,2200
325,14.375,14.425,14.35,14.375,18650
326,14.325,14.375,14.3,14.35,3115
327,14.35,14.375,14.3,14.325,12509
432,14.35,14.35,14.35,14.35,534
433,14.25,14.45,14.25,14.4,1000
434,14.25,14.34,14.25,14.34,200
435,14.2,14.25,14.2,14.25,400
436,14.225,14.225,14.225,14.225,200
437,14.15,14.225,14.1,14.225,3818
438,14.1,14.125,14.1,14.125,200
439,14.05,14.05,14,14.05,1900
440,14,14,14,14,100
441,14.05,14.05,14,14,700
442,14.05,14.05,14,14.05,800
443,14.05,14.05,14,14,693
444,14.025,14.05,14,14.05,400
445,14,14.032,14,14.032,500
446,13.96,14.049,13.95,14.049,3875
447,14,14.05,14,14,700
448,14.0704,14.0704,14,14,200
449,14.025,14.05,14,14.031,750
450,14,14.025,14,14.0195,440
451,14.0332,14.04,14,14,800
452,14.025,14.025,14,14,200
453,14,14.05,14,14.05,2100
454,14,14,14,14,100
455,14,14,14,14,100
456,14,14,14,14,100
457,14,14.04,14,14.04,600
458,14.025,14.025,14.014,14.025,1230
461,14,14.025,14,14,300
462,14.025,14.05,14.025,14.05,982
464,14,14,14,14,100
465,14,14.025,13.975,14.005,4300
466,13.95,13.95,13.95,13.95,100
467,13.95,13.95,13.95,13.95,100
468,13.95,13.95,13.95,13.95,200
469,13.95,13.995,13.95,13.95,1257
470,14,14.05,13.95,13.9875,2800
471,13.95,14.05,13.9,14,24127
864,14.05,14.05,14.05,14.05,1124
865,14.1,14.1,14.05,14.05,1011
866,14.05,14.125,14.05,14.09,4263
867,14.025,14.025,14.025,14.025,200
868,13.975,14.025,13.95,14,1700
869,14,14.05,13.9,13.9,1100
870,14.05,14.05,14.025,14.05,400
871,14.1,14.15,14.05,14.05,700
873,14,14.05,14,14.05,973
878,14,14,14,14,795
879,14.05,14.05,14.05,14.05,4029
880,14.075,14.095,14.0609,14.095,900
881,14.125,14.125,14.1,14.1,200
882,14.1,14.15,14.1,14.15,587
884,14.075,14.075,14.075,14.075,100
886,14.075,14.075,14.075,14.075,300
887,14.075,14.1,14.075,14.09,2500
888,14.1,14.1,14.075,14.075,300
890,14.125,14.15,14.1,14.1,1346
891,14.125,14.125,14.125,14.125,100
892,14.125,14.125,14.125,14.125,325
893,14.125,14.125,14.1,14.125,1229
894,14.1,14.125,14.1,14.125,300
895,14,14.1,14,14.1,1145
896,14,14.05,14,14,4323
897,14.025,14.045,14,14.045,450
898,14,14.05,14,14.025,2400
899,14.0811,14.0811,14.025,14.05,1200
900,14.075,14.075,14.075,14.075,100
901,14.075,14.075,14.075,14.075,200
902,14.1,14.1,14.05,14.075,800
903,14.15,14.2,14.05,14.075,18991
a1493731800,14.1,14.1,14.1,14.1,421
1,14.15,14.15,14.15,14.15,200
2,14,14.15,14,14.15,1300
3,14,14,14,14,200
4,14.05,14.05,13.95,14,1650
6,14,14.05,14,14.04,560
8,14.075,14.075,14.05,14.05,200
9,14.05,14.1,14.05,14.075,1178
11,14.1,14.1,14.1,14.1,300
12,14,14.05,14,14.05,1100
13,14.05,14.0562,14,14.0562,1200
14,14,14.05,14,14.05,600
16,13.975,14,13.975,14,1600
17,14.025,14.025,14,14,1978
18,14.03,14.03,14.03,14.03,100
20,14.075,14.1,14.025,14.0361,8276
21,14.1,14.1,14.1,14.1,145
22,14.075,14.1,14.075,14.075,471
23,14.05,14.075,14.05,14.05,1600
24,14.076,14.076,14.075,14.075,250
25,14.05,14.09,14.05,14.05,1100
26,14.075,14.075,14.075,14.075,100
