EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,0.81,0.81,0.81,0.81,237
1,0.8,0.81,0.8,0.8088,6272
2,0.8,0.8,0.8,0.8,900
3,0.791,0.8,0.791,0.8,2700
5,0.79,0.8,0.79,0.794,2200
7,0.8,0.8,0.8,0.8,100
8,0.8008,0.8008,0.8001,0.8001,600
9,0.8,0.8,0.8,0.8,100
10,0.804,0.81,0.8001,0.8001,6386
11,0.8,0.81,0.8,0.8008,1378
12,0.8035,0.81,0.8035,0.8063,1250
13,0.8007,0.81,0.8,0.8,2028
14,0.8002,0.8004,0.8002,0.8004,1000
17,0.795,0.8,0.795,0.8,300
18,0.795,0.795,0.795,0.795,300
19,0.81,0.81,0.81,0.81,3700
20,0.7996,0.81,0.7951,0.7963,600
21,0.7961,0.81,0.7961,0.81,761
22,0.7953,0.7956,0.795,0.795,714
23,0.8,0.8,0.7957,0.7957,4300
24,0.7952,0.7952,0.7952,0.7952,100
25,0.795,0.7951,0.795,0.7951,200
27,0.7953,0.81,0.7953,0.81,2950
28,0.7953,0.8,0.7953,0.8,2200
29,0.7953,0.7953,0.7953,0.7953,200
31,0.7973,0.8,0.7973,0.8,1150
34,0.795,0.795,0.795,0.795,100
36,0.7951,0.7951,0.795,0.795,400
37,0.795,0.795,0.795,0.795,6272
38,0.7968,0.8,0.7968,0.8,400
39,0.8,0.8,0.7975,0.8,2600
145,0.8,0.8,0.8,0.8,100
146,0.795,0.8176,0.795,0.805,6785
147,0.7951,0.7951,0.795,0.7951,1100
148,0.7962,0.7962,0.7951,0.7951,200
149,0.7963,0.8032,0.7963,0.8032,2247
150,0.8092,0.8092,0.8092,0.8092,100
151,0.82,0.82,0.8,0.81,1000
152,0.8,0.8005,0.8,0.8005,200
155,0.8012,0.81,0.8,0.81,1720
156,0.8002,0.8002,0.8002,0.8002,250
157,0.7957,0.8191,0.7957,0.8191,600
161,0.8008,0.8177,0.8008,0.8177,2700
162,0.7955,0.7955,0.7955,0.7955,100
164,0.7955,0.7955,0.7955,0.7955,100
165,0.7952,0.7952,0.7952,0.7952,100
167,0.8098,0.8098,0.8098,0.8098,1985
168,0.8001,0.8001,0.8001,0.8001,100
169,0.8,0.8,0.8,0.8,100
171,0.8019,0.8198,0.8001,0.8001,1850
172,0.8197,0.8197,0.8197,0.8197,400
173,0.8,0.8015,0.8,0.8015,2100
175,0.8,0.8,0.8,0.8,200
176,0.7967,0.8012,0.7955,0.8,2800
177,0.8,0.8198,0.795,0.8198,1900
179,0.8,0.8185,0.8,0.8185,1798
180,0.8185,0.8185,0.795,0.795,200
181,0.8046,0.8192,0.8046,0.8192,200
182,0.8,0.81,0.8,0.8082,400
183,0.8,0.8186,0.8,0.8025,10140
288,0.8,0.8,0.8,0.8,152
289,0.82,0.82,0.8,0.81,1764
290,0.8261,0.83,0.8162,0.82,1750
291,0.83,0.83,0.8162,0.8162,2200
292,0.83,0.83,0.8287,0.8287,980
293,0.84,0.85,0.83,0.83,24036
294,0.855,0.8623,0.845,0.8482,10773
295,0.86,0.9,0.86,0.8604,18272
296,0.85,0.865,0.8449,0.865,8845
297,0.857,0.87,0.8505,0.8505,3740
299,0.86,0.88,0.86,0.88,200
300,0.8781,0.88,0.8779,0.8787,2850
302,0.865,0.8783,0.86,0.86,2500
304,0.8748,0.8749,0.8635,0.8749,4224
305,0.87,0.87,0.86,0.86,2700
306,0.874,0.874,0.864,0.864,2454
307,0.8702,0.8738,0.8601,0.8601,13900
309,0.87,0.87,0.87,0.87,500
311,0.87,0.8702,0.87,0.8702,200
312,0.8747,0.8747,0.8747,0.8747,1000
313,0.86,0.87,0.86,0.87,8800
316,0.86,0.86,0.86,0.86,100
317,0.86,0.87,0.86,0.87,3400
318,0.85,0.85,0.85,0.85,100
319,0.85,0.85,0.85,0.85,100
321,0.84,0.8599,0.8349,0.85,6950
322,0.84,0.84,0.84,0.84,300
323,0.84,0.84,0.84,0.84,1100
324,0.8352,0.8352,0.8352,0.8352,3004
326,0.8151,0.8352,0.8151,0.8351,7696
327,0.8162,0.8162,0.8151,0.8151,237
432,0.896,0.896,0.896,0.896,2679
433,0.8602,0.9,0.8501,0.896,18805
434,0.8202,0.8513,0.8201,0.8501,8288
435,0.8314,0.8314,0.8237,0.8237,13360
436,0.8467,0.8469,0.83,0.8301,9461
437,0.8489,0.8489,0.846,0.8467,1500
438,0.84,0.84,0.84,0.84,154
439,0.8499,0.8499,0.8499,0.8499,627
440,0.84,0.8407,0.8389,0.84,13800
441,0.88,0.896,0.845,0.845,61108
442,0.8581,0.87,0.8581,0.87,2686
443,0.88,0.88,0.88,0.88,100
444,0.8572,0.8572,0.8572,0.8572,250
446,0.88,0.88,0.8575,0.8575,860
448,0.8687,0.8792,0.8687,0.8792,5697
452,0.8687,0.87,0.84,0.87,400
453,0.84,0.84,0.84,0.84,100
456,0.8688,0.869,0.8688,0.869,5000
457,0.8501,0.8688,0.8501,0.8688,3650
458,0.8492,0.8514,0.8492,0.85,3000
459,0.8427,0.8427,0.8427,0.8427,982
460,0.84,0.8498,0.84,0.8498,2600
461,0.8467,0.8467,0.84,0.84,1200
462,0.85,0.85,0.85,0.85,2000
464,0.85,0.8592,0.85,0.8592,392
465,0.85,0.8599,0.85,0.8599,3055
467,0.85,0.86,0.85,0.86,250
468,0.8401,0.86,0.8401,0.8591,1549
469,0.8402,0.8402,0.8402,0.8402,200
471,0.8556,0.8566,0.85,0.85,9950
864,0.86,0.89,0.86,0.89,1696
865,0.8613,0.89,0.86,0.89,12041
867,0.86,0.8613,0.86,0.8613,3002
869,0.8501,0.8563,0.8501,0.8501,7696
870,0.8587,0.8587,0.8513,0.8558,4296
871,0.86,0.86,0.8502,0.8502,1550
873,0.85,0.8775,0.85,0.8775,1100
875,0.8501,0.8501,0.8501,0.8501,3000
876,0.8501,0.8747,0.85,0.8747,4100
877,0.8631,0.8631,0.8631,0.8631,1300
878,0.8523,0.8523,0.8502,0.8502,600
880,0.8502,0.8502,0.8502,0.8502,100
881,0.8523,0.8523,0.85,0.85,1500
882,0.858,0.8687,0.858,0.8687,2300
883,0.85,0.8601,0.85,0.8601,1520
884,0.85,0.85,0.85,0.85,100
885,0.84,0.84,0.84,0.84,300
886,0.85,0.85,0.84,0.84,600
887,0.8401,0.8496,0.84,0.8496,2980
888,0.84,0.8592,0.84,0.8592,1500
889,0.82,0.8401,0.82,0.8401,9486
890,0.825,0.8579,0.825,0.8579,3247
895,0.8325,0.8325,0.83,0.83,412
896,0.8402,0.8402,0.8402,0.8402,1800
898,0.84,0.84,0.84,0.84,300
899,0.8473,0.8473,0.8473,0.8473,199
902,0.845,0.845,0.845,0.845,200
903,0.84,0.8447,0.84,0.8447,510
a1493731800,0.83,0.83,0.83,0.83,204
1,0.8302,0.84,0.8225,0.84,938
3,0.8322,0.8322,0.8322,0.8322,115
4,0.83,0.86,0.83,0.83,1945
5,0.8414,0.8414,0.8414,0.8414,110
6,0.8396,0.86,0.8396,0.86,14000
7,0.8396,0.86,0.8303,0.86,2588
8,0.8398,0.8398,0.8304,0.8304,81477
10,0.8327,0.8327,0.8327,0.8327,100
11,0.8302,0.8302,0.8302,0.8302,100
12,0.86,0.86,0.86,0.86,250
13,0.8402,0.8403,0.8402,0.8402,1000
14,0.8402,0.8402,0.8402,0.8402,100
15,0.8402,0.8415,0.8402,0.8415,419
16,0.8403,0.8403,0.8403,0.8403,650
18,0.8402,0.8402,0.8402,0.8402,100
19,0.8402,0.8403,0.8402,0.8403,400
21,0.8402,0.8402,0.8402,0.8402,200
23,0.8402,0.8402,0.8402,0.8402,100
27,0.8402,0.8402,0.8402,0.8402,130
28,0.86,0.86,0.8402,0.8402,7340
29,0.823,0.823,0.823,0.823,100
32,0.823,0.823,0.823,0.823,100
34,0.8292,0.8292,0.8247,0.8247,5700
35,0.823,0.823,0.823,0.823,200
37,0.82,0.823,0.82,0.823,27641
38,0.827,0.827,0.827,0.827,150
39,0.83,0.83,0.82,0.82,500
144,0.82,0.82,0.82,0.82,207
