EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,8.48,8.48,8.48,8.48,273
1,8.48,8.48,8.464,8.464,300
2,8.49,8.49,8.49,8.49,2000
3,8.54,8.54,8.54,8.54,1300
4,8.52,8.52,8.5081,8.52,1709
7,8.49,8.49,8.47,8.47,800
8,8.48,8.49,8.47,8.49,700
10,8.47,8.47,8.47,8.47,100
11,8.4848,8.4848,8.4848,8.4848,300
12,8.47,8.485,8.46,8.485,3900
13,8.5,8.5,8.49,8.49,500
14,8.53,8.53,8.5,8.51,1900
15,8.52,8.53,8.52,8.53,1202
16,8.51,8.51,8.51,8.51,600
17,8.51,8.51,8.49,8.49,200
18,8.49,8.49,8.49,8.49,100
19,8.49,8.5,8.49,8.49,2400
20,8.49,8.49,8.49,8.49,200
21,8.51,8.51,8.49,8.49,1727
22,8.51,8.51,8.5,8.5,1400
23,8.51,8.51,8.51,8.51,300
24,8.51,8.51,8.51,8.51,420
25,8.5,8.51,8.5,8.5,1200
26,8.51,8.51,8.5,8.5,200
27,8.51,8.5138,8.5,8.5,1500
28,8.51,8.52,8.51,8.52,1255
29,8.5,8.5,8.5,8.5,600
30,8.5,8.51,8.5,8.51,4200
31,8.5,8.51,8.5,8.5,2000
32,8.5,8.5,8.5,8.5,700
33,8.5,8.505,8.5,8.5,6333
34,8.5,8.5,8.5,8.5,700
35,8.504,8.51,8.5,8.5,2600
36,8.49,8.505,8.49,8.5,1300
37,8.5,8.5,8.495,8.495,1100
38,8.5,8.505,8.49,8.5,6037
39,8.5,8.51,8.49,8.49,11760
144,8.49,8.49,8.49,8.49,248
145,8.53,8.53,8.43,8.45,2920
146,8.5,8.53,8.5,8.53,1595
147,8.52,8.52,8.52,8.52,200
148,8.56,8.56,8.52,8.52,3322
149,8.55,8.57,8.5201,8.57,700
150,8.54,8.57,8.54,8.55,600
151,8.55,8.56,8.55,8.55,300
152,8.55,8.55,8.55,8.55,200
153,8.57,8.57,8.55,8.56,1000
154,8.6,8.6,8.5501,8.5501,3367
155,8.63,8.63,8.6101,8.62,2400
156,8.62,8.64,8.62,8.63,900
157,8.62,8.63,8.62,8.62,900
158,8.62,8.62,8.62,8.62,800
159,8.61,8.61,8.61,8.61,600
160,8.61,8.62,8.6,8.6,300
161,8.59,8.6,8.59,8.6,600
162,8.57,8.59,8.57,8.59,500
163,8.57,8.59,8.57,8.57,1000
164,8.555,8.58,8.555,8.575,1200
165,8.54,8.56,8.54,8.555,3400
166,8.56,8.56,8.54,8.55,2900
167,8.52,8.56,8.52,8.56,3000
168,8.54,8.54,8.52,8.52,1112
169,8.55,8.56,8.53,8.53,700
170,8.55,8.55,8.54,8.54,400
171,8.55,8.55,8.54,8.55,300
172,8.5499,8.5499,8.53,8.54,2500
173,8.53,8.54,8.53,8.54,800
174,8.55,8.55,8.53,8.53,500
175,8.55,8.55,8.5394,8.5394,749
176,8.55,8.57,8.54,8.54,3900
177,8.5599,8.56,8.54,8.56,600
178,8.55,8.55,8.54,8.54,1700
179,8.53,8.55,8.53,8.55,3249
180,8.54,8.54,8.52,8.52,1700
181,8.46,8.5399,8.46,8.535,5100
182,8.47,8.47,8.45,8.46,4826
183,8.47,8.49,8.45,8.46,28087
288,8.46,8.46,8.46,8.46,254
289,8.49,8.49,8.4,8.42,2300
290,8.45,8.45,8.45,8.45,200
292,8.5,8.5,8.47,8.47,580
293,8.49,8.5,8.49,8.49,735
294,8.47,8.49,8.45,8.49,700
295,8.48,8.48,8.47,8.48,400
296,8.44,8.46,8.43,8.46,600
297,8.38,8.46,8.37,8.46,1400
298,8.42,8.42,8.38,8.39,1900
299,8.4,8.42,8.4,8.4,300
300,8.38,8.41,8.38,8.4,400
301,8.43,8.43,8.36,8.3783,3318
302,8.4,8.43,8.4,8.43,300
303,8.43,8.43,8.4,8.43,600
304,8.42,8.43,8.41,8.43,1148
305,8.4,8.43,8.39,8.42,6323
306,8.43,8.43,8.4,8.4,1561
307,8.45,8.45,8.44,8.45,300
308,8.42,8.45,8.42,8.45,500
309,8.44,8.44,8.44,8.44,300
310,8.44,8.45,8.43,8.44,900
311,8.5,8.52,8.445,8.45,5198
312,8.51,8.51,8.51,8.51,300
313,8.51,8.52,8.51,8.52,329
314,8.49,8.5,8.49,8.5,1100
315,8.46,8.47,8.4501,8.47,1107
316,8.48,8.48,8.48,8.48,200
318,8.4,8.4,8.385,8.39,400
319,8.48,8.48,8.4,8.41,2100
320,8.48,8.49,8.46,8.49,300
321,8.48,8.48,8.45,8.48,9000
322,8.47,8.47,8.46,8.47,2200
323,8.47,8.47,8.46,8.46,1014
324,8.51,8.52,8.46,8.47,4209
325,8.53,8.54,8.5,8.51,3600
326,8.52,8.53,8.5,8.53,6200
327,8.53,8.55,8.5,8.5,9463
433,8.43,8.66,8.43,8.66,2071
434,8.45,8.455,8.4,8.44,2014
435,8.5,8.54,8.42,8.42,1100
436,8.49,8.5,8.45,8.5,600
437,8.45,8.485,8.45,8.485,700
438,8.48,8.48,8.46,8.46,300
439,8.46,8.47,8.46,8.47,400
440,8.48,8.48,8.46,8.46,900
441,8.47,8.47,8.455,8.47,500
442,8.425,8.46,8.425,8.455,500
443,8.43,8.43,8.41,8.41,700
444,8.45,8.45,8.44,8.445,700
445,8.46,8.46,8.42,8.46,1000
446,8.43,8.47,8.43,8.46,2103
447,8.46,8.46,8.44,8.44,300
448,8.45,8.455,8.45,8.455,300
449,8.48,8.48,8.455,8.46,400
450,8.49,8.49,8.41,8.48,5298
451,8.48,8.49,8.46,8.49,600
452,8.5,8.5,8.48,8.49,600
454,8.52,8.52,8.48,8.48,1100
455,8.54,8.54,8.52,8.52,1200
457,8.53,8.55,8.53,8.55,800
459,8.5,8.52,8.5,8.5,400
461,8.5,8.51,8.48,8.48,1400
462,8.51,8.51,8.495,8.5,400
463,8.47,8.51,8.47,8.51,200
464,8.505,8.51,8.49,8.5,700
465,8.51,8.51,8.51,8.51,100
466,8.51,8.51,8.49,8.51,800
467,8.5,8.5,8.49,8.495,600
468,8.5,8.5,8.495,8.5,400
469,8.54,8.55,8.52,8.52,3800
470,8.56,8.58,8.51,8.54,5900
471,8.52,8.59,8.46,8.5643,25414
864,8.25,8.25,8.25,8.25,15041
865,8.38,8.4099,8.38,8.4,1613
866,8.43,8.45,8.41,8.45,2182
867,8.44,8.44,8.4,8.4,900
868,8.49,8.49,8.49,8.49,700
869,8.54,8.55,8.49,8.5,6500
870,8.5,8.53,8.5,8.53,600
871,8.47,8.515,8.47,8.5,6511
872,8.4768,8.5,8.47,8.5,6220
873,8.49,8.5,8.48,8.49,6200
874,8.47,8.49,8.47,8.48,1989
875,8.47,8.479,8.47,8.475,900
876,8.41,8.48,8.41,8.48,12449
877,8.428,8.43,8.41,8.43,1150
878,8.43,8.43,8.42,8.42,1100
879,8.429,8.43,8.42,8.42,7292
880,8.44,8.45,8.425,8.43,3049
881,8.445,8.45,8.445,8.445,400
882,8.478,8.48,8.435,8.44,8108
883,8.528,8.53,8.475,8.475,1157
884,8.51,8.52,8.51,8.51,1774
885,8.5,8.515,8.5,8.515,2284
886,8.49,8.5,8.48,8.49,1400
887,8.49,8.5,8.49,8.495,900
888,8.49,8.49,8.48,8.48,200
889,8.5,8.5,8.48,8.49,759
890,8.4955,8.51,8.4955,8.5,650
891,8.53,8.53,8.49,8.51,1800
892,8.5,8.51,8.48,8.49,3000
893,8.52,8.52,8.49,8.5,1700
894,8.505,8.52,8.5,8.5,400
895,8.5,8.52,8.5,8.51,1700
896,8.5,8.52,8.49,8.5,900
897,8.5,8.51,8.46,8.5,3500
898,8.49,8.5,8.47,8.485,4455
899,8.5,8.51,8.4801,8.49,10803
900,8.48,8.5,8.44,8.5,24715
901,8.47,8.48,8.46,8.46,3300
902,8.465,8.475,8.45,8.47,3434
903,8.46,8.49,8.46,8.47,20957
a1493731800,8.49,8.49,8.49,8.49,340
1,8.53,8.65,8.5,8.52,2800
2,8.48,8.52,8.48,8.52,1200
3,8.5,8.5,8.49,8.49,600
