EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,5.25,5.25,5.25,5.25,1000
1,5.25,5.25,5.25,5.25,200
2,5.25,5.3,5.2206,5.28,4700
4,5.1291,5.1291,5.1291,5.1291,170
6,5.16,5.1611,5.16,5.16,450
7,5.16,5.16,5.16,5.16,100
12,5.2317,5.2317,5.2317,5.2317,800
13,5.35,5.446,5.1969,5.1969,7800
14,5.4,5.76,5.33,5.4346,24518
15,5.45,5.49,5.35,5.392,1895
17,5.4501,5.48,5.403,5.406,900
18,5.3508,5.5221,5.35,5.5221,1600
20,5.283,5.283,5.283,5.283,500
22,5.34,5.34,5.34,5.34,100
24,5.2653,5.3578,5.2601,5.3578,1400
25,5.4,5.4,5.4,5.4,100
27,5.26,5.4,5.26,5.4,700
29,5.37,5.37,5.37,5.37,100
30,5.4,5.44,5.3349,5.3349,954
31,5.4,5.4,5.4,5.4,146
33,5.2653,5.37,5.26,5.37,2400
34,5.25,5.25,5.25,5.25,146
36,5.2767,5.2767,5.2767,5.2767,150
37,5.3,5.3,5.21,5.21,1300
39,5.16,5.288,5.16,5.2336,8733
146,5.2123,5.2123,5.2123,5.2123,1400
152,5.28,5.28,5.21,5.23,700
164,5.18,5.18,5.18,5.18,200
165,5.198,5.198,5.198,5.198,1000
166,5.3,5.3,5.17,5.2,1300
172,5.2,5.2,5.2,5.2,400
175,5.22,5.22,5.22,5.22,1800
176,5.2,5.25,5.2,5.25,1400
177,5.22,5.22,5.22,5.22,200
178,5.23,5.23,5.23,5.23,100
181,5.21,5.26,5.21,5.23,1920
182,5.1812,5.1812,5.16,5.17,1976
183,5.18,5.18,5.16,5.17,3500
292,5.2,5.23,5.2,5.23,500
295,5.24,5.26,5.18,5.2,2200
296,5.22,5.24,5.22,5.24,200
297,5.21,5.23,5.21,5.2101,1000
298,5.21,5.21,5.21,5.21,400
299,5.18,5.3,5.18,5.3,2400
300,5.19,5.3363,5.19,5.2,2850
302,5.25,5.26,5.16,5.18,1800
303,5.21,5.21,5.21,5.21,100
310,5.2448,5.2448,5.2448,5.2448,1103
313,5.16,5.183,5.16,5.1801,600
314,5.1708,5.173,5.1701,5.173,300
315,5.18,5.19,5.17,5.17,900
317,5.16,5.16,5.16,5.16,100
319,5.17,5.17,5.17,5.17,100
322,5.19,5.19,5.19,5.19,100
326,5.1766,5.19,5.16,5.19,2200
327,5.17,5.1753,5.16,5.1753,1550
432,5.27,5.27,5.27,5.27,201
434,5.2001,5.2461,5.2001,5.2361,1800
437,5.15,5.2078,5.15,5.2,3600
441,5.27,5.27,5.27,5.27,800
442,5.16,5.1711,5.16,5.1711,2300
444,5.2441,5.2441,5.2441,5.2441,1000
446,5.18,5.19,5.18,5.19,1000
451,5.21,5.21,5.2,5.2099,2000
452,5.16,5.171,5.16,5.171,800
453,5.16,5.16,5.16,5.16,800
454,5.22,5.22,5.2,5.2,800
456,5.4,5.4,5.2,5.21,24926
457,5.4,5.4,5.36,5.36,1600
458,5.32,5.33,5.32,5.33,1500
459,5.32,5.32,5.32,5.32,400
460,5.32,5.32,5.32,5.32,700
461,5.3301,5.37,5.33,5.37,1400
462,5.24,5.33,5.23,5.265,8700
463,5.26,5.26,5.26,5.26,2000
464,5.26,5.26,5.26,5.26,1000
465,5.35,5.35,5.28,5.28,500
466,5.28,5.35,5.28,5.35,500
467,5.3352,5.3352,5.3352,5.3352,150
469,5.28,5.28,5.28,5.28,800
470,5.35,5.4,5.35,5.35,600
471,5.26,5.35,5.26,5.35,5200
865,5.25,5.25,5.25,5.25,520
866,5.25,5.257,5.25,5.257,380
868,5.25,5.25,5.25,5.25,100
870,5.27,5.27,5.25,5.25,520
871,5.3236,5.35,5.2756,5.2756,1000
875,5.33,5.33,5.33,5.33,200
877,5.34,5.34,5.34,5.34,1000
879,5.352,5.352,5.352,5.352,124
880,5.3484,5.6256,5.3484,5.6256,1500
881,5.45,5.45,5.45,5.45,500
889,5.4,5.514,5.4,5.514,1900
891,5.64,5.64,5.64,5.64,200
892,5.5104,5.5104,5.5104,5.5104,400
893,5.5908,5.5908,5.4,5.41,2021
894,5.5,5.6262,5.5,5.6262,1600
895,5.4747,5.4747,5.4747,5.4747,300
900,5.4555,5.4555,5.4555,5.4555,300
901,5.4508,5.453,5.4508,5.453,1000
902,5.62,5.62,5.4,5.453,4901
903,5.45,5.6,5.45,5.6,3200
a1493731800,5.32,5.39,5.32,5.39,730
1,5.3201,5.33,5.32,5.33,600
3,5.3499,5.3501,5.32,5.35,1760
4,5.32,5.35,5.32,5.35,1470
13,5.26,5.54,5.26,5.3,5100
14,5.35,5.35,5.33,5.33,500
17,5.3151,5.3151,5.3151,5.3151,400
32,5.38,5.38,5.32,5.35,600
37,5.35,5.52,5.26,5.38,3257
38,5.4,5.45,5.33,5.34,1000
39,5.45,5.45,5.3876,5.3876,1600
144,5.42,5.42,5.42,5.42,100
145,5.34,5.34,5.339,5.339,600
146,5.38,5.41,5.3,5.39,5500
147,5.38,5.38,5.37,5.37,300
148,5.38,5.38,5.38,5.38,300
159,5.328,5.328,5.328,5.328,100
183,5.38,5.38,5.33,5.33,200
288,5.38,5.38,5.38,5.38,110
289,5.3,5.35,5.3,5.35,300
295,5.29,5.3,5.29,5.3,500
296,5.3134,5.3134,5.3134,5.3134,760
297,5.29,5.29,5.29,5.29,100
298,5.2901,5.2901,5.2901,5.2901,500
299,5.32,5.32,5.32,5.32,100
300,5.3092,5.3092,5.3,5.3,1700
301,5.29,5.2901,5.29,5.2901,1100
303,5.29,5.29,5.29,5.29,100
306,5.2905,5.2905,5.2905,5.2905,350
308,5.29,5.29,5.29,5.29,100
318,5.34,5.34,5.34,5.34,100
320,5.2901,5.2901,5.2901,5.2901,1200
321,5.34,5.34,5.29,5.29,800
322,5.332,5.332,5.332,5.332,500
323,5.33,5.34,5.29,5.29,1800
324,5.44,5.44,5.4,5.41,6900
325,5.44,5.44,5.44,5.44,100
327,5.46,5.4784,5.46,5.4784,310
432,5.5,5.5,5.5,5.5,373
443,5.5,5.5055,5.5,5.5055,1800
447,5.5001,5.5001,5.5001,5.5001,1000
449,5.55,5.55,5.55,5.55,1000
456,5.55,5.55,5.55,5.55,100
457,5.55,5.55,5.55,5.55,1500
458,5.55,5.55,5.55,5.55,1000
460,5.55,5.5502,5.55,5.55,4772
462,5.55,5.55,5.55,5.55,500
466,5.5999,5.5999,5.5999,5.5999,2000
467,5.6,5.6,5.59,5.59,500
468,5.74,5.74,5.6,5.6,1200
471,5.7188,5.73,5.7188,5.73,1077
865,5.82,5.82,5.59,5.59,319
870,5.8199,5.8199,5.8199,5.8199,200
876,5.5878,5.5878,5.5878,5.5878,200
880,5.47,5.54,5.21,5.54,5500
881,5.4108,5.45,5.4,5.45,1100
882,5.4783,5.4783,5.4783,5.4783,400
884,5.4308,5.4377,5.43,5.4377,600
886,5.5553,5.5553,5.5553,5.5553,200
892,5.5,5.51,5.5,5.51,600
893,5.62,5.62,5.62,5.62,100
900,5.4311,5.5092,5.43,5.4993,1700
903,5.51,5.81,5.51,5.67,600
a1494337200,5.4081,5.83,5.4081,5.83,4247
2,5.7717,5.7717,5.7717,5.7717,700
4,5.79,5.83,5.7683,5.8022,1900
8,5.52,5.52,5.4682,5.4682,3135
12,5.7,5.7,5.7,5.7,200
13,5.678,5.678,5.58,5.59,500
18,5.721,5.721,5.721,5.721,400
23,5.79,5.79,5.76,5.76,300
24,5.79,5.79,5.79,5.79,400
25,5.79,5.79,5.79,5.79,100
27,5.8,5.8,5.6908,5.6908,900
31,5.7,5.7,5.7,5.7,200
38,5.7,5.79,5.7,5.7824,1784
143,5.7,5.7,5.7,5.7,104
144,5.5266,5.5266,5.5266,5.5266,500
146,5.79,5.79,5.79,5.79,100
147,5.63,5.63,5.63,5.63,100
151,5.5356,5.5356,5.5356,5.5356,450
170,5.82,5.82,5.75,5.75,400
171,5.83,5.83,5.83,5.83,400
172,5.82,5.83,5.82,5.83,500
173,5.95,5.95,5.82,5.83,2300
