EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,3.75,3.75,3.75,3.75,4127
1,3.83,3.84,3.74,3.7408,3817
2,3.78,3.78,3.78,3.78,200
3,3.7781,3.78,3.76,3.76,874
4,3.79,3.79,3.77,3.78,1800
5,3.79,3.79,3.78,3.79,12100
6,3.79,3.79,3.78,3.79,2140
7,3.78,3.79,3.78,3.79,7900
8,3.789,3.79,3.78,3.79,1500
9,3.79,3.79,3.79,3.79,400
10,3.775,3.79,3.77,3.78,6213
11,3.76,3.78,3.75,3.77,6011
12,3.75,3.77,3.75,3.76,1000
13,3.75,3.76,3.75,3.7557,1100
14,3.759,3.759,3.74,3.75,950
15,3.75,3.7593,3.74,3.7593,2500
16,3.75,3.75,3.7499,3.75,1000
17,3.75,3.75,3.74,3.75,2100
18,3.75,3.75,3.74,3.75,8989
19,3.749,3.75,3.74,3.75,800
20,3.75,3.75,3.75,3.75,400
21,3.76,3.76,3.746,3.75,5700
22,3.755,3.76,3.75,3.7516,7226
23,3.76,3.76,3.7499,3.7563,12300
24,3.76,3.76,3.75,3.76,732
25,3.76,3.76,3.7502,3.76,1240
26,3.75,3.76,3.75,3.76,2169
27,3.76,3.76,3.75,3.75,8992
28,3.76,3.76,3.75,3.75,1365
29,3.76,3.76,3.7517,3.76,6821
30,3.76,3.76,3.755,3.7593,2800
31,3.79,3.79,3.7565,3.76,5287
32,3.8,3.82,3.79,3.79,5600
33,3.81,3.81,3.801,3.805,1000
34,3.819,3.82,3.8041,3.81,7158
35,3.78,3.82,3.78,3.82,3188
36,3.77,3.781,3.77,3.7808,3550
37,3.77,3.77,3.77,3.77,400
38,3.77,3.775,3.77,3.77,500
39,3.79,3.79,3.77,3.77,6227
144,3.78,3.78,3.78,3.78,1080
145,3.7935,3.84,3.7757,3.84,2200
146,3.76,3.79,3.76,3.79,2600
147,3.7999,3.7999,3.77,3.77,495
148,3.7652,3.7652,3.76,3.7601,1648
149,3.75,3.7622,3.75,3.76,10698
150,3.7599,3.76,3.7599,3.76,3041
151,3.7622,3.77,3.7562,3.7562,3707
152,3.75,3.76,3.7467,3.76,7543
153,3.74,3.75,3.74,3.75,3124
154,3.75,3.753,3.74,3.7401,6014
155,3.7526,3.76,3.75,3.75,1300
156,3.74,3.755,3.73,3.755,23893
157,3.7362,3.74,3.73,3.74,8202
158,3.75,3.75,3.73,3.73,5995
159,3.74,3.74,3.74,3.74,100
160,3.74,3.745,3.73,3.745,1900
161,3.75,3.75,3.73,3.73,12523
162,3.74,3.75,3.74,3.74,1100
163,3.7801,3.8,3.75,3.75,50324
164,3.8,3.8,3.8,3.8,100
165,3.79,3.79,3.78,3.78,912
166,3.8,3.8,3.79,3.7901,11700
167,3.8,3.8,3.79,3.79,3200
168,3.795,3.7999,3.79,3.79,1600
169,3.79,3.795,3.79,3.79,300
170,3.78,3.799,3.78,3.799,2400
171,3.79,3.79,3.7843,3.7843,2015
172,3.78,3.78,3.78,3.78,300
173,3.77,3.78,3.75,3.78,11350
174,3.77,3.77,3.76,3.77,4300
175,3.76,3.7699,3.75,3.7699,5300
176,3.76,3.7633,3.76,3.7602,3700
177,3.76,3.765,3.76,3.76,1000
178,3.76,3.77,3.76,3.77,304
179,3.7634,3.7634,3.76,3.76,220
180,3.76,3.76,3.76,3.76,300
181,3.76,3.766,3.76,3.76,3200
182,3.79,3.8,3.77,3.77,11740
183,3.76,3.79,3.75,3.79,7559
288,3.77,3.77,3.77,3.77,839
290,3.769,3.769,3.769,3.769,131
291,3.761,3.764,3.7601,3.764,2714
292,3.76,3.76,3.76,3.76,1400
293,3.7535,3.7564,3.75,3.7564,5993
294,3.75,3.76,3.75,3.7536,6148
295,3.76,3.76,3.75,3.75,4700
297,3.75,3.76,3.75,3.75,2100
298,3.76,3.76,3.76,3.76,500
299,3.7676,3.78,3.76,3.76,3334
300,3.765,3.765,3.765,3.765,100
301,3.765,3.765,3.765,3.765,100
302,3.78,3.78,3.76,3.76,4800
304,3.76,3.77,3.7567,3.76,5600
305,3.76,3.76,3.76,3.76,900
306,3.7699,3.7699,3.76,3.7638,816
307,3.7677,3.7677,3.76,3.76,300
309,3.76,3.76,3.76,3.76,100
310,3.78,3.78,3.77,3.78,3300
311,3.78,3.78,3.7793,3.7799,2600
312,3.77,3.775,3.77,3.775,2100
313,3.775,3.775,3.77,3.77,200
315,3.7793,3.78,3.77,3.77,800
316,3.78,3.78,3.78,3.78,100
318,3.78,3.78,3.78,3.78,4650
319,3.77,3.77,3.77,3.77,100
320,3.77,3.775,3.77,3.775,250
322,3.77,3.77,3.77,3.77,1200
323,3.77,3.775,3.77,3.775,500
324,3.78,3.78,3.77,3.7702,4800
325,3.7792,3.78,3.77,3.77,2400
326,3.7793,3.78,3.7733,3.7733,2000
327,3.78,3.78,3.77,3.78,8821
432,3.8,3.8,3.8,3.8,17637
433,3.82,3.84,3.78,3.8,12203
434,3.82,3.831,3.8199,3.82,4591
435,3.8325,3.8325,3.82,3.82,10688
436,3.83,3.84,3.825,3.835,13260
437,3.83,3.836,3.83,3.836,770
438,3.83,3.834,3.83,3.83,9102
439,3.8399,3.84,3.82,3.83,6956
440,3.8335,3.8376,3.82,3.8376,13880
441,3.836,3.8364,3.83,3.8312,6820
442,3.8367,3.8399,3.83,3.835,1200
443,3.83,3.83,3.83,3.83,300
444,3.833,3.833,3.83,3.83,3500
445,3.85,3.85,3.83,3.83,12992
446,3.86,3.86,3.85,3.8554,5340
447,3.8601,3.865,3.85,3.8597,4600
448,3.86,3.8658,3.86,3.8658,1100
449,3.85,3.86,3.85,3.86,4979
450,3.85,3.85,3.85,3.85,100
451,3.85,3.85,3.85,3.85,200
452,3.8553,3.8553,3.8553,3.8553,1000
453,3.85,3.85,3.85,3.85,100
454,3.85,3.86,3.85,3.8569,3650
455,3.87,3.88,3.85,3.8501,4766
456,3.85,3.87,3.85,3.87,2632
457,3.85,3.86,3.85,3.85,692
458,3.85,3.8599,3.85,3.8548,440
459,3.85,3.86,3.85,3.86,300
460,3.8562,3.8562,3.85,3.85,490
461,3.85,3.85,3.85,3.85,100
462,3.8501,3.8527,3.85,3.85,10456
463,3.85,3.85,3.85,3.85,300
464,3.8599,3.86,3.85,3.8545,3700
465,3.85,3.8501,3.85,3.85,1800
466,3.86,3.86,3.85,3.85,600
467,3.85,3.85,3.85,3.85,300
468,3.85,3.8501,3.845,3.85,23141
469,3.85,3.86,3.85,3.8501,600
470,3.86,3.86,3.85,3.86,16762
471,3.88,3.88,3.86,3.87,19971
864,3.88,3.88,3.88,3.88,6121
865,3.85,3.88,3.85,3.88,5531
866,3.85,3.855,3.85,3.8542,5105
867,3.82,3.85,3.82,3.85,3600
868,3.79,3.8296,3.77,3.8296,13493
869,3.76,3.79,3.76,3.79,1664
870,3.77,3.7852,3.77,3.7722,3119
871,3.79,3.79,3.76,3.77,3150
872,3.8,3.8,3.8,3.8,800
873,3.8,3.8062,3.8,3.8,1610
874,3.8,3.81,3.8,3.8,800
875,3.8001,3.8001,3.8,3.8,786
876,3.8,3.8,3.8,3.8,700
877,3.8,3.8099,3.8,3.8099,1485
878,3.8,3.807,3.8,3.807,290
879,3.8,3.8,3.8,3.8,100
880,3.8,3.8,3.8,3.8,100
881,3.8,3.8061,3.8,3.8061,1150
882,3.8013,3.8068,3.8013,3.805,5400
883,3.8143,3.8143,3.8,3.8,2810
884,3.805,3.81,3.8,3.8048,900
885,3.8082,3.81,3.8082,3.81,800
886,3.8282,3.83,3.815,3.82,950
887,3.843,3.843,3.83,3.83,600
888,3.855,3.855,3.84,3.84,1200
889,3.865,3.865,3.85,3.85,3800
890,3.8689,3.8689,3.8689,3.8689,130
891,3.85,3.87,3.85,3.87,5285
892,3.844,3.845,3.84,3.845,1944
893,3.84,3.84,3.84,3.84,200
894,3.82,3.84,3.82,3.84,7970
895,3.82,3.825,3.82,3.82,900
896,3.82,3.82,3.82,3.82,300
897,3.8292,3.83,3.82,3.825,600
898,3.82,3.8258,3.82,3.82,1400
