EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,22.22,22.22,22.22,22.22,1782
1,22.35,22.38,22.05,22.24,5288
2,22.3,22.36,22.27,22.36,700
3,22.26,22.3223,22.26,22.3,1900
4,22.26,22.34,22.25,22.27,3550
5,22.29,22.29,22.24,22.25,900
6,22.24,22.25,22.19,22.23,1400
7,22.2,22.29,22.2,22.27,3400
8,22.17,22.2,22.13,22.2,4100
9,22.12,22.18,22.12,22.1708,1290
10,22.15,22.15,22.11,22.15,1600
11,22.2,22.21,22.19,22.19,1500
12,22.15,22.23,22.15,22.23,300
13,22.155,22.17,22.155,22.17,650
14,22.11,22.137,22.09,22.137,1120
15,22.17,22.17,22.1,22.1,2200
16,22.15,22.15,22.07,22.13,5500
17,22.14,22.18,22.14,22.145,1700
18,22.14,22.14,22.14,22.14,600
19,22.08,22.125,22.08,22.1,800
20,22.1061,22.12,22.06,22.08,1418
21,22.06,22.1,22.06,22.1,500
22,22.04,22.04,22.04,22.04,100
23,22.04,22.07,22.01,22.07,600
24,22.01,22.0201,22,22.02,1600
25,22.038,22.04,22.038,22.04,370
26,22.04,22.05,21.99,21.99,500
27,22.02,22.02,22.02,22.02,100
28,22.05,22.05,22.0002,22.025,826
29,22.09,22.09,22.09,22.09,400
30,22.07,22.11,22.06,22.08,1800
31,22.09,22.09,22.08,22.08,200
32,22.07,22.12,22.07,22.12,2200
33,21.98,22.105,21.98,22.1,1500
34,22.02,22.025,22.01,22.02,700
35,21.925,22.04,21.91,22.04,1023
36,21.9,21.95,21.88,21.95,1300
37,21.86,21.89,21.85,21.88,2600
38,21.86,21.89,21.86,21.87,1900
39,21.85,21.9,21.85,21.88,9170
144,21.87,21.87,21.87,21.87,418
145,22.04,22.04,21.87,21.88,6861
146,22,22.04,21.83,22.04,11102
147,21.99,21.99,21.97,21.985,400
148,22.02,22.02,21.96,22.01,400
149,22.02,22.03,21.98,21.98,600
150,22.03,22.03,21.94,21.94,500
151,22.0299,22.03,21.93,22.03,700
152,22.1,22.12,22,22.03,1200
153,22.2,22.2,22.17,22.17,400
154,22.12,22.18,22.12,22.18,900
155,22.15,22.16,22.12,22.15,800
156,22.305,22.305,22.175,22.18,1000
157,22.24,22.28,22.21,22.27,2125
158,22.205,22.25,22.16,22.25,1400
159,22.17,22.24,22.14,22.21,3100
160,22.13,22.13,22.13,22.13,100
161,22.14,22.19,22.14,22.16,2100
162,22.12,22.15,22.12,22.14,600
163,22.12,22.13,22.12,22.127,800
164,22.21,22.21,22.15,22.15,1000
165,22.265,22.265,22.24,22.24,500
166,22.28,22.28,22.26,22.26,800
167,22.31,22.31,22.31,22.31,300
168,22.34,22.35,22.3,22.31,1000
169,22.284,22.284,22.265,22.265,300
170,22.283,22.283,22.26,22.26,400
171,22.23,22.27,22.23,22.23,600
172,22.11,22.195,22.06,22.19,5726
173,22.23,22.27,22.06,22.1,26600
174,22.26,22.2699,22.16,22.16,3570
175,22.315,22.315,22.245,22.245,1090
176,22.37,22.37,22.32,22.32,800
177,22.4,22.414,22.37,22.37,1200
178,22.38,22.407,22.36,22.36,2700
179,22.395,22.41,22.35,22.37,16243
180,22.405,22.405,22.39,22.39,400
181,22.3275,22.39,22.3275,22.39,2392
182,22.36,22.39,22.34,22.35,4650
183,22.39,22.42,22.35,22.42,26689
288,22.41,22.41,22.41,22.41,491
289,22.35,22.35,22.27,22.32,800
290,22.35,22.48,22.33,22.33,2310
291,22.42,22.4299,22.35,22.35,500
292,22.34,22.48,22.31,22.4,9222
293,22.48,22.56,22.34,22.34,32240
294,22.5,22.52,22.47,22.5,2228
295,22.51,22.51,22.47,22.5,1200
296,22.5462,22.5462,22.53,22.53,786
297,22.45,22.54,22.445,22.52,800
298,22.55,22.55,22.435,22.435,900
299,22.52,22.53,22.49,22.53,600
300,22.52,22.52,22.51,22.51,500
301,22.44,22.495,22.43,22.495,700
302,22.41,22.44,22.41,22.44,600
303,22.385,22.45,22.385,22.41,1300
304,22.55,22.55,22.41,22.41,2200
305,22.56,22.56,22.55,22.55,400
306,22.435,22.4999,22.435,22.48,300
307,22.4999,22.4999,22.43,22.43,600
308,22.51,22.51,22.49,22.49,1300
309,22.53,22.53,22.47,22.47,800
310,22.492,22.54,22.47,22.5384,2500
311,22.475,22.5,22.475,22.48,800
312,22.53,22.53,22.49,22.49,600
313,22.53,22.54,22.52,22.54,800
314,22.53,22.53,22.52,22.52,600
315,22.54,22.54,22.51,22.54,2800
316,22.5,22.53,22.49,22.53,1600
317,22.54,22.54,22.51,22.51,1680
318,22.54,22.54,22.53,22.54,1100
319,22.56,22.56,22.52,22.55,1400
320,22.6,22.63,22.55,22.56,4000
321,22.7,22.74,22.56,22.57,9730
322,22.59,22.73,22.55,22.73,15100
323,22.58,22.65,22.58,22.595,13978
324,22.63,22.64,22.56,22.56,3700
325,22.58,22.635,22.56,22.61,2500
326,22.63,22.63,22.56,22.56,1900
327,22.72,22.75,22.63,22.63,37568
432,22.73,22.73,22.73,22.73,679
434,22.5518,22.63,22.44,22.62,5715
435,22.61,22.61,22.49,22.5,1700
436,22.66,22.84,22.49,22.575,30423
437,22.67,22.73,22.6,22.62,4900
438,22.6,22.71,22.55,22.685,11096
439,22.65,22.75,22.61,22.61,2692
440,22.53,22.61,22.53,22.6,1800
441,22.56,22.58,22.485,22.485,2000
442,22.54,22.57,22.54,22.55,2684
443,22.53,22.53,22.435,22.515,1800
444,22.57,22.6,22.5175,22.52,900
445,22.59,22.62,22.54,22.57,1921
446,22.57,22.62,22.57,22.57,1300
447,22.53,22.5999,22.49,22.56,900
448,22.56,22.56,22.52,22.52,500
449,22.495,22.56,22.48,22.53,1800
450,22.45,22.48,22.45,22.47,600
451,22.47,22.5,22.41,22.4599,2700
452,22.56,22.56,22.48,22.48,600
453,22.54,22.54,22.54,22.54,300
454,22.55,22.5898,22.54,22.54,2394
455,22.51,22.5699,22.51,22.54,1000
456,22.57,22.57,22.47,22.5,1900
457,22.56,22.6,22.53,22.6,1600
458,22.56,22.58,22.54,22.56,1311
459,22.5299,22.5499,22.5,22.53,1700
460,22.51,22.55,22.481,22.5,3070
461,22.51,22.52,22.4999,22.4999,1000
462,22.48,22.52,22.45,22.51,5700
463,22.53,22.58,22.48,22.48,4827
464,22.55,22.59,22.53,22.54,5100
465,22.5,22.5599,22.4853,22.5599,2375
466,22.495,22.56,22.47,22.47,3111
467,22.45,22.5,22.45,22.49,2500
468,22.47,22.47,22.46,22.46,1700
469,22.46,22.49,22.45,22.455,3227
470,22.39,22.47,22.38,22.47,2400
471,22.32,22.405,22.29,22.4,29513
864,22.35,22.35,22.35,22.35,2067
865,22.18,22.33,22.18,22.33,934
866,22.32,22.32,22.18,22.18,1800
867,22.3099,22.3099,22.12,22.27,3960
868,22.32,22.32,22.27,22.27,300
869,22.197,22.23,22.1201,22.14,1800
870,22.06,22.18,22.05,22.18,2350
871,22.2,22.2,22.075,22.0899,2000
872,22.1699,22.175,22.14,22.175,900
873,22.1999,22.1999,22.08,22.14,2470
874,22.2,22.2,22.17,22.19,900
875,22.28,22.28,22.1801,22.2,4857
876,22.22,22.255,22.22,22.23,1000
877,22.1599,22.24,22.1599,22.2399,500
878,22.27,22.27,22.11,22.11,1200
879,22.21,22.24,22.2,22.23,835
880,22.21,22.21,22.21,22.21,100
881,22.25,22.25,22.2,22.24,1500
882,22.27,22.27,22.23,22.27,300
883,22.17,22.2399,22.17,22.23,600
884,22.26,22.27,22.19,22.19,1400
885,22.2399,22.2568,22.13,22.2568,2100
886,22.28,22.28,22.22,22.22,400
887,22.3,22.3,22.21,22.22,3680
889,22.3,22.3,22.26,22.275,1300
890,22.38,22.38,22.33,22.33,400
891,22.4,22.4,22.38,22.38,600
892,22.35,22.449,22.33,22.4,3152
893,22.3299,22.335,22.32,22.335,300
894,22.33,22.35,22.29,22.3,8000
895,22.3399,22.3399,22.27,22.32,1500
896,22.2701,22.35,22.27,22.3399,2100
897,22.42,22.42,22.25,22.29,8284
898,22.34,22.37,22.33,22.37,4188
