EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,7.1,7.15,7.05,7.05,1600
1,7.125,7.125,7.105,7.105,2600
2,7.125,7.15,7.1,7.15,1000
3,7.15,7.15,7.15,7.15,200
4,7.1,7.15,7.1,7.15,200
5,7.05,7.1,7.05,7.1,800
6,7.05,7.1,7.05,7.1,200
7,7.05,7.1,7.05,7.1,1400
9,7.05,7.05,7.05,7.05,100
10,7.05,7.1,7.05,7.05,3163
11,7.1,7.1,7.05,7.05,300
12,7.1,7.1,7.075,7.075,300
13,7.075,7.0753,7.05,7.0753,400
14,7.05,7.05,7.05,7.05,200
15,7.05,7.05,7.05,7.05,200
17,7.1,7.1,7.1,7.1,400
18,7.075,7.075,7.05,7.05,700
20,7.1,7.1,7.05,7.05,800
21,7.075,7.1,7.05,7.1,300
22,7,7.075,7,7.075,2800
23,7.025,7.05,7.025,7.05,200
24,6.9,7.025,6.9,7.025,5600
25,6.95,6.95,6.9,6.95,4400
26,6.9,6.95,6.9,6.931,1800
27,6.95,6.95,6.95,6.95,100
28,6.85,6.95,6.85,6.9,12015
29,6.85,6.9,6.85,6.85,2400
30,6.9,6.9,6.875,6.875,600
31,6.9,6.9,6.9,6.9,100
32,6.9,6.9,6.85,6.9,2200
33,6.9,6.95,6.9,6.9,1600
34,6.85,6.95,6.85,6.95,23985
35,6.75,6.8,6.7,6.8,7681
36,6.8,6.8,6.7,6.75,9445
37,6.8,6.85,6.75,6.8,3355
38,6.85,6.85,6.8,6.825,5796
143,6.9,6.9,6.9,6.9,160
144,6.9,6.9,6.7888,6.9,5509
145,6.85,6.9,6.85,6.9,1900
146,6.9,6.9,6.816,6.816,1100
147,6.9,6.9,6.9,6.9,400
148,6.9,6.9,6.9,6.9,900
149,6.95,6.95,6.9,6.9,500
150,6.95,6.95,6.9354,6.9354,750
151,6.975,7,6.95,6.95,2023
152,6.925,7,6.9,6.95,4269
153,6.9,6.9,6.9,6.9,200
154,6.9,6.9,6.9,6.9,700
155,6.9,6.9,6.8647,6.875,541
156,6.85,6.9,6.85,6.9,300
157,6.85,6.85,6.85,6.85,500
158,6.9,6.9,6.825,6.85,6843
159,6.85,6.95,6.85,6.95,6300
160,6.9,6.9,6.9,6.9,100
162,6.85,6.9,6.85,6.9,804
163,6.9,6.9,6.875,6.875,500
164,6.9,6.9,6.9,6.9,200
165,6.85,6.875,6.85,6.85,2150
166,6.9,6.9,6.9,6.9,200
168,6.85,6.9,6.85,6.9,3200
169,6.9,6.9,6.9,6.9,200
170,6.9,6.9,6.9,6.9,1000
171,6.9,6.9,6.9,6.9,200
172,6.85,6.9,6.85,6.8767,600
173,6.9,6.9,6.9,6.9,200
174,6.9,6.9,6.9,6.9,200
175,6.9,6.9,6.9,6.9,300
176,6.9,6.9,6.85,6.9,500
177,6.9,6.9,6.85,6.85,900
178,6.9,6.9,6.9,6.9,600
179,6.9,6.9,6.9,6.9,200
180,6.925,6.95,6.925,6.95,300
181,6.9,6.95,6.9,6.95,1200
182,6.9,6.95,6.9,6.95,5122
287,6.85,6.85,6.85,6.85,164
289,7,7,7,7,100
290,6.95,6.95,6.95,6.95,100
292,6.9,7,6.9,7,200
293,7,7,7,7,200
294,7,7,7,7,1252
297,7,7,7,7,100
298,7,7,7,7,273
300,7,7,7,7,200
301,7,7,7,7,100
303,6.975,7,6.95,7,400
304,7,7,6.975,6.975,200
305,6.875,6.95,6.85,6.95,5428
306,6.8755,6.9,6.875,6.9,800
307,6.9,6.95,6.9,6.9,4120
308,6.95,6.95,6.95,6.95,800
309,7,7,6.9,6.95,2100
310,7,7,6.975,7,500
311,7,7,6.95,7,700
312,7,7,7,7,100
313,7,7,7,7,400
314,7,7,6.975,7,900
315,7,7,6.975,7,400
316,7,7,7,7,300
317,6.9,7,6.9,6.975,4100
318,6.95,6.95,6.95,6.95,200
319,6.95,6.95,6.95,6.95,200
320,6.95,6.95,6.95,6.95,300
321,6.9,6.95,6.9,6.95,200
322,6.95,6.95,6.925,6.925,344
323,6.9,6.95,6.9,6.95,800
324,6.925,6.95,6.925,6.9395,600
325,6.95,6.95,6.9,6.95,1600
326,7,7,6.9,6.95,11074
431,7,7,7,7,387
432,7,7,7,7,1246
433,7.05,7.05,7.05,7.05,200
434,6.95,7.05,6.95,7.05,200
435,7.05,7.05,7,7,954
436,7.025,7.05,7,7.05,1000
437,7.05,7.05,7.05,7.05,100
438,7,7,6.925,7,5734
439,7,7,7,7,500
440,7,7.05,6.975,6.975,1076
441,7,7.05,7,7.05,800
442,6.975,6.975,6.975,6.975,200
443,6.975,7,6.975,7,500
444,6.925,6.975,6.925,6.975,900
445,6.95,6.95,6.95,6.95,100
446,6.95,6.95,6.9,6.95,500
447,6.95,6.95,6.925,6.95,500
448,6.925,6.95,6.9,6.925,1100
449,6.95,6.95,6.925,6.925,200
450,6.925,6.95,6.9,6.925,800
451,6.95,6.95,6.925,6.925,200
452,6.925,6.925,6.9,6.925,500
453,6.95,6.95,6.925,6.95,500
454,6.9,6.925,6.9,6.9,1600
455,6.9,6.95,6.9,6.9,500
456,6.95,6.95,6.95,6.95,100
457,6.95,6.95,6.9,6.9,700
458,6.85,6.9,6.85,6.9,1600
459,6.875,6.9,6.85,6.9,4450
460,6.9,6.9,6.85,6.85,1400
461,6.85,6.85,6.85,6.85,2300
462,6.8,6.875,6.8,6.85,5600
463,6.9,6.9,6.85,6.85,800
464,6.85,6.95,6.85,6.875,2000
465,6.925,6.95,6.9,6.95,3600
466,6.925,6.95,6.925,6.95,600
467,6.925,7,6.9,6.95,13622
468,6.9,6.925,6.9,6.9,1700
469,6.95,6.95,6.9,6.925,1600
470,6.95,6.95,6.9,6.925,3204
863,6.95,6.95,6.95,6.95,761
865,6.9,6.95,6.9,6.95,300
866,6.95,6.95,6.95,6.95,700
869,6.9,6.95,6.9,6.95,300
870,6.95,6.95,6.95,6.95,100
871,6.85,6.9,6.85,6.85,400
872,6.85,6.85,6.8,6.8,300
874,6.8,6.8063,6.75,6.8063,4200
875,6.73,6.85,6.725,6.778,5747
876,6.7,6.75,6.7,6.75,600
877,6.675,6.75,6.65,6.75,1889
878,6.7,6.7,6.625,6.69,3700
879,6.8,6.8,6.7,6.7,900
880,6.8,6.8,6.75,6.8,300
881,6.75,6.75,6.75,6.75,100
882,6.75,6.8,6.75,6.8,708
883,6.75,6.75,6.75,6.75,200
884,6.7,6.75,6.7,6.75,600
886,6.7,6.75,6.7,6.75,300
887,6.75,6.75,6.65,6.7,2300
888,6.75,6.75,6.7,6.7,200
889,6.7,6.7,6.65,6.7,1000
890,6.7,6.7,6.675,6.7,500
891,6.65,6.7,6.65,6.7,700
892,6.6,6.7,6.6,6.65,3300
893,6.7,6.7,6.65,6.7,400
894,6.65,6.7,6.65,6.7,400
895,6.65,6.65,6.625,6.65,4299
896,6.7,6.7,6.7,6.7,200
897,6.675,6.7,6.65,6.7,1900
898,6.675,6.7,6.675,6.7,200
899,6.65,6.7,6.6,6.65,1600
900,6.65,6.7,6.65,6.6599,1000
901,6.65,6.7,6.65,6.7,4800
902,6.65,6.7,6.65,6.675,3780
a1493731800,6.65,6.65,6.65,6.65,109
2,6.65,6.65,6.65,6.65,1450
3,6.7,6.7,6.7,6.7,100
4,6.75,6.75,6.7076,6.7076,400
5,6.75,6.75,6.65,6.75,500
6,6.65,6.75,6.65,6.75,500
7,6.65,6.65,6.65,6.65,900
8,6.6,6.6,6.6,6.6,100
9,6.7,6.7,6.6,6.65,300
10,6.505,6.65,6.5,6.6,2600
11,6.55,6.6,6.5,6.5,2969
12,6.5,6.6,6.5,6.5,400
13,6.6,6.6,6.5,6.6,1000
14,6.6,6.6,6.55,6.55,3050
15,6.6,6.6,6.55,6.55,200
16,6.7,6.7,6.6,6.6,2200
17,6.6,6.7,6.6,6.7,500
18,6.7,6.7,6.6,6.7,400
19,6.65,6.7,6.65,6.7,1200
20,6.7,6.7,6.65,6.7,300
21,6.7,6.7,6.6,6.6,1350
22,6.7,6.7,6.6,6.6,700
