EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,45.81,48.2,45.81,48.2,2278
1,47.88,48.075,47.4,47.4,11248
2,48.07,48.13,47.9,47.92,2116
3,47.92,48.16,47.92,48.05,8800
4,48.2,48.29,47.94,48.01,6600
5,48.03,48.29,48.03,48.19,4200
6,47.96,48.11,47.96,48.08,3150
7,48,48.06,47.91,48.02,4900
8,47.84,47.97,47.84,47.97,2600
9,47.83,47.88,47.8,47.84,4200
10,47.845,47.845,47.67,47.74,8600
11,47.95,47.99,47.86,47.86,4400
12,47.84,47.95,47.81,47.95,1200
13,47.79,47.88,47.73,47.83,5000
14,47.84,47.88,47.71,47.77,1822
15,47.94,47.97,47.79,47.79,3500
16,48.09,48.09,47.91,47.91,2900
17,48.09,48.09,48,48.05,2562
18,48.17,48.17,48.04,48.09,3318
19,48.025,48.13,47.93,48.13,3701
20,48.04,48.09,47.97,48.03,4200
21,48.075,48.12,48.05,48.07,2191
22,48.18,48.23,48.06,48.06,4900
23,48.16,48.16,48.13,48.16,1500
24,48.17,48.255,48.162,48.162,10007
25,48.18,48.2,48.13,48.16,1900
26,48.16,48.21,48.12,48.18,4000
27,48.23,48.23,48.17,48.17,2912
28,48.28,48.28,48.21,48.22,3600
29,48.3,48.34,48.27,48.28,4200
30,48.25,48.325,48.24,48.325,4191
31,48.29,48.31,48.22,48.23,5009
32,48.35,48.35,48.28,48.29,5300
33,48.29,48.32,48.22,48.31,2400
34,48.31,48.36,48.27,48.305,6245
35,48.29,48.307,48.24,48.28,4651
36,48.22,48.29,48.21,48.28,7334
37,48.22,48.26,48.17,48.22,10964
38,48.24,48.26,48.22,48.23,14272
39,48.22,48.27,48.19,48.24,48551
144,48.17,48.17,48.17,48.17,2215
145,48.19,48.41,48.19,48.41,1200
146,48.3401,48.575,48.18,48.27,4626
147,48.31,48.444,48.2001,48.3701,3454
148,48.33,48.33,48.18,48.325,4129
149,48.24,48.35,48.12,48.285,2800
150,48.42,48.45,48.21,48.21,3400
151,48.49,48.53,48.42,48.42,3500
152,48.56,48.59,48.4,48.48,8936
153,48.83,48.89,48.58,48.58,5788
154,48.67,48.84,48.64,48.82,5550
155,48.89,48.89,48.69,48.7,4600
156,49.04,49.18,48.89,48.89,8765
157,49.01,49.11,49.01,49.03,5625
158,48.74,49.005,48.71,49.005,6400
159,48.86,48.86,48.76,48.76,1635
160,48.87,48.87,48.77,48.82,6300
161,48.9699,48.97,48.82,48.888,3541
162,48.95,48.99,48.89,48.95,6300
163,48.99,49,48.9,48.97,11627
164,49.02,49.11,48.95,48.95,7000
165,49.13,49.16,48.98,48.99,2000
166,49.15,49.15,49.03,49.11,3800
167,49.08,49.15,49.035,49.15,4800
168,48.99,49.1588,48.95,49.1,19386
169,48.93,48.95,48.79,48.95,6200
170,48.74,48.98,48.72,48.9,4917
171,48.76,48.93,48.75,48.84,6095
172,48.72,48.72,48.6,48.68,3195
173,48.75,48.82,48.75,48.76,1900
174,48.7,48.79,48.67,48.67,5300
175,48.73,48.79,48.67,48.67,3100
176,48.73,48.78,48.69,48.73,8566
177,48.71,48.77,48.7,48.74,2779
178,48.72,48.75,48.66,48.66,2200
179,48.71,48.77,48.71,48.73,3703
180,48.72,48.73,48.64,48.7,15438
181,48.79,48.84,48.71,48.71,9395
182,48.63,48.755,48.6231,48.73,6350
183,48.57,48.64,48.55,48.62,46800
288,48.54,48.54,48.54,48.54,1183
289,48.5,48.62,48.17,48.3,1700
290,48.49,48.73,48.31,48.45,7513
291,48.49,48.57,48.27,48.57,6746
292,48.44,48.58,48.36,48.55,8436
293,48.5,48.56,48.33,48.42,6150
294,48.3499,48.55,48.34,48.49,7049
295,48.32,48.35,48.23,48.35,1960
296,48.11,48.34,48.11,48.31,12400
297,47.885,48.05,47.86,48.03,7424
298,47.81,47.9,47.81,47.885,2800
299,47.76,47.79,47.71,47.77,4188
300,47.67,47.8,47.67,47.8,3420
301,47.6,47.73,47.43,47.72,34320
302,47.46,47.59,47.46,47.59,2520
303,47.42,47.47,47.4,47.47,1218
304,47.63,47.63,47.48,47.48,1700
305,47.585,47.65,47.585,47.65,900
306,47.57,47.59,47.53,47.5819,2140
307,47.84,47.84,47.62,47.62,1000
308,47.83,47.88,47.75,47.86,6798
309,48.03,48.03,47.81,47.81,2675
310,47.91,48,47.91,48,4236
311,47.97,48.01,47.925,47.925,2300
312,47.93,47.94,47.86,47.92,2000
313,48.156,48.156,47.93,47.93,1500
314,48.1,48.15,48.05,48.143,2100
315,48.015,48.12,47.92,48.12,2200
316,47.99,48.1,47.92,48.015,3104
317,48.06,48.06,47.97,48.02,2700
318,48.2,48.2,48.05,48.06,4800
319,48.13,48.3,48.1,48.22,7000
320,48.1,48.2,48.1,48.1108,5003
321,48.05,48.16,48.03,48.12,6195
322,47.93,48.04,47.89,48.04,2867
323,47.99,48.08,47.945,47.95,2300
324,48.005,48.08,47.97,48.02,2700
325,47.95,48.04,47.93,48.02,6400
326,47.93,48,47.93,47.97,5900
327,47.91,47.96,47.89,47.92,31456
432,48.13,48.13,48.13,48.13,1746
433,48.07,48.07,48.07,48.07,100
434,48.06,48.06,47.79,47.88,3100
435,48.13,48.26,48.09,48.09,3100
436,48.13,48.18,48.07,48.07,1800
437,48.12,48.195,47.99,48.12,4500
438,47.91,48.05,47.85,48.05,11611
439,47.9,47.93,47.79,47.88,2103
440,47.71,47.95,47.71,47.87,3000
441,47.89,47.89,47.75,47.75,2964
442,47.88,47.99,47.83,47.89,4300
443,47.87,47.88,47.7501,47.88,6200
444,48,48.06,47.91,47.92,2000
445,47.88,47.99,47.75,47.99,2200
446,47.82,47.82,47.75,47.82,3300
447,47.72,47.835,47.72,47.83,4000
448,47.77,47.82,47.72,47.75,4189
449,47.73,47.82,47.73,47.79,6400
450,47.7,47.75,47.69,47.74,4954
451,47.76,47.77,47.6701,47.6701,5631
452,47.71,47.81,47.71,47.76,2868
453,47.78,47.78,47.71,47.71,3032
454,47.75,47.83,47.72,47.76,6300
455,47.68,47.765,47.68,47.75,10500
456,47.7,47.7,47.63,47.68,5462
457,47.67,47.68,47.665,47.68,2550
458,47.68,47.75,47.67,47.7,9615
459,47.65,47.73,47.65,47.7,3800
460,47.64,47.68,47.61,47.65,10687
461,47.55,47.63,47.54,47.63,4229
462,47.555,47.6,47.55,47.55,6667
463,47.49,47.6,47.49,47.565,7739
464,47.435,47.5,47.43,47.48,4304
465,47.34,47.44,47.34,47.43,7500
466,47.5,47.5,47.335,47.335,20689
467,47.56,47.61,47.5,47.503,6437
468,47.45,47.56,47.45,47.56,6130
469,47.485,47.54,47.43,47.443,12873
470,47.42,47.46,47.37,47.46,13567
471,47.3,47.47,47.26,47.415,84558
864,47.64,47.64,47.64,47.64,2315
865,47.34,48.1099,46.815,48.1099,14794
866,47.31,47.61,47.16,47.35,21668
867,47.27,47.53,47.22,47.28,19500
868,46.88,47.32,46.86,47.32,24700
869,46.74,46.88,46.74,46.875,11604
870,46.81,46.91,46.73,46.8,7400
871,47.3,47.3,46.79,46.82,17630
872,48.02,48.02,47.2962,47.31,17227
873,47.59,48.07,47.59,48.01,27320
874,48.34,48.44,47.59,47.59,27100
875,47.72,48.34,47.72,48.34,17419
876,47.61,47.7591,47.545,47.69,6989
877,47.47,47.61,47.39,47.61,4816
878,47.61,47.61,47.43,47.44,8164
879,47.76,47.84,47.59,47.6,5025
880,47.9,47.92,47.78,47.82,1927
881,47.93,47.96,47.875,47.91,2800
882,47.74,47.91,47.7,47.91,5600
883,47.79,47.8,47.76,47.785,1800
884,47.66,47.8,47.615,47.7932,8198
885,47.685,47.685,47.55,47.64,3414
886,47.64,47.8,47.64,47.65,2100
887,47.74,47.77,47.62,47.63,1452
888,47.84,47.84,47.73,47.74,2329
889,47.87,47.87,47.78,47.79,2371
890,47.9,47.94,47.81,47.86,3900
891,47.92,47.95,47.9,47.92,3551
892,47.71,48.01,47.71,47.94,2619
893,47.64,47.69,47.6,47.67,1701
894,47.61,47.7099,47.58,47.66,2790
