EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,10.99,10.99,10.99,10.99,12171
1,10.78,11,10.68,10.98,77195
2,10.8,11,10.7,10.76,32899
3,10.51,10.8,10.51,10.8,39223
4,10.495,10.6386,10.495,10.51,22362
5,10.5,10.57,10.445,10.54,21742
6,10.385,10.5,10.355,10.5,38922
7,10.3775,10.4128,10.36,10.36,13967
8,10.42,10.4916,10.34,10.385,27963
9,10.41,10.51,10.405,10.44,12900
10,10.4,10.415,10.35,10.39,11098
11,10.36,10.4479,10.35,10.4,13511
12,10.37,10.39,10.35,10.35,12443
13,10.3,10.39,10.3,10.3708,10105
14,10.25,10.31,10.23,10.29,20736
15,10.25,10.2744,10.21,10.25,13508
16,10.31,10.31,10.23,10.24,14030
17,10.265,10.3,10.26,10.3,3967
18,10.26,10.29,10.2,10.26,37461
19,10.2,10.24,10.2,10.24,6833
20,10.182,10.2336,10.15,10.21,12602
21,10.19,10.23,10.1601,10.18,4354
22,10.245,10.3,10.16,10.19,48011
23,10.35,10.35,10.23,10.24,7846
24,10.41,10.44,10.33,10.37,46088
25,10.31,10.39,10.3,10.39,16265
26,10.3,10.32,10.3,10.3,18845
27,10.27,10.31,10.265,10.3,4200
28,10.28,10.305,10.26,10.28,5820
29,10.275,10.28,10.265,10.27,3914
30,10.265,10.29,10.26,10.271,12008
31,10.265,10.27,10.26,10.265,7225
32,10.275,10.28,10.26,10.265,33746
33,10.28,10.28,10.27,10.275,9751
34,10.325,10.335,10.27,10.275,18638
35,10.325,10.325,10.295,10.32,12765
36,10.33,10.34,10.325,10.33,16579
37,10.335,10.345,10.32,10.325,22859
38,10.4,10.41,10.325,10.335,36339
39,10.41,10.43,10.39,10.4,174664
144,10.43,10.43,10.43,10.43,1086
145,10.43,10.49,10.4,10.48,9519
146,10.475,10.486,10.41,10.48,12458
147,10.455,10.48,10.45,10.475,9261
148,10.485,10.49,10.48,10.48,1600
149,10.5913,10.65,10.48,10.485,29810
150,10.515,10.585,10.5,10.585,16105
151,10.5,10.515,10.5,10.515,8968
152,10.5203,10.56,10.49,10.5,9106
153,10.56,10.57,10.51,10.53,8388
154,10.5847,10.6,10.56,10.56,4400
155,10.565,10.59,10.55,10.58,8582
156,10.565,10.5675,10.56,10.565,7741
157,10.515,10.565,10.515,10.565,12407
158,10.52,10.53,10.48,10.515,4831
159,10.5401,10.56,10.5,10.51,2300
160,10.5503,10.555,10.55,10.55,2300
161,10.56,10.565,10.555,10.565,2100
162,10.555,10.56,10.55,10.56,2300
163,10.5467,10.5503,10.545,10.55,7421
164,10.565,10.57,10.55,10.55,3200
165,10.565,10.565,10.56,10.565,2400
166,10.5675,10.57,10.565,10.565,4700
167,10.55,10.565,10.55,10.565,5366
168,10.545,10.56,10.54,10.555,3500
169,10.535,10.5375,10.5318,10.535,2003
170,10.505,10.53,10.48,10.53,7114
171,10.51,10.52,10.49,10.5,9800
172,10.475,10.515,10.47,10.515,7600
173,10.46,10.5,10.46,10.475,4150
174,10.525,10.54,10.475,10.48,3990
175,10.5,10.5103,10.4963,10.51,2000
176,10.505,10.51,10.49,10.5,13506
177,10.5,10.51,10.5,10.505,9300
178,10.48,10.51,10.48,10.5025,15310
179,10.5,10.5,10.5,10.5,1422
180,10.505,10.51,10.5,10.505,18124
181,10.49,10.51,10.49,10.505,12643
182,10.475,10.5,10.47,10.495,8447
183,10.38,10.475,10.35,10.475,83660
288,10.4,10.4,10.4,10.4,729
289,10.37,10.43,10.33,10.43,1400
290,10.34,10.41,10.325,10.39,10700
291,10.34,10.35,10.34,10.35,400
292,10.25,10.35,10.25,10.35,2645
293,10.216,10.29,10.19,10.25,6206
294,10.16,10.18,10.1,10.18,6900
295,10.16,10.16,10.13,10.16,1200
296,10.09,10.14,10.0779,10.14,11366
297,9.99,10.07,9.93,10.07,19039
298,10.04,10.05,10.02,10.02,1400
299,10.04,10.06,10.03,10.05,692
300,10.06,10.06,10.06,10.06,200
301,10.07,10.08,10.02,10.05,3100
302,10.1,10.12,10.08,10.09,1000
303,10.15,10.15,10.0871,10.095,3700
304,10.27,10.27,10.18,10.18,16442
305,10.34,10.34,10.3,10.3,1800
306,10.28,10.35,10.28,10.34,5500
307,10.2801,10.32,10.28,10.28,5450
308,10.3,10.34,10.3,10.31,9696
309,10.29,10.2901,10.26,10.29,2800
310,10.28,10.29,10.26,10.29,900
311,10.28,10.28,10.25,10.25,1360
312,10.27,10.29,10.27,10.29,1200
313,10.26,10.27,10.26,10.27,1000
314,10.25,10.265,10.25,10.26,800
315,10.2475,10.25,10.24,10.25,8750
316,10.25,10.26,10.25,10.26,1800
317,10.24,10.26,10.24,10.24,1204
318,10.2,10.24,10.2,10.24,2600
319,10.25,10.25,10.2,10.21,4934
320,10.26,10.26,10.245,10.26,7502
321,10.26,10.26,10.24,10.25,4952
322,10.19,10.26,10.19,10.26,8608
323,10.2,10.22,10.1895,10.1895,6132
324,10.19,10.2,10.18,10.19,4139
325,10.11,10.18,10.11,10.175,8045
326,10.2,10.21,10.1,10.11,4974
327,10.21,10.26,10.18,10.21,57340
432,10.18,10.18,10.18,10.18,2187
433,10.21,10.21,10.18,10.18,2304
434,10.1866,10.23,10.17,10.23,6600
435,10.07,10.18,10.04,10.15,3856
436,10.1,10.15,10.08,10.08,1500
437,10.09,10.1,10.05,10.1,1600
438,10.04,10.08,10.04,10.08,3503
439,10.08,10.08,10.03,10.05,600
440,10.06,10.08,10.04,10.07,800
441,10.06,10.06,10.01,10.03,2400
442,10.05,10.09,10.05,10.06,1700
443,10.03,10.035,10.02,10.035,300
444,10.05,10.07,10.035,10.04,2200
445,10.08,10.08,10.03,10.06,1700
446,10.11,10.11,10.07,10.08,4104
447,10.15,10.15,10.07,10.09,1400
448,10.16,10.16,10.13,10.13,500
449,10.18,10.19,10.15,10.15,2511
450,10.16,10.17,10.15,10.16,1500
451,10.17,10.17,10.15,10.165,900
452,10.125,10.155,10.125,10.155,1300
453,10.1081,10.1412,10.1081,10.1412,2300
454,10.14,10.14,10.11,10.11,1000
455,10.13,10.14,10.1299,10.14,1700
456,10.1,10.13,10.1,10.125,3289
457,10.09,10.11,10.09,10.1,5338
458,10.1,10.11,10.1,10.1,1900
459,10.12,10.18,10.1,10.1,23248
460,10.1,10.14,10.1,10.13,2600
461,10.14,10.14,10.1,10.1,900
462,10.14,10.15,10.14,10.15,600
463,10.18,10.19,10.16,10.16,2014
464,10.15,10.18,10.15,10.18,300
465,10.27,10.27,10.16,10.16,3855
466,10.26,10.27,10.241,10.25,3600
467,10.31,10.34,10.265,10.27,10213
468,10.36,10.36,10.32,10.32,3973
469,10.3999,10.4,10.36,10.36,3800
470,10.33,10.39,10.32,10.38,7750
471,10.22,10.33,10.21,10.33,50165
864,10.25,10.25,10.25,10.25,4716
865,10.23,10.29,10.15,10.15,3200
866,10.3,10.34,10.3,10.3,595
867,10.36,10.36,10.28,10.3,3940
868,10.25,10.37,10.25,10.365,1800
869,10.2,10.24,10.2,10.22,1298
870,10.19,10.22,10.17,10.19,3700
871,10.22,10.22,10.17,10.2,2900
872,10.25,10.29,10.25,10.28,8173
873,10.18,10.2792,10.18,10.2792,3100
874,10.15,10.18,10.15,10.18,2800
875,10.19,10.19,10.15,10.15,1514
876,10.14,10.17,10.14,10.15,2097
877,10.11,10.125,10.09,10.12,4770
878,10.11,10.12,10.1,10.12,800
879,10.1537,10.18,10.13,10.13,1409
880,10.17,10.17,10.14,10.14,400
881,10.2,10.2,10.18,10.2,800
882,10.19,10.205,10.19,10.2,1500
883,10.2,10.22,10.19,10.22,800
884,10.18,10.2,10.18,10.2,900
885,10.17,10.18,10.17,10.18,1211
886,10.18,10.18,10.18,10.18,300
888,10.2,10.21,10.15,10.18,6700
889,10.18,10.19,10.18,10.19,300
890,10.17,10.17,10.16,10.17,1338
891,10.17,10.19,10.16,10.16,1400
892,10.18,10.21,10.18,10.2,5500
893,10.18,10.2134,10.18,10.18,1600
894,10.15,10.18,10.15,10.18,1100
895,10.1,10.14,10.1,10.14,3989
