EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,17.1,17.1,17.1,17.1,2018
3,17.05,17.11,17.05,17.11,263
6,17.11,17.11,17.0972,17.0972,1485
9,17.1,17.1016,17.1,17.1016,200
13,17.1,17.1,17.1,17.1,100
17,17.1,17.1,17.1,17.1,100
22,17.11,17.11,17.11,17.11,100
23,17.1022,17.1022,17.1022,17.1022,876
27,17.12,17.12,17.12,17.12,100
32,17.1079,17.1079,17.1079,17.1079,174
34,17.088,17.088,17.088,17.088,1150
38,17.1063,17.1063,17.1063,17.1063,140
154,17.124,17.124,17.124,17.124,1898
159,17.14,17.14,17.135,17.135,368
169,17.18,17.18,17.159,17.159,410
179,17.1539,17.1539,17.1539,17.1539,103
180,17.16,17.16,17.1599,17.1599,478
183,17.13,17.13,17.13,17.13,100
289,17.18,17.18,17.18,17.18,135
305,17.117,17.117,17.117,17.117,105
311,17.1548,17.1548,17.1548,17.1548,323
317,17.17,17.17,17.17,17.17,232
323,17.1514,17.1514,17.1514,17.1514,120
326,17.168,17.168,17.168,17.168,100
442,17.119,17.119,17.119,17.119,100
445,17.11,17.11,17.11,17.11,181
456,17.0614,17.0614,17.0614,17.0614,310
468,17.0819,17.0819,17.0819,17.0819,117
864,17.19,17.19,17.19,17.19,153
886,17.1,17.1,17.1,17.1,100
890,17.11,17.11,17.11,17.11,100
892,17.13,17.13,17.13,17.13,100
893,17.117,17.117,17.117,17.117,339
894,17.13,17.13,17.13,17.13,100
896,17.12,17.12,17.12,17.12,100
898,17.118,17.118,17.118,17.118,306
899,17.12,17.12,17.12,17.12,100
901,17.12,17.12,17.12,17.12,100
902,17.09,17.12,17.09,17.12,306
903,17.1,17.12,17.1,17.12,392
a1493740800,17.095,17.098,17.095,17.098,205
3,17.11,17.11,17.1057,17.1057,283
11,17.11,17.11,17.11,17.11,118
21,17.1,17.1,17.0901,17.0901,748
22,17.1,17.1,17.0975,17.0975,690
129,17.13,17.13,17.13,17.13,218
136,17.11,17.11,17.11,17.11,100
138,17.08,17.085,17.08,17.085,400
154,17.09,17.09,17.09,17.09,200
158,17.12,17.12,17.12,17.12,400
161,17.1,17.1,17.1,17.1,100
164,17.12,17.12,17.12,17.12,100
166,17.12,17.12,17.12,17.12,100
168,17.13,17.13,17.13,17.13,151
279,17.1229,17.1229,17.1229,17.1229,100
287,17.1281,17.1281,17.1281,17.1281,209
301,17.14,17.14,17.14,17.14,100
311,17.14,17.14,17.1309,17.1309,350
312,17.15,17.15,17.15,17.15,100
442,17.1725,17.18,17.1725,17.1799,900
456,17.2032,17.2032,17.2032,17.2032,245
849,17.32,17.32,17.32,17.32,311
852,17.2,17.2,17.2,17.2,100
856,17.2,17.2,17.2,17.2,100
860,17.19,17.19,17.19,17.19,100
863,17.19,17.19,17.19,17.19,500
865,17.19,17.19,17.19,17.19,100
869,17.1985,17.1985,17.1985,17.1985,100
870,17.2,17.2,17.2,17.2,100
876,17.21,17.21,17.21,17.21,100
880,17.21,17.21,17.21,17.21,131
994,17.24,17.24,17.24,17.24,100
a1494343800,17.21,17.21,17.21,17.21,100
25,17.22,17.22,17.22,17.22,100
27,17.22,17.23,17.18,17.23,2456
164,17.27,17.27,17.27,17.27,1337
168,17.243,17.243,17.243,17.243,256
277,17.24,17.24,17.23,17.23,9198
283,17.1174,17.1174,17.1174,17.1174,125
291,17.1297,17.1297,17.1297,17.1297,465
292,17.1472,17.1472,17.1472,17.1472,100
296,17.1799,17.1799,17.1799,17.1799,1100
298,17.1799,17.1799,17.1799,17.1799,1000
302,17.1597,17.1597,17.1597,17.1597,1102
310,17.2,17.2,17.1838,17.1838,5750
315,17.21,17.21,17.21,17.21,199
431,17.11,17.11,17.11,17.11,3375
454,17.1314,17.14,17.1314,17.135,2700
852,17.22,17.22,17.22,17.22,528
885,17.2293,17.2361,17.22,17.2361,1521
890,17.23,17.23,17.23,17.23,381
a1494951000,17.1796,17.1796,17.1796,17.1796,2503
9,17.1947,17.1947,17.1947,17.1947,250
15,17.2,17.2,17.19,17.19,3194
18,17.151,17.151,17.151,17.151,700
22,17.176,17.176,17.176,17.176,137
128,17.13,17.13,17.13,17.13,977
131,17.03,17.062,17.03,17.03,3316
143,17.0198,17.0198,17.0198,17.0198,700
152,17.0399,17.0399,17.0399,17.0399,162
158,17,17,17,17,188
163,16.95,16.96,16.95,16.95,1700
164,16.971,16.971,16.95,16.967,900
166,16.9446,16.9446,16.9446,16.9446,200
167,16.89,16.89,16.89,16.89,100
273,16.8557,16.8557,16.83,16.83,1290
282,16.9368,16.9368,16.9368,16.9368,200
284,16.9402,16.9402,16.9402,16.9402,257
299,16.935,16.935,16.935,16.935,100
301,17,17,17,17,128
304,16.996,16.996,16.996,16.996,592
306,16.97,16.97,16.96,16.96,600
309,16.9531,16.9531,16.9531,16.9531,120
310,16.98,16.99,16.98,16.98,1693
311,16.94,16.94,16.94,16.94,100
441,17.12,17.12,17.12,17.12,1058
447,17.13,17.13,17.1068,17.1068,1200
448,17.1115,17.1115,17.1115,17.1115,111
848,17.01,17.01,17.01,17.01,1127
851,17.1242,17.13,17.12,17.125,1200
856,17.121,17.121,17.121,17.121,100
857,17.12,17.12,17.12,17.12,100
865,17.12,17.12,17.12,17.12,204
871,17.1699,17.1699,17.1699,17.1699,100
887,17.1627,17.1627,17.1627,17.1627,222
a1495551600,17.1862,17.1862,17.1862,17.1862,250
28,17.19,17.19,17.19,17.19,228
29,17.1899,17.1899,17.1726,17.1726,1050
30,17.17,17.17,17.16,17.16,931
142,17.2,17.2,17.2,17.2,419
169,17.2047,17.21,17.2047,17.21,3506
174,17.2,17.2,17.2,17.2,100
287,17.313,17.313,17.313,17.313,252
289,17.332,17.34,17.3201,17.327,700
290,17.35,17.35,17.337,17.337,800
297,17.3165,17.3165,17.31,17.31,800
299,17.33,17.33,17.33,17.33,200
304,17.3314,17.3314,17.3314,17.3314,500
308,17.34,17.34,17.34,17.34,100
312,17.35,17.35,17.35,17.35,100
316,17.3126,17.3126,17.3126,17.3126,142
317,17.35,17.35,17.32,17.32,700
318,17.31,17.31,17.31,17.31,100
427,17.3222,17.3222,17.3222,17.3222,200
438,17.32,17.32,17.32,17.32,590
443,17.3196,17.3196,17.3196,17.3196,200
445,17.3197,17.3197,17.3161,17.3161,750
446,17.3128,17.32,17.3064,17.3064,3600
462,17.3103,17.34,17.3102,17.32,400
a1496153400,17.29,17.3193,17.29,17.3193,692
35,17.31,17.31,17.31,17.31,100
140,17.36,17.36,17.36,17.36,125
144,17.2745,17.2745,17.2745,17.2745,640
149,17.3,17.3,17.291,17.291,400
157,17.31,17.31,17.2914,17.2914,1032
164,17.27,17.31,17.27,17.3038,700
170,17.2825,17.2825,17.2825,17.2825,115
179,17.3327,17.3327,17.3327,17.3327,150
301,17.45,17.45,17.424,17.424,600
305,17.4285,17.47,17.4285,17.43,1200
316,17.45,17.5,17.45,17.4782,2219
429,17.5106,17.5106,17.5028,17.5028,896
440,17.5,17.5,17.5,17.5,200
451,17.5666,17.5666,17.5666,17.5666,1166
459,17.57,17.57,17.57,17.57,100
465,17.58,17.59,17.55,17.59,1062
868,17.55,17.55,17.527,17.527,1120
870,17.4988,17.4988,17.4988,17.4988,163
872,17.506,17.506,17.506,17.506,100
873,17.5199,17.5199,17.5199,17.5199,100
879,17.5,17.5,17.5,17.5,850
884,17.5325,17.5325,17.5325,17.5325,125
a1496763000,17.453,17.46,17.453,17.46,300
1,17.455,17.46,17.44,17.46,1254
2,17.4633,17.4633,17.4633,17.4633,750
10,17.4572,17.4572,17.4572,17.4572,687
27,17.4268,17.4268,17.41,17.41,218
143,17.4537,17.4547,17.4537,17.4547,300
170,17.4363,17.4363,17.4363,17.4363,244
289,17.49,17.49,17.49,17.49,100
302,17.5,17.51,17.485,17.4999,1200
309,17.47,17.47,17.47,17.47,130
312,17.45,17.49,17.45,17.4793,2256
314,17.4563,17.4563,17.4563,17.4563,204
315,17.44,17.5,17.44,17.5,1500
420,17.54,17.54,17.54,17.54,1085
