EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,44.43,44.43,44.43,44.43,1067
1,44.49,44.53,44.4,44.4,4170
2,44.5505,44.57,44.51,44.51,5100
3,44.58,44.598,44.58,44.598,1811
4,44.62,44.62,44.57,44.57,315
5,44.66,44.66,44.6252,44.6305,16289
6,44.668,44.668,44.61,44.65,2313
7,44.7,44.7192,44.6799,44.6799,1122
8,44.68,44.7,44.68,44.7,1000
9,44.699,44.6999,44.64,44.67,2144
10,44.6935,44.699,44.6893,44.696,1249
11,44.71,44.72,44.71,44.72,1307
12,44.71,44.73,44.7,44.71,1375
13,44.72,44.73,44.7,44.7,2900
14,44.72,44.7279,44.71,44.71,800
15,44.7675,44.77,44.715,44.715,3044
16,44.82,44.82,44.78,44.78,1660
17,44.8599,44.86,44.84,44.84,400
18,44.84,44.87,44.84,44.85,29144
19,44.8751,44.88,44.85,44.85,1550
20,44.85,44.85,44.85,44.85,100
21,44.8467,44.8511,44.8467,44.85,434
22,44.8968,44.8968,44.86,44.86,1095
23,44.8938,44.91,44.8938,44.91,200
24,44.89,44.92,44.8867,44.89,17887
25,44.89,44.89,44.86,44.87,6162
26,44.8735,44.88,44.8667,44.8667,1590
27,44.87,44.88,44.86,44.8726,3000
28,44.88,44.88,44.8673,44.87,1175
29,44.8767,44.89,44.8767,44.88,2130
30,44.87,44.89,44.87,44.8867,768
31,44.88,44.88,44.85,44.86,3275
32,44.88,44.88,44.87,44.87,2792
33,44.845,44.88,44.845,44.88,3600
34,44.86,44.87,44.84,44.84,3875
35,44.8,44.86,44.8,44.86,4800
36,44.8135,44.8299,44.8,44.81,5550
37,44.81,44.82,44.8,44.8154,2715
38,44.83,44.83,44.7993,44.809,11543
39,44.8,44.8,44.78,44.8,18282
144,44.73,44.73,44.73,44.73,7441
145,44.7042,44.7158,44.61,44.71,2825
146,44.54,44.6,44.501,44.6,2583
147,44.584,44.6172,44.58,44.584,1020
148,44.61,44.64,44.57,44.57,27704
149,44.6116,44.6181,44.5889,44.5889,668
150,44.552,44.57,44.53,44.57,1110
151,44.54,44.55,44.5,44.54,2500
152,44.54,44.6023,44.5,44.578,3134
153,44.5,44.559,44.5,44.5,1134
154,44.51,44.5606,44.51,44.52,800
155,44.54,44.54,44.51,44.51,300
156,44.57,44.59,44.54,44.59,1810
157,44.56,44.61,44.53,44.57,7023
158,44.4755,44.5703,44.45,44.5501,3962
159,44.4904,44.4999,44.45,44.49,1995
160,44.5,44.52,44.45,44.47,1800
161,44.51,44.52,44.48,44.49,700
162,44.5206,44.5301,44.48,44.53,1300
163,44.52,44.5436,44.49,44.5,1033
164,44.5271,44.54,44.52,44.52,2115
165,44.51,44.54,44.5,44.5,800
166,44.53,44.56,44.51,44.51,782
167,44.55,44.5771,44.54,44.55,716
168,44.55,44.5601,44.54,44.55,1300
169,44.57,44.57,44.54,44.54,1700
170,44.58,44.63,44.57,44.5701,700
171,44.58,44.59,44.54,44.55,900
172,44.6105,44.6204,44.55,44.6054,3812
173,44.62,44.6299,44.59,44.59,1536
174,44.64,44.64,44.59,44.6228,24100
175,44.61,44.62,44.61,44.61,700
176,44.68,44.68,44.62,44.63,2600
177,44.63,44.69,44.63,44.64,1637
178,44.6733,44.6733,44.6,44.61,1100
179,44.68,44.72,44.64,44.65,3600
180,44.68,44.68,44.62,44.6501,4600
181,44.6,44.6532,44.6,44.65,2950
182,44.6,44.63,44.6,44.63,3250
183,44.62,44.625,44.6,44.61,4160
288,44.87,44.88,44.87,44.88,10791
289,45.02,45.02,44.85,44.93,10730
290,45.17,45.17,45.03,45.03,2619
291,45.24,45.24,45.17,45.18,7111
292,45.265,45.27,45.23,45.2399,32791
293,45.3065,45.34,45.26,45.28,5635
294,45.27,45.3,45.27,45.297,1400
295,45.289,45.3,45.283,45.29,2410
296,45.25,45.3,45.25,45.3,4599
297,45.22,45.2665,45.22,45.25,3500
298,45.2299,45.231,45.2236,45.2293,900
299,45.23,45.2899,45.23,45.251,6000
300,45.18,45.205,45.18,45.2,1054
301,45.178,45.178,45.178,45.178,100
302,45.1567,45.1892,45.1153,45.1892,3637
303,45.14,45.15,45.14,45.15,300
304,45.1006,45.12,45.0801,45.12,600
305,45.11,45.12,45.08,45.109,3772
306,45.107,45.107,45.08,45.1004,882
307,45.095,45.1,45.0903,45.0903,561
308,45.112,45.1199,45.112,45.115,1269
309,45.14,45.14,45.11,45.11,500
310,45.14,45.1445,45.14,45.1445,1677
311,45.14,45.1402,45.1399,45.1402,498
312,45.11,45.13,45.11,45.13,1700
313,45.0801,45.12,45.0801,45.11,2481
314,45.0779,45.0879,45.0703,45.0879,1331
315,45.0698,45.08,45.0401,45.0537,3806
316,45.0599,45.0779,45.05,45.0748,3865
317,45.03,45.06,45.03,45.05,1650
318,45.0472,45.0472,45.03,45.0452,1695
319,45.05,45.05,45.01,45.049,1850
320,45.0505,45.065,45.0499,45.05,1500
321,45.06,45.06,45.04,45.04,2000
322,45.06,45.068,45.06,45.06,1582
323,45.0615,45.075,45.04,45.0599,881
324,45.07,45.07,45.05,45.0651,710
325,45.1,45.1,45.0798,45.0835,1749
326,45.1,45.1,45.08,45.08,300
327,45.13,45.13,45.06,45.0962,8070
432,45.12,45.13,45.12,45.13,3932
433,44.85,45.05,44.85,45.04,2500
434,44.76,44.8473,44.76,44.8473,2565
435,44.7602,44.809,44.76,44.76,2800
436,44.7599,44.8256,44.7599,44.77,11495
437,44.7,44.76,44.68,44.75,2194
438,44.72,44.72,44.7,44.7176,358
439,44.75,44.75,44.6735,44.7099,1250
440,44.73,44.73,44.7174,44.7174,750
441,44.7,44.7,44.6856,44.6856,1100
442,44.72,44.72,44.72,44.72,300
443,44.67,44.7,44.6665,44.7,6650
444,44.6564,44.6686,44.64,44.6686,1325
445,44.64,44.6502,44.64,44.64,1100
446,44.61,44.6261,44.59,44.62,600
447,44.6299,44.6299,44.5941,44.5988,2353
448,44.6509,44.6509,44.61,44.61,525
449,44.67,44.671,44.65,44.6655,800
451,44.67,44.67,44.67,44.67,180
452,44.72,44.7205,44.7,44.7,525
453,44.7389,44.7389,44.7389,44.7389,100
454,44.8,44.81,44.7848,44.7848,1700
455,44.809,44.809,44.7894,44.8057,2869
456,44.76,44.809,44.76,44.809,2220
457,44.78,44.78,44.78,44.78,400
458,44.79,44.79,44.7716,44.7716,7332
459,44.802,44.809,44.7996,44.809,300
460,44.805,44.82,44.805,44.81,1400
462,44.83,44.84,44.8,44.82,3022
463,44.815,44.83,44.81,44.82,800
464,44.808,44.83,44.808,44.8172,1700
465,44.827,44.8285,44.8,44.8285,708
466,44.83,44.83,44.8,44.8,1422
467,44.8519,44.8599,44.8299,44.83,6033
468,44.8499,44.86,44.84,44.86,600
469,44.83,44.8358,44.83,44.83,759
470,44.86,44.86,44.83,44.85,15116
471,44.87,44.91,44.84,44.84,3491
864,44.94,44.94,44.94,44.94,2519
865,45.0743,45.13,44.89,44.9,4941
866,45.1299,45.1299,45.0492,45.0612,2205
867,45.16,45.21,45.13,45.13,7300
868,45.12,45.199,45.12,45.15,4548
869,45.0937,45.115,45.09,45.1,1120
870,45.0623,45.08,45.0623,45.08,468
871,45.08,45.0995,45.06,45.0779,11625
872,45.11,45.112,45.1,45.11,2683
873,45.1217,45.1357,45.1,45.1098,4450
874,45.1637,45.1637,45.1262,45.15,1250
875,45.1748,45.18,45.15,45.18,909
876,45.1899,45.1899,45.1899,45.1899,500
877,45.17,45.1859,45.17,45.1859,800
878,45.2337,45.2337,45.1805,45.1805,500
879,45.2,45.232,45.2,45.2305,900
880,45.2108,45.2108,45.2096,45.2096,850
881,45.18,45.205,45.17,45.205,2982
882,45.22,45.22,45.17,45.2037,4300
883,45.28,45.28,45.225,45.249,2195
884,45.23,45.2599,45.2,45.2,570
885,45.21,45.2297,45.2,45.2118,3050
886,45.275,45.2772,45.21,45.21,1550
887,45.3,45.3049,45.27,45.27,721
888,45.33,45.34,45.33,45.3304,1150
889,45.325,45.325,45.325,45.325,100
890,45.36,45.36,45.32,45.35,4210
