EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,20.8,20.8,20.8,20.8,269
1,20.65,20.85,20.65,20.85,200
2,20.85,20.85,20.85,20.85,100
3,20.85,20.85,20.8,20.8,1100
4,20.7,20.8,20.7,20.75,1309
5,20.681,20.681,20.681,20.681,100
6,20.75,20.75,20.75,20.75,100
9,20.65,20.75,20.65,20.75,300
11,20.75,20.75,20.75,20.75,200
13,20.65,20.75,20.65,20.75,1522
14,20.6,20.65,20.6,20.65,300
15,20.65,20.65,20.65,20.65,100
16,20.55,20.55,20.55,20.55,100
18,20.65,20.65,20.65,20.65,300
19,20.65,20.65,20.55,20.55,200
20,20.65,20.65,20.65,20.65,100
21,20.65,20.65,20.65,20.65,120
22,20.65,20.65,20.65,20.65,400
24,20.7,20.7,20.6,20.7,400
26,20.7,20.7,20.7,20.7,100
27,20.7,20.7,20.7,20.7,100
28,20.7,20.7,20.7,20.7,400
29,20.7,20.7,20.7,20.7,100
31,20.6,20.65,20.6,20.65,400
32,20.65,20.65,20.65,20.65,200
33,20.55,20.65,20.55,20.65,900
34,20.4,20.4,20.4,20.4,200
37,20.4,20.4,20.4,20.4,200
38,20.45,20.45,20.45,20.45,100
39,20.45,20.5,20.375,20.4,2841
144,20.35,20.35,20.35,20.35,364
147,20.55,20.55,20.55,20.55,100
148,20.35,20.45,20.35,20.45,500
149,20.4,20.45,20.375,20.45,700
150,20.5,20.5,20.4,20.4,900
152,20.55,20.55,20.55,20.55,200
153,20.85,20.85,20.55,20.55,918
154,20.8,20.825,20.8,20.825,500
156,20.85,20.85,20.8,20.85,1330
157,20.75,20.85,20.75,20.85,600
158,20.75,20.75,20.75,20.75,200
159,20.75,20.8,20.75,20.8,800
163,20.75,20.75,20.725,20.725,800
164,20.75,20.75,20.75,20.75,100
165,20.8,20.8,20.8,20.8,200
168,20.8,20.8,20.8,20.8,715
169,20.75,20.8,20.75,20.75,400
171,20.7468,20.7468,20.7,20.7,350
172,20.8,20.8,20.75,20.75,400
175,20.7,20.85,20.7,20.8,3580
176,20.7,20.7,20.7,20.7,100
177,20.65,20.7,20.65,20.65,800
179,20.7,20.7,20.65,20.65,200
180,20.5,20.65,20.5,20.55,2213
181,20.4,20.475,20.4,20.475,300
182,20.3,20.4,20.3,20.4,800
183,20.25,20.45,20.2,20.45,10067
288,20.35,20.35,20.35,20.35,116
289,20.2152,20.2152,20.1702,20.2,700
290,20.2,20.2,20.2,20.2,100
292,20.3,20.3,20.3,20.3,100
296,20.4,20.4,20.4,20.4,100
297,20.45,20.45,20.45,20.45,100
298,20.45,20.45,20.45,20.45,344
299,20.3,20.3,20.3,20.3,100
305,20.375,20.375,20.375,20.375,100
310,20.45,20.45,20.45,20.45,100
314,20.4003,20.4003,20.4003,20.4003,300
316,20.1,20.4,20.05,20.4,9390
317,20.05,20.1,20.05,20.1,200
318,20.15,20.15,20.1,20.1,400
319,20.05,20.05,20.05,20.05,100
322,20.1,20.1,20.1,20.1,100
323,20.1,20.1,20.1,20.1,200
324,20.15,20.15,20.1,20.1,200
325,20.15,20.15,20.15,20.15,100
326,20.2,20.2,20.2,20.2,100
327,20.15,20.2,20.1,20.2,5147
433,20.2,20.2,20.15,20.15,200
434,20.2,20.2,20.2,20.2,100
438,20.2,20.2,20.2,20.2,1100
440,20.1,20.1,20.1,20.1,100
441,20.1,20.1,20.1,20.1,100
442,20.1,20.1,20.1,20.1,100
459,20.25,20.25,20.25,20.25,100
460,20.25,20.25,20.2,20.25,1131
462,20.1,20.175,20.1,20.1,500
463,20.175,20.175,20.175,20.175,900
464,20.125,20.125,20.1,20.1,200
466,20.05,20.05,20.05,20.05,300
467,19.7,20.2,19.7,20.05,4000
468,19.35,19.7,19.35,19.7,1900
469,19.25,19.35,19.15,19.3,1400
470,19.15,19.35,19.15,19.15,2800
471,19.2,19.3,19.05,19.3,22277
864,19.3,19.3,19.3,19.3,100
865,19.3,19.3,19.3,19.3,679
869,19.2,19.2,19.2,19.2,104
870,19.175,19.175,19.175,19.175,250
871,19.3,19.3,19.175,19.2,900
873,19.325,19.325,19.325,19.325,185
875,19.35,19.35,19.35,19.35,502
877,19.25,19.4,19.25,19.4,200
882,19.275,19.3,19.275,19.3,2200
883,19.3,19.3,19.3,19.3,300
885,19.35,19.35,19.35,19.35,100
887,19.35,19.35,19.35,19.35,300
890,19.35,19.35,19.3,19.3,1000
891,19.325,19.35,19.325,19.35,700
892,19.35,19.4,19.305,19.4,975
893,19.25,19.375,19.25,19.35,1100
894,19.25,19.25,19.25,19.25,800
895,19.25,19.3,19.25,19.25,400
896,19.2,19.25,19.2,19.2,1120
898,19.25,19.25,19.2,19.2,800
899,19.25,19.25,19.25,19.25,800
901,19.2,19.2,19.2,19.2,845
902,19.2,19.25,19.2,19.25,500
903,19.3,19.3,19.25,19.25,2674
a1493731800,19.2,19.2,19.2,19.2,100
1,20.55,20.55,20.55,20.55,100
3,19.85,19.85,19.85,19.85,100
5,19.4,19.8,19.4,19.8,300
6,19.3,19.4,19.3,19.4,1009
7,19.05,19.05,19,19,200
8,19,19,18.9,18.9,300
9,18.95,18.95,18.95,18.95,100
11,18.95,19.05,18.95,18.95,1342
12,18.9,18.95,18.9,18.95,200
13,18.9,18.9,18.9,18.9,200
14,18.85,18.85,18.85,18.85,100
15,18.8,18.8,18.8,18.8,100
16,18.85,18.85,18.85,18.85,200
17,18.9,18.9,18.9,18.9,100
21,18.9,18.9,18.9,18.9,100
22,19,19,18.95,18.95,1000
23,19.05,19.05,19.05,19.05,100
26,18.95,19,18.95,19,484
28,18.9,18.9,18.9,18.9,100
29,19.05,19.05,19.05,19.05,258
30,18.9,18.9,18.9,18.9,200
31,19,19,19,19,100
32,18.9,18.9,18.9,18.9,100
33,18.9,18.9,18.9,18.9,100
34,18.9,18.9,18.9,18.9,100
35,18.825,18.825,18.825,18.825,100
36,18.9,18.9,18.8,18.8,300
38,18.9,18.9,18.75,18.9,300
39,18.8,18.9,18.8,18.9,3673
144,18.7,18.7,18.7,18.7,136
145,18.45,18.9135,18.4,18.9135,3309
146,18,18.4,17.7,18.4,3425
147,18.05,18.25,18,18,1600
148,18.05,18.05,18,18,2530
149,18.25,18.25,18.05,18.1,2600
150,18.25,18.25,18.25,18.25,400
152,18.2,18.25,18.2,18.25,400
154,17.95,18.2,17.9,18.2,2570
155,17.8,18,17.8,17.95,1195
156,17.7,17.8,17.7,17.8,4469
157,17.75,17.75,17.75,17.75,300
158,17.9,17.9,17.9,17.9,100
160,17.95,17.95,17.9,17.9,400
161,17.8,17.8,17.8,17.8,100
162,17.9,17.9,17.9,17.9,400
163,17.9,17.9,17.9,17.9,100
164,17.85,17.85,17.85,17.85,100
165,17.85,17.85,17.85,17.85,100
167,17.9,17.9,17.85,17.9,300
168,17.9,17.9,17.8,17.9,500
169,17.9,17.9,17.9,17.9,100
170,17.9,17.9,17.9,17.9,400
171,17.85,17.85,17.85,17.85,400
172,17.9,18,17.85,17.9,2863
173,18,18,17.9,17.9,863
174,18.1,18.1,17.95,17.95,4065
175,18.0405,18.15,18.0405,18.15,200
176,18.1,18.15,18.1,18.15,300
177,18.2,18.25,18.15,18.15,466
178,18.2,18.2,18.2,18.2,100
179,18.15,18.2,18.15,18.2,673
180,18.2,18.2,18.15,18.15,400
181,17.95,18.25,17.95,18.15,2095
182,18,18,18,18,400
183,18,18.1,17.95,18.05,6588
288,17.6,17.6,17.6,17.6,4000
290,17.925,18.1,17.925,18.1,200
292,17.925,17.925,17.925,17.925,100
294,17.95,17.95,17.95,17.95,100
295,17.9,17.9,17.9,17.9,100
297,17.95,17.95,17.95,17.95,100
298,17.9,17.9,17.9,17.9,383
299,17.95,18,17.95,18,200
300,17.9,17.9,17.9,17.9,300
301,17.95,17.95,17.9,17.95,4000
302,17.95,18,17.9,17.9,300
303,18,18,17.95,18,300
304,18,18,17.9,17.95,1200
305,17.9,17.9,17.9,17.9,100
306,17.95,18,17.95,18,200
307,17.9,17.9,17.9,17.9,100
308,18,18,17.95,17.95,200
