EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,2.05,2.05,2.05,2.05,4675
1,2.0676,2.09,2.05,2.05,7422
2,2.09,2.09,2.0601,2.069,6100
3,2.07,2.0701,2.07,2.07,14470
4,2.09,2.09,2.07,2.08,4100
5,2.09,2.1,2.089,2.09,10300
6,2.09,2.09,2.09,2.09,600
7,2.1,2.1,2.09,2.09,600
8,2.0868,2.0868,2.08,2.08,5600
9,2.08,2.08,2.08,2.08,100
10,2.0737,2.0792,2.07,2.07,3900
12,2.08,2.08,2.075,2.075,12300
13,2.07,2.08,2.07,2.08,5840
14,2.09,2.09,2.0734,2.0744,6301
15,2.0921,2.093,2.0921,2.093,1700
16,2.0901,2.0901,2.0901,2.0901,692
17,2.0993,2.0993,2.0944,2.0956,740
19,2.0962,2.1,2.095,2.095,5150
20,2.11,2.11,2.11,2.11,100
21,2.1,2.11,2.1,2.11,200
22,2.1169,2.1169,2.1169,2.1169,865
23,2.11,2.1116,2.105,2.1116,1900
26,2.11,2.11,2.11,2.11,700
27,2.1001,2.1001,2.1001,2.1001,110
29,2.11,2.11,2.11,2.11,400
30,2.1028,2.1028,2.1028,2.1028,613
32,2.105,2.105,2.1006,2.1006,5100
33,2.1075,2.11,2.105,2.11,6900
34,2.12,2.12,2.12,2.12,700
35,2.1232,2.1399,2.1232,2.1371,10160
36,2.14,2.14,2.12,2.1284,5005
37,2.1401,2.1401,2.14,2.14,1800
38,2.17,2.17,2.1411,2.1411,8302
39,2.16,2.18,2.1432,2.1663,16185
144,2.11,2.11,2.11,2.11,1539
145,2.094,2.115,2.0801,2.0901,3175
147,2.1157,2.1157,2.1157,2.1157,130
148,2.1088,2.1358,2.09,2.1053,21056
149,2.08,2.1001,2.08,2.1,2969
150,2.08,2.08,2.08,2.08,100
151,2.1009,2.11,2.1009,2.1099,800
152,2.099,2.099,2.099,2.099,1205
153,2.09,2.09,2.09,2.09,200
154,2.12,2.12,2.11,2.11,500
155,2.105,2.111,2.095,2.11,11802
156,2.123,2.1374,2.12,2.12,2500
158,2.1101,2.12,2.1101,2.12,400
160,2.134,2.134,2.134,2.134,236
161,2.1294,2.1294,2.12,2.1201,5400
162,2.1342,2.1342,2.1201,2.1201,1000
163,2.0901,2.11,2.08,2.11,16298
164,2.09,2.09,2.09,2.09,100
166,2.1,2.101,2.1,2.1,5362
167,2.108,2.11,2.105,2.11,1250
168,2.0901,2.0901,2.0901,2.0901,3235
170,2.0898,2.0898,2.08,2.08,4000
171,2.061,2.08,2.061,2.08,2050
173,2.0601,2.07,2.0601,2.065,6700
175,2.0837,2.09,2.0837,2.09,5200
176,2.1,2.102,2.08,2.08,2990
177,2.0802,2.0802,2.0802,2.0802,200
178,2.0876,2.0876,2.0876,2.0876,1000
179,2.061,2.09,2.061,2.085,14447
180,2.1089,2.1089,2.0701,2.0701,6512
181,2.11,2.1173,2.1047,2.1047,2522
182,2.13,2.13,2.115,2.12,5086
183,2.13,2.135,2.0931,2.0931,27877
288,2.08,2.08,2.08,2.08,2116
289,2.0731,2.0977,2.0703,2.0703,3300
290,2.08,2.13,2.08,2.1258,11853
291,2.1141,2.1399,2.1141,2.1399,1800
293,2.101,2.1093,2.101,2.1093,1500
294,2.0802,2.0804,2.0802,2.0804,490
295,2.09,2.09,2.09,2.09,200
296,2.04,2.0832,2.04,2.0832,22399
297,2.0243,2.04,2.02,2.04,12135
298,2.03,2.04,2.03,2.03,4800
299,2.031,2.0399,2.03,2.0399,7917
300,2.0364,2.0364,2.0364,2.0364,100
301,2.03,2.0341,2.03,2.0341,1980
302,2.04,2.04,2.0395,2.04,2080
303,2.03,2.0372,2.03,2.0372,600
304,2.0364,2.0364,2.0364,2.0364,100
305,2.04,2.04,2.0301,2.04,4522
306,2.04,2.04,2.04,2.04,300
307,2.04,2.04,2.04,2.04,200
309,2.06,2.06,2.049,2.049,4300
311,2.06,2.064,2.06,2.064,10470
312,2.06,2.06,2.04,2.06,6000
313,2.04,2.0438,2.04,2.0423,7726
314,2.04,2.04,2.04,2.04,100
315,2.04,2.04,2.04,2.04,200
316,2.04,2.0462,2.04,2.04,1200
317,2.04,2.04,2.04,2.04,200
318,2.04,2.0431,2.04,2.0431,700
319,2.04,2.04,2.04,2.04,200
320,2.04,2.0472,2.04,2.0472,385
321,2.04,2.0569,2.04,2.04,863
322,2.04,2.0448,2.04,2.0448,1199
323,2.04,2.04,2.04,2.04,300
324,2.04,2.0431,2.04,2.0431,544
325,2.05,2.051,2.04,2.04,3700
326,2.06,2.06,2.05,2.05,800
327,2.06,2.0691,2.04,2.0601,21993
432,2.08,2.08,2.08,2.08,2550
433,2.0729,2.0729,2.0729,2.0729,2187
434,2.0856,2.1,2.07,2.0731,1650
435,2.0999,2.0999,2.0999,2.0999,1000
436,2.09,2.09,2.09,2.09,300
437,2.09,2.09,2.09,2.09,600
438,2.0939,2.0939,2.0939,2.0939,1000
439,2.099,2.099,2.099,2.099,300
440,2.09,2.09,2.09,2.09,700
441,2.09,2.1,2.09,2.09,1200
442,2.0998,2.0998,2.08,2.08,8100
443,2.09,2.09,2.08,2.08,900
444,2.0801,2.0801,2.08,2.08,1175
445,2.0837,2.0837,2.08,2.08,1230
446,2.08,2.08,2.08,2.08,100
447,2.08,2.08,2.08,2.08,1000
448,2.0601,2.0601,2.0601,2.0601,150
451,2.04,2.06,2.04,2.06,3400
452,2.05,2.05,2.04,2.0414,5200
455,2.0444,2.0465,2.04,2.0465,4392
456,2.04,2.04,2.04,2.04,100
457,2.04,2.045,2.04,2.045,1800
459,2.0421,2.0421,2.0421,2.0421,100
460,2.0465,2.0498,2.0465,2.0498,680
462,2.04,2.04,2.04,2.04,228
463,2.05,2.0518,2.045,2.045,14500
467,2.05,2.06,2.0498,2.06,5500
469,2.041,2.041,2.041,2.041,100
470,2.04,2.05,2.04,2.05,32844
471,2.08,2.08,2.04,2.06,55871
864,2.07,2.07,2.07,2.07,423
865,2.0702,2.0702,2.0702,2.0702,1250
866,2.05,2.061,2.05,2.061,3151
867,2.0599,2.0599,2.0599,2.0599,5000
868,2.0555,2.0596,2.0555,2.0596,5244
869,2.05,2.0501,2.05,2.0501,400
871,2.06,2.06,2.06,2.06,100
872,2.07,2.07,2.055,2.06,11920
873,2.0763,2.08,2.0611,2.0669,6289
874,2.0732,2.0732,2.0732,2.0732,400
875,2.0701,2.0701,2.0701,2.0701,197
877,2.0723,2.08,2.0723,2.08,838
878,2.06,2.075,2.06,2.061,2100
879,2.084,2.084,2.084,2.084,229
880,2.06,2.0601,2.06,2.0601,1200
881,2.0674,2.0674,2.0674,2.0674,644
884,2.0602,2.0602,2.06,2.06,2300
885,2.07,2.07,2.07,2.07,200
887,2.0648,2.0648,2.0648,2.0648,2000
889,2.0768,2.0768,2.0768,2.0768,500
890,2.07,2.07,2.06,2.0601,3970
892,2.0652,2.0652,2.0652,2.0652,2000
894,2.0631,2.0631,2.0631,2.0631,100
895,2.06,2.06,2.06,2.06,250
896,2.0631,2.0631,2.06,2.06,800
897,2.0631,2.0631,2.06,2.06,200
898,2.0601,2.0601,2.0601,2.0601,370
901,2.0776,2.0776,2.0776,2.0776,1818
902,2.08,2.0821,2.06,2.08,21361
903,2.1,2.1,2.09,2.09,8869
a1493731800,2.09,2.09,2.09,2.09,1106
1,2.1099,2.1099,2.1,2.1,3300
2,2.12,2.12,2.1048,2.1048,1200
3,2.18,2.18,2.12,2.12,2810
4,2.17,2.17,2.17,2.17,200
5,2.08,2.15,2.08,2.15,15753
6,2.09,2.09,2.09,2.09,600
7,2.095,2.095,2.095,2.095,103
8,2.1,2.1,2.1,2.1,200
9,2.1,2.1,2.0801,2.0801,535
10,2.1,2.1,2.09,2.09,500
11,2.09,2.1,2.09,2.095,1599
14,2.09,2.1,2.09,2.1,600
15,2.08,2.09,2.08,2.09,3200
16,2.084,2.084,2.08,2.084,1850
18,2.0906,2.0906,2.0906,2.0906,560
19,2.09,2.09,2.07,2.08,5300
20,2.11,2.11,2.08,2.09,4675
