EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493312400,7.7,7.7,7.7,7.7,100
152,8.079,8.079,8.079,8.079,360
154,8.0999,8.0999,8.099,8.099,240
155,8.08,8.0999,8.08,8.0999,238
156,8.0999,8.0999,8.0999,8.0999,633
158,8.099,8.099,8.099,8.099,230
556,7.5,7.5,7.5,7.5,500
557,7.1958,7.1958,7.1958,7.1958,1000
a1494008400,7.7388,7.7388,7.7388,7.7388,150
424,7.55,7.65,7.55,7.65,200
431,7.1,7.3,7.1,7.3,1463
693,7.81,7.81,7.81,7.81,300
705,7.81,7.81,7.81,7.81,200
708,7.81,7.81,7.81,7.81,100
720,8.25,8.25,8.1,8.1,1798
835,8.25,8.25,8.25,8.25,165
863,8.25,8.25,8.22,8.22,475
870,8.2908,8.2908,8.2908,8.2908,1048
a1494855000,7.81,7.81,7.81,7.81,500
303,8.4931,8.4931,8.4931,8.4931,285
306,8.5,8.5,8.5,8.5,113
307,8.2654,8.2654,8.2654,8.2654,438
308,8.5,8.5,8.5,8.5,159
312,8.17,8.17,8.17,8.17,133
320,8.293,8.5,8.293,8.5,979
321,8.33,8.33,8.33,8.33,202
322,8.5,8.5,8.5,8.5,379
325,8.495,8.495,8.495,8.495,111
326,8.33,8.5,8.33,8.5,671
433,8.5,8.5,8.49,8.49,1781
a1495480800,9.2,9.2,9.19,9.19,400
128,9.5,9.5,9.5,9.5,300
136,9.5,9.5,9.5,9.5,100
137,9.5,9.5,9.5,9.5,200
138,9.21,9.5,9.21,9.5,300
139,9.2,9.21,9.2,9.21,200
140,9.23,9.25,9.23,9.25,300
142,9.2,9.2,9.2,9.2,100
143,9,9,9,9,100
274,9,9,9,9,400
279,8.9518,9,8.9518,9,225
a1496151000,9,9,9,9,500
153,8.9873,8.9873,8.8889,8.8889,399
156,8.813,8.813,8.813,8.813,208
157,8.8965,8.8965,8.8965,8.8965,219
158,8.9872,8.9872,8.9872,8.9872,199
159,8.933,8.995,8.933,8.995,817
163,8.995,8.995,8.995,8.995,257
165,8.8875,8.9365,8.8875,8.9365,416
166,8.9872,8.9872,8.9872,8.9872,182
167,8.83,8.83,8.83,8.83,231
170,8.8855,8.8855,8.8855,8.8855,227
171,8.83,8.83,8.83,8.83,103
172,8.885,8.885,8.885,8.885,197
173,8.9872,8.9872,8.9872,8.9872,112
177,8.83,8.83,8.505,8.505,269
178,8.5128,8.5128,8.5128,8.5128,123
179,8.9395,8.9395,8.9395,8.9395,146
460,8.888,8.888,8.888,8.888,2000
865,9,9,9,9,530
866,9,9,9,9,100
a1496856600,9,9.566,9,9.566,1405
715,8.5432,8.5432,8.5432,8.5432,791
a1497469200,8.5205,8.5205,8.5205,8.5205,256
251,8.27,8.27,8.27,8.27,100
684,7.998,7.998,7.998,7.998,150
837,8.75,8.75,8.66,8.66,405
860,8.7499,8.7499,8.74,8.74,735
a1498231800,8.75,8.75,8.72,8.72,307
18,9,9,8.97,8.97,5100
19,9.85,9.85,9.45,9.45,600
20,9.5,9.5,9.5,9.5,100
22,9.5,9.5,9.5,9.5,100
23,9.5,9.5,9.5,9.5,100
24,9.5,9.5,9.5,9.5,100
25,9.5,9.5,9.5,9.5,200
26,9.5,9.5,9.5,9.5,200
27,9.36,9.5,9.36,9.5,642
a1498831800,8,8,8,8,115
437,8,8.75,8,8.75,1930
445,8.65,8.65,8.65,8.65,100
449,8.6,8.6,8.6,8.6,0
755,8.6,8.6,8.6,8.6,21
