EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,12.75,12.75,12.75,12.75,4106
1,12.7,12.7,12.6,12.6,5086
2,12.7,12.7,12.65,12.65,9528
3,12.7,12.7,12.65,12.65,2467
4,12.75,12.75,12.7,12.725,1100
5,12.65,12.75,12.65,12.725,10848
6,12.63,12.75,12.6,12.7,16715
7,12.575,12.65,12.575,12.65,824
8,12.55,12.6,12.5,12.5811,21196
9,12.6,12.625,12.55,12.55,4630
10,12.65,12.65,12.6,12.6,600
11,12.7,12.7,12.65,12.65,3207
12,12.7,12.7,12.7,12.7,600
13,12.7,12.7,12.6501,12.6763,2585
14,12.725,12.725,12.65,12.7,9781
15,12.7001,12.75,12.7001,12.725,1250
16,12.7,12.7,12.7,12.7,535
17,12.7,12.75,12.7,12.7,900
18,12.65,12.715,12.65,12.7,4599
19,12.7,12.7,12.65,12.65,1179
20,12.7,12.7,12.65,12.692,3500
21,12.7,12.75,12.7,12.7,13866
22,12.7,12.7,12.7,12.7,200
23,12.75,12.75,12.7,12.7,400
24,12.725,12.75,12.7,12.7195,800
25,12.75,12.75,12.722,12.725,4400
26,12.725,12.75,12.7,12.715,2393
27,12.75,12.75,12.7,12.725,2150
28,12.8,12.8,12.7,12.725,19552
29,12.775,12.8,12.755,12.7798,1800
30,12.775,12.8,12.775,12.777,502
31,12.775,12.8,12.75,12.775,1000
32,12.8,12.8,12.751,12.7927,4919
33,12.75,12.8,12.75,12.775,5450
34,12.725,12.8,12.7,12.8,8611
35,12.7,12.7375,12.65,12.7,9432
36,12.675,12.7,12.65,12.7,3232
37,12.65,12.7,12.65,12.7,11735
38,12.65,12.7,12.6,12.65,11566
39,12.65,12.65,12.6,12.625,20968
144,12.6,12.6,12.6,12.6,2008
145,12.6,12.65,12.6,12.6,9820
146,12.65,12.65,12.6,12.65,400
147,12.675,12.675,12.65,12.65,1200
148,12.775,12.8,12.65,12.675,15886
149,12.775,12.8,12.75,12.8,11836
150,12.8,12.85,12.8,12.8,14299
151,12.7645,12.825,12.75,12.8,12199
152,12.7893,12.8,12.775,12.775,11088
153,12.825,12.85,12.8,12.8,8428
154,12.88,12.88,12.8,12.85,31352
155,12.9,12.9,12.8687,12.8687,1519
156,12.95,12.95,12.875,12.9,23227
157,12.95,12.95,12.9204,12.95,1200
158,12.95,12.95,12.925,12.95,6000
159,12.95,12.95,12.9,12.95,6780
160,12.925,12.95,12.9122,12.95,7000
161,12.95,12.95,12.925,12.95,17409
162,12.95,12.95,12.925,12.95,1800
163,12.871,12.95,12.85,12.95,14195
164,12.95,12.95,12.8501,12.8501,26027
165,12.925,12.95,12.925,12.925,300
166,12.925,12.95,12.9,12.95,500
167,12.9375,12.9375,12.9,12.9,1800
168,12.9,12.95,12.85,12.95,27095
169,12.9188,12.9375,12.9188,12.9375,200
170,12.95,12.95,12.915,12.95,1070
171,12.9,12.9,12.875,12.9,3650
172,12.9,12.95,12.801,12.85,50523
173,12.875,12.9,12.875,12.9,1792
174,12.9,12.9,12.853,12.9,3380
175,12.9,12.9,12.8529,12.9,3334
176,12.875,12.9,12.85,12.875,1800
177,12.9,12.9,12.85,12.875,1100
178,12.9,12.9,12.875,12.875,900
179,12.875,12.9,12.875,12.875,1800
180,12.825,12.9,12.8,12.9,36061
181,12.85,12.875,12.8,12.85,27766
182,12.775,12.85,12.75,12.85,16564
183,12.75,12.8,12.65,12.75,111932
288,12.75,12.75,12.75,12.75,895
289,12.7,12.7502,12.7,12.703,4040
290,12.85,12.85,12.7,12.718,4464
291,12.75,12.85,12.75,12.8,4900
292,12.8,12.8,12.75,12.75,5618
293,12.75,12.8,12.75,12.7999,9720
294,12.65,12.75,12.6,12.75,11360
295,12.65,12.65,12.65,12.65,300
296,12.7,12.7327,12.6815,12.7,5611
297,12.75,12.75,12.742,12.742,500
298,12.75,12.75,12.7092,12.75,800
299,12.725,12.75,12.725,12.725,300
300,12.725,12.75,12.7,12.75,600
301,12.7,12.75,12.7,12.75,2400
302,12.75,12.75,12.725,12.75,600
303,12.75,12.75,12.725,12.75,600
304,12.725,12.75,12.725,12.75,500
305,12.725,12.75,12.7,12.7,600
306,12.725,12.75,12.7035,12.725,1100
307,12.75,12.75,12.7,12.725,1800
308,12.8,12.8,12.725,12.75,5901
309,12.8,12.8,12.75,12.8,4841
310,12.825,12.825,12.8,12.8,1788
311,12.8195,12.85,12.8195,12.825,800
312,12.85,12.85,12.85,12.85,100
313,12.825,12.85,12.8,12.8,3700
314,12.825,12.85,12.825,12.85,500
315,12.85,12.85,12.8,12.8,500
316,12.75,12.825,12.75,12.8,9369
317,12.75,12.75,12.75,12.75,300
318,12.771,12.775,12.75,12.75,700
319,12.75,12.78,12.75,12.78,1100
320,12.75,12.8,12.75,12.75,900
321,12.8,12.8,12.775,12.775,300
322,12.775,12.8,12.75,12.8,1239
323,12.8,12.8,12.775,12.775,400
324,12.775,12.8,12.75,12.8,5177
325,12.775,12.8,12.75,12.8,1314
326,12.75,12.8,12.75,12.8,1700
327,12.75,12.8,12.75,12.7815,27514
432,12.75,12.75,12.75,12.75,895
433,12.8,12.85,12.75,12.8,3095
434,12.7,12.8,12.7,12.8,4200
435,12.65,12.75,12.65,12.75,5019
436,12.55,12.65,12.55,12.65,7923
437,12.6,12.6,12.55,12.55,4530
438,12.5,12.55,12.4,12.55,15834
439,12.45,12.5,12.45,12.496,2625
440,12.4,12.5,12.4,12.45,4771
441,12.4,12.425,12.4,12.4,3042
442,12.3748,12.4,12.35,12.4,32233
443,12.45,12.499,12.4,12.4,8813
444,12.45,12.475,12.4,12.45,2840
445,12.45,12.45,12.45,12.45,1800
446,12.5,12.5,12.479,12.479,650
447,12.55,12.55,12.475,12.475,21550
448,12.6,12.6,12.55,12.55,2522
449,12.5,12.6,12.45,12.55,4199
450,12.475,12.5,12.475,12.5,409
451,12.4694,12.55,12.4694,12.5,8554
452,12.5,12.55,12.475,12.475,1200
453,12.45,12.5,12.45,12.5,2800
454,12.55,12.55,12.5,12.5,1684
455,12.55,12.55,12.5312,12.5312,1916
456,12.5,12.55,12.475,12.55,7299
457,12.55,12.55,12.5,12.5,3686
458,12.5,12.55,12.5,12.55,2614
459,12.5,12.5146,12.5,12.5146,800
460,12.5,12.55,12.5,12.55,800
461,12.5,12.55,12.5,12.5,500
462,12.55,12.55,12.5,12.55,21810
463,12.5,12.55,12.5,12.5,400
464,12.5,12.55,12.5,12.5,884
465,12.5,12.55,12.5,12.55,600
466,12.55,12.55,12.525,12.525,6690
467,12.55,12.55,12.55,12.55,1458
468,12.55,12.55,12.525,12.55,1100
469,12.525,12.55,12.525,12.525,1800
470,12.55,12.6,12.5,12.525,21292
471,12.55,12.55,12.5,12.55,44623
864,12.5,12.5,12.5,12.5,3261
865,12.6,12.6,12.45,12.5,6308
866,12.5802,12.6,12.5,12.6,3712
867,12.6,12.6,12.55,12.55,875
868,12.575,12.6,12.55,12.6,600
869,12.6,12.6,12.55,12.55,2100
870,12.45,12.55,12.45,12.55,2260
871,12.55,12.6,12.475,12.475,6820
872,12.6,12.625,12.55,12.575,7126
873,12.55,12.6,12.55,12.6,7820
874,12.6,12.6,12.6,12.6,200
875,12.6,12.6001,12.575,12.575,2960
876,12.5612,12.6,12.5612,12.6,630
877,12.55,12.6,12.55,12.6,700
878,12.6,12.6,12.55,12.55,500
879,12.6,12.625,12.6,12.6,5262
880,12.6,12.65,12.6,12.6,3100
881,12.55,12.6,12.55,12.6,400
882,12.6,12.6,12.6,12.6,200
883,12.575,12.6,12.575,12.6,300
884,12.6,12.6,12.55,12.5676,1700
885,12.558,12.6,12.55,12.6,5013
886,12.6,12.6,12.55,12.6,1200
887,12.6,12.6,12.55,12.6,700
888,12.6,12.6,12.6,12.6,100
889,12.6,12.6,12.55,12.55,12063
890,12.7,12.7,12.575,12.6,15704
891,12.7,12.7,12.6672,12.7,2100
892,12.65,12.7,12.65,12.7,8932
893,12.6,12.7,12.6,12.675,4163
894,12.6,12.65,12.6,12.6,400
895,12.575,12.65,12.55,12.65,7099
