EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,48.5,48.5,48.5,48.5,300
1,48.53,48.64,47.805,48.26,5112
2,48.635,48.74,48.35,48.35,800
3,48.49,48.57,48.4,48.47,400
4,48.24,48.59,48.13,48.41,6300
5,48.12,48.356,48.12,48.34,2600
6,48.25,48.25,48,48.04,2600
7,48.06,48.26,48.025,48.26,800
8,48.15,48.22,48.03,48.19,2250
9,48,48.36,48,48.36,5200
10,48.07,48.28,47.96,47.96,4400
11,48.45,48.45,47.96,48.15,14021
12,48.257,48.4,48.175,48.37,4838
13,48.3,48.5,48.145,48.256,3400
14,48.405,48.41,48.24,48.24,800
15,48.575,48.8,48.55,48.55,2898
16,48.57,48.79,48.511,48.57,2100
17,48.5,48.595,48.43,48.515,5098
18,48.15,48.5,48.146,48.5,1400
19,48.32,48.32,48.03,48.05,700
20,48.216,48.3,48.18,48.19,1050
21,48.18,48.43,48.135,48.36,2987
22,48.26,48.325,48.17,48.24,2000
23,48.17,48.34,48.17,48.22,1450
24,48.23,48.24,48.22,48.22,400
25,48.01,48.24,48,48.15,3293
26,48.05,48.13,47.805,48.01,5300
27,47.99,48.085,47.94,48.075,3602
28,48,48.07,47.92,48,1800
29,48.02,48.06,47.99,48,2200
30,48.12,48.13,47.89,48.01,5800
31,48.275,48.36,48.04,48.13,3600
32,48.19,48.45,47.865,48.36,5900
33,48.175,48.23,48.055,48.23,4031
34,48.04,48.26,47.84,48.215,5400
35,47.975,48.19,47.895,48.035,5325
36,48.1,48.121,47.815,48.121,10547
37,47.91,48.2,47.91,48.07,4888
38,48.06,48.17,47.94,48,4800
39,48.29,48.35,48.07,48.145,24276
144,48.26,48.26,48.26,48.26,236
145,48,48.29,47.9,48.29,2200
146,47.84,47.89,47.5,47.5,1000
147,47.8,48.12,47.8,47.855,2100
148,47.884,47.91,47.62,47.91,500
149,47.52,47.61,47.52,47.61,900
150,47.716,47.78,47.49,47.78,1259
151,47.98,47.98,47.56,47.63,6555
152,47.94,47.97,47.94,47.97,300
153,47.971,48.1,47.953,48.01,600
154,47.94,48.28,47.774,48.013,1300
155,47.965,48.035,47.79,47.932,900
156,47.94,48.21,47.844,47.86,2000
157,48.23,48.44,48.045,48.045,1400
158,48.135,48.15,47.739,48.15,700
159,48.213,48.213,48.07,48.07,400
160,48.25,48.25,47.9,47.92,1254
161,48.07,48.345,48.07,48.266,2174
162,48.072,48.347,48.03,48.05,700
163,47.83,48.05,47.73,48.05,1200
164,47.69,47.92,47.64,47.92,1600
165,47.82,47.99,47.7,47.7,2000
166,47.842,47.88,47.77,47.78,1035
167,47.77,47.95,47.76,47.95,800
168,47.75,47.85,47.75,47.76,600
169,47.909,47.909,47.7,47.74,700
170,47.79,47.888,47.69,47.78,1146
171,47.85,47.93,47.77,47.9,900
172,47.818,47.87,47.62,47.71,600
173,47.605,47.76,47.52,47.61,2075
174,47.69,47.69,47.49,47.49,400
175,47.71,47.79,47.548,47.548,1100
176,47.975,48.01,47.8,47.8,1806
177,48.15,48.37,47.99,47.99,4870
178,48.21,48.33,48.13,48.2,4680
179,48.23,48.29,48.1,48.21,3300
180,48.445,48.5,48.21,48.28,3300
181,48.46,48.49,48.37,48.445,7777
182,48.475,48.5,48.2,48.42,15538
183,48.28,48.49,48.21,48.42,23585
288,48.27,48.27,48.27,48.27,503
289,48.02,48.47,48.02,48.47,1600
290,48.375,48.375,48.11,48.37,500
291,48.29,48.29,48.29,48.29,100
292,48.27,48.33,48.27,48.33,200
293,48.335,48.35,48.18,48.18,500
295,48.21,48.42,48.21,48.42,800
296,48.14,48.35,48,48.26,4798
297,48.14,48.3,48.05,48.09,9098
298,48.305,48.43,48.11,48.135,2000
299,48.305,48.305,48.07,48.3,800
300,48.05,48.29,48.05,48.19,600
301,48.256,48.256,48.18,48.19,686
302,47.95,48.085,47.95,48.07,2300
303,47.87,47.89,47.87,47.89,300
304,47.973,47.973,47.8,47.8,400
305,47.8,47.87,47.8,47.86,700
306,47.72,47.8863,47.72,47.81,1077
307,47.78,47.815,47.7,47.72,2599
308,47.74,47.805,47.7,47.7,1600
309,48.09,48.09,47.74,47.74,3100
310,48.235,48.26,48.015,48.15,6859
311,48.64,48.75,48.26,48.38,33576
312,48.595,48.82,48.565,48.7,5000
313,48.74,48.75,48.55,48.6,6000
314,48.93,48.93,48.755,48.755,2700
315,48.84,48.93,48.84,48.93,1200
316,48.84,48.85,48.84,48.85,2050
317,49,49,48.8,48.8,3037
318,49.005,49.06,48.98,49,3925
319,49.14,49.14,49.04,49.07,1317
320,49.13,49.18,48.98,49.15,4070
321,49.47,49.48,49.13,49.2,7362
322,49.26,49.47,49.25,49.47,3500
323,49.46,49.46,49.3,49.3,1900
324,49.42,49.46,49.355,49.46,2000
325,49.57,49.66,49.5,49.55,2300
326,49.441,49.95,49.441,49.61,8644
327,49.23,49.6,49.17,49.599,48594
432,49.21,49.21,49.21,49.21,100
433,49.72,49.72,49.72,49.72,100
435,48.755,49.5835,48.5,49.5835,1725
436,49.24,49.34,48.67,48.68,1800
437,49.26,49.464,48.92,49.38,3102
438,49.265,49.423,49.02,49.18,4500
439,48.93,49.335,48.91,49.31,30195
440,49.082,49.26,49.025,49.154,2100
441,49.195,49.41,49.0445,49.13,3000
442,49.005,49.25,49.005,49.195,2606
443,49.25,49.355,49.05,49.115,2600
444,48.84,49.185,48.84,49.185,1800
445,48.86,48.909,48.72,48.83,850
446,48.65,48.855,48.57,48.8,1700
447,48.61,48.72,48.59,48.66,2429
448,48.685,48.685,48.59,48.6,2400
449,48.355,48.685,48.3,48.67,2259
450,48.06,48.3666,48.06,48.31,1550
451,48.05,48.13,48.05,48.07,1600
452,48.165,48.22,48,48,2000
453,47.975,48.175,47.975,48.17,1300
454,47.82,47.97,47.77,47.97,1800
455,47.63,47.82,47.63,47.82,1300
456,47.275,47.625,47.18,47.625,1050
457,47.255,47.37,47.105,47.34,6680
458,47.075,47.255,46.96,47.255,3300
459,46.695,47.1,46.695,46.97,3770
460,46.775,46.815,46.7,46.7,1400
461,46.3063,46.7717,46.1,46.7717,4808
462,46.3577,46.41,46.28,46.28,2325
463,46.29,46.35,46.125,46.3,3500
464,46.17,46.295,46.12,46.295,2200
465,46.08,46.21,46,46.14,2225
466,45.97,46.12,45.97,45.985,4400
467,46,46.05,45.9,45.93,10105
468,46,46.02,45.61,45.94,8000
469,46.34,46.34,45.96,46,12800
470,46.639,46.64,46.21,46.34,17824
471,46.06,46.65,46.03,46.61,59389
864,46.33,46.33,46.33,46.33,1819
865,46.685,46.71,46.11,46.12,3474
866,47.31,47.54,46.155,46.67,8500
867,47.15,47.32,46.96,47.08,4500
868,46.84,47.1,46.84,46.91,1000
869,46.9375,47.01,46.74,46.83,1694
870,46.91,47.17,46.83,46.88,3300
871,47.01,47.01,46.855,46.9,700
872,47.01,47.05,46.9,46.95,2600
873,46.66,46.9,46.65,46.87,1800
874,46.225,46.64,46.225,46.64,3300
875,46.33,46.5,46.26,46.26,2019
876,46.31,46.31,46.18,46.21,1679
877,46.01,46.21,46.01,46.21,900
878,45.98,45.98,45.86,45.98,3750
879,46.27,46.28,45.96,46.005,1900
880,46.375,46.48,46.22,46.22,1700
881,46.26,46.3,46.26,46.3,200
882,46.25,46.25,46.25,46.25,100
883,46.3375,46.3375,46.3375,46.3375,100
884,46.17,46.24,46.1618,46.24,550
885,46.12,46.18,46.1,46.17,800
886,46.89,47.14,46.285,46.285,6199
887,46.72,47.09,46.61,46.93,3000
888,46.74,46.9,46.42,46.67,6700
889,46.9,47.1,46.79,46.94,2900
890,46.95,47.1,46.88,46.96,1100
891,46.84,47.03,46.84,47.03,1800
892,46.78,46.96,46.78,46.91,700
893,46.78,46.83,46.78,46.81,1100
894,46.88,46.92,46.83,46.87,700
895,46.8,46.89,46.71,46.89,2800
896,46.73,46.93,46.73,46.81,1300
897,46.79,46.79,46.62,46.63,300
898,46.75,46.8883,46.75,46.8,600
899,46.75,46.97,46.75,46.81,1200
900,46.64,46.845,46.64,46.82,1400
