EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,39.97,39.97,39.97,39.97,3726
1,39.9938,40.04,39.7,39.7,4968
2,39.95,40.02,39.9,40,12384
3,39.98,40.02,39.85,39.94,13400
4,39.98,39.98,39.92,39.97,1400
5,39.9,39.99,39.9,39.95,4000
6,39.9414,39.99,39.93,39.94,4500
7,39.86,39.93,39.84,39.9104,4100
8,39.81,39.86,39.8,39.85,9816
9,39.8,39.87,39.795,39.795,11192
10,39.825,39.85,39.79,39.79,3178
11,39.855,39.87,39.8,39.81,11607
12,39.8,39.85,39.795,39.85,9507
13,39.8101,39.85,39.78,39.84,4222
14,39.83,39.86,39.7735,39.81,2188
15,39.855,39.86,39.82,39.82,5799
16,39.83,39.86,39.8,39.85,10700
17,39.845,39.85,39.81,39.82,5200
18,39.83,39.85,39.81,39.845,2900
19,39.73,39.83,39.73,39.82,2791
20,39.77,39.78,39.7,39.755,11010
21,39.79,39.82,39.77,39.77,2500
22,39.8434,39.86,39.79,39.79,2400
23,39.81,39.86,39.81,39.85,5950
24,39.8101,39.85,39.81,39.85,3993
25,39.77,39.81,39.75,39.81,6400
26,39.82,39.865,39.76,39.78,12500
27,39.83,39.83,39.79,39.81,2824
28,39.93,39.93,39.84,39.845,6400
29,39.91,39.955,39.91,39.91,5700
30,39.92,39.93,39.9,39.9,2300
31,39.94,39.95,39.92,39.92,4416
32,39.92,39.95,39.91,39.94,2807
33,39.91,39.91,39.875,39.91,2100
34,39.93,39.96,39.9,39.9078,5592
35,39.92,39.94,39.9,39.92,3200
36,39.78,39.935,39.78,39.935,19325
37,39.82,39.85,39.78,39.795,12259
38,39.76,39.85,39.72,39.83,12004
39,39.79,39.855,39.75,39.78,94165
144,39.55,39.55,39.55,39.55,2805
145,39.59,39.98,39.59,39.98,2050
146,39.74,39.74,39.58,39.65,2087
147,39.64,39.67,39.58,39.67,2987
148,39.62,39.66,39.59,39.64,2122
149,39.62,39.67,39.54,39.61,3200
150,39.66,39.66,39.6,39.61,1925
151,39.78,39.8,39.7,39.71,5334
152,39.71,39.775,39.7,39.77,32187
153,39.69,39.76,39.69,39.75,9400
154,39.75,39.78,39.74,39.7599,2364
155,39.8,39.81,39.75,39.76,2400
156,39.89,39.93,39.81,39.81,11300
157,39.87,39.9,39.85,39.89,1200
158,39.63,39.85,39.63,39.85,4198
159,39.84,39.84,39.66,39.66,18400
160,39.78,39.82,39.75,39.82,12902
161,39.765,39.795,39.73,39.78,4800
162,39.75,39.79,39.74,39.76,5531
163,39.76,39.77,39.73,39.74,2423
164,39.74,39.79,39.74,39.76,8801
165,39.77,39.79,39.7301,39.75,11272
166,39.785,39.79,39.7401,39.78,13903
167,39.78,39.79,39.76,39.78,9124
168,39.7,39.78,39.7,39.78,4018
169,39.72,39.72,39.6501,39.67,3500
170,39.62,39.77,39.6,39.72,4660
171,39.58,39.6701,39.56,39.62,3856
172,39.55,39.57,39.5,39.55,6251
173,39.53,39.61,39.53,39.55,2891
174,39.55,39.615,39.53,39.53,3683
175,39.53,39.59,39.51,39.54,7612
176,39.62,39.67,39.54,39.54,5968
177,39.6324,39.66,39.61,39.63,5435
178,39.67,39.67,39.5901,39.61,6800
179,39.6,39.72,39.58,39.66,13899
180,39.45,39.61,39.45,39.6,14509
181,39.355,39.54,39.34,39.45,21255
182,39.43,39.49,39.35,39.36,22500
183,39.36,39.46,39.33,39.42,56505
288,39.38,39.38,39.38,39.38,1655
289,39.18,39.44,39.13,39.27,3200
290,39.42,39.44,39.26,39.33,2800
291,39.16,39.53,39.15,39.465,12061
292,38.99,39.22,38.93,39.21,12696
293,38.95,39,38.92,38.96,9078
294,38.87,38.98,38.8,38.98,8530
295,38.93,38.93,38.82,38.85,8600
296,38.86,38.99,38.86,38.92,9016
297,38.65,38.86,38.62,38.85,14022
298,38.67,38.75,38.64,38.65,10174
299,38.72,38.73,38.61,38.64,13100
300,38.76,38.77,38.7,38.715,9425
301,38.68,38.75,38.68,38.75,8785
302,38.59,38.7,38.57,38.7,6448
303,38.625,38.625,38.55,38.57,12757
304,38.72,38.74,38.62,38.62,9600
305,38.7,38.75,38.7,38.73,19756
306,38.67,38.72,38.67,38.7,7103
307,38.64,38.75,38.64,38.67,17904
308,38.73,38.73,38.64,38.64,12150
309,38.83,38.84,38.7,38.73,14552
310,38.79,38.83,38.75,38.83,11508
311,38.72,38.83,38.72,38.79,13086
312,38.74,38.76,38.71,38.72,9993
313,38.8,38.81,38.74,38.7436,16854
314,38.72,38.81,38.7,38.8,12501
315,38.76,38.78,38.7,38.72,8600
316,38.71,38.76,38.685,38.76,11674
317,38.79,38.81,38.71,38.71,14400
318,38.75,38.82,38.7,38.81,17200
319,38.74,38.83,38.73,38.75,35103
320,38.78,38.83,38.735,38.74,22745
321,38.7075,38.8,38.69,38.79,34804
322,38.7,38.71,38.64,38.68,24100
323,38.76,38.79,38.7,38.71,16211
324,38.78,38.79,38.715,38.75,21799
325,38.76,38.785,38.66,38.785,38447
326,38.69,38.81,38.685,38.76,26391
327,38.52,38.7,38.42,38.68,198288
432,43,43.03,43,43.03,36338
433,42.28,43.05,41.91,43,116448
434,42.7,43.08,41.94,42.24,310601
435,43.13,43.64,42.82,42.85,140035
436,43.35,43.39,42.93,43.2,58412
437,42.99,43.39,42.98,43.31,89197
438,42.79,43.03,42.63,42.9701,102455
439,42.98,43.1,42.79,42.79,38914
440,42.53,43.065,42.42,42.97,50022
441,42.65,42.69,42.49,42.54,18500
442,42.96,42.99,42.68,42.68,36944
443,43.02,43.06,42.85,42.98,58782
444,42.97,43.1,42.93,43.04,31201
445,43.045,43.25,42.99,42.99,54289
446,43.065,43.11,42.96,43.07,20048
447,42.78,43.08,42.75,43.08,24009
448,43.07,43.09,42.84,42.84,29642
449,43.05,43.25,43.05,43.08,42047
450,43.2,43.22,43.05,43.09,27713
451,43.1801,43.21,43.13,43.2,18400
452,42.97,43.18,42.92,43.18,58203
453,42.945,43.02,42.93,42.99,36741
454,42.88,43.02,42.88,42.945,26341
455,42.92,42.98,42.85,42.88,17956
456,42.95,43.01,42.92,42.93,15847
457,42.85,43,42.845,42.94,13069
458,42.73,42.85,42.73,42.85,19298
459,42.59,42.735,42.58,42.72,17536
460,42.58,42.79,42.58,42.59,13000
461,42.22,42.6,42.13,42.58,100801
462,42.22,42.26,42.17,42.21,76403
463,42.265,42.27,42.15,42.22,89839
464,42.2,42.44,42.2,42.28,56000
465,42.03,42.2,42.03,42.2,31156
466,41.81,42.235,41.81,42.02,81446
467,41.96,42.06,41.8,41.815,72186
468,41.85,41.94,41.76,41.93,54867
469,41.995,42.08,41.86,41.86,58587
470,42.2,42.24,41.88,41.99,90495
471,42.04,42.26,42.02,42.24,359761
864,42.47,42.47,42.46,42.46,12415
865,42.29,42.97,42.12,42.845,12960
866,42.24,42.58,42.24,42.28,10145
867,42.075,42.4,42.06,42.25,12299
868,41.935,42.22,41.91,42.1,15910
869,42.13,42.15,41.89,41.9104,14560
870,41.96,42.15,41.95,42.15,10500
871,42.13,42.21,41.93,41.93,10096
872,42.21,42.25,42.07,42.14,15508
873,42.08,42.21,42.06,42.21,11906
874,42.23,42.32,42.105,42.11,15247
875,42.24,42.3,42.18,42.21,13726
876,42.31,42.34,42.22,42.22,8950
877,42.23,42.33,42.18,42.31,11983
878,42.3,42.34,42.245,42.26,13778
879,42.3,42.33,42.26,42.3,8986
880,42.45,42.46,42.2904,42.2904,12760
881,42.55,42.55,42.45,42.49,17778
882,42.54,42.55,42.46,42.54,6500
883,42.63,42.66,42.52,42.53,13163
884,42.5762,42.675,42.56,42.62,15004
885,42.4,42.56,42.29,42.56,21257
886,42.48,42.53,42.3,42.39,15700
887,42.61,42.62,42.45,42.49,19229
888,42.77,42.81,42.61,42.61,24895
889,42.81,42.86,42.76,42.78,19727
890,42.96,42.97,42.81,42.82,23847
891,43.11,43.11,42.94,42.96,30896
892,42.87,43.17,42.86,43.11,22118
893,42.99,42.99,42.85,42.86,21296
894,42.93,43.02,42.9,42.99,11874
