EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,1.56,1.56,1.56,1.56,1071
1,1.5,1.54,1.5,1.54,2532
2,1.5,1.51,1.5,1.51,1400
3,1.51,1.51,1.51,1.51,100
6,1.53,1.53,1.52,1.52,5300
7,1.55,1.55,1.54,1.54,5200
8,1.53,1.5426,1.53,1.5415,2500
10,1.54,1.54,1.54,1.54,500
12,1.54,1.54,1.54,1.54,3000
13,1.5344,1.5344,1.5277,1.5277,950
15,1.5474,1.5474,1.5474,1.5474,1000
17,1.538,1.538,1.538,1.538,1000
18,1.5401,1.5435,1.54,1.5435,10200
21,1.54,1.54,1.54,1.54,100
22,1.54,1.54,1.54,1.54,1650
24,1.56,1.56,1.55,1.55,535
25,1.56,1.56,1.55,1.55,4180
27,1.542,1.542,1.541,1.541,1500
28,1.55,1.55,1.55,1.55,100
29,1.57,1.57,1.5572,1.5572,5797
32,1.56,1.56,1.5324,1.5324,950
39,1.57,1.57,1.5699,1.5699,400
144,1.55,1.55,1.55,1.55,100
146,1.56,1.56,1.56,1.56,100
147,1.5748,1.5748,1.5748,1.5748,100
148,1.59,1.59,1.59,1.59,285
149,1.5857,1.64,1.5857,1.59,4864
152,1.6,1.6,1.6,1.6,200
153,1.5801,1.5801,1.5801,1.5801,2400
159,1.5705,1.5705,1.5705,1.5705,700
162,1.573,1.573,1.573,1.573,2300
166,1.56,1.6,1.56,1.56,2900
170,1.56,1.5776,1.56,1.5776,1600
175,1.56,1.56,1.56,1.56,600
178,1.56,1.5601,1.56,1.5601,1500
179,1.5616,1.5616,1.5616,1.5616,1100
180,1.561,1.5676,1.56,1.5601,2900
182,1.56,1.56,1.56,1.56,1100
183,1.56,1.56,1.56,1.56,600
292,1.56,1.56,1.56,1.56,300
293,1.5657,1.5657,1.5657,1.5657,1780
295,1.5662,1.5662,1.5662,1.5662,800
296,1.56,1.56,1.56,1.56,200
297,1.5653,1.5653,1.5653,1.5653,1000
299,1.5501,1.5501,1.5501,1.5501,2000
304,1.56,1.56,1.56,1.56,200
307,1.5601,1.5601,1.5601,1.5601,800
308,1.57,1.57,1.57,1.57,1200
313,1.56,1.5601,1.56,1.56,8368
314,1.566,1.566,1.56,1.5601,10100
319,1.57,1.57,1.57,1.57,100
320,1.57,1.57,1.57,1.57,200
321,1.5716,1.5716,1.5716,1.5716,800
322,1.57,1.57,1.55,1.57,10800
324,1.57,1.57,1.55,1.56,11500
327,1.52,1.57,1.52,1.57,9777
432,1.53,1.53,1.53,1.53,500
434,1.5399,1.55,1.5399,1.54,2194
436,1.63,1.63,1.57,1.57,3600
438,1.6189,1.6202,1.6189,1.6202,673
442,1.5999,1.6,1.5999,1.6,600
443,1.5701,1.571,1.5701,1.571,1000
444,1.5676,1.5676,1.56,1.56,6000
446,1.51,1.52,1.51,1.52,500
452,1.54,1.54,1.54,1.54,7200
461,1.55,1.55,1.55,1.55,100
463,1.55,1.55,1.55,1.55,100
471,1.59,1.59,1.56,1.561,5839
864,1.57,1.57,1.57,1.57,250
865,1.5799,1.5799,1.5799,1.5799,5000
869,1.5774,1.5774,1.5774,1.5774,225
870,1.5884,1.5884,1.5884,1.5884,1000
871,1.5659,1.5659,1.56,1.5639,3300
872,1.56,1.56,1.56,1.56,100
874,1.56,1.5814,1.56,1.5814,1900
886,1.5966,1.5966,1.5966,1.5966,500
891,1.59,1.59,1.59,1.59,100
895,1.6,1.6,1.6,1.6,1700
900,1.6298,1.6298,1.6298,1.6298,500
901,1.62,1.6225,1.62,1.62,5500
902,1.62,1.6228,1.62,1.62,3500
903,1.61,1.622,1.61,1.62,4000
a1493731800,1.6,1.6,1.6,1.6,250
3,1.65,1.65,1.61,1.61,9037
5,1.68,1.68,1.65,1.669,16674
6,1.64,1.641,1.64,1.641,5900
7,1.6673,1.6673,1.6673,1.6673,3000
10,1.664,1.664,1.65,1.664,400
13,1.64,1.64,1.64,1.64,2600
17,1.6565,1.6565,1.6565,1.6565,100
19,1.664,1.664,1.664,1.664,125
21,1.64,1.64,1.64,1.64,100
23,1.64,1.6499,1.64,1.64,1400
24,1.6401,1.6401,1.63,1.6401,9412
25,1.64,1.64,1.64,1.64,1340
28,1.64,1.64,1.64,1.64,100
31,1.64,1.64,1.64,1.64,300
36,1.65,1.65,1.645,1.645,2040
39,1.64,1.659,1.64,1.65,7700
146,1.62,1.62,1.62,1.62,100
148,1.6399,1.6399,1.63,1.6398,26900
149,1.6399,1.6399,1.6399,1.6399,200
150,1.65,1.65,1.6233,1.6233,3800
151,1.68,1.68,1.68,1.68,100
152,1.67,1.67,1.65,1.65,1300
153,1.6783,1.68,1.65,1.6699,12796
154,1.68,1.6801,1.68,1.6801,5700
157,1.68,1.6924,1.68,1.69,500
159,1.69,1.69,1.69,1.69,100
160,1.65,1.7,1.65,1.7,17926
161,1.65,1.68,1.65,1.68,5300
162,1.68,1.68,1.68,1.68,100
164,1.68,1.68,1.68,1.68,100
168,1.65,1.65,1.65,1.65,625
171,1.65,1.6609,1.65,1.6609,6400
173,1.65,1.65,1.65,1.65,200
176,1.6535,1.6535,1.6535,1.6535,1000
177,1.65,1.7,1.65,1.67,11500
178,1.69,1.69,1.675,1.68,4700
179,1.697,1.7,1.69,1.7,3495
180,1.66,1.7,1.66,1.6904,14141
183,1.67,1.6999,1.67,1.6999,400
288,1.67,1.67,1.67,1.67,148
289,1.72,1.73,1.708,1.708,1750
290,1.736,1.74,1.701,1.72,8750
293,1.79,1.79,1.727,1.727,45739
295,1.75,1.7863,1.75,1.7792,10500
299,1.7393,1.7393,1.7393,1.7393,2000
301,1.74,1.74,1.59,1.59,4500
302,1.73,1.73,1.7001,1.7001,1321
304,1.7,1.7,1.7,1.7,100
311,1.67,1.67,1.67,1.67,3399
314,1.6886,1.6886,1.6886,1.6886,100
316,1.68,1.68,1.68,1.68,200
317,1.6887,1.6887,1.6887,1.6887,1000
318,1.64,1.64,1.64,1.64,100
319,1.64,1.67,1.6301,1.6301,3200
320,1.6501,1.6501,1.6501,1.6501,1000
321,1.65,1.69,1.65,1.6501,1700
323,1.68,1.68,1.6501,1.66,2200
325,1.68,1.68,1.6501,1.6501,2500
327,1.7,1.7,1.67,1.6732,1379
433,1.7396,1.76,1.696,1.76,12840
436,1.69,1.69,1.6899,1.6899,14100
439,1.6227,1.6227,1.6227,1.6227,400
440,1.63,1.63,1.63,1.63,500
441,1.64,1.64,1.63,1.63,400
445,1.64,1.64,1.63,1.63,1955
447,1.73,1.73,1.6334,1.6334,5750
448,1.7249,1.74,1.7249,1.74,500
453,1.65,1.75,1.65,1.7,16894
457,1.68,1.68,1.68,1.68,100
460,1.68,1.68,1.68,1.68,100
463,1.69,1.69,1.67,1.67,300
466,1.7,1.7,1.68,1.68,200
468,1.67,1.6778,1.67,1.6778,2000
469,1.67,1.68,1.67,1.68,2200
470,1.67,1.67,1.67,1.67,200
471,1.73,1.73,1.73,1.73,187
869,1.73,1.73,1.7299,1.73,1600
870,1.67,1.75,1.67,1.73,7700
871,1.7095,1.71,1.685,1.685,2000
874,1.7317,1.7317,1.7317,1.7317,1000
878,1.73,1.73,1.73,1.73,495
879,1.73,1.74,1.73,1.74,300
880,1.73,1.73,1.73,1.73,100
881,1.666,1.67,1.65,1.67,1900
886,1.72,1.72,1.6654,1.67,5000
887,1.69,1.69,1.69,1.69,100
890,1.705,1.705,1.705,1.705,100
891,1.7381,1.7381,1.7199,1.72,7149
892,1.7299,1.7299,1.72,1.72,3100
893,1.72,1.72,1.72,1.72,100
898,1.72,1.72,1.72,1.72,100
900,1.72,1.72,1.7128,1.7128,3200
901,1.73,1.73,1.72,1.72,1540
903,1.72,1.74,1.72,1.74,1703
a1494337200,1.7496,1.75,1.74,1.74,5167
1,1.56,1.71,1.54,1.71,15994
2,1.646,1.66,1.646,1.65,10850
5,1.66,1.67,1.66,1.66,1100
8,1.67,1.67,1.6699,1.67,2282
11,1.745,1.75,1.737,1.74,2200
12,1.75,1.75,1.7191,1.7191,1600
13,1.73,1.77,1.71,1.75,25648
