EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,35.82,35.82,35.82,35.82,828
1,35.98,36.18,35.39,35.42,3210
2,36,36.03,35.96,35.98,1100
3,36.01,36.08,35.9,35.91,1680
4,36.08,36.09,36.03,36.03,2000
5,35.94,36.1,35.94,36.07,1400
6,35.9496,35.9496,35.87,35.93,700
7,35.91,35.98,35.86,35.91,2500
8,35.86,35.93,35.86,35.87,2000
9,35.85,35.98,35.85,35.89,2500
10,35.93,35.93,35.86,35.86,726
11,35.812,35.95,35.812,35.95,1500
12,35.85,35.92,35.79,35.9,2100
13,35.79,35.85,35.79,35.81,1100
14,35.83,35.83,35.77,35.8,750
15,35.78,35.84,35.78,35.8,2280
16,35.75,35.86,35.748,35.79,4355
17,35.72,35.74,35.66,35.74,1000
18,35.627,35.7,35.62,35.7,1100
19,35.63,35.66,35.583,35.64,1900
20,35.61,35.67,35.61,35.66,2200
21,35.62,35.72,35.58,35.61,17613
22,35.62,35.7,35.58,35.6,14881
23,35.63,35.67,35.58,35.61,14343
24,35.61,35.65,35.59,35.62,6343
25,35.65,35.66,35.6,35.63,3700
26,35.6,35.67,35.6,35.64,11485
27,35.63,35.66,35.57,35.58,11185
28,35.63,35.66,35.57,35.62,12389
29,35.59,35.68,35.57,35.63,8500
30,35.61,35.677,35.59,35.605,5060
31,35.64,35.64,35.59,35.6,2293
32,35.6,35.6399,35.6,35.63,1940
33,35.64,35.65,35.6,35.6,3426
34,35.66,35.69,35.605,35.643,13398
35,35.61,35.7,35.59,35.65,6812
36,35.57,35.64,35.57,35.63,800
37,35.54,35.6,35.54,35.55,6682
38,35.52,35.55,35.5,35.55,3600
39,35.53,35.59,35.51,35.52,18218
144,35.59,35.59,35.59,35.59,755
145,35.45,35.64,35.19,35.64,2600
146,35.58,35.62,35.32,35.4,1723
148,35.6,35.6,35.51,35.59,800
149,35.51,35.62,35.51,35.58,2000
150,35.6,35.6,35.54,35.54,400
151,35.57,35.59,35.52,35.59,2200
152,35.58,35.58,35.555,35.555,350
153,35.86,35.86,35.59,35.64,5510
154,35.83,35.87,35.81,35.87,800
155,35.98,35.98,35.88,35.88,1000
156,36.11,36.22,36.02,36.02,3500
157,36.09,36.16,36.04,36.04,2100
158,36.03,36.07,36.02,36.07,1000
159,35.99,36.005,35.99,36.005,2710
161,36.17,36.17,36.06,36.06,1200
162,36.07,36.11,36.01,36.11,6854
163,35.91,36.08,35.79,36.06,17291
164,35.86,35.91,35.84,35.9,3747
165,35.85,35.95,35.82,35.86,18968
166,35.88,35.91,35.86,35.86,4300
167,35.88,35.92,35.815,35.89,8115
168,35.84,35.91,35.8,35.84,13793
169,35.78,35.83,35.73,35.83,5075
170,35.81,35.86,35.81,35.86,1000
171,35.81,35.9,35.81,35.81,1800
172,35.79,35.88,35.72,35.83,9996
173,35.87,35.92,35.73,35.79,7159
174,35.89,35.89,35.8,35.81,2000
175,35.83,35.93,35.83,35.92,2200
176,35.89,35.93,35.86,35.9,2200
177,35.88,35.93,35.88,35.93,1500
178,35.95,35.96,35.89,35.9,2085
179,35.98,36.01,35.97,35.97,1300
180,35.94,36.01,35.93,36.01,3302
181,35.96,35.99,35.95,35.98,1227
182,35.86,35.96,35.84,35.94,5117
183,35.88,35.9,35.79,35.87,52964
288,35.89,35.89,35.89,35.89,1030
289,35.95,36.035,35.78,35.78,1690
290,36.01,36.05,35.8,35.9,3000
291,36.03,36.03,36.03,36.03,200
292,35.945,36.05,35.945,36.05,700
293,36.055,36.055,36.055,36.055,300
294,35.98,36.09,35.98,36,2700
295,35.98,36.02,35.98,35.98,1000
296,35.96,36,35.96,36,200
298,35.83,36.05,35.825,35.89,7636
299,35.86,35.88,35.82,35.82,1250
300,35.73,35.83,35.73,35.83,700
301,35.73,35.76,35.71,35.71,900
302,35.71,35.71,35.68,35.69,500
303,35.615,35.615,35.615,35.615,100
304,35.64,35.67,35.64,35.64,1000
305,35.67,35.68,35.655,35.68,859
306,35.71,35.71,35.665,35.665,300
307,35.82,35.86,35.62,35.7,9462
308,35.86,35.88,35.82,35.84,2517
309,35.96,35.96,35.86,35.86,1296
310,35.93,35.99,35.91,35.94,2100
311,35.89,35.98,35.89,35.94,2900
312,35.915,35.93,35.86,35.86,4630
313,35.89,35.94,35.89,35.93,700
314,35.89,35.9,35.89,35.9,500
315,35.83,35.86,35.83,35.86,736
316,35.8,35.8611,35.8,35.85,1409
317,35.8025,35.8025,35.76,35.8,900
318,35.8,35.81,35.8,35.8,400
319,35.87,35.9099,35.835,35.835,686
320,35.76,35.9,35.73,35.87,6200
321,35.69,35.82,35.68,35.73,4500
322,35.69,35.7,35.688,35.7,700
324,35.63,35.7152,35.63,35.7152,825
325,35.65,35.69,35.65,35.67,1913
326,35.72,35.72,35.66,35.66,1600
327,35.76,35.787,35.71,35.72,22929
432,35.82,35.82,35.82,35.82,527
433,35.55,35.7101,35.55,35.7101,791
434,35.5,35.5,35.5,35.5,200
435,35.44,35.48,35.44,35.48,200
436,35.37,35.45,35.37,35.4,500
437,35.33,35.39,35.33,35.39,400
438,35.25,35.29,35.25,35.29,400
439,35.2681,35.2699,35.22,35.25,880
440,35.25,35.32,35.24,35.28,1000
441,35.19,35.23,35.19,35.23,1600
442,35.15,35.2519,35.15,35.23,800
443,35.16,35.16,35.08,35.12,1100
444,35.18,35.1991,35.17,35.17,804
445,35.09,35.15,35.09,35.15,1000
446,35.1,35.1,35.1,35.1,100
447,35.105,35.105,35.105,35.105,100
449,35.105,35.11,35.1,35.1099,800
450,35.16,35.16,35.16,35.16,100
451,35.1,35.1,35.1,35.1,100
452,35.16,35.18,35.12,35.13,1700
453,35.07,35.16,35.07,35.16,1500
454,35.05,35.1,35.05,35.06,1100
455,35,35.02,35,35.02,700
456,35.03,35.08,34.99,35,1100
457,35.04,35.07,35.04,35.07,1016
458,35.01,35.08,35,35.08,500
459,35.03,35.03,35.03,35.03,200
460,35.08,35.11,35.02,35.05,19400
461,35.11,35.13,35.11,35.13,400
462,35.17,35.17,35.09,35.1222,7874
463,35.21,35.21,35.21,35.21,100
464,35.22,35.22,35.17,35.17,1600
465,35.35,35.35,35.2499,35.2499,2655
466,35.46,35.47,35.33,35.33,4200
467,35.52,35.52,35.47,35.47,4188
468,35.5,35.53,35.49,35.51,991
469,35.54,35.54,35.5,35.51,2801
470,35.55,35.58,35.51,35.52,5119
471,35.5,35.61,35.49,35.55,39962
864,35.6,35.6,35.6,35.6,568
865,35.49,35.58,35.49,35.57,1200
866,35.45,35.45,35.35,35.38,1600
867,35.33,35.44,35.33,35.44,1500
868,35.33,35.34,35.3,35.34,1810
869,35.33,35.375,35.28,35.3,1900
870,35.28,35.36,35.28,35.36,1700
871,35.38,35.38,35.29,35.3,1300
872,35.347,35.42,35.347,35.42,2200
873,35.35,35.35,35.35,35.35,100
874,35.37,35.385,35.36,35.385,600
875,35.36,35.37,35.35,35.355,3200
876,35.3,35.34,35.3,35.34,700
877,35.28,35.37,35.28,35.37,300
878,35.32,35.32,35.23,35.23,896
879,35.32,35.33,35.28,35.305,9200
880,35.49,35.5,35.365,35.38,3700
881,35.52,35.56,35.52,35.56,600
882,35.485,35.53,35.47,35.5225,1100
883,35.42,35.47,35.42,35.46,1600
884,35.47,35.47,35.405,35.44,1100
885,35.43,35.44,35.39,35.43,900
886,35.44,35.5,35.43,35.43,1300
887,35.5,35.52,35.48,35.48,900
888,35.425,35.52,35.425,35.52,2100
889,35.425,35.46,35.42,35.42,900
890,35.51,35.51,35.45,35.47,2700
891,35.52,35.54,35.466,35.53,2200
892,35.376,35.52,35.37,35.52,1800
893,35.38,35.47,35.34,35.41,8214
894,35.37,35.4,35.37,35.4,500
895,35.34,35.41,35.33,35.4,600
896,35.33,35.35,35.28,35.35,2500
897,35.32,35.34,35.31,35.33,1358
898,35.35,35.35,35.29,35.3022,913
899,35.37,35.39,35.36,35.36,800
900,35.38,35.39,35.315,35.35,1400
901,35.4,35.42,35.37,35.38,4746
902,35.4,35.41,35.37,35.4,3796
