EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,41.4,41.4,41.4,41.4,0
a1493924400,41.5,41.5,41.5,41.5,100
a1494595800,41,41,41,41,100
1,40.9752,40.9752,40.9752,40.9752,200
a1495460400,40.6,40.6,40.6,40.6,0
287,41,41,41,41,1
a1496424000,39.5,39.5,39.5,39.5,152
700,36.1,36.1,36.1,36.1,100
880,36.5,36.6,36.5,36.6,263
986,36.5,36.5,36.5,36.5,600
987,36.5,36.5,36.4,36.4,300
992,36.55,36.55,36.55,36.55,100
a1497032400,37,37,37,37,100
409,36,36,36,36,100
420,36.75,36.75,36.75,36.75,100
429,36,36,36,36,163
578,35.05,35.05,35.05,35.05,100
586,35.15,35.15,35,35.05,300
722,33.55,33.65,33.55,33.65,200
852,34.9,34.9,34.9,34.9,100
858,34.2,34.2,34.2,34.2,100
861,33.8,33.8,33.8,33.8,100
864,33.6,33.9,33.6,33.9,400
870,34.4,34.4,34.4,34.4,100
872,39.85,39.85,39.85,39.85,100
996,36.05,36.05,36.05,36.05,100
a1497641400,35.5,35.5,35.5,35.5,100
2,33.95,33.95,33.95,33.95,100
3,34.9,34.9,34.9,34.9,6284
853,34.05,34.05,34.05,34.05,154
865,34.05,35,34.05,35,300
994,35,35,34.05,34.9659,2108
a1498248000,36,36,36,36,100
681,35.05,35.05,35.05,35.05,149
838,35,35,35,35,100
840,35.15,35.15,35.15,35.15,488
864,35,35.05,35,35.05,108
a1499284800,35.1,35.1,35.1,35.1,2
