EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,1.6,1.6,1.6,1.6,16025
1,1.55,1.78,1.55,1.6,34286
2,1.55,1.56,1.51,1.56,12370
3,1.63,1.63,1.56,1.57,3800
4,1.7099,1.75,1.6297,1.6297,11607
5,1.74,1.79,1.71,1.71,8849
6,1.85,1.9,1.74,1.74,55830
7,1.8421,1.9,1.8421,1.85,8400
8,1.87,1.87,1.8483,1.8483,2500
9,1.8,1.8631,1.8,1.8631,9000
10,1.8,1.8,1.8,1.8,100
11,1.8,1.8,1.8,1.8,100
12,1.8,1.8,1.8,1.8,2300
13,1.805,1.805,1.8,1.8,600
15,1.76,1.81,1.76,1.8,9000
18,1.76,1.76,1.76,1.76,100
19,1.77,1.77,1.76,1.76,2200
20,1.7501,1.7501,1.7501,1.7501,100
22,1.71,1.75,1.7,1.75,800
23,1.7,1.7,1.7,1.7,100
24,1.75,1.77,1.715,1.715,6100
26,1.75,1.75,1.725,1.7426,4660
28,1.75,1.75,1.7,1.7,1200
29,1.73,1.73,1.715,1.715,200
30,1.72,1.73,1.715,1.73,700
31,1.7248,1.75,1.7248,1.739,17088
32,1.75,1.75,1.72,1.7201,5400
34,1.7201,1.7201,1.7201,1.7201,100
35,1.72,1.73,1.72,1.72,600
36,1.73,1.73,1.72,1.72,800
37,1.72,1.74,1.72,1.72,8950
38,1.73,1.74,1.6956,1.74,11500
39,1.73,1.75,1.7,1.74,12950
144,1.8,1.8,1.8,1.8,2897
145,1.74,1.74,1.74,1.74,100
146,1.7568,1.7568,1.7568,1.7568,1500
147,1.76,1.76,1.76,1.76,454
154,1.7525,1.7525,1.7525,1.7525,144
155,1.76,1.76,1.7531,1.7531,680
156,1.759,1.759,1.75,1.75,200
158,1.7569,1.7569,1.7569,1.7569,1000
160,1.7519,1.76,1.7519,1.76,2100
162,1.7518,1.7518,1.7518,1.7518,300
163,1.76,1.76,1.7551,1.7551,600
164,1.7573,1.7573,1.7573,1.7573,284
165,1.74,1.75,1.74,1.75,1900
166,1.7525,1.76,1.7499,1.7499,1627
168,1.7499,1.7499,1.7499,1.7499,1000
169,1.743,1.743,1.743,1.743,100
170,1.74,1.74,1.74,1.74,500
172,1.7465,1.75,1.7465,1.75,600
174,1.7468,1.7482,1.7468,1.7482,1600
175,1.75,1.75,1.7499,1.7499,1800
176,1.75,1.75,1.745,1.745,6322
177,1.74,1.74,1.74,1.74,1000
178,1.7435,1.7435,1.7416,1.7416,1000
179,1.75,1.75,1.7413,1.7413,1560
180,1.6813,1.74,1.65,1.74,6273
181,1.6706,1.71,1.6706,1.71,1480
182,1.69,1.69,1.67,1.68,995
183,1.73,1.73,1.6959,1.6959,2510
288,1.8,1.8,1.8,1.8,3110
289,1.79,1.8,1.79,1.8,800
290,1.7644,1.7644,1.7437,1.7437,525
291,1.75,1.75,1.74,1.74,500
292,1.74,1.74,1.74,1.74,200
293,1.74,1.745,1.74,1.74,5400
294,1.75,1.75,1.75,1.75,200
295,1.7499,1.75,1.749,1.749,4100
300,1.7467,1.7467,1.7467,1.7467,300
302,1.73,1.74,1.73,1.74,200
303,1.69,1.73,1.69,1.73,1163
304,1.7,1.7,1.6628,1.69,400
305,1.7,1.7,1.7,1.7,250
306,1.72,1.72,1.72,1.72,100
307,1.6901,1.6901,1.6901,1.6901,400
312,1.7,1.7,1.7,1.7,100
315,1.7199,1.72,1.7199,1.72,410
316,1.736,1.736,1.736,1.736,200
317,1.7263,1.7349,1.7263,1.7349,1287
318,1.72,1.72,1.72,1.72,100
320,1.725,1.725,1.72,1.72,300
321,1.733,1.733,1.733,1.733,1000
322,1.74,1.74,1.73,1.73,300
323,1.749,1.749,1.749,1.749,1000
324,1.7438,1.75,1.7438,1.75,600
325,1.75,1.75,1.7316,1.7416,2450
326,1.76,1.76,1.74,1.74,1700
327,1.71,1.79,1.71,1.79,6833
432,1.78,1.78,1.78,1.78,2300
433,1.7896,1.7899,1.71,1.72,2292
434,1.71,1.764,1.71,1.731,9100
435,1.71,1.711,1.71,1.711,4000
436,1.7,1.7,1.7,1.7,1864
438,1.72,1.72,1.72,1.72,100
441,1.68,1.68,1.68,1.68,600
443,1.68,1.68,1.65,1.65,1949
445,1.68,1.68,1.6775,1.6775,1600
446,1.68,1.68,1.6614,1.6614,779
447,1.694,1.694,1.68,1.68,400
448,1.713,1.713,1.713,1.713,178
449,1.68,1.68,1.68,1.68,200
450,1.67,1.6899,1.67,1.6899,475
451,1.6775,1.6775,1.67,1.67,600
457,1.73,1.739,1.68,1.72,1200
459,1.7,1.7,1.6814,1.6814,1500
460,1.7269,1.7269,1.7269,1.7269,573
461,1.73,1.74,1.69,1.69,6500
462,1.7,1.7,1.7,1.7,100
463,1.69,1.71,1.69,1.7099,2500
464,1.69,1.69,1.6899,1.69,1700
465,1.69,1.69,1.68,1.685,16200
467,1.69,1.69,1.68,1.68,5100
468,1.69,1.69,1.6874,1.69,3738
469,1.69,1.69,1.681,1.685,1191200
470,1.6826,1.69,1.6826,1.69,1250
471,1.75,1.75,1.684,1.684,3113
864,1.79,1.79,1.79,1.79,149
865,1.66,1.74,1.66,1.74,10775
866,1.6764,1.6764,1.65,1.65,9300
867,1.63,1.67,1.62,1.66,16484
868,1.57,1.6,1.55,1.58,5500
869,1.6,1.6,1.57,1.5948,6561
871,1.57,1.5832,1.57,1.5832,7470
872,1.57,1.57,1.56,1.57,14768
873,1.5611,1.57,1.56,1.57,800
874,1.58,1.63,1.56,1.57,5554
875,1.6666,1.6666,1.6666,1.6666,250
877,1.585,1.64,1.585,1.59,12736
879,1.6,1.6,1.6,1.6,5000
880,1.6,1.65,1.6,1.6,900
884,1.605,1.6346,1.6,1.6346,9819
885,1.61,1.61,1.61,1.61,700
886,1.61,1.61,1.605,1.605,2800
888,1.6099,1.64,1.605,1.6398,5300
889,1.6,1.6,1.59,1.6,1700
890,1.5801,1.615,1.5801,1.5858,5200
892,1.595,1.6,1.59,1.59,4900
893,1.64,1.6574,1.595,1.5991,7239
894,1.62,1.65,1.62,1.65,900
895,1.6225,1.6225,1.6225,1.6225,200
896,1.625,1.63,1.62,1.63,2663
897,1.5984,1.6297,1.59,1.6297,6620
898,1.59,1.59,1.59,1.59,100
899,1.6,1.6,1.59,1.59,2718
900,1.6,1.6,1.595,1.595,3418
901,1.59,1.6,1.59,1.6,1600
902,1.6099,1.61,1.59,1.6,7108
903,1.65,1.65,1.59,1.61,9579
a1493731800,1.72,1.72,1.72,1.72,4276
1,1.61,1.68,1.61,1.68,6647
3,1.6101,1.6101,1.6101,1.6101,250
4,1.6192,1.62,1.6175,1.62,2700
8,1.637,1.637,1.637,1.637,170
9,1.6392,1.6392,1.6392,1.6392,100
10,1.58,1.63,1.58,1.63,9372
11,1.5736,1.5736,1.5736,1.5736,1500
13,1.5758,1.5766,1.5709,1.5709,8658
14,1.5777,1.5777,1.5777,1.5777,1000
16,1.59,1.59,1.575,1.575,2861
17,1.59,1.59,1.59,1.59,100
19,1.5865,1.5865,1.5865,1.5865,500
23,1.5777,1.5824,1.5777,1.5824,3520
24,1.5701,1.5701,1.5701,1.5701,128
30,1.5884,1.59,1.5799,1.58,5500
38,1.57,1.58,1.56,1.58,7300
39,1.6,1.6,1.57,1.57,3403
144,1.74,1.74,1.74,1.74,15850
145,1.5899,1.61,1.5624,1.61,12183
146,1.57,1.57,1.57,1.57,100
147,1.57,1.5789,1.57,1.5789,500
149,1.58,1.59,1.58,1.5811,3908
150,1.5852,1.5852,1.5781,1.58,2425
151,1.59,1.59,1.56,1.57,3700
152,1.57,1.59,1.57,1.59,300
153,1.57,1.57,1.57,1.57,100
154,1.56,1.57,1.56,1.57,3500
155,1.57,1.57,1.57,1.57,100
156,1.58,1.58,1.56,1.57,6321
157,1.57,1.57,1.56,1.5647,400
158,1.5766,1.5766,1.56,1.56,900
159,1.56,1.57,1.56,1.56,6333
160,1.55,1.55,1.55,1.55,320
161,1.58,1.58,1.55,1.55,4000
162,1.5718,1.5718,1.5718,1.5718,500
