EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,76,76,76,76,64102
1,76.07,76.3,75.91,76.04,78420
2,76.3,76.34,75.76,76.05,62156
3,76.22,76.33,76.03,76.29,63909
4,76.51,76.55,76.21,76.22,69142
5,76.361,76.5,76.3268,76.5,83866
6,76.31,76.4001,76.23,76.3617,52692
7,76.36,76.4098,76.25,76.31,24663
8,76.17,76.4,76.15,76.355,45165
9,76.03,76.2,76.03,76.1743,46215
10,76.305,76.32,76.01,76.03,66339
11,76.33,76.4,76.31,76.31,51946
12,76.28,76.4,76.28,76.335,63273
13,76.26,76.31,76.19,76.31,28114
14,76.36,76.39,76.265,76.27,59862
15,76.355,76.41,76.3,76.37,62230
16,76.38,76.41,76.35,76.365,57275
17,76.395,76.42,76.355,76.39,29466
18,76.39,76.41,76.37,76.395,38042
19,76.39,76.41,76.315,76.38,23567
20,76.5,76.53,76.375,76.39,25793
21,76.46,76.53,76.45,76.5,20126
22,76.5,76.51,76.45,76.465,36819
23,76.585,76.7,76.49,76.5,108881
24,76.66,76.7,76.525,76.59,40357
25,76.62,76.69,76.58,76.67,23877
26,76.5,76.615,76.4999,76.615,19698
27,76.47,76.52,76.47,76.51,11859
28,76.52,76.54,76.45,76.46,21653
29,76.535,76.585,76.48,76.51,66932
30,76.585,76.6067,76.545,76.545,34341
31,76.595,76.65,76.58,76.58,44028
32,76.51,76.61,76.5,76.595,38035
33,76.523,76.54,76.47,76.5,21203
34,76.6,76.615,76.51,76.51,52658
35,76.615,76.615,76.55,76.5975,35737
36,76.67,76.745,76.6,76.605,58720
37,76.61,76.705,76.605,76.665,40740
38,76.705,76.8,76.6,76.61,66515
39,76.73,76.75,76.66,76.7,309503
144,76.73,76.8,76.73,76.73,15495
145,76.57,76.805,76.48,76.5,34608
146,76.52,76.61,76.33,76.56,28946
147,76.14,76.53,76.12,76.51,40218
148,76,76.19,75.96,76.08,56822
149,75.91,76.0025,75.88,75.99,25004
150,75.86,75.89,75.75,75.89,43847
151,75.95,75.965,75.81,75.86,67130
152,76,76.055,75.95,75.96,32745
153,76.08,76.1099,75.97,76,22827
154,76.22,76.26,76.08,76.08,22270
155,76.25,76.3199,76.21,76.21,30522
156,76.275,76.36,76.23,76.24,12797
157,76.415,76.42,76.27,76.27,14665
158,76.19,76.47,76.17,76.43,73575
159,76.14,76.23,76.095,76.18,23590
160,76.27,76.29,76.08,76.12,16408
161,76.29,76.37,76.28,76.28,11976
162,76.33,76.33,76.26,76.295,12275
163,76.3,76.345,76.2833,76.3125,17223
164,76.21,76.32,76.2,76.3,18190
165,76.3219,76.325,76.23,76.23,12622
166,76.38,76.38,76.3,76.315,17199
167,76.36,76.4,76.36,76.39,13052
168,76.22,76.39,76.22,76.37,20124
169,76.19,76.23,76.07,76.23,25048
170,76.09,76.27,76.04,76.18,26931
171,76.04,76.1524,76.04,76.1,15235
172,76.12,76.17,76.0132,76.05,14406
173,76.09,76.2099,76.08,76.107,14457
174,76.13,76.22,76.07,76.08,24848
175,76.2,76.233,76.13,76.15,12701
176,76.2,76.22,76.14,76.2,24289
177,76.1,76.25,76.095,76.21,15066
178,76.125,76.14,76.06,76.08,15161
179,76.185,76.23,76.12,76.12,14943
180,76.09,76.2,76.07,76.189,15779
181,76.15,76.1661,76.06,76.09,43543
182,76.21,76.28,76.145,76.15,133540
183,76.15,76.22,76.09,76.21,464141
288,76.55,76.55,76.55,76.55,11914
289,76.61,76.75,76.52,76.55,11091
290,77.04,77.05,76.505,76.56,41489
291,76.925,77.1,76.9,77.04,64229
292,77.05,77.23,76.94,76.94,59332
293,77.07,77.24,77.04,77.05,42355
294,77.03,77.15,77.01,77.06,54676
295,77.22,77.32,77.04,77.05,73369
296,77.06,77.25,77.06,77.22,15238
297,76.9,77.08,76.86,77.08,29284
298,76.68,76.88,76.64,76.88,48387
299,76.64,76.72,76.6216,76.67,26409
300,76.69,76.73,76.62,76.63,24837
301,76.6,76.75,76.6,76.7,16188
302,76.565,76.61,76.54,76.6,15871
303,76.555,76.565,76.46,76.565,19416
304,76.63,76.64,76.555,76.555,17827
305,76.66,76.67,76.615,76.62,13319
306,76.7524,76.77,76.65,76.66,28583
307,76.7682,76.8,76.72,76.76,16495
308,76.73,76.81,76.69,76.765,24851
309,76.81,76.81,76.7,76.725,22779
310,76.75,76.8,76.71,76.8,23355
311,76.75,76.775,76.73,76.7401,15194
312,76.72,76.7575,76.694,76.74,23330
313,76.74,76.74,76.69,76.71,16817
314,76.685,76.77,76.68,76.74,38260
315,76.72,76.72,76.64,76.685,12209
316,76.79,76.81,76.715,76.72,17230
317,76.85,76.89,76.77,76.8,15245
318,76.8,76.85,76.7311,76.85,14889
319,76.78,76.83,76.77,76.8,17234
320,76.76,76.82,76.731,76.78,49453
321,76.78,76.79,76.7,76.745,28079
322,76.71,76.775,76.66,76.77,20984
323,76.73,76.79,76.69,76.705,21065
324,76.7785,76.785,76.71,76.71,23327
325,76.74,76.82,76.7,76.775,35041
326,76.77,76.795,76.73,76.745,21154
327,76.75,76.78,76.72,76.76,148147
432,76.65,76.72,76.65,76.72,16713
433,76.1266,76.72,76.01,76.72,26624
434,76.16,76.31,76.1,76.12,10964
435,75.89,76.1,75.86,76.1,23465
436,75.91,76.01,75.88,75.89,8118
437,75.84,75.94,75.7,75.91,26135
438,75.95,76,75.81,75.85,30108
439,75.86,75.98,75.83,75.95,33247
440,75.78,75.96,75.779,75.87,29902
441,76,76.01,75.753,75.77,25518
442,75.9628,76.045,75.96,76,25042
443,76.07,76.07,75.94,75.97,15145
444,75.89,76.05,75.89,76.05,19087
445,75.71,75.89,75.71,75.87,12798
446,75.64,75.78,75.62,75.7,21948
447,75.76,75.81,75.63,75.65,11670
448,75.81,75.85,75.72,75.78,7903
449,75.8,75.82,75.76,75.82,15271
450,75.82,75.89,75.8,75.8,12061
451,75.74,75.85,75.74,75.8389,9142
452,75.79,75.8,75.71,75.73,9044
453,75.75,75.79,75.7,75.79,21770
454,75.76,75.8039,75.72,75.75,27453
455,75.68,75.76,75.67,75.75,14999
456,75.66,75.6842,75.59,75.6842,52644
457,75.66,75.71,75.65,75.66,9945
458,75.65,75.66,75.6,75.66,39133
459,75.64,75.73,75.62,75.655,15124
460,75.69,75.7,75.59,75.63,16845
461,75.52,75.7,75.52,75.7,26407
462,75.5184,75.56,75.5184,75.52,40166
463,75.49,75.56,75.49,75.52,21473
464,75.48,75.5164,75.44,75.48,29571
465,75.46,75.495,75.41,75.475,29354
466,75.49,75.51,75.44,75.46,16684
467,75.59,75.59,75.46,75.49,19020
468,75.53,75.65,75.52,75.57,32043
469,75.66,75.69,75.53,75.53,48740
470,75.58,75.73,75.46,75.65,81529
471,75.58,75.68,75.55,75.58,549934
864,75.92,75.92,75.92,75.92,11554
865,75.68,75.93,75.68,75.92,20719
866,75.68,75.8,75.63,75.8,20672
867,75.81,75.83,75.67,75.6967,15542
868,75.36,75.77,75.36,75.77,22675
869,75.16,75.32,75.14,75.3,24091
870,75.31,75.32,75.05,75.1227,32643
871,75.35,75.45,75.3,75.32,30601
872,75.47,75.48,75.308,75.34,24143
873,75.47,75.479,75.37,75.47,17352
874,75.56,75.58,75.455,75.46,10759
875,75.535,75.5599,75.51,75.54,13946
876,75.63,75.675,75.5301,75.5325,10660
877,75.59,75.66,75.56,75.65,10095
878,75.6501,75.68,75.58,75.6,13663
879,75.71,75.72,75.63,75.66,15771
880,75.72,75.78,75.691,75.7299,6830
881,75.79,75.79,75.72,75.73,8604
882,75.63,75.79,75.6296,75.79,12557
883,75.66,75.69,75.62,75.64,11177
884,75.564,75.6625,75.564,75.66,22296
885,75.58,75.61,75.49,75.58,9627
886,75.62,75.635,75.56,75.59,24267
887,75.67,75.67,75.61,75.63,10029
888,75.75,75.79,75.68,75.68,18530
889,75.715,75.759,75.69,75.759,8762
890,75.75,75.76,75.69,75.715,9670
891,75.87,75.8745,75.75,75.75,7821
892,75.91,75.9318,75.86,75.88,21749
893,75.96,75.98,75.915,75.915,7719
