EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,2.78,2.78,2.78,2.78,2315
1,2.745,2.75,2.74,2.75,600
2,2.77,2.77,2.745,2.745,1200
3,2.76,2.76,2.76,2.76,200
4,2.76,2.78,2.76,2.78,300
5,2.76,2.7786,2.76,2.76,9500
6,2.77,2.775,2.76,2.77,3100
7,2.77,2.78,2.77,2.78,500
8,2.76,2.7799,2.76,2.76,5950
9,2.78,2.78,2.76,2.78,600
10,2.76,2.775,2.76,2.775,200
11,2.77,2.78,2.76,2.76,1100
12,2.76,2.76,2.76,2.76,200
13,2.79,2.79,2.77,2.78,8471
14,2.79,2.79,2.77,2.77,2800
15,2.78,2.78,2.77,2.78,1200
16,2.77,2.77,2.77,2.77,200
17,2.77,2.78,2.77,2.77,800
18,2.78,2.78,2.77,2.78,1200
19,2.77,2.78,2.77,2.77,3350
20,2.78,2.78,2.77,2.78,1400
21,2.78,2.78,2.77,2.78,4397
22,2.78,2.78,2.77,2.78,3500
23,2.78,2.79,2.77,2.79,1500
24,2.79,2.79,2.785,2.79,500
25,2.75,2.79,2.75,2.79,14900
26,2.75,2.76,2.75,2.75,800
27,2.75,2.76,2.75,2.75,1400
28,2.74,2.75,2.74,2.75,3606
29,2.75,2.76,2.74,2.75,2850
30,2.75,2.76,2.75,2.75,5973
31,2.76,2.77,2.755,2.7593,13700
32,2.7689,2.77,2.76,2.76,3798
33,2.7689,2.77,2.75,2.76,5900
34,2.77,2.77,2.76,2.76,800
35,2.76,2.77,2.75,2.76,3500
36,2.75,2.76,2.75,2.75,4100
37,2.75,2.77,2.75,2.76,2432
38,2.75,2.76,2.74,2.76,9349
39,2.77,2.78,2.74,2.76,30500
144,2.75,2.75,2.75,2.75,1659
145,2.8,2.8,2.8,2.8,100
146,2.75,2.75,2.74,2.74,200
147,2.76,2.78,2.75,2.75,1100
148,2.765,2.765,2.76,2.76,200
149,2.77,2.77,2.77,2.77,100
150,2.765,2.765,2.765,2.765,100
151,2.77,2.77,2.765,2.765,1900
153,2.77,2.77,2.77,2.77,100
154,2.77,2.78,2.77,2.78,1000
155,2.77,2.77,2.77,2.77,200
156,2.78,2.78,2.77,2.78,2605
157,2.77,2.78,2.77,2.77,300
158,2.77,2.77,2.77,2.77,100
159,2.78,2.78,2.77,2.78,800
160,2.78,2.78,2.77,2.77,300
161,2.78,2.78,2.77,2.78,900
162,2.78,2.78,2.77,2.78,4354
163,2.77,2.78,2.77,2.78,400
164,2.79,2.79,2.775,2.78,2968
165,2.7801,2.789,2.78,2.78,5230
166,2.785,2.79,2.78,2.78,700
167,2.78,2.79,2.78,2.785,1200
168,2.79,2.79,2.78,2.79,600
169,2.79,2.79,2.78,2.78,728
170,2.78,2.79,2.78,2.79,666
171,2.78,2.79,2.78,2.79,1716
172,2.79,2.79,2.78,2.79,2700
173,2.79,2.79,2.78,2.78,200
174,2.8,2.8,2.785,2.785,6797
175,2.8,2.8,2.79,2.79,800
176,2.8,2.8,2.79,2.79,11307
177,2.8,2.8,2.795,2.795,2525
178,2.79,2.8,2.79,2.79,1000
179,2.79,2.8,2.79,2.8,500
180,2.795,2.8,2.79,2.79,900
181,2.795,2.8,2.79,2.795,900
182,2.79,2.8,2.78,2.8,7280
183,2.78,2.8,2.78,2.78,25427
288,2.77,2.77,2.77,2.77,418
290,2.76,2.77,2.76,2.77,200
291,2.77,2.77,2.76,2.76,200
292,2.76,2.76,2.76,2.76,100
293,2.77,2.77,2.765,2.77,800
295,2.77,2.77,2.76,2.76,600
296,2.77,2.77,2.76,2.7607,900
297,2.77,2.77,2.76,2.76,700
298,2.76,2.77,2.76,2.76,500
299,2.765,2.77,2.76,2.77,500
300,2.765,2.765,2.76,2.765,1000
301,2.71,2.76,2.71,2.76,5267
302,2.71,2.71,2.71,2.71,400
303,2.69,2.71,2.69,2.71,3800
304,2.69,2.69,2.69,2.69,600
305,2.69,2.71,2.69,2.69,629
306,2.69,2.71,2.69,2.71,500
307,2.69,2.71,2.69,2.69,700
308,2.7,2.7,2.7,2.7,300
309,2.7,2.71,2.69,2.7,1300
310,2.7,2.7,2.69,2.69,200
311,2.69,2.69,2.69,2.69,100
312,2.705,2.705,2.69,2.69,1400
313,2.705,2.71,2.705,2.71,300
315,2.705,2.705,2.7,2.7,600
316,2.7,2.7093,2.7,2.7,1500
317,2.71,2.71,2.71,2.71,100
318,2.7,2.71,2.7,2.7,3167
319,2.705,2.705,2.7,2.7,400
320,2.71,2.71,2.7,2.7,1000
321,2.705,2.705,2.705,2.705,200
322,2.715,2.73,2.7,2.7,3800
323,2.71,2.73,2.7,2.73,400
324,2.72,2.73,2.705,2.705,6399
325,2.7,2.72,2.69,2.71,12744
326,2.69,2.7,2.69,2.69,1252
327,2.71,2.73,2.69,2.69,46155
432,2.72,2.72,2.72,2.72,115
433,2.72,2.7236,2.72,2.7236,5100
434,2.715,2.725,2.71,2.725,7400
435,2.715,2.715,2.715,2.715,100
436,2.69,2.72,2.69,2.71,600
437,2.695,2.7,2.69,2.69,500
438,2.71,2.71,2.7,2.7,2800
439,2.715,2.715,2.715,2.715,100
440,2.715,2.72,2.715,2.715,3900
441,2.7,2.71,2.7,2.71,700
442,2.685,2.685,2.685,2.685,100
443,2.685,2.685,2.685,2.685,200
444,2.68,2.7,2.68,2.685,500
445,2.68,2.68,2.66,2.66,400
446,2.68,2.7,2.68,2.69,15300
447,2.67,2.67,2.67,2.67,200
448,2.68,2.69,2.67,2.67,700
449,2.68,2.68,2.67,2.68,1269
450,2.68,2.6899,2.68,2.6899,3231
451,2.68,2.68,2.68,2.68,100
453,2.68,2.685,2.68,2.685,500
454,2.675,2.675,2.675,2.675,3000
455,2.675,2.675,2.67,2.675,1800
456,2.675,2.68,2.67,2.67,400
457,2.67,2.68,2.67,2.68,200
458,2.6792,2.68,2.67,2.675,1800
459,2.69,2.69,2.69,2.69,100
460,2.675,2.675,2.67,2.67,900
461,2.695,2.695,2.675,2.675,800
462,2.7,2.7,2.69,2.695,300
463,2.695,2.7,2.69,2.69,500
464,2.69,2.7,2.69,2.7,1000
465,2.7,2.7,2.69,2.69,800
466,2.695,2.695,2.69,2.69,700
467,2.6925,2.7,2.6925,2.6925,1100
468,2.7,2.7,2.69,2.6925,1100
469,2.72,2.72,2.7,2.7,1200
470,2.7,2.71,2.7,2.71,2600
471,2.71,2.72,2.7,2.7,36071
864,2.7,2.7,2.7,2.7,830
865,2.705,2.71,2.705,2.71,300
866,2.74,2.74,2.74,2.74,300
867,2.74,2.74,2.71,2.71,300
868,2.74,2.74,2.71,2.71,300
869,2.74,2.74,2.705,2.73,1600
870,2.71,2.74,2.68,2.74,9030
871,2.7199,2.7199,2.7199,2.7199,500
872,2.71,2.72,2.71,2.71,2800
873,2.71,2.71,2.71,2.71,200
874,2.72,2.72,2.71,2.715,600
875,2.71,2.72,2.71,2.7122,8071
876,2.71,2.71,2.71,2.71,200
877,2.72,2.72,2.71,2.71,6536
878,2.73,2.73,2.7199,2.72,2000
879,2.73,2.73,2.7299,2.73,1300
880,2.73,2.73,2.73,2.73,300
881,2.72,2.73,2.72,2.73,400
882,2.73,2.73,2.72,2.72,200
883,2.73,2.73,2.72,2.72,500
884,2.73,2.73,2.725,2.725,1900
886,2.73,2.73,2.725,2.725,300
887,2.73,2.73,2.72,2.73,1000
888,2.73,2.73,2.73,2.73,200
889,2.71,2.73,2.71,2.725,10158
890,2.715,2.715,2.7114,2.7114,200
891,2.715,2.72,2.71,2.715,500
892,2.72,2.72,2.715,2.72,600
893,2.715,2.715,2.715,2.715,200
894,2.715,2.72,2.715,2.72,200
895,2.72,2.72,2.72,2.72,100
896,2.7,2.72,2.7,2.715,3773
897,2.695,2.71,2.68,2.7099,6513
898,2.7,2.71,2.6999,2.7,1000
899,2.71,2.73,2.71,2.72,2900
900,2.71,2.73,2.71,2.73,300
901,2.71,2.72,2.71,2.71,700
902,2.7,2.71,2.69,2.71,7535
903,2.7,2.72,2.69,2.7,23853
a1493731800,2.7,2.7,2.7,2.7,736
