EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,1.57,1.57,1.57,1.57,740
1,1.5634,1.57,1.56,1.56,2761
2,1.58,1.59,1.56,1.56,2369
3,1.58,1.58,1.57,1.57,200
5,1.56,1.58,1.56,1.58,600
6,1.575,1.58,1.57,1.57,774
7,1.575,1.575,1.575,1.575,100
9,1.575,1.575,1.575,1.575,100
10,1.57,1.578,1.57,1.578,323
11,1.57,1.5763,1.57,1.5763,2200
12,1.58,1.58,1.58,1.58,1400
13,1.619,1.619,1.57,1.57,1439
14,1.6,1.62,1.596,1.62,900
16,1.59,1.6,1.59,1.6,7300
19,1.5801,1.5815,1.58,1.58,2350
20,1.58,1.58,1.58,1.58,100
22,1.57,1.58,1.57,1.58,7085
23,1.5516,1.575,1.55,1.57,5574
24,1.56,1.56,1.55,1.56,1800
25,1.56,1.56,1.56,1.56,500
26,1.56,1.56,1.56,1.56,600
27,1.56,1.56,1.56,1.56,200
28,1.555,1.555,1.5548,1.5548,2956
29,1.56,1.56,1.5576,1.56,2100
30,1.55,1.56,1.55,1.56,3870
31,1.56,1.56,1.56,1.56,1000
33,1.56,1.56,1.56,1.56,100
34,1.56,1.56,1.5533,1.555,2600
35,1.5501,1.5501,1.55,1.55,16200
36,1.55,1.56,1.55,1.56,11400
37,1.55,1.555,1.55,1.555,2000
38,1.56,1.56,1.56,1.56,1100
39,1.56,1.56,1.55,1.555,4986
144,1.56,1.56,1.56,1.56,462
145,1.61,1.61,1.56,1.56,1100
147,1.56,1.57,1.56,1.57,2107
148,1.56,1.56,1.52,1.55,2588
149,1.56,1.56,1.54,1.541,3900
151,1.56,1.56,1.54,1.54,4800
152,1.56,1.56,1.55,1.55,3000
153,1.56,1.56,1.56,1.56,100
154,1.54,1.56,1.54,1.56,16776
155,1.551,1.551,1.54,1.54,4300
156,1.5514,1.56,1.5514,1.5599,5200
157,1.56,1.56,1.555,1.56,5526
158,1.56,1.56,1.56,1.56,200
159,1.5599,1.56,1.5599,1.56,2963
160,1.56,1.56,1.56,1.56,1000
161,1.56,1.56,1.56,1.56,740
162,1.56,1.56,1.56,1.56,200
163,1.56,1.56,1.56,1.56,200
164,1.55,1.56,1.55,1.56,6260
165,1.56,1.56,1.56,1.56,700
166,1.56,1.56,1.5599,1.56,2400
168,1.56,1.56,1.56,1.56,100
170,1.56,1.56,1.56,1.56,100
173,1.5558,1.5558,1.5524,1.5524,820
174,1.5588,1.56,1.55,1.56,1300
175,1.5402,1.56,1.54,1.56,18500
179,1.54,1.56,1.54,1.56,200
180,1.545,1.55,1.545,1.5499,2700
181,1.55,1.55,1.545,1.545,500
182,1.56,1.56,1.56,1.56,700
183,1.55,1.56,1.55,1.56,1702
288,1.54,1.54,1.54,1.54,300
289,1.56,1.56,1.56,1.56,1300
290,1.52,1.55,1.52,1.55,400
291,1.55,1.56,1.5499,1.55,2500
292,1.52,1.56,1.52,1.56,2288
293,1.54,1.5405,1.5327,1.5327,5200
294,1.56,1.56,1.53,1.54,2600
295,1.58,1.58,1.57,1.57,200
296,1.56,1.58,1.56,1.58,4297
297,1.55,1.55,1.55,1.55,300
298,1.55,1.55,1.55,1.55,100
299,1.5706,1.5706,1.5484,1.5484,9000
300,1.56,1.56,1.56,1.56,100
301,1.56,1.56,1.56,1.56,200
302,1.56,1.56,1.56,1.56,500
303,1.567,1.567,1.56,1.56,1304
304,1.57,1.57,1.57,1.57,100
305,1.5616,1.5616,1.5616,1.5616,950
306,1.56,1.57,1.56,1.57,300
307,1.57,1.57,1.57,1.57,200
308,1.57,1.57,1.57,1.57,100
309,1.5699,1.57,1.56,1.56,300
310,1.57,1.57,1.57,1.57,715
311,1.58,1.58,1.57,1.57,300
312,1.58,1.58,1.5799,1.5799,300
313,1.58,1.58,1.575,1.575,300
314,1.57,1.571,1.57,1.57,5890
315,1.57,1.58,1.57,1.5784,2750
316,1.59,1.59,1.59,1.59,100
317,1.59,1.59,1.59,1.59,100
318,1.59,1.59,1.59,1.59,300
319,1.58,1.59,1.58,1.59,200
320,1.59,1.59,1.59,1.59,200
321,1.59,1.59,1.59,1.59,200
322,1.6,1.6,1.59,1.59,600
323,1.59,1.6,1.59,1.6,200
324,1.6,1.6,1.59,1.59,800
325,1.59,1.6,1.59,1.6,4700
326,1.59,1.59,1.59,1.59,300
327,1.59,1.6,1.59,1.59,4381
432,1.6,1.6,1.6,1.6,1500
433,1.57,1.5701,1.57,1.57,3400
434,1.59,1.59,1.58,1.59,3500
435,1.59,1.59,1.58,1.58,300
436,1.58,1.59,1.58,1.59,600
437,1.59,1.59,1.59,1.59,1908
438,1.57,1.57,1.57,1.57,100
439,1.59,1.59,1.59,1.59,100
440,1.57,1.5866,1.57,1.5866,2800
441,1.57,1.57,1.57,1.57,100
443,1.58,1.58,1.58,1.58,281
444,1.57,1.58,1.57,1.58,419
446,1.58,1.58,1.58,1.58,1200
447,1.59,1.59,1.59,1.59,2400
448,1.59,1.59,1.59,1.59,200
450,1.59,1.59,1.59,1.59,100
452,1.59,1.59,1.5879,1.5879,250
454,1.585,1.585,1.585,1.585,100
458,1.58,1.585,1.58,1.585,2100
459,1.57,1.583,1.57,1.58,2700
460,1.58,1.58,1.58,1.58,100
462,1.57,1.57,1.57,1.57,100
463,1.58,1.58,1.58,1.58,100
465,1.575,1.575,1.575,1.575,200
467,1.58,1.58,1.58,1.58,200
468,1.58,1.58,1.58,1.58,100
470,1.59,1.59,1.58,1.58,4500
471,1.59,1.6,1.59,1.59,2002
864,1.6,1.6,1.6,1.6,1000
865,1.62,1.62,1.62,1.62,100
866,1.5854,1.62,1.57,1.5945,5500
867,1.61,1.61,1.58,1.58,900
868,1.61,1.61,1.61,1.61,200
869,1.61,1.61,1.61,1.61,400
870,1.61,1.61,1.61,1.61,300
871,1.6,1.61,1.6,1.61,3300
872,1.61,1.61,1.61,1.61,100
873,1.6,1.61,1.6,1.61,300
874,1.6091,1.61,1.6091,1.61,300
875,1.6,1.61,1.6,1.61,500
876,1.61,1.61,1.61,1.61,200
877,1.61,1.61,1.61,1.61,100
878,1.61,1.61,1.61,1.61,100
879,1.6,1.61,1.6,1.6001,700
880,1.61,1.61,1.61,1.61,100
881,1.61,1.61,1.61,1.61,100
882,1.61,1.61,1.607,1.61,500
883,1.61,1.61,1.61,1.61,100
884,1.6033,1.61,1.6033,1.61,350
885,1.61,1.61,1.61,1.61,100
886,1.61,1.61,1.61,1.61,100
887,1.61,1.61,1.61,1.61,100
888,1.605,1.61,1.605,1.6099,950
889,1.58,1.61,1.58,1.61,7100
890,1.6,1.6,1.6,1.6,100
891,1.5926,1.6,1.5926,1.6,2100
892,1.5909,1.6,1.5909,1.6,2100
893,1.6,1.6,1.6,1.6,200
894,1.61,1.61,1.61,1.61,100
895,1.61,1.61,1.61,1.61,100
896,1.61,1.61,1.61,1.61,200
897,1.61,1.61,1.61,1.61,100
898,1.61,1.61,1.6,1.61,300
899,1.61,1.61,1.607,1.61,1600
900,1.61,1.61,1.61,1.61,100
901,1.6,1.61,1.6,1.61,300
902,1.61,1.61,1.61,1.61,100
903,1.61,1.61,1.6001,1.61,1702
a1493733000,1.61,1.61,1.61,1.61,100
1,1.58,1.62,1.58,1.61,20400
2,1.6,1.6,1.6,1.6,100
3,1.6,1.61,1.6,1.61,500
4,1.6,1.62,1.6,1.61,20822
5,1.61,1.61,1.6,1.6,500
6,1.64,1.64,1.62,1.62,4100
7,1.6294,1.6294,1.62,1.62,5500
8,1.628,1.63,1.628,1.629,1220
9,1.64,1.64,1.6201,1.6201,320
10,1.6282,1.6282,1.6282,1.6282,190
11,1.625,1.63,1.625,1.63,200
12,1.63,1.63,1.63,1.63,200
13,1.6211,1.6211,1.62,1.62,700
14,1.63,1.63,1.629,1.63,700
15,1.63,1.63,1.63,1.63,100
17,1.62,1.625,1.62,1.625,1700
18,1.63,1.63,1.63,1.63,100
19,1.62,1.6218,1.62,1.621,4300
21,1.6248,1.6248,1.6248,1.6248,300
22,1.64,1.64,1.64,1.64,100
