EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493128200,7.8922,7.8922,7.8922,7.8922,200
1,7.85,7.85,7.85,7.85,100
2,7.8,7.8,7.8,7.8,100
22,7.9,7.9,7.9,7.9,100
29,7.85,7.85,7.85,7.85,400
34,7.8948,7.8948,7.8948,7.8948,260
37,7.85,7.9,7.85,7.9,309
142,7.8,7.8,7.8,7.8,209
143,7.8,7.8,7.8,7.8,200
145,7.8,7.8,7.769,7.769,408
146,7.75,7.845,7.75,7.845,3200
150,7.766,7.766,7.766,7.766,1000
161,7.8,7.8,7.8,7.8,264
165,7.8,7.8,7.8,7.8,100
179,7.795,7.795,7.7835,7.7835,1800
180,7.8,7.8,7.8,7.8,800
181,7.7,7.75,7.7,7.75,492
286,7.7,7.7,7.7,7.7,921
287,7.79,7.79,7.75,7.75,1250
288,7.8,7.8,7.8,7.8,100
290,7.75,7.75,7.75,7.75,2000
292,7.8,7.8,7.65,7.75,5674
299,7.8,7.8,7.8,7.8,200
300,7.8,7.8,7.8,7.8,400
301,7.8,7.8,7.8,7.8,400
303,7.8,7.85,7.8,7.85,500
304,7.8,7.8,7.8,7.8,100
305,7.825,7.825,7.7,7.8,1400
307,7.8,7.8,7.8,7.8,800
308,7.8,7.8,7.8,7.8,400
309,7.8,7.8,7.8,7.8,100
310,7.8,7.8,7.8,7.8,200
311,7.8,7.8,7.8,7.8,400
312,7.8,7.8,7.8,7.8,400
313,7.8,7.8,7.8,7.8,400
314,7.8,7.8,7.8,7.8,400
315,7.8,7.8,7.8,7.8,400
316,7.85,7.85,7.775,7.775,400
317,7.8,7.8,7.8,7.8,300
318,7.75,7.75,7.75,7.75,300
319,7.8,7.85,7.8,7.8,2809
320,7.75,7.75,7.75,7.75,1140
322,7.655,7.655,7.655,7.655,1000
325,7.7,7.7,7.7,7.7,209
430,7.75,7.75,7.75,7.75,100
440,7.675,7.7,7.6,7.7,2500
442,7.7,7.7,7.7,7.7,100
445,7.7,7.7,7.7,7.7,100
450,7.7384,7.7384,7.7384,7.7384,105
451,7.8,7.8,7.7,7.7,300
457,7.7,7.7,7.7,7.7,400
463,7.65,7.7,7.65,7.7,400
467,7.7,7.7,7.7,7.7,200
469,7.75,7.75,7.7,7.7,2400
866,7.65,7.65,7.65,7.65,200
868,7.65,7.65,7.65,7.65,199
871,7.65,7.673,7.65,7.673,600
872,7.7049,7.7049,7.7049,7.7049,1300
877,7.75,7.75,7.7,7.7,200
879,7.75,7.75,7.75,7.75,100
883,7.65,7.65,7.65,7.65,385
886,7.65,7.65,7.65,7.65,100
889,7.7,7.7,7.65,7.65,430
891,7.67,7.67,7.67,7.67,388
895,7.65,7.65,7.65,7.65,100
898,7.6752,7.6752,7.6752,7.6752,200
900,7.65,7.65,7.65,7.65,500
a1493731800,7.6,7.6,7.6,7.6,300
4,7.55,7.55,7.55,7.55,1500
6,7.5,7.5,7.5,7.5,250
11,7.5243,7.5243,7.5243,7.5243,1000
13,7.55,7.55,7.55,7.55,100
14,7.6,7.6,7.55,7.55,1933
18,7.6,7.6,7.6,7.6,100
22,7.6,7.6,7.6,7.6,400
23,7.6,7.6,7.6,7.6,820
24,7.575,7.6,7.575,7.6,200
25,7.55,7.55,7.55,7.55,596
26,7.55,7.55,7.55,7.55,1904
28,7.65,7.65,7.65,7.65,100
32,7.65,7.65,7.65,7.65,100
33,7.55,7.65,7.55,7.65,500
34,7.6,7.6,7.6,7.6,100
36,7.55,7.65,7.55,7.65,1300
38,7.55,7.55,7.55,7.55,807
39,7.6,7.6,7.55,7.6,1208
144,7.65,7.65,7.65,7.65,574
145,7.65,7.65,7.65,7.65,1050
147,7.65,7.6582,7.65,7.6582,600
148,7.65,7.65,7.6,7.6,800
149,7.65,7.65,7.65,7.65,1217
150,7.65,7.65,7.65,7.65,219
152,7.625,7.625,7.625,7.625,500
153,7.6,7.625,7.6,7.6,1417
154,7.55,7.55,7.55,7.55,300
155,7.6,7.6,7.6,7.6,221
156,7.6,7.6,7.6,7.6,222
158,7.6,7.6,7.6,7.6,200
159,7.55,7.55,7.55,7.55,700
160,7.55,7.55,7.55,7.55,500
162,7.595,7.595,7.595,7.595,106
166,7.6,7.6,7.6,7.6,100
167,7.6,7.6,7.6,7.6,100
169,7.575,7.575,7.55,7.55,900
174,7.55,7.55,7.55,7.55,3445
175,7.575,7.65,7.525,7.65,100800
178,7.5,7.6,7.5,7.6,73176
179,7.65,7.65,7.5,7.55,405094
180,7.65,7.65,7.6,7.6,1779
181,7.55,7.6,7.55,7.6,17100
182,7.55,7.55,7.55,7.55,1400
183,7.5,7.55,7.5,7.545,11065
288,7.65,7.65,7.65,7.65,200
290,7.55,7.55,7.55,7.55,500
298,7.65,7.65,7.65,7.65,177
300,7.6,7.6,7.6,7.6,100
310,7.65,7.65,7.65,7.65,100
315,7.6,7.6,7.6,7.6,100
321,7.6,7.6,7.6,7.6,100
327,7.6,7.65,7.6,7.65,300
435,7.6,7.75,7.6,7.75,200
441,7.6,7.6,7.6,7.6,100
442,7.7,7.7,7.7,7.7,188
443,7.65,7.65,7.65,7.65,800
444,7.7,7.7,7.7,7.7,2000
447,7.65,7.65,7.65,7.65,100
448,7.7,7.7,7.7,7.7,100
450,7.7,7.7,7.7,7.7,100
451,7.7,7.7,7.7,7.7,100
452,7.65,7.65,7.65,7.65,400
454,7.6577,7.6577,7.6577,7.6577,400
458,7.7,7.7,7.7,7.7,700
459,7.7,7.7,7.7,7.7,100
463,7.75,7.75,7.655,7.655,1700
464,7.7116,7.7116,7.7116,7.7116,115
465,7.75,7.75,7.75,7.75,700
467,7.8,7.8,7.8,7.8,700
468,7.8,7.8,7.8,7.8,700
469,7.8,7.8,7.8,7.8,700
470,7.8,7.8,7.8,7.8,743
471,7.9,7.9,7.8,7.8,5479
865,7.9,7.95,7.85,7.95,3165
866,7.875,7.875,7.875,7.875,100
879,7.85,7.85,7.85,7.85,861
881,7.85,7.85,7.85,7.85,100
882,7.85,7.85,7.85,7.85,100
884,7.85,7.85,7.85,7.85,100
888,7.838,7.838,7.838,7.838,400
891,7.75,7.8,7.7,7.8,800
892,7.75,7.75,7.75,7.75,100
894,7.75,7.75,7.75,7.75,100
899,7.75,7.75,7.75,7.75,1100
900,7.8,7.8,7.75,7.75,700
901,7.8,7.8,7.8,7.8,100
902,7.8,7.8,7.8,7.8,100
903,7.8,7.8,7.8,7.8,1317
a1494336600,7.95,7.95,7.95,7.95,510
2,7.9,8,7.9,8,900
3,7.95,7.95,7.95,7.95,100
4,7.945,7.945,7.945,7.945,125
5,7.9329,7.9329,7.9329,7.9329,1000
6,7.95,7.95,7.95,7.95,100
7,7.9,7.9,7.9,7.9,300
8,7.95,7.95,7.95,7.95,100
10,7.95,7.95,7.95,7.95,100
12,7.95,7.95,7.95,7.95,100
20,7.9,7.9,7.8579,7.8579,400
24,7.9,7.9,7.9,7.9,100
28,7.9,7.9,7.9,7.9,700
30,7.9079,7.9079,7.9,7.9,200
31,7.95,7.95,7.95,7.95,300
33,7.95,7.95,7.95,7.95,100
36,7.95,7.95,7.95,7.95,1100
37,8.05,8.05,8,8,1000
38,8.05,8.05,8.05,8.05,100
39,7.995,8.05,7.975,8.05,2357
145,7.95,7.95,7.91,7.91,1500
147,7.9948,7.9948,7.955,7.955,840
153,7.95,8.05,7.95,8,1200
154,8.05,8.05,8.05,8.05,190
156,8.05,8.05,8.05,8.05,100
159,7.9935,7.9935,7.9935,7.9935,100
165,7.95,8,7.95,8,1300
166,8.05,8.05,8.05,8.05,100
167,8.05,8.05,8.05,8.05,100
170,8,8,8,8,100
171,8,8,8,8,100
173,8.05,8.05,8.05,8.05,100
174,7.975,8.05,7.975,8.05,300
175,8,8,8,8,100
176,8.05,8.05,8.05,8.05,100
177,8.0301,8.0301,8.0301,8.0301,100
179,8.05,8.05,8.05,8.05,100
183,8.05,8.05,8.05,8.05,923
288,7.95,7.95,7.95,7.95,1127
289,8.05,8.05,7.9973,8.05,2963
290,8.1,8.1,8.05,8.05,1900
