EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,20.88,20.88,20.88,20.88,33816
1,20.72,20.94,20.72,20.75,177357
2,20.84,20.87,20.73,20.74,30035
3,20.87,20.87,20.8,20.83,42981
4,20.91,20.94,20.84,20.87,224805
5,21.035,21.045,20.91,20.91,702290
6,21.04,21.065,21.025,21.03,162593
7,21.035,21.06,21.025,21.035,132011
8,20.935,21.05,20.925,21.03,152010
9,20.91,20.96,20.91,20.935,93132
10,20.8425,20.95,20.82,20.91,233067
11,20.83,20.84,20.8,20.835,58056
12,20.82,20.88,20.82,20.835,68743
13,20.85,20.85,20.81,20.82,44717
14,20.925,20.96,20.84,20.84,203650
15,20.88,20.93,20.865,20.92,90198
16,20.91,20.935,20.88,20.885,72447
17,20.91,20.93,20.9,20.915,57112
18,20.94,20.945,20.89,20.915,108964
19,20.95,20.99,20.92,20.945,128267
20,20.99,21,20.95,20.95,50966
21,21.02,21.04,20.985,20.99,170020
22,20.98,21.02,20.98,21.015,78334
23,20.965,21,20.955,20.98,91794
24,20.925,20.965,20.92,20.965,157366
25,20.96,20.99,20.92,20.925,38127
26,21,21.01,20.96,20.965,38275
27,20.985,21,20.98,21,47474
28,21.025,21.05,20.98,20.985,195052
29,21.075,21.09,21.02,21.025,76084
30,21.02,21.09,21.02,21.08,74730
31,21.0562,21.0562,20.99,21.025,100779
32,21.075,21.09,21.055,21.055,59475
33,21.03,21.06,21.02,21.06,38329
34,21.11,21.11,21.025,21.03,145175
35,21.05,21.11,21.04,21.1053,124653
36,21.06,21.06,21.03,21.05,168692
37,21.02,21.07,21.02,21.05,154614
38,21.02,21.055,21,21.02,233878
39,20.96,21.03,20.96,21.025,827503
144,21.23,21.24,21.23,21.23,42842
145,21.285,21.35,21.17,21.275,317692
146,21.26,21.29,21.22,21.28,148976
147,21.49,21.495,21.24,21.26,456141
148,21.535,21.62,21.48,21.49,228274
149,21.595,21.6,21.53,21.53,84550
150,21.67,21.72,21.585,21.5971,332965
151,21.635,21.68,21.57,21.6608,139493
152,21.64,21.67,21.635,21.64,62072
153,21.69,21.69,21.64,21.645,83275
154,21.74,21.83,21.685,21.685,181413
155,21.6801,21.75,21.65,21.745,409304
156,21.705,21.81,21.68,21.685,204196
157,21.675,21.7,21.67,21.7,162502
158,21.69,21.75,21.67,21.67,58952
159,21.675,21.72,21.67,21.6864,162925
160,21.64,21.71,21.6301,21.67,108643
161,21.655,21.66,21.6348,21.64,316031
162,21.635,21.655,21.59,21.655,63333
163,21.63,21.64,21.62,21.635,29430
164,21.66,21.71,21.615,21.62,57365
165,21.689,21.689,21.64,21.66,125095
166,21.72,21.73,21.68,21.69,207850
167,21.685,21.74,21.67,21.725,365879
168,21.7,21.71,21.67,21.68,34450
169,21.71,21.71,21.69,21.69,37705
170,21.72,21.75,21.69,21.705,68373
171,21.705,21.77,21.695,21.7187,48985
172,21.72,21.72,21.67,21.705,90444
173,21.7,21.73,21.69,21.715,57560
174,21.69,21.72,21.69,21.7,64561
175,21.72,21.76,21.69,21.69,104244
176,21.71,21.72,21.69,21.72,47515
177,21.73,21.76,21.7,21.71,84098
178,21.775,21.815,21.715,21.735,205428
179,21.745,21.79,21.72,21.78,120361
180,21.755,21.76,21.71,21.74,173087
181,21.685,21.76,21.68,21.75,215546
182,21.73,21.75,21.68,21.685,331191
183,21.81,21.81,21.725,21.73,828722
288,21.63,21.65,21.51,21.65,68352
289,21.6,21.6662,21.32,21.62,155755
290,21.505,21.62,21.47,21.61,503587
291,21.58,21.61,21.505,21.51,127343
292,21.743,21.75,21.56,21.585,223118
293,21.75,21.78,21.695,21.74,267279
294,21.81,21.9,21.745,21.75,172131
295,21.83,21.86,21.795,21.81,123168
296,21.8,21.83,21.78,21.82,103992
297,21.79,21.84,21.77,21.801,293406
298,21.96,22,21.785,21.785,129207
299,21.945,22,21.925,21.96,232930
300,21.995,22,21.945,21.95,144999
301,22,22,21.98,21.995,316833
302,22,22,21.97,21.99,93237
303,21.95,22,21.94,21.995,69696
304,22.16,22.16,21.95,21.95,85436
305,22.235,22.25,22.15,22.16,84555
306,22.141,22.235,22.1,22.235,35692
307,22.05,22.14,22.045,22.14,23042
308,22.0701,22.095,22.05,22.06,27276
309,22.08,22.095,22.0601,22.07,19141
310,22.135,22.14,22.055,22.0838,103993
311,22.095,22.235,22.08,22.135,43901
312,22.09,22.175,22.065,22.09,111769
313,22.1,22.115,22.03,22.06,27640
314,22.1,22.15,22.08,22.091,33615
315,22.1,22.16,22.09,22.1,128866
316,22.11,22.11,22.06,22.11,45555
317,22.13,22.135,22.08,22.105,48396
318,22.12,22.135,22.08,22.135,42145
319,22.095,22.12,22.09,22.1,43132
320,22.125,22.14,22.09,22.095,42627
321,22.155,22.19,22.12,22.13,49825
322,22.15,22.18,22.14,22.15,77312
323,22.135,22.18,22.12,22.145,93075
324,22.14,22.16,22.12,22.135,121718
325,22.145,22.18,22.135,22.15,100970
326,22.14,22.17,22.14,22.145,102207
327,22.18,22.19,22.13,22.145,842255
432,22.01,22.12,22,22.12,23712
433,22.005,22.18,21.99,22.15,226163
434,21.87,22.01,21.87,22,132650
435,21.845,21.86,21.7481,21.86,223099
436,21.825,21.89,21.82,21.844,68038
437,21.82,21.91,21.81,21.82,216256
438,21.845,21.88,21.82,21.825,171506
439,21.85,21.858,21.83,21.845,71243
440,21.8501,21.87,21.84,21.85,52631
441,21.86,21.87,21.84,21.85,74361
442,21.87,21.88,21.84,21.8597,205993
443,21.915,21.92,21.84,21.8753,74634
444,21.895,21.92,21.85,21.91,47947
445,21.9,21.915,21.86,21.895,69197
446,21.895,21.94,21.88,21.9,70387
447,21.95,21.95,21.89,21.895,97367
448,21.9,21.985,21.89,21.95,87036
449,21.895,21.91,21.88,21.9,62276
450,21.91,21.92,21.88,21.89,81979
451,21.89,21.91,21.88,21.905,95623
452,21.9,21.92,21.86,21.88,108407
453,21.89,21.9,21.885,21.9,25075
454,21.89,21.91,21.885,21.89,139289
455,21.905,21.905,21.89,21.89,32718
456,21.96,21.97,21.9,21.9099,46794
457,21.965,21.98,21.95,21.955,28138
458,21.975,21.995,21.965,21.965,65538
459,21.93,21.975,21.93,21.975,23620
460,21.935,21.955,21.915,21.93,36477
461,21.9,21.935,21.895,21.93,23944
462,21.9,21.91,21.89,21.9,58066
463,21.865,21.9,21.865,21.895,48222
464,21.89,21.895,21.865,21.87,60906
465,21.905,21.93,21.88,21.8879,54028
466,21.935,21.94,21.9,21.905,51369
467,21.95,21.96,21.9275,21.93,33879
468,21.93,21.955,21.92,21.955,52474
469,21.955,21.96,21.93,21.93,53146
470,21.95,21.96,21.95,21.955,123088
471,21.95,21.97,21.925,21.95,1507962
864,22.03,22.03,22.03,22.03,13226
865,22.05,22.1253,22,22.09,176504
866,22.245,22.25,22.05,22.06,210035
867,22.22,22.28,22.21,22.23,39002
868,22.25,22.27,22.195,22.21,67851
869,22.3126,22.325,22.235,22.2501,194389
870,22.255,22.32,22.25,22.315,20999
871,22.25,22.26,22.22,22.255,56779
872,22.33,22.33,22.24,22.24,59195
873,22.37,22.38,22.32,22.33,73995
874,22.44,22.44,22.36,22.37,43222
875,22.4162,22.47,22.39,22.435,58505
876,22.41,22.4292,22.39,22.41,65398
877,22.41,22.44,22.385,22.42,47408
878,22.405,22.42,22.4,22.4125,13169
879,22.4,22.4278,22.4,22.405,27346
880,22.42,22.4258,22.39,22.4,29629
881,22.42,22.425,22.41,22.415,18364
882,22.445,22.48,22.4,22.41,45898
883,22.46,22.47,22.44,22.445,53800
884,22.47,22.53,22.455,22.46,93737
885,22.505,22.505,22.47,22.485,13144
886,22.515,22.545,22.49,22.504,15992
887,22.5254,22.55,22.51,22.51,31057
888,22.51,22.55,22.5,22.525,32282
889,22.525,22.525,22.495,22.52,27453
890,22.51,22.5725,22.51,22.52,43214
891,22.545,22.565,22.51,22.51,36731
892,22.5,22.569,22.48,22.55,47061
893,22.525,22.53,22.48,22.5075,45776
894,22.5,22.53,22.495,22.52,328163
