EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,32.55,32.55,32.55,32.55,2199
1,32.6,32.7,32.55,32.55,10972
2,32.45,32.6,32.35,32.6,8300
3,32.6,32.6,32.45,32.45,3300
4,32.6001,32.6001,32.5,32.5759,3200
5,32.5,32.6,32.475,32.6,5100
6,32.575,32.7,32.425,32.5,6600
7,32.6,32.6,32.525,32.55,2100
8,32.45,32.55,32.45,32.525,3245
9,32.45,32.5,32.45,32.475,2600
10,32.55,32.55,32.4,32.45,5230
11,32.625,32.65,32.5,32.525,4508
12,32.6,32.6,32.5,32.6,4577
13,32.6,32.625,32.5,32.55,7583
14,32.65,32.65,32.55,32.6,4700
15,32.75,32.75,32.65,32.65,2950
16,32.75,32.75,32.7,32.7,2600
17,32.725,32.75,32.65,32.75,5445
18,32.75,32.8,32.75,32.75,2233
19,32.75,32.75,32.75,32.75,300
20,32.775,32.8,32.75,32.75,2800
21,32.725,32.775,32.725,32.75,1700
22,32.75,32.775,32.7,32.725,3428
23,32.75,32.75,32.725,32.75,1100
24,32.7,32.75,32.65,32.725,2660
25,32.75,32.75,32.65,32.7,2100
26,32.725,32.75,32.7,32.725,5355
27,32.75,32.775,32.7,32.725,4416
28,32.775,32.775,32.7,32.75,4200
29,32.775,32.8,32.75,32.75,2621
30,32.85,32.875,32.75,32.755,12563
31,32.925,32.95,32.85,32.85,7529
32,32.925,32.95,32.875,32.925,5889
33,32.95,33,32.9,32.95,8277
34,32.975,33,32.925,32.95,8487
35,32.925,33,32.9,32.95,8262
36,32.925,32.95,32.85,32.9,9714
37,32.775,32.925,32.75,32.925,9314
38,32.775,32.8,32.75,32.775,7823
39,32.75,32.85,32.75,32.775,82636
144,32.7,32.7,32.7,32.7,2030
145,32.9,32.95,32.7,32.7,1558
146,32.9,32.925,32.825,32.9,4044
147,32.9,33,32.9,32.95,3156
148,32.9501,32.9501,32.9,32.9,2604
149,32.975,32.975,32.9001,32.95,5119
150,33.05,33.05,32.975,32.975,5649
151,33.125,33.175,33.05,33.15,3906
152,33.1,33.1,33.05,33.1,3208
153,33.15,33.15,33.075,33.1,5043
154,33.15,33.175,33.125,33.15,3441
155,33.25,33.275,33.15,33.15,3862
156,33.4,33.45,33.25,33.3,9672
157,33.375,33.4,33.35,33.35,1900
158,33.325,33.35,33.25,33.35,6514
159,33.4,33.4,33.325,33.325,2930
160,33.275,33.4,33.25,33.4,4052
161,33.3,33.3,33.3,33.3,1500
162,33.275,33.3,33.275,33.3,3000
163,33.3,33.325,33.25,33.3,3572
164,33.325,33.35,33.3,33.3,5295
165,33.375,33.45,33.35,33.35,2945
166,33.4,33.4,33.325,33.35,2675
167,33.4,33.5,33.375,33.4,4259
168,33.35,33.475,33.325,33.4,9225
169,33.375,33.375,33.3,33.325,2895
170,33.3,33.375,33.3,33.35,3232
171,33.325,33.45,33.3,33.35,4575
172,33.275,33.325,33.25,33.3,6720
173,33.3,33.375,33.3,33.325,4461
174,33.325,33.4,33.275,33.3,4438
175,33.35,33.375,33.3,33.3,4000
176,33.4,33.45,33.325,33.35,3990
177,33.325,33.4,33.3,33.4,3358
178,33.375,33.375,33.35,33.35,1700
179,33.35,33.425,33.325,33.4,4310
180,33.275,33.35,33.25,33.3,6615
181,33.225,33.275,33.2,33.25,8186
182,33.075,33.225,33.075,33.2,18660
183,33,33.125,32.975,33.05,62607
288,33.05,33.05,33.05,33.05,2592
289,33.4,33.4,33.15,33.15,7213
290,33.45,33.55,33.25,33.35,10400
291,33.4,33.55,33.4,33.45,5000
292,33.45,33.5,33.4,33.4,3700
293,33.5,33.525,33.45,33.45,5041
294,33.425,33.45,33.4,33.45,3800
295,33.35,33.425,33.25,33.425,8702
296,33.2,33.325,33.2,33.325,7740
297,33.15,33.2,33.1,33.2,3100
298,33.325,33.35,33.15,33.15,3900
299,33.425,33.425,33.35,33.35,2700
300,33.325,33.425,33.325,33.425,6738
301,33.1,33.3,33.1,33.3,28723
302,33.125,33.15,33.05,33.125,5850
303,33.15,33.15,33.125,33.125,4900
304,33.15,33.2,33.15,33.2,2687
305,33.175,33.2,33.175,33.175,1400
306,33.1,33.15,33.075,33.15,5788
307,33.125,33.15,33.05,33.05,1615
308,33.2,33.2,33.15,33.15,1900
309,33.225,33.275,33.2,33.2,8190
310,33.2,33.25,33.15,33.225,5160
311,33.175,33.2,33.15,33.2,1312
312,33.2,33.2,33.2,33.2,400
313,33.2,33.25,33.2,33.225,6523
314,33.2,33.2,33.175,33.2,2608
315,33.2,33.225,33.175,33.2,3989
316,33.25,33.25,33.2,33.2,1100
317,33.25,33.275,33.175,33.225,28967
318,33.175,33.25,33.15,33.25,11658
319,33.15,33.2,33.125,33.15,8100
320,33.15,33.2,33.15,33.175,2525
321,33.075,33.15,33.05,33.15,6765
322,33.1,33.125,33.075,33.075,4376
323,33.15,33.15,33.1,33.1,12023
324,33.1,33.15,33,33.125,16981
325,33.1,33.125,33.05,33.125,15671
326,33.2,33.25,33.05,33.075,21680
327,33.25,33.25,33.1,33.2,84310
432,33.3,33.3,33.3,33.3,1444
433,33.1,33.25,33.1,33.25,3589
434,33.1,33.175,33,33.05,6698
435,33.1,33.15,33.1,33.1,4726
436,33.1,33.15,33.05,33.15,7454
437,33.025,33.075,33.025,33.05,7400
438,32.925,33.05,32.9,33.05,5605
439,32.9,32.9,32.85,32.9,3600
440,32.85,32.9001,32.85,32.9001,2900
441,32.85,32.85,32.85,32.85,3200
442,32.775,32.9,32.75,32.9,3254
443,32.8,32.8,32.7,32.775,8378
444,32.9,32.9,32.8,32.8,2375
445,32.85,32.875,32.8,32.875,4100
446,32.8,32.825,32.75,32.8,10121
447,32.85,32.9,32.8,32.85,6087
448,32.95,32.95,32.85,32.85,10168
449,32.875,32.95,32.85,32.95,4926
450,32.9,32.925,32.9,32.9,2938
451,33,33,32.925,32.95,7234
452,33.2,33.2,32.995,33,24682
453,33.15,33.2,33.1,33.2,8400
454,33.05,33.15,33.05,33.15,1800
455,32.95,33.075,32.95,33.075,1800
456,33.05,33.05,32.975,32.975,2288
457,33.064,33.1,33,33,4436
458,33.1,33.1,33.075,33.1,1100
459,33.025,33.1,33.025,33.1,2400
460,32.95,33.05,32.95,33.0253,5416
461,32.925,32.95,32.925,32.925,500
462,32.95,32.95,32.9,32.925,1800
463,32.975,33,32.95,32.95,2000
464,32.95,33,32.925,33,2900
465,32.85,32.95,32.85,32.925,1400
466,33.1,33.1,32.85,32.875,24238
467,33.2,33.25,33.1,33.1,22277
468,33.25,33.25,33.15,33.15,12726
469,33.25,33.25,33.2,33.225,17961
470,33.225,33.25,33.1,33.25,44183
471,33.1,33.275,33,33.225,122286
864,33.35,33.35,33.35,33.35,8682
865,33.05,33.4,33.05,33.4,2732
866,33.15,33.2,33.1,33.1,4446
867,33.073,33.125,33.073,33.125,1075
868,33.075,33.1,33.05,33.1,1178
869,33.175,33.2,33.05,33.075,4090
870,33.1,33.2,33.1,33.2,3151
871,33.3,33.325,33.15,33.15,5143
872,33.375,33.425,33.35,33.35,7204
873,33.275,33.375,33.25,33.3581,3550
874,33.2501,33.3,33.25,33.25,2140
875,33.35,33.35,33.25,33.25,2898
876,33.325,33.35,33.3,33.35,1814
877,33.1,33.3,33.1,33.3,5640
878,33.25,33.25,33.1,33.125,2300
879,33.3,33.3,33.25,33.25,4802
880,33.35,33.35,33.3,33.3,2372
881,33.25,33.35,33.25,33.3,1687
882,33.35,33.4,33.25,33.25,9700
883,33.3,33.35,33.3,33.35,600
884,33.275,33.3,33.25,33.3,3307
885,33.325,33.325,33.175,33.25,7877
886,33.325,33.35,33.325,33.325,400
887,33.325,33.35,33.25,33.3,2500
888,33.4,33.4,33.325,33.325,1400
889,33.375,33.375,33.35,33.375,300
890,33.5,33.5,33.375,33.375,2200
891,33.5,33.525,33.45,33.5,2000
892,33.375,33.55,33.375,33.5,9979
893,33.425,33.425,33.35,33.35,3800
894,33.4,33.4,33.3,33.375,5600
895,33.375,33.4,33.35,33.4,4400
896,33.3,33.375,33.3,33.375,10208
