EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,21.6,21.6,21.6,21.6,100
9,21.65,21.65,21.65,21.65,100
10,21.75,21.75,21.55,21.55,464
16,21.8,21.8,21.8,21.8,200
36,21.8,21.8,21.8,21.8,100
37,21.8,21.8,21.8,21.8,200
39,21.8,21.8,21.8,21.8,581
145,21.75,21.75,21.75,21.75,100
149,21.7005,21.7005,21.7005,21.7005,500
151,21.75,21.75,21.75,21.75,700
158,21.8,21.8,21.8,21.8,200
170,21.9,21.9,21.7692,21.8,1886
171,21.95,22,21.9,21.9,1438
172,21.9,21.9,21.9,21.9,200
179,21.9,21.9,21.8,21.8,2800
180,21.9,21.9,21.9,21.9,104
183,21.8,21.9,21.8,21.9,400
290,21.9,21.9,21.9,21.9,260
297,21.8,21.8,21.8,21.8,224
316,21.8,21.8,21.8,21.8,100
317,21.8,21.8,21.8,21.8,130
318,21.8,21.8,21.8,21.8,1144
322,21.8,21.8,21.8,21.8,100
323,21.7748,21.7748,21.6997,21.6997,600
324,21.8,21.8,21.7673,21.8,498
325,21.8,21.8,21.8,21.8,155
327,21.8,21.9,21.8,21.9,326
434,21.875,21.875,21.875,21.875,100
436,21.9,21.9,21.9,21.9,280
439,21.85,21.85,21.85,21.85,100
446,21.6,21.65,21.6,21.65,900
471,21.7,21.85,21.7,21.85,200
865,21.7345,21.7345,21.7345,21.7345,800
868,21.714,21.714,21.714,21.714,200
878,21.75,21.75,21.75,21.75,100
897,21.75,21.75,21.75,21.75,100
902,21.75,21.7661,21.75,21.7661,885
903,21.85,21.85,21.75,21.75,447
a1493738400,21.7557,21.7557,21.7557,21.7557,100
24,21.75,21.75,21.75,21.75,100
28,21.85,21.85,21.85,21.85,294
172,21.85,21.85,21.85,21.85,600
285,21.875,21.875,21.875,21.875,119
286,21.9,21.9,21.875,21.875,239
287,21.9,21.9,21.75,21.75,415
290,21.9,21.9,21.9,21.9,100
291,21.9,21.9,21.9,21.9,400
292,21.9,21.9,21.9,21.9,900
293,21.8,21.9,21.8,21.9,200
295,21.8,21.8,21.8,21.8,100
296,21.8,21.8,21.8,21.8,100
299,21.8,21.8,21.8,21.8,100
301,21.8,21.8,21.8,21.8,100
316,21.95,21.95,21.8,21.8,500
422,21.8853,21.95,21.8353,21.895,800
434,21.95,21.95,21.95,21.95,100
439,21.9,21.95,21.85,21.95,300
448,21.95,21.95,21.95,21.95,200
452,21.9,21.9,21.9,21.9,161
454,21.95,21.95,21.9,21.95,848
458,21.9,22,21.9,21.95,300
460,21.95,21.95,21.95,21.95,116
855,21.95,21.95,21.95,21.95,496
857,21.983,22,21.983,22,200
860,22,22,22,22,100
861,21.95,22,21.95,22,5491
892,21.95,21.95,21.95,21.95,200
a1494345000,22,22,22,22,250
4,21.941,21.941,21.941,21.941,100
10,21.9,21.9,21.9,21.9,100
22,21.9,21.9,21.9,21.9,100
25,21.95,22,21.95,22,400
132,21.9,21.9,21.9,21.9,520
140,21.9,21.9,21.9,21.9,100
143,21.9,21.9,21.9,21.9,200
148,21.9,21.9,21.9,21.9,400
151,21.85,21.9,21.85,21.9,1500
153,21.9,21.9,21.85,21.85,200
155,21.9,21.9,21.9,21.9,100
156,21.9,21.9,21.9,21.9,100
157,21.95,21.95,21.95,21.95,100
167,21.85,21.85,21.85,21.85,100
168,21.95,21.95,21.9,21.945,4600
169,21.85,21.9,21.85,21.9,600
291,21.8,21.8,21.8,21.8,100
294,21.8,21.85,21.8,21.85,200
297,21.825,21.825,21.825,21.825,100
299,21.85,21.85,21.85,21.85,100
309,21.9,21.9,21.9,21.9,100
311,21.9,21.9,21.85,21.85,200
312,21.95,21.95,21.95,21.95,100
313,22,22,21.9,22,300
436,21.95,21.95,21.95,21.95,100
447,21.95,21.95,21.95,21.95,100
452,22,22,21.995,22,8973
454,22,22,22,22,100
457,22,22,21.995,22,6164
850,22,22,22,22,217
851,22.05,22.05,22.05,22.05,100
857,22.15,22.15,22.15,22.15,1248
859,22.15,22.15,22.15,22.15,200
860,22.15,22.15,22.15,22.15,348
861,22.15,22.15,22.15,22.15,100
862,22.15,22.2,22.15,22.2,300
863,22.15,22.15,22.15,22.15,630
868,22.25,22.25,22.2,22.2,875
879,22.1997,22.1997,22.1997,22.1997,180
883,22.2,22.2,22.15,22.15,673
888,22.175,22.175,22.175,22.175,100
889,22.25,22.25,22.25,22.25,195
996,22.15,22.15,22.1,22.1,400
998,22.15,22.2,22.15,22.15,920
a1494945000,22.1,22.1,22.1,22.1,769
6,21.85,21.85,21.85,21.85,200
7,22.05,22.05,22.05,22.05,100
10,21.95,22,21.95,22,400
11,21.95,21.95,21.95,21.95,100
16,22,22,21.95,21.95,500
18,22,22,22,22,200
20,21.95,21.95,21.95,21.95,100
21,21.95,21.95,21.95,21.95,100
24,21.95,21.95,21.95,21.95,100
27,21.95,21.95,21.95,21.95,100
28,22,22,22,22,100
30,22,22,22,22,100
33,22,22,22,22,700
141,22,22,22,22,300
143,22,22,21.95,22,410
144,22,22,22,22,100
146,22,22,22,22,170
148,21.95,21.95,21.95,21.95,100
149,22,22,22,22,200
150,22,22.25,22,22.25,312
152,22.2,22.2,22,22.2,500
153,22,22.15,22,22,851
154,22,22,22,22,100
155,22,22,22,22,100
156,21.95,22.1,21.95,21.95,1000
157,22.05,22.05,21.9,21.95,800
158,21.95,21.95,21.899,21.95,1600
160,22,22,22,22,100
161,21.95,21.95,21.95,21.95,100
162,22,22,22,22,100
163,21.85,21.95,21.85,21.95,300
165,21.7,21.85,21.7,21.85,920
166,21.85,21.85,21.85,21.85,500
167,21.95,21.95,21.9,21.9,200
168,21.7998,21.9,21.7998,21.8,825
169,21.9,21.95,21.7998,21.85,5300
171,21.9,21.9,21.9,21.9,300
172,22.1,22.1,21.9,21.9,300
173,22,22.1,22,22.1,300
174,22.1,22.1,22.1,22.1,200
175,22,22.1,22,22.1,800
177,22.05,22.1,22,22.05,2103
293,22.05,22.2,22.05,22.15,600
294,22.15,22.15,22.15,22.15,200
295,22.15,22.15,22.15,22.15,100
299,22.2,22.2,22.2,22.2,100
301,22.2,22.2,22.2,22.2,100
304,22.05,22.05,22.05,22.05,100
306,22.2,22.2,22.2,22.2,100
307,22.2,22.2,22.2,22.2,100
308,22.2,22.2,22.2,22.2,100
310,22.2,22.2,22.2,22.2,100
312,22.2,22.2,22.2,22.2,100
313,22.075,22.2,22.075,22.2,200
315,22.2,22.2,22.2,22.2,100
319,22.25,22.25,22.25,22.25,100
320,22.25,22.25,22.25,22.25,400
321,22.2,22.25,21.95,22.25,1154
428,22.2,22.2,22.2,22.2,450
431,22.05,22.2,22.05,22.2,300
432,22.05,22.05,22.05,22.05,600
433,22.05,22.05,22.05,22.05,300
434,22.05,22.05,22.05,22.05,300
435,22.025,22.075,22.025,22.05,600
436,22.025,22.025,22.025,22.025,500
437,22.025,22.025,22.025,22.025,900
438,22.025,22.025,22.025,22.025,700
439,22.025,22.025,22.025,22.025,400
440,22.025,22.025,22.025,22.025,300
441,22.025,22.025,22.025,22.025,200
442,22.025,22.025,22.025,22.025,300
443,22.025,22.025,22.025,22.025,100
444,22.025,22.025,22.025,22.025,100
447,22.025,22.025,22.025,22.025,100
449,22.025,22.025,22.025,22.025,100
450,22.025,22.025,22.025,22.025,100
452,22.025,22.025,22.025,22.025,100
454,21.925,22,21.925,22,1400
456,21.95,21.95,21.9,21.9,320
457,21.95,21.95,21.95,21.95,100
459,21.95,21.95,21.95,21.95,200
461,21.95,21.95,21.95,21.95,100
464,21.95,21.95,21.95,21.95,100
465,22,22,22,22,507
864,22,22,22,22,100
866,22,22,22,22,100
868,22,22,22,22,100
869,22,22,22,22,100
871,22,22,22,22,100
874,22,22,22,22,100
875,22,22,22,22,100
876,22,22,22,22,100
878,22,22,22,22,100
880,22,22,22,22,100
882,22,22,22,22,200
883,22,22,22,22,182
884,22,22,22,22,100
886,22,22,22,22,200
888,22,22,22,22,100
889,22,22,22,22,100
890,22,22,22,22,200
891,22,22,22,22,100
892,22,22,22,22,200
