EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,38.63,38.63,38.62,38.62,26401
1,38.525,38.7,38.31,38.64,125041
2,38.27,38.58,38.1933,38.56,146512
3,38.305,38.38,37.96,38.28,152030
4,38.14,38.32,37.92,38.3017,292316
5,38.19,38.24,38.1,38.1312,94622
6,38.15,38.23,38.06,38.18,109656
7,38.24,38.2797,38.12,38.16,71845
8,38.19,38.24,38.09,38.21,93541
9,38.405,38.45,38.2,38.2,100583
10,38.43,38.43,38.31,38.42,67692
11,38.48,38.53,38.4,38.44,230374
12,38.1956,38.505,38.16,38.47,110929
13,38.19,38.31,38.15,38.2,79719
14,38.2201,38.35,38.2,38.2,48471
15,38.37,38.37,38.21,38.22,32342
16,38.405,38.45,38.36,38.37,60481
17,38.34,38.42,38.33,38.42,46921
18,38.47,38.49,38.34,38.34,48748
19,38.5,38.53,38.43,38.46,105817
20,38.457,38.51,38.42,38.51,41824
21,38.46,38.49,38.42,38.43,25797
22,38.59,38.59,38.43,38.46,59701
23,38.58,38.62,38.49,38.55,81456
24,38.3962,38.6,38.34,38.5799,55768
25,38.42,38.45,38.36,38.407,28139
26,38.36,38.46,38.35,38.42,35280
27,38.33,38.44,38.32,38.36,24904
28,38.32,38.38,38.31,38.32,22741
29,38.33,38.39,38.295,38.33,29781
30,38.27,38.34,38.25,38.32,53709
31,38.3,38.3,38.25,38.26,28777
32,38.36,38.37,38.25,38.3,33762
33,38.29,38.35,38.28,38.35,19200
34,38.3,38.4,38.29,38.29,43853
35,38.26,38.3,38.2,38.3,59937
36,38.25,38.34,38.25,38.2664,57293
37,38.2191,38.31,38.21,38.25,70207
38,38.24,38.28,38.216,38.22,64352
39,38.145,38.25,38.09,38.24,428989
144,36.75,36.8,36.75,36.75,98447
145,36.7,36.97,35.55,36.7711,1074654
146,37.19,37.43,36.7,36.7,334028
147,36.83,37.32,36.824,37.2,244602
148,36.51,36.87,36.36,36.83,359489
149,36.2493,36.63,36.23,36.5155,282584
150,36.2001,36.262,36.02,36.22,325846
151,36.5464,36.62,36.19,36.2,267175
152,36.257,36.6,36.22,36.54,136850
153,36.27,36.39,36.2433,36.26,85023
154,36.23,36.46,36.23,36.27,120125
155,36.2499,36.445,36.11,36.25,209081
156,36.4872,36.4872,36.22,36.25,97269
157,36.4,36.58,36.38,36.48,98000
158,36.4663,36.53,36.4,36.41,99422
159,36.49,36.51,36.44,36.46,49661
160,36.67,36.71,36.46,36.49,79495
161,36.61,36.78,36.61,36.69,114272
162,36.555,36.66,36.52,36.61,57160
163,36.55,36.61,36.51,36.5599,42040
164,36.73,36.74,36.54,36.55,57701
165,36.63,36.75,36.61,36.74,31895
166,36.84,36.89,36.61,36.61,49782
167,36.8848,36.895,36.83,36.84,47637
168,36.98,37,36.84,36.8847,70484
169,37.0692,37.13,36.96,36.98,77851
170,37.02,37.17,37.01,37.07,98323
171,37.16,37.16,37.0451,37.0572,45868
172,37.19,37.26,37.15,37.15,49230
173,37.27,37.2965,37.18,37.18,37889
174,37.28,37.35,37.27,37.27,46941
175,37.37,37.38,37.28,37.3,40742
176,37.39,37.43,37.37,37.3732,45842
177,37.45,37.5,37.37,37.37,37454
178,37.4,37.48,37.37,37.4495,49196
179,37.46,37.49,37.4,37.4,49706
180,37.38,37.48,37.37,37.45,54740
181,37.35,37.44,37.34,37.39,110131
182,37.4501,37.5,37.33,37.345,121952
183,37.43,37.46,37.37,37.45,258361
288,37.3,37.3,37.29,37.29,27553
289,37.7,37.82,37.2708,37.2708,170724
290,37.98,38.05,37.67,37.67,246500
291,37.98,38.2,37.92,37.98,226152
292,38.25,38.2607,37.9401,38,190327
293,38.4449,38.5861,38.26,38.26,229270
294,38.3121,38.51,38.3,38.4391,131051
295,38.46,38.52,38.31,38.3397,190807
296,38.08,38.5,38.03,38.45,271877
297,37.98,38.1899,37.91,38.071,232654
298,38.29,38.32,37.93,37.97,216194
299,38.25,38.3199,38.12,38.29,155674
300,38.44,38.5,38.24,38.27,164852
301,38.52,38.62,38.4,38.41,118730
302,38.305,38.54,38.23,38.52,88063
303,38.3,38.3381,38.21,38.29,38340
304,38.29,38.35,38.22,38.2919,47284
305,38.21,38.31,38.17,38.3,47134
306,38.27,38.32,38.16,38.19,57625
307,38.3,38.3,38.21,38.28,26353
308,38.45,38.45,38.2699,38.2949,44750
309,38.46,38.5,38.35,38.45,62649
310,38.45,38.46,38.38,38.45,41269
311,38.587,38.62,38.45,38.46,100504
312,38.5,38.6,38.5,38.58,38493
313,38.43,38.55,38.42,38.5,39333
314,38.4,38.47,38.32,38.42,43332
315,38.41,38.48,38.38,38.4,38087
316,38.31,38.41,38.3,38.38,70248
317,38.28,38.337,38.25,38.2999,36553
318,38.2901,38.32,38.27,38.2816,32998
319,38.28,38.31,38.2,38.3,62938
320,38.25,38.3,38.25,38.29,30681
321,38.249,38.26,38.18,38.26,32854
322,38.25,38.286,38.21,38.24,33583
323,38.22,38.26,38.21,38.24,24920
324,38.29,38.29,38.21,38.22,54680
325,38.36,38.39,38.28,38.28,96718
326,38.3399,38.43,38.325,38.365,57955
327,38.38,38.4,38.29,38.33,186192
432,38.38,38.41,38.38,38.41,39102
433,37.96,38.47,37.91,38.41,129596
434,37.9,38.04,37.76,37.96,143117
435,37.58,37.89,37.53,37.8812,150878
436,37.82,37.91,37.5847,37.5847,102346
437,37.88,37.9099,37.7,37.81,96356
438,37.7,37.91,37.66,37.89,72885
439,37.8,37.8,37.66,37.66,50009
440,37.74,37.78,37.65,37.78,56550
441,37.8139,37.86,37.69,37.72,63821
442,37.7699,37.81,37.72,37.81,48861
443,37.7761,37.93,37.76,37.76,66235
444,37.72,37.8,37.68,37.76,41650
445,37.75,37.83,37.7,37.71,43896
446,37.76,37.78,37.68,37.77,28658
447,37.7,37.79,37.68,37.77,27679
448,37.76,37.8,37.7,37.71,23906
449,37.77,37.86,37.755,37.76,54743
450,37.7293,37.775,37.7,37.76,31939
451,37.73,37.79,37.73,37.73,39388
452,37.74,37.8,37.71,37.72,40335
453,37.81,37.84,37.73,37.73,26645
454,37.85,37.91,37.8,37.8,54285
455,37.89,37.94,37.83,37.84,51472
456,37.87,37.9399,37.865,37.8653,40905
457,37.9186,37.94,37.85,37.87,34883
458,37.89,37.97,37.89,37.9198,51337
459,37.88,37.92,37.83,37.88,39133
460,37.8321,37.87,37.75,37.8517,37525
461,37.88,37.89,37.82,37.84,30763
462,37.83,37.92,37.83,37.8701,34783
463,37.82,37.8797,37.8,37.84,31030
464,37.79,37.84,37.76,37.84,33708
465,37.75,37.83,37.75,37.8005,53750
466,37.96,37.96,37.75,37.75,63552
467,37.945,38.03,37.915,37.97,57588
468,37.858,37.975,37.835,37.94,60672
469,37.895,37.91,37.84,37.85,80197
470,38,38.01,37.89,37.89,91482
471,37.98,38.06,37.95,38.02,198818
864,38.32,38.32,38.28,38.28,26736
865,38.55,38.93,38.15,38.28,281855
866,39.35,39.69,38.53,38.605,520092
867,39.33,39.63,39.3,39.3,284704
868,39.32,39.5,39.23,39.3499,186881
869,39.292,39.41,39.11,39.31,142804
870,39.19,39.42,39.14,39.2999,132714
871,39.39,39.4,39.19,39.22,118709
872,39.3162,39.4,39.22,39.39,69380
873,39.5,39.55,39.26,39.31,186235
874,39.41,39.53,39.32,39.47,106532
875,39.2599,39.39,39.22,39.39,88470
876,39.42,39.48,39.235,39.26,65631
877,39.49,39.51,39.38,39.41,110198
878,39.32,39.49,39.31,39.49,54802
879,39.44,39.49,39.32,39.32,50970
880,39.42,39.5,39.37,39.45,50941
881,39.4704,39.48,39.34,39.4199,44421
882,39.49,39.52,39.36,39.4516,74097
883,39.4,39.51,39.4,39.49,74001
884,39.48,39.5198,39.36,39.42,77215
885,39.4795,39.51,39.39,39.48,48714
886,39.7684,39.78,39.47,39.48,181046
887,39.87,39.92,39.74,39.7601,115370
888,39.88,39.94,39.76,39.88,62727
889,39.9,39.93,39.84,39.88,53951
890,39.86,39.92,39.8,39.9,59246
891,39.85,39.9,39.8245,39.86,50951
