EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,2.2501,2.2501,2.2501,2.2501,959
3,2.42,2.4235,2.42,2.4235,900
4,2.25,2.45,2.25,2.45,6796
5,2.35,2.4,2.25,2.37,1600
6,2.405,2.405,2.405,2.405,100
12,2.3101,2.3101,2.3101,2.3101,100
15,2.25,2.3,2.25,2.3,2600
25,2.29,2.29,2.29,2.29,100
31,2.3,2.3,2.3,2.3,100
35,2.27,2.27,2.27,2.27,100
38,2.25,2.25,2.25,2.25,100
153,2.35,2.35,2.35,2.35,100
155,2.3593,2.3593,2.3593,2.3593,100
157,2.35,2.35,2.35,2.35,200
158,2.3489,2.35,2.25,2.35,6100
159,2.28,2.28,2.28,2.28,100
176,2.25,2.25,2.25,2.25,100
182,2.25,2.25,2.25,2.25,300
287,2.25,2.25,2.25,2.25,199
288,2.3,2.3,2.3,2.3,186
290,2.36,2.36,2.36,2.36,200
291,2.3,2.3101,2.3,2.3101,1300
293,2.2501,2.26,2.25,2.2504,9050
294,2.295,2.295,2.21,2.2105,3500
299,2.25,2.2501,2.25,2.2501,500
306,2.25,2.25,2.21,2.2237,1110
320,2.21,2.21,2.21,2.21,100
322,2.2,2.2,2.2,2.2,100
324,2.21,2.2465,2.2,2.2,400
325,2.2231,2.2231,2.2231,2.2231,500
326,2.21,2.21,2.2,2.2066,400
432,2.79,2.79,2.79,2.79,100
433,2.7855,2.7855,2.7855,2.7855,150
434,2.7761,2.789,2.7761,2.789,5350
435,2.63,2.63,2.5513,2.5513,200
436,2.7589,2.7589,2.7589,2.7589,100
438,2.5992,2.5992,2.5992,2.5992,500
439,2.55,2.55,2.55,2.55,600
441,2.5995,2.5995,2.5995,2.5995,500
443,2.5899,2.5899,2.5539,2.5539,250
446,2.5524,2.5999,2.5524,2.5898,910
448,2.5,2.507,2.5,2.507,4500
451,2.5223,2.5223,2.5223,2.5223,1000
455,2.6,2.6,2.58,2.58,1700
457,2.6027,2.6027,2.6027,2.6027,480
465,2.422,2.5701,2.4101,2.5701,11525
466,2.4902,2.4902,2.4902,2.4902,500
467,2.4499,2.4499,2.4499,2.4499,1300
468,2.4699,2.57,2.4499,2.4499,2300
469,2.5099,2.58,2.46,2.4699,2200
470,2.44,2.51,2.42,2.5099,2600
863,2.34,2.34,2.34,2.34,5240
866,2.5665,2.57,2.5001,2.53,675
867,2.6889,2.6889,2.6889,2.6889,100
868,2.69,2.69,2.58,2.58,1400
869,2.6889,2.6889,2.6315,2.6315,1050
870,2.65,2.6689,2.64,2.6689,800
875,2.6689,2.6689,2.6689,2.6689,100
878,2.59,2.6689,2.59,2.6689,1831
880,2.59,2.59,2.59,2.59,100
883,2.56,2.56,2.5,2.51,500
885,2.56,2.56,2.56,2.56,100
886,2.56,2.56,2.56,2.56,100
892,2.55,2.55,2.55,2.55,100
897,2.54,2.54,2.54,2.54,200
898,2.54,2.54,2.54,2.54,100
899,2.54,2.54,2.54,2.54,100
900,2.54,2.54,2.54,2.54,100
901,2.56,2.56,2.56,2.56,100
902,2.55,2.55,2.55,2.55,100
a1493732400,2.63,2.63,2.5,2.5,3475
7,2.5799,2.58,2.57,2.57,4991
9,2.5776,2.5776,2.5776,2.5776,5000
11,2.4,2.4,2.4,2.4,500
21,2.5,2.5,2.5,2.5,200
32,2.5,2.5,2.5,2.5,100
33,2.53,2.53,2.53,2.53,100
37,2.6237,2.6237,2.53,2.53,200
143,3.1,3.1,3.1,3.1,12000
144,2.6701,2.6701,2.66,2.67,8000
145,2.68,2.71,2.68,2.71,2400
146,2.7358,2.83,2.6801,2.83,2200
147,2.71,2.71,2.6801,2.6801,2200
148,2.69,2.69,2.69,2.69,9075
149,2.71,2.7851,2.7,2.7851,800
150,2.76,2.77,2.76,2.77,500
151,2.67,2.71,2.67,2.71,896
153,2.67,2.7,2.67,2.7,6500
154,2.68,2.68,2.68,2.68,500
162,2.6804,2.6804,2.6804,2.6804,2000
172,2.67,2.6862,2.67,2.6862,1900
176,2.66,2.66,2.66,2.66,139
181,2.66,2.66,2.66,2.66,100
182,2.67,2.67,2.67,2.67,200
287,2.75,2.75,2.75,2.75,644
288,2.76,2.79,2.76,2.79,1100
289,2.7603,2.7603,2.7603,2.7603,2000
290,2.76,2.76,2.76,2.76,200
291,2.74,2.76,2.74,2.76,6889
292,2.71,2.7401,2.7,2.74,12817
305,2.7,2.71,2.7,2.71,3700
318,2.7,2.7014,2.7,2.7,1956
321,2.7,2.7,2.7,2.7,100
322,2.7,2.7,2.7,2.7,300
323,2.7,2.7,2.7,2.7,100
325,2.7,2.7,2.7,2.7,200
326,2.7,2.7,2.7,2.7,200
435,2.95,3,2.95,3,600
438,2.9389,2.94,2.9389,2.94,200
439,2.88,2.9,2.88,2.9,420
442,2.8489,2.85,2.8465,2.8465,800
871,2.99,2.99,2.9879,2.9879,1000
872,3.02,3.0386,2.9993,2.9993,1600
873,3.03,3.03,3.0293,3.0293,300
874,3.05,3.05,3.05,3.05,700
875,3.07,3.07,3.069,3.069,400
876,3.03,3.0672,3.03,3.0672,1100
878,3.03,3.03,3.03,3.03,300
896,3,3,3,3,500
898,3.0089,3.0089,3.0089,3.0089,100
902,2.99,2.99,2.99,2.99,2440
a1494340800,2.9995,3,2.9995,3,2000
4,2.9993,2.9993,2.9989,2.9993,900
11,2.99,2.99,2.99,2.99,3660
26,2.71,2.71,2.71,2.71,100
30,2.8899,2.9746,2.7,2.74,3100
31,2.9992,3,2.78,2.8899,3900
32,3.08,3.08,2.98,2.98,1200
141,2.9068,3,2.9068,2.96,5200
142,2.86,2.98,2.81,2.98,3192
143,3.04,3.04,3.04,3.04,200
152,3.05,3.05,3.05,3.05,1100
153,3.0599,3.0599,3.0599,3.0599,200
165,3,3.05,3,3.05,600
168,2.87,2.9,2.87,2.9,1100
170,2.93,2.93,2.93,2.93,100
174,3,3,2.9369,2.938,8700
175,3.05,3.05,2.96,2.96,2500
176,3.06,3.06,3.06,3.06,600
291,2.9101,2.9101,2.9101,2.9101,3600
298,2.92,2.97,2.92,2.97,200
299,2.92,2.92,2.92,2.92,200
300,2.985,2.985,2.985,2.985,100
302,2.91,2.91,2.91,2.91,200
304,2.93,3,2.93,2.93,1150
318,2.99,2.99,2.99,2.99,550
319,3,3,3,3,2000
320,3.0365,3.0365,2.9993,2.9993,3500
425,3.08,3.08,3.08,3.08,2000
429,2.9,2.9,2.9,2.9,300
435,3,3,3,3,1000
436,2.9992,3,2.997,2.997,1000
442,3,3,3,3,800
446,3,3,3,3,100
460,3.01,3.01,3.01,3.01,100
462,3.04,3.04,3.04,3.04,200
463,3.05,3.05,3.05,3.05,550
464,3.04,3.05,3.04,3.05,400
863,3.0492,3.05,3,3,2900
865,3.04,3.04,3.01,3.01,1300
866,3.0592,3.0599,3.04,3.04,700
867,3.0592,3.0592,3.057,3.057,200
879,3.038,3.038,3.038,3.038,200
880,3.03,3.03,3.03,3.03,170
886,3.04,3.04,3.04,3.04,100
888,3.04,3.04,3.04,3.04,100
889,3.04,3.04,3.04,3.04,140
890,3.028,3.028,3.028,3.028,350
894,3.06,3.06,3.04,3.04,1059
895,3.08,3.08,3.08,3.08,2000
896,3.08,3.08,3.07,3.08,1000
a1494943800,3.02,3.02,3.02,3.02,700
1,3.02,3.02,3.02,3.02,500
2,3.0689,3.08,3.01,3.02,900
5,3.0601,3.08,3.04,3.04,2200
6,3.0601,3.0601,3.0601,3.0601,500
33,3.07,3.07,3.07,3.07,500
34,3.08,3.08,3.08,3.08,200
35,3.09,3.09,3.07,3.08,2200
140,3.09,3.09,3.09,3.09,980
142,3.07,3.07,3.07,3.07,100
143,3.08,3.08,3.06,3.06,200
145,3.09,3.09,3.08,3.08,200
146,3.09,3.09,3.09,3.09,100
147,3.0792,3.0792,3.077,3.077,1000
148,3.08,3.08,3.08,3.08,200
149,3.07,3.08,3.07,3.08,900
150,3.09,3.09,3.0001,3.0001,1500
151,3.08,3.08,3.08,3.08,100
152,3.08,3.08,3.08,3.08,600
153,3.1,3.1,3.08,3.08,871
