EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493128200,9.31,9.48,9.3,9.39,2000
2,9.29,9.35,9.29,9.29,2700
4,9.35,9.35,9.35,9.35,100
5,9.03,9.37,9.02,9.37,9467
6,9.25,9.25,9.25,9.25,22500
7,9.33,9.35,9.25,9.3138,4100
8,9.33,9.33,9.26,9.31,500
9,9.33,9.348,9.31,9.32,4800
10,9.36,9.36,9.3,9.33,3300
11,9.35,9.35,9.33,9.3347,750
12,9.32,9.34,9.32,9.34,400
13,9.27,9.41,9.27,9.35,1700
14,9.27,9.27,9.27,9.27,300
15,9.4,9.4,9.4,9.4,100
16,9.29,9.4,9.28,9.4,800
17,9.39,9.39,9.325,9.325,400
18,9.39,9.4,9.36,9.4,300
19,9.4485,9.4485,9.4,9.4,600
21,9.47,9.47,9.42,9.42,200
22,9.44,9.44,9.44,9.44,100
23,9.46,9.46,9.44,9.44,300
24,9.4101,9.4101,9.4101,9.4101,300
25,9.47,9.47,9.47,9.47,100
26,9.43,9.47,9.4201,9.47,2400
27,9.4797,9.5,9.46,9.47,849
28,9.484,9.484,9.484,9.484,500
29,9.4658,9.4658,9.4658,9.4658,250
31,9.47,9.475,9.47,9.475,900
32,9.475,9.5,9.47,9.47,1500
33,9.5,9.5,9.5,9.5,400
34,9.48,9.48,9.48,9.48,100
35,9.61,9.73,9.49,9.5,4002
36,9.61,9.68,9.57,9.6,2900
37,9.41,9.6699,9.41,9.6699,2250
142,9.64,9.64,9.64,9.64,3055
143,9.36,9.38,9.35,9.35,550
144,9.36,9.36,9.36,9.36,100
145,9.37,9.37,9.36,9.36,200
146,9.6,9.6,9.37,9.37,400
147,9.55,9.61,9.55,9.6,1900
148,9.595,9.595,9.595,9.595,100
150,9.5,9.599,9.5,9.53,1200
151,9.525,9.525,9.525,9.525,100
153,9.53,9.59,9.41,9.59,800
154,9.45,9.52,9.43,9.52,900
155,9.545,9.5664,9.41,9.41,3000
156,9.545,9.545,9.545,9.545,100
157,9.56,9.56,9.56,9.56,100
158,9.54,9.54,9.54,9.54,100
159,9.52,9.56,9.52,9.54,800
160,9.53,9.5466,9.53,9.53,925
161,9.53,9.58,9.53,9.58,700
162,9.53,9.54,9.53,9.54,200
163,9.57,9.58,9.54,9.55,600
164,9.635,9.635,9.6,9.6,400
165,9.635,9.635,9.635,9.635,100
166,9.6487,9.6487,9.6,9.61,400
168,9.65,9.65,9.65,9.65,100
169,9.6,9.61,9.6,9.61,1570
170,9.56,9.575,9.56,9.575,200
171,9.56,9.56,9.56,9.56,200
172,9.56,9.59,9.56,9.59,200
173,9.56,9.59,9.56,9.59,2400
175,9.56,9.59,9.56,9.56,400
178,9.59,9.59,9.575,9.575,300
179,9.575,9.5856,9.56,9.575,2300
180,9.572,9.5856,9.56,9.56,4400
181,9.74,9.74,9.4,9.58,4500
286,9.98,9.98,9.98,9.98,3550
287,9.33,9.8648,9.27,9.28,2700
289,9.5004,9.7169,9.5004,9.7169,460
290,9.36,9.64,9.35,9.41,7440
291,9.45,9.45,9.45,9.45,200
293,9.48,9.5152,9.44,9.5152,300
297,9.38,9.38,9.38,9.38,100
298,9.38,9.38,9.38,9.38,100
299,9.38,9.38,9.38,9.38,100
300,9.38,9.42,9.38,9.38,1200
301,9.35,9.35,9.35,9.35,100
302,9.33,9.3528,9.33,9.3528,5200
303,9.31,9.31,9.31,9.31,200
304,9.3,9.3666,9.3,9.3,2400
305,9.3018,9.3018,9.28,9.28,1700
306,9.3,9.3,9.3,9.3,100
307,9.376,9.376,9.33,9.33,400
308,9.31,9.35,9.3,9.35,750
309,9.31,9.31,9.31,9.31,100
310,9.31,9.31,9.3,9.3,300
311,9.4,9.4,9.32,9.33,1000
312,9.35,9.36,9.35,9.36,200
313,9.31,9.31,9.31,9.31,100
314,9.32,9.35,9.32,9.35,200
315,9.33,9.33,9.33,9.33,100
316,9.31,9.32,9.31,9.32,200
317,9.4,9.4,9.31,9.31,800
318,9.35,9.35,9.32,9.32,200
319,9.3,9.364,9.3,9.35,1390
320,9.3,9.3,9.3,9.3,100
321,9.3,9.3,9.3,9.3,200
322,9.3,9.39,9.3,9.3,400
323,9.32,9.39,9.3,9.39,500
324,9.31,9.4,9.3,9.3,300
325,9.3,9.37,9.3,9.32,1600
436,9.4,9.42,9.31,9.42,1600
438,9.38,9.43,9.31,9.4,1500
439,9.38,9.38,9.38,9.38,200
440,9.4,9.4,9.4,9.4,1200
444,9.38,9.38,9.38,9.38,100
445,9.35,9.35,9.35,9.35,200
447,9.4,9.4,9.35,9.38,2100
454,9.42,9.425,9.38,9.425,3772
455,9.38,9.44,9.38,9.4,800
456,9.38,9.38,9.38,9.38,100
457,9.4,9.44,9.38,9.395,3400
458,9.3501,9.4,9.3501,9.4,600
459,9.42,9.42,9.42,9.42,300
460,9.42,9.42,9.42,9.42,100
462,9.43,9.46,9.42,9.42,300
463,9.4442,9.48,9.4442,9.48,350
467,9.51,9.51,9.46,9.46,3400
468,9.5,9.5,9.49,9.49,300
469,10,10,9.53,9.53,7249
862,10,10,10,10,303
864,9.955,9.99,9.955,9.99,400
865,9.975,9.99,9.895,9.895,400
866,9.76,9.8,9.76,9.8,1208
867,9.85,9.87,9.795,9.795,500
868,9.9,9.9,9.87,9.87,500
869,9.96,9.96,9.96,9.96,100
870,9.98,9.98,9.8975,9.97,1600
871,10,10,9.97,9.97,2998
872,10,10.005,9.91,10,21800
874,10,10,9.955,10,500
875,9.985,9.985,9.985,9.985,100
876,10.06,10.1,10,10,2724
878,10.035,10.05,10.0068,10.0068,600
879,10.06,10.06,10.06,10.06,100
880,10.02,10.02,10.02,10.02,200
882,10.06,10.06,10.025,10.025,200
883,10.0595,10.0595,10.0595,10.0595,2000
884,9.98,10.05,9.98,10.0358,9100
885,10.05,10.06,10.05,10.05,1735
886,10.03,10.05,10.03,10.05,300
888,10.005,10.005,10.005,10.005,100
889,10.06,10.06,10.0455,10.05,8700
890,10.05,10.05,10.05,10.05,100
891,10.05,10.0531,10.04,10.05,3154
892,10.06,10.06,10.05,10.05,545
893,10.055,10.055,10.05,10.05,300
894,10.05,10.05,10.05,10.05,100
895,10.05,10.06,10.05,10.06,300
897,10.05,10.05,10.05,10.05,100
898,10.055,10.06,10.05,10.0592,2200
899,10.05,10.0599,10.05,10.05,1100
900,10.0562,10.058,10.05,10.05,1100
901,10.02,10.09,10.02,10.06,37812
a1493731800,10.05,10.05,10.05,10.05,532
2,10.06,10.06,10.05,10.05,500
3,10.0151,10.05,10,10.05,2300
4,10,10,10,10,500
5,10.02,10.02,10,10,1200
6,9.9,9.9,9.9,9.9,100
7,9.9001,9.92,9.9,9.91,900
9,9.9695,9.9695,9.9597,9.9597,700
10,10,10,9.98,9.98,4600
11,9.98,9.9801,9.98,9.9801,210
12,10,10,10,10,100
13,10.0029,10.0029,9.9701,9.9701,300
15,9.97,9.97,9.97,9.97,200
16,9.9701,9.9701,9.9701,9.9701,100
17,10,10,10,10,100
19,9.9,9.98,9.9,9.98,2300
20,9.9,9.93,9.9,9.9001,400
21,9.89,9.89,9.8501,9.89,400
22,9.89,9.89,9.89,9.89,300
23,9.89,9.89,9.89,9.89,200
24,9.89,9.8918,9.865,9.8918,1300
25,9.76,9.915,9.759,9.915,4650
26,9.8,9.8,9.56,9.6,10940
28,9.75,9.75,9.75,9.75,100
30,9.79,9.79,9.79,9.79,200
31,9.76,9.76,9.64,9.7292,1600
32,9.5,9.59,9.5,9.57,5666
33,9.4,9.59,9.4,9.52,2000
34,9.41,9.41,9.41,9.41,205
35,9.44,9.44,9.41,9.41,300
37,9.49,9.49,9.49,9.49,100
38,9.54,9.67,9.54,9.67,700
39,9.63,9.686,9.54,9.686,3191
144,9.6,9.6,9.6,9.6,491
145,8.8681,9.3946,8.8681,9.3946,1678
147,9.54,9.54,9.3252,9.3252,1200
148,9.4117,9.4117,9.4117,9.4117,500
149,9.25,9.25,9.25,9.25,100
152,9.29,9.29,9.29,9.29,200
156,9.2824,9.2824,9.2824,9.2824,100
