EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,191.01,191.01,191.01,191.01,502
1,191.01,191.01,190.86,190.86,200
2,189.99,189.99,189.5072,189.5072,200
4,190.41,190.72,190.085,190.085,600
5,190.47,190.5,189.57,189.57,300
8,189.83,189.83,189.83,189.83,100
9,190.7,190.7,190.7,190.7,100
10,190.6,190.6,190.6,190.6,100
11,191.0005,191.01,190.33,191,900
12,191.09,191.7,191.01,191.35,700
14,191.05,191.05,191.05,191.05,100
19,190.95,191.34,190.46,190.46,500
20,191.2,191.2,191.11,191.11,300
22,191.75,191.75,191.29,191.44,500
23,192.19,192.19,191.63,191.6787,892
24,191.83,191.83,191.83,191.83,100
26,192.29,192.29,192.29,192.29,105
27,192.3,192.35,192.3,192.35,200
28,191.805,191.805,191.57,191.75,600
29,192.15,192.15,192.15,192.15,100
30,192.18,192.18,191.38,191.38,200
31,192.3,192.3,191.68,191.68,600
33,191.775,191.97,191.775,191.94,300
34,191.57,191.57,191.57,191.57,100
35,191.95,191.96,191.755,191.93,900
36,192.11,192.14,191.58,191.85,800
37,191.66,192.11,191.6,192.11,800
38,190.75,191.8,190.49,191.6,2801
39,190.68,191.07,190.605,191.02,5696
144,190.68,190.68,190.68,190.68,119
146,189.17,189.17,189.17,189.17,100
152,190.1,190.31,189.79,190.2,800
153,190.34,190.68,190.2,190.2,1000
154,190.2801,191.965,190.2801,191.965,218
156,192.72,192.72,192,192,600
157,192.985,192.985,192.985,192.985,200
158,192.76,192.76,192.5,192.5,300
159,192.7,193.14,192.38,193.015,1460
161,191.82,191.83,191.82,191.83,300
162,192.27,192.68,191.8,192.07,1500
163,192.18,192.26,191.89,191.89,300
164,192.65,192.65,192.14,192.14,500
165,193.47,193.47,192.35,192.35,1137
166,193.27,193.365,193.27,193.365,200
167,192.99,192.99,192.4,192.4,300
168,193.22,193.22,193.18,193.18,200
170,193.175,193.175,192.52,193.15,660
171,193.2,193.2,192.62,193.04,400
172,192.99,193.27,192.78,192.86,600
173,193.23,193.26,192.79,192.79,400
174,193.19,193.956,193.19,193.44,1488
175,193.93,193.93,193.93,193.93,100
176,193.99,194.1,193.69,193.82,1436
177,194.45,194.45,193.71,193.71,600
178,194.31,194.36,193.91,193.91,700
179,194.4,194.4,194.14,194.14,200
180,193.85,194.58,193.16,194.58,2600
181,193.15,193.81,193.15,193.5,1550
182,192.2,193.18,191.61,192.94,3100
183,193.01,193.47,192.1907,192.205,16883
288,193.26,193.26,193.26,193.26,602
290,190.51,190.51,190.51,190.51,100
291,192.0095,192.45,191.995,192.45,1600
292,191.79,192.3,191.595,192.25,2400
293,191.16,191.16,190.8,190.81,1000
294,190.839,190.985,190.25,190.985,1200
295,191.29,191.41,189.3,190.82,3373
296,190.495,191.59,190.495,191.59,200
297,190.3902,190.94,189.39,189.63,2900
299,190.75,190.75,190.28,190.28,200
300,190.12,190.66,189.83,190.66,400
301,190.335,190.335,190.335,190.335,100
302,190.82,190.83,189.95,189.95,1700
303,191.34,192.08,190.11,191.015,500
304,191,191.085,191,191.085,200
306,191.735,192.47,190.95,192.47,700
307,190.915,190.915,190.915,190.915,100
308,191.6153,191.6153,191.525,191.525,200
309,191,192.24,191,192.24,400
310,191.39,191.9,191.39,191.9,400
311,191.295,192.3,191.18,191.51,2400
312,191.8888,191.8888,191.865,191.865,200
313,191.32,191.96,191.32,191.47,906
314,192.36,192.36,191.5374,191.865,1200
315,192.29,192.29,191.98,192,300
316,192.87,193.425,192,192,1700
317,193.51,193.9,193.51,193.9,300
318,193.02,193.375,193.02,193.375,437
319,193.05,193.27,192.655,193.24,1100
320,193.895,193.895,192.944,192.96,1500
321,193.625,193.625,193.195,193.195,200
322,193.67,193.67,192.95,192.95,200
323,192.61,193.48,191.85,193.39,1149
324,192.565,192.79,192.565,192.67,700
325,192.71,193,191.92,191.92,400
326,192.51,192.615,192.36,192.36,600
327,192.49,192.8,191.09,192.03,14667
432,189.5,189.5,189.5,189.5,2450
433,189.05,189.81,186.1,189.51,11511
434,184.52,188.8,184.24,188.8,4008
435,182.15,184.939,182.15,184.89,4831
436,183.31,183.6993,181.8,182.56,6951
437,184.095,184.095,182.855,183,3549
438,184.63,184.63,183.445,183.445,2000
439,184,184.25,184,184.22,300
440,184.48,184.48,184.48,184.48,100
441,185.3,185.3,185.3,185.3,100
442,185.165,185.51,184.45,185.05,1500
443,184.8,184.99,184.22,184.6,500
444,183.38,184.66,181.54,184.6,8509
445,184.375,184.375,182.61,183.38,3342
446,184.3,185,183.75,184.375,1437
447,184.06,184.9,184.06,184.9,1300
448,184.62,184.62,184.46,184.46,500
449,183.97,184.71,183.8547,184.42,800
450,184.355,184.7,183.92,184.235,1149
451,185.21,185.21,184.24,184.24,1400
452,185.8,185.98,185.14,185.14,600
453,186.8,186.8,186.015,186.025,300
454,186,187.285,186,186.8,830
455,187.07,187.07,187.07,187.07,100
456,187.0599,187.0599,186.935,186.935,200
457,186.91,186.91,186.91,186.91,100
458,185.04,186.9,185.04,186.85,1400
459,185.98,186.685,185.18,185.18,300
460,186.58,186.87,185.9198,185.98,600
461,186.27,186.48,185.845,186.44,500
462,186.73,186.73,185.84,185.84,900
463,187.8,188.01,185.28,186.74,2800
464,188.02,188.965,187.1,188.16,1548
465,188.46,188.81,187.7,187.7,600
466,188.285,188.9,187.56,188.78,7519
467,187.83,188.39,187.6,188.2,2500
468,188.535,188.585,188.02,188.175,3673
469,189.36,189.36,188.03,188.51,6913
470,190.37,190.425,188.96,189.68,10286
471,190.17,191.23,188.59,190,34172
864,190.44,190.44,190.44,190.44,494
865,189.62,189.62,189.21,189.21,470
866,194.57,194.57,194.57,194.57,100
867,191.565,192.835,189.795,189.795,800
868,186.95,191.42,186.83,191.42,2900
869,190.03,190.03,187.79,188.63,2150
870,190.61,190.61,189.415,189.415,200
871,190.14,190.14,189.5,189.5,1200
872,190,190,190,190,100
873,191.7,191.8,189.92,190.12,2200
874,191.5,192.54,189.685,191.59,2300
876,192.8,192.8,191.5,191.5,400
877,191.21,191.21,191,191,200
878,192.2,192.2,190.9101,191.22,500
879,190.93,192.13,190.93,192.13,300
880,191.7075,191.7075,190.9301,190.9301,439
881,191.645,192.36,190.9301,190.9301,300
882,190.695,192,190.695,191.64,1538
883,190.415,190.68,190.415,190.6,2155
884,191.28,191.28,190.7,190.7,600
885,190.59,190.69,190.59,190.69,400
886,191.04,191.78,190.255,190.56,900
887,191.615,191.67,190.3601,191.035,500
888,191.53,191.54,190.5001,191.54,300
889,190.5401,191.57,190.5401,190.61,400
890,191.65,191.65,191.25,191.25,900
891,191.67,191.67,191.59,191.62,500
892,191.36,191.37,191.36,191.37,200
893,191.49,191.6,191.45,191.53,1500
894,190.91,191.34,190.7,191.23,1800
895,190.75,190.75,190.6101,190.75,500
896,191.25,191.435,189.1,190.75,3227
897,191.22,191.6,191.22,191.25,400
898,190.78,191.76,189.04,191.6,2000
899,190.65,190.895,190.4,190.75,1100
900,190.84,190.87,190.0801,190.65,1700
901,190.76,190.87,190.38,190.87,2566
902,190.565,190.84,189.35,190.74,2700
903,191.35,191.975,190.1801,190.92,16556
a1493731800,192.16,192.16,192.16,192.16,229
1,190.73,190.73,189.03,189.03,200
2,189.25,193.795,189.25,193.795,300
3,189.8052,191.08,188.16,189.26,2600
4,190.06,190.06,188,188,2600
5,191.26,191.26,189.03,190.42,2600
6,189.89,190.2,188.61,189.76,1800
7,190,190.2,189.94,189.94,600
8,188.87,189.15,188.87,189.15,200
9,188.88,190.505,188.88,189.32,300
10,188.55,189.945,187.78,189.08,1600
11,187.525,188.16,186.82,188.06,2200
12,186.7701,187.47,186.46,186.91,2612
13,188.5,188.505,187.48,187.48,1910
14,188.7,189.415,188.45,188.5,1300
15,188.765,188.765,188.765,188.765,100
16,188.03,188.03,188.03,188.03,100
18,188.76,188.76,188.76,188.76,500
19,189.29,189.29,188.55,188.55,200
21,188.84,188.84,188.42,188.42,600
22,188.485,188.485,188.485,188.485,100
24,189.01,189.01,188.94,188.94,200
